lakeid,fish_id,annnumber,length,radii_length_mm ,scalelength
AL,312,5,367,3.83412698,6.812158315
AL,312,4,367,3.391263293,6.812158315
AL,312,3,367,2.84653135,6.812158315
AL,312,2,367,2.170446595,6.812158315
AL,312,1,367,1.2803701,6.812158315
AL,313,EDGE,367,6.465514826,6.465514826
AL,313,13,367,6.21049062,6.465514826
AL,313,12,367,5.958271165,6.465514826
AL,313,11,367,5.675291957,6.465514826
AL,313,10,367,5.381391082,6.465514826
AL,313,9,367,5.068726309,6.465514826
AL,313,8,367,4.723618153,6.465514826
AL,313,7,367,4.217369409,6.465514826
AL,313,6,367,3.89478647,6.465514826
AL,313,5,367,3.538379307,6.465514826
AL,313,4,367,2.988263956,6.465514826
AL,313,3,367,2.560337822,6.465514826
AL,313,2,367,2.061367794,6.465514826
AL,313,1,367,1.292849482,6.465514826
AL,314,EDGE,370,6.909813076,6.909813076
AL,314,13,370,6.581608713,6.909813076
AL,314,12,370,6.387702252,6.909813076
AL,314,11,370,6.15782654,6.909813076
AL,314,10,370,5.912552112,6.909813076
AL,314,9,370,5.643565036,6.909813076
AL,314,8,370,5.149301413,6.909813076
AL,314,7,370,4.678628003,6.909813076
AL,314,6,370,4.353534652,6.909813076
AL,314,5,370,4.059633776,6.909813076
AL,314,4,370,3.683257012,6.909813076
AL,314,3,370,3.268842678,6.909813076
AL,314,2,370,2.561035639,6.909813076
AL,314,1,370,1.551251685,6.909813076
AL,315,EDGE,372,6.474934741,6.474934741
AL,315,13,372,6.101812015,6.474934741
AL,315,12,372,5.884199246,6.474934741
AL,315,11,372,5.658787564,6.474934741
AL,315,10,372,5.305818493,6.474934741
AL,315,9,372,4.97761413,6.474934741
AL,315,8,372,4.703759809,6.474934741
AL,315,7,372,4.347352646,6.474934741
AL,315,6,372,3.799644004,6.474934741
AL,315,5,372,3.436738197,6.474934741
AL,315,4,372,3.013348088,6.474934741
AL,315,3,372,2.522799233,6.474934741
AL,315,2,372,2.038924824,6.474934741
AL,315,1,372,1.201678957,6.474934741
AL,316,EDGE,372,6.353846415,6.353846415
AL,316,13,372,6.104463252,6.353846415
AL,316,12,372,5.870642768,6.353846415
AL,316,11,372,5.576741893,6.353846415
AL,316,10,372,5.213836086,6.353846415
AL,316,9,372,4.790445977,6.353846415
AL,316,8,372,4.467863037,6.353846415
AL,316,7,372,4.02020656,6.353846415
AL,316,6,372,3.660394156,6.353846415
AL,316,5,372,3.236524285,6.353846415
AL,316,4,372,2.852662023,6.353846415
AL,316,3,372,2.348827834,6.353846415
AL,316,2,372,1.823081965,6.353846415
AL,316,1,372,1.086568482,6.353846415
AL,317,EDGE,373,7.270902516,7.270902516
AL,317,13,373,6.899144046,7.270902516
AL,317,12,373,6.60558914,7.270902516
AL,317,11,373,6.131045349,7.270902516
AL,317,10,373,5.814504419,7.270902516
AL,317,9,373,5.395214454,7.270902516
AL,317,8,373,4.930844505,7.270902516
AL,317,7,373,4.596809034,7.270902516
AL,317,6,373,4.225050564,7.270902516
AL,317,5,373,3.817310801,7.270902516
AL,317,4,373,3.289635582,7.270902516
AL,317,3,373,2.878421406,7.270902516
AL,317,2,373,2.301614097,7.270902516
AL,317,1,373,1.24626366,7.270902516
AL,318,EDGE,373,7.9665111,7.9665111
AL,318,13,373,7.582913662,7.9665111
AL,318,12,373,7.280492156,7.9665111
AL,318,11,373,7.035217729,7.9665111
AL,318,10,373,6.698757285,7.9665111
AL,318,9,373,6.313573635,7.9665111
AL,318,8,373,5.788988781,7.9665111
AL,318,7,373,5.381249017,7.9665111
AL,318,6,373,5.064708087,7.9665111
AL,318,5,373,4.516999444,7.9665111
AL,318,4,373,4.031447822,7.9665111
AL,318,3,373,3.224738494,7.9665111
AL,318,2,373,2.323091767,7.9665111
AL,318,1,373,1.305987898,7.9665111
AL,319,EDGE,380,6.279830177,6.279830177
AL,319,13,380,6.108161754,6.279830177
AL,319,12,380,5.914255294,6.279830177
AL,319,11,380,5.662035838,6.279830177
AL,319,10,380,5.412652676,6.279830177
AL,319,9,380,5.176669144,6.279830177
AL,319,8,380,4.700201952,6.279830177
AL,319,7,380,4.284563348,6.279830177
AL,319,6,380,3.81238102,6.279830177
AL,319,5,380,3.369517333,6.279830177
AL,319,4,380,2.906901385,6.279830177
AL,319,3,380,2.466569025,6.279830177
AL,319,2,380,1.928594873,6.279830177
AL,319,1,380,1.260371837,6.279830177
AL,320,EDGE,391,7.737192412,7.737192412
AL,320,14,391,7.47548178,7.737192412
AL,320,13,391,7.230207353,7.737192412
AL,320,12,391,6.896171882,7.737192412
AL,320,11,391,6.482739573,7.737192412
AL,320,10,391,5.998865163,7.737192412
AL,320,9,391,5.633726068,7.737192412
AL,320,8,391,5.257349304,7.737192412
AL,320,7,391,4.749697374,7.737192412
AL,320,6,391,4.250931049,7.737192412
AL,320,5,391,3.785468206,7.737192412
AL,320,4,391,3.314794796,7.737192412
AL,320,3,391,2.67898999,7.737192412
AL,320,2,391,1.990837992,7.737192412
AL,320,1,391,1.206742233,7.737192412
AL,321,EDGE,394,8.120045895,8.120045895
AL,321,13,394,7.755742679,8.120045895
AL,321,12,394,7.324740453,8.120045895
AL,321,11,394,6.952981984,8.120045895
AL,321,10,394,6.538567649,8.120045895
AL,321,9,394,6.104043145,8.120045895
AL,321,8,394,5.680893122,8.120045895
AL,321,7,394,5.355799771,8.120045895
AL,321,6,394,4.839218356,8.120045895
AL,321,5,394,4.297291918,8.120045895
AL,321,4,394,3.703127932,8.120045895
AL,321,3,394,3.066045767,8.120045895
AL,321,2,394,2.147316861,8.120045895
AL,321,1,394,1.152027923,8.120045895
AL,322,EDGE,394,6.634477351,6.634477351
AL,322,14,394,6.432863014,6.634477351
AL,322,13,394,6.187588586,6.634477351
AL,322,12,394,5.803991148,6.634477351
AL,322,11,394,5.511476605,6.634477351
AL,322,10,394,5.206378751,6.634477351
AL,322,9,394,4.858338442,6.634477351
AL,322,8,394,4.655718541,6.634477351
AL,322,7,394,4.406335378,6.634477351
AL,322,6,394,3.9098153,6.634477351
AL,322,5,394,3.433348108,6.634477351
AL,322,4,394,2.896697853,6.634477351
AL,322,3,394,2.556632373,6.634477351
AL,322,2,394,2.080165182,6.634477351
AL,322,1,394,1.141304556,6.634477351
AL,323,EDGE,395,7.796736519,7.796736519
AL,323,15,395,7.582892221,7.796736519
AL,323,14,395,7.320019287,7.796736519
AL,323,13,395,7.046164966,7.796736519
AL,323,12,395,6.722952595,7.796736519
AL,323,11,395,6.457770337,7.796736519
AL,323,10,395,6.135187397,7.796736519
AL,323,9,395,5.832094588,7.796736519
AL,323,8,395,5.549115381,7.796736519
AL,323,7,395,5.155838204,7.796736519
AL,323,6,395,4.596926314,7.796736519
AL,323,5,395,4.209113393,7.796736519
AL,323,4,395,3.630195807,7.796736519
AL,323,3,395,3.044125434,7.796736519
AL,323,2,395,2.533678702,7.796736519
AL,323,1,395,1.645659662,7.796736519
AL,324,EDGE,406,8.205798437,8.205798437
AL,324,14,406,7.909144331,8.205798437
AL,324,13,406,7.454281653,8.205798437
AL,324,12,406,7.242346718,8.205798437
AL,324,11,406,6.948445842,8.205798437
AL,324,10,406,6.534031507,8.205798437
AL,324,9,406,6.142567274,8.205798437
AL,324,8,406,5.638531431,8.205798437
AL,324,7,406,5.290491122,8.205798437
AL,324,6,406,4.867341099,8.205798437
AL,324,5,406,4.245760467,8.205798437
AL,324,4,406,3.657958716,8.205798437
AL,324,3,406,3.061064497,8.205798437
AL,324,2,406,2.51076445,8.205798437
AL,324,1,406,1.794820611,8.205798437
AL,325,EDGE,407,6.863162417,6.863162417
AL,325,13,407,6.660542515,6.863162417
AL,325,12,407,6.462487853,6.863162417
AL,325,11,407,6.256880765,6.863162417
AL,325,10,407,5.851640962,6.863162417
AL,325,9,407,5.418052935,6.863162417
AL,325,8,407,4.882919716,6.863162417
AL,325,7,407,4.550103356,6.863162417
AL,325,6,407,4.162290435,6.863162417
AL,325,5,407,3.808171624,6.863162417
AL,325,4,407,3.440259983,6.863162417
AL,325,3,407,3.08385282,6.863162417
AL,325,2,407,2.503532645,6.863162417
AL,325,1,407,1.685440392,6.863162417
AL,326,EDGE,413,7.761399759,7.761399759
AL,326,13,413,7.517788228,7.761399759
AL,326,12,413,7.243933907,7.761399759
AL,326,11,413,6.978751649,7.761399759
AL,326,10,413,6.686237106,7.761399759
AL,326,9,413,6.167300444,7.761399759
AL,326,8,413,5.799388803,7.761399759
AL,326,7,413,5.429548746,7.761399759
AL,326,6,413,4.903802877,7.761399759
AL,326,5,413,4.259582757,7.761399759
AL,326,4,413,3.745565037,7.761399759
AL,326,3,413,2.967323248,7.761399759
AL,326,2,413,2.184394782,7.761399759
AL,326,1,413,1.260371837,7.761399759
AL,327,EDGE,413,8.330674295,8.330674295
AL,327,15,413,8.113061526,8.330674295
AL,327,14,413,7.81064002,8.330674295
AL,327,13,413,7.479047254,8.330674295
AL,327,12,413,7.082681465,8.330674295
AL,327,11,413,6.768719323,8.330674295
AL,327,10,413,6.466297817,8.330674295
AL,327,9,413,5.898546688,8.330674295
AL,327,8,413,5.525423963,8.330674295
AL,327,7,413,5.23290942,8.330674295
AL,327,6,413,4.878790609,8.330674295
AL,327,5,413,4.495193171,8.330674295
AL,327,4,413,4.061605143,8.330674295
AL,327,3,413,3.442645844,8.330674295
AL,327,2,413,2.469765265,8.330674295
AL,327,1,413,1.569810713,8.330674295
AL,328,EDGE,420,8.71283287,8.71283287
AL,328,16,420,8.407735015,8.71283287
AL,328,15,420,8.135369044,8.71283287
AL,328,14,420,7.85856203,8.71283287
AL,328,13,420,7.6264865,8.71283287
AL,328,12,420,7.266674095,8.71283287
AL,328,11,420,6.872364694,8.71283287
AL,328,10,420,6.569271885,8.71283287
AL,328,9,420,6.055254164,8.71283287
AL,328,8,420,5.596166321,8.71283287
AL,328,7,420,5.088514391,8.71283287
AL,328,6,420,4.624363329,8.71283287
AL,328,5,420,4.078699424,8.71283287
AL,328,4,420,3.568252692,8.71283287
AL,328,3,420,3.031602437,8.71283287
AL,328,2,420,2.321358878,8.71283287
AL,328,1,420,1.300764082,8.71283287
AR,269,EDGE,140,2.013384084,2.013384084
AR,269,1,140,1.479151479,2.013384084
AR,270,EDGE,193,2.658253925,2.658253925
AR,270,3,193,2.393686921,2.658253925
AR,270,2,193,2.029971535,2.658253925
AR,270,1,193,1.423371579,2.658253925
AR,271,EDGE,220,3.50124235,3.50124235
AR,271,5,220,3.126439093,3.50124235
AR,271,4,220,2.860955042,3.50124235
AR,271,3,220,2.628110126,3.50124235
AR,271,2,220,2.308907826,3.50124235
AR,271,1,220,1.743792456,3.50124235
AR,272,EDGE,229,3.491605204,3.491605204
AR,272,6,229,3.303233414,3.491605204
AR,272,5,229,3.09813655,3.491605204
AR,272,4,229,2.827284417,3.491605204
AR,272,3,229,2.43469666,3.491605204
AR,272,2,229,2.051751528,3.491605204
AR,272,1,229,1.471649995,3.491605204
AR,273,EDGE,230,3.922668534,3.922668534
AR,273,6,230,3.723490955,3.922668534
AR,273,5,230,3.570620778,3.922668534
AR,273,4,230,3.210937036,3.922668534
AR,273,3,230,2.74863174,3.922668534
AR,273,2,230,2.12047109,3.922668534
AR,273,1,230,1.06778259,3.922668534
AR,274,EDGE,230,3.810008922,3.810008922
AR,274,6,230,3.625143428,3.810008922
AR,274,5,230,3.417599994,3.810008922
AR,274,4,230,3.101990638,3.810008922
AR,274,3,230,2.667451951,3.810008922
AR,274,2,230,1.988598199,3.810008922
AR,274,1,230,1.06995146,3.810008922
AR,275,EDGE,233,3.975724562,3.975724562
AR,275,8,233,3.737796484,3.975724562
AR,275,7,233,3.561736758,3.975724562
AR,275,6,233,3.335488896,3.975724562
AR,275,5,233,3.1495143,3.975724562
AR,275,4,233,2.797394846,3.975724562
AR,275,3,233,2.493740645,3.975724562
AR,275,2,233,1.963688796,3.975724562
AR,275,1,233,1.098557041,3.975724562
AR,276,EDGE,234,4.042230054,4.042230054
AR,276,8,234,3.752243751,4.042230054
AR,276,7,234,3.523040422,4.042230054
AR,276,6,234,3.295556449,4.042230054
AR,276,5,234,2.910275077,4.042230054
AR,276,4,234,2.515644928,4.042230054
AR,276,3,234,2.218462789,4.042230054
AR,276,2,234,1.810554281,4.042230054
AR,276,1,234,1.346271674,4.042230054
AR,277,EDGE,237,4.421411822,4.421411822
AR,277,8,237,4.057285459,4.421411822
AR,277,7,237,3.78865119,4.421411822
AR,277,6,237,3.580657846,4.421411822
AR,277,5,237,3.224421131,4.421411822
AR,277,4,237,2.838412583,4.421411822
AR,277,3,237,2.466563931,4.421411822
AR,277,2,237,1.57127181,4.421411822
AR,277,1,237,0.907343416,4.421411822
AR,278,EDGE,238,4.418797197,4.418797197
AR,278,8,238,4.196466983,4.418797197
AR,278,7,238,3.96402387,4.418797197
AR,278,6,238,3.506678814,4.418797197
AR,278,5,238,3.142603797,4.418797197
AR,278,4,238,2.697439123,4.418797197
AR,278,3,238,2.095169428,4.418797197
AR,278,2,238,1.638806502,4.418797197
AR,278,1,238,1.076709702,4.418797197
AR,279,EDGE,238,3.926782446,3.926782446
AR,279,8,238,3.770525494,3.926782446
AR,279,7,238,3.463260242,3.926782446
AR,279,6,238,3.291936486,3.926782446
AR,279,5,238,3.040559155,3.926782446
AR,279,4,238,2.824368078,3.926782446
AR,279,3,238,2.571212112,3.926782446
AR,279,2,238,1.994180348,3.926782446
AR,279,1,238,1.259130686,3.926782446
AR,280,EDGE,240,4.201559154,4.201559154
AR,280,8,240,3.855221319,4.201559154
AR,280,7,240,3.578361654,4.201559154
AR,280,6,240,3.408462425,4.201559154
AR,280,5,240,3.18790514,4.201559154
AR,280,4,240,2.92833176,4.201559154
AR,280,3,240,2.370407971,4.201559154
AR,280,2,240,1.925033364,4.201559154
AR,280,1,240,1.03737481,4.201559154
AR,281,EDGE,242,4.136123786,4.136123786
AR,281,8,242,3.884777989,4.136123786
AR,281,7,242,3.624766039,4.136123786
AR,281,6,242,3.429757076,4.136123786
AR,281,5,242,3.061904541,4.136123786
AR,281,4,242,2.692793432,4.136123786
AR,281,3,242,2.333874476,4.136123786
AR,281,2,242,2.001336498,4.136123786
AR,281,1,242,1.229201797,4.136123786
AR,282,EDGE,243,4.175101463,4.175101463
AR,282,6,243,3.893584506,4.175101463
AR,282,5,243,3.602705105,4.175101463
AR,282,4,243,3.197396757,4.175101463
AR,282,3,243,2.622409038,4.175101463
AR,282,2,243,2.188725613,4.175101463
AR,282,1,243,1.453510991,4.175101463
AR,283,EDGE,244,4.920116842,4.920116842
AR,283,9,244,4.569476717,4.920116842
AR,283,8,244,4.329886552,4.920116842
AR,283,7,244,4.061680174,4.920116842
AR,283,6,244,3.848251619,4.920116842
AR,283,5,244,3.538331803,4.920116842
AR,283,4,244,3.123970788,4.920116842
AR,283,3,244,2.599899948,4.920116842
AR,283,2,244,2.084154514,4.920116842
AR,283,1,244,1.480487399,4.920116842
AR,284,EDGE,246,3.520569093,3.520569093
AR,284,6,246,3.311531537,3.520569093
AR,284,5,246,3.038187004,3.520569093
AR,284,4,246,2.708762747,3.520569093
AR,284,3,246,2.308314694,3.520569093
AR,284,2,246,1.917768647,3.520569093
AR,284,1,246,1.041829894,3.520569093
AR,285,EDGE,249,4.345026368,4.345026368
AR,285,8,249,4.00046417,4.345026368
AR,285,7,249,3.768523642,4.345026368
AR,285,6,249,3.479956373,4.345026368
AR,285,5,249,3.237799097,4.345026368
AR,285,4,249,2.9864533,4.345026368
AR,285,3,249,2.648382888,4.345026368
AR,285,2,249,2.186952122,4.345026368
AR,285,1,249,1.44026266,4.345026368
AR,286,EDGE,251,4.047510317,4.047510317
AR,286,8,251,3.874632054,4.047510317
AR,286,7,251,3.701753792,4.047510317
AR,286,6,251,3.557470158,4.047510317
AR,286,5,251,3.334824654,4.047510317
AR,286,4,251,3.096961288,4.047510317
AR,286,3,251,2.794105141,4.047510317
AR,286,2,251,2.341810288,4.047510317
AR,286,1,251,1.458607071,4.047510317
AR,287,EDGE,253,4.631277555,4.631277555
AR,287,8,253,4.41331,4.631277555
AR,287,7,253,4.190433177,4.631277555
AR,287,6,253,3.936639149,4.631277555
AR,287,5,253,3.623905584,4.631277555
AR,287,4,253,3.319183602,4.631277555
AR,287,3,253,2.817620847,4.631277555
AR,287,2,253,2.314929254,4.631277555
AR,287,1,253,1.301683813,4.631277555
AR,288,EDGE,256,4.2017963,4.2017963
AR,288,7,256,3.840302364,4.2017963
AR,288,6,256,3.608806593,4.2017963
AR,288,5,256,3.312312596,4.2017963
AR,288,4,256,3.035223442,4.2017963
AR,288,3,256,2.646528961,4.2017963
AR,288,2,256,2.127894174,4.2017963
AR,288,1,256,1.392679552,4.2017963
AR,289,EDGE,258,4.626093352,4.626093352
AR,289,9,258,4.375363348,4.626093352
AR,289,8,258,4.20640437,4.626093352
AR,289,7,258,3.990574969,4.626093352
AR,289,6,258,3.683662532,4.626093352
AR,289,5,258,3.288264794,4.626093352
AR,289,4,258,2.93630454,4.626093352
AR,289,3,258,2.655520701,4.626093352
AR,289,2,258,2.17024953,4.626093352
AR,289,1,258,1.39378911,4.626093352
AR,290,EDGE,264,4.565284682,4.565284682
AR,290,8,264,4.29546863,4.565284682
AR,290,7,264,3.981251142,4.565284682
AR,290,6,264,3.655247467,4.565284682
AR,290,5,264,3.297979564,4.565284682
AR,290,4,264,2.743773317,4.565284682
AR,290,3,264,2.26854538,4.565284682
AR,290,2,264,1.611827988,4.565284682
AR,290,1,264,1.071605371,4.565284682
AR,291,EDGE,266,4.814216289,4.814216289
AR,291,10,266,4.628964032,4.814216289
AR,291,9,266,4.411706857,4.814216289
AR,291,8,266,4.198278302,4.814216289
AR,291,7,266,3.99524308,4.814216289
AR,291,6,266,3.793736375,4.814216289
AR,291,5,266,3.498636012,4.814216289
AR,291,4,266,3.195779865,4.814216289
AR,291,3,266,2.845728064,4.814216289
AR,291,2,266,2.354651376,4.814216289
AR,291,1,266,1.526178099,4.814216289
AR,292,EDGE,267,4.555577214,4.555577214
AR,292,8,267,4.282232681,4.555577214
AR,292,7,267,3.938718925,4.555577214
AR,292,6,267,3.642224927,4.555577214
AR,292,5,267,3.290411109,4.555577214
AR,292,4,267,2.985858276,4.555577214
AR,292,3,267,2.690757913,4.555577214
AR,292,2,267,2.324027738,4.555577214
AR,292,1,267,1.095496857,4.555577214
AR,293,EDGE,272,6.414541536,6.414541536
AR,293,10,272,6.186409079,6.414541536
AR,293,9,272,5.972257443,6.414541536
AR,293,8,272,5.713437303,6.414541536
AR,293,7,272,5.483729171,6.414541536
AR,293,6,272,5.199298637,6.414541536
AR,293,5,272,4.754354926,6.414541536
AR,293,4,272,4.096367294,6.414541536
AR,293,3,272,3.313101194,6.414541536
AR,293,2,272,2.510341417,6.414541536
AR,293,1,272,1.825341979,6.414541536
AR,294,EDGE,310,5.477850668,5.477850668
AR,294,11,310,5.294926625,5.477850668
AR,294,10,310,5.04618272,5.477850668
AR,294,9,310,4.823699407,5.477850668
AR,294,8,310,4.610069081,5.477850668
AR,294,7,310,4.391627174,5.477850668
AR,294,6,310,4.090821837,5.477850668
AR,294,5,310,3.786255265,5.477850668
AR,294,4,310,3.394154068,5.477850668
AR,294,3,310,2.938524756,5.477850668
AR,294,2,310,2.264506796,5.477850668
AR,294,1,310,1.119203847,5.477850668
AR,295,EDGE,327,6.709544241,6.709544241
AR,295,14,327,6.502503226,6.709544241
AR,295,13,327,6.33335737,6.709544241
AR,295,12,327,6.060146413,6.709544241
AR,295,11,327,5.811402507,6.709544241
AR,295,10,327,5.607250578,6.709544241
AR,295,9,327,5.313269376,6.709544241
AR,295,8,327,5.056496258,6.709544241
AR,295,7,327,4.70825479,6.709544241
AR,295,6,327,4.352003494,6.709544241
AR,295,5,327,3.942972901,6.709544241
AR,295,4,327,3.610436627,6.709544241
AR,295,3,327,3.223417967,6.709544241
AR,295,2,327,2.301896491,6.709544241
AR,295,1,327,1.233930241,6.709544241
AR,296,EDGE,342,5.9977522,5.9977522
AR,296,13,342,5.820601827,5.9977522
AR,296,12,342,5.615723807,5.9977522
AR,296,11,342,5.303295125,5.9977522
AR,296,10,342,4.935019713,5.9977522
AR,296,9,342,4.636527026,5.9977522
AR,296,8,342,4.325686705,5.9977522
AR,296,7,342,3.994492812,5.9977522
AR,296,6,342,3.731623341,5.9977522
AR,296,5,342,3.265362859,5.9977522
AR,296,4,342,2.761842275,5.9977522
AR,296,3,342,2.275524084,5.9977522
AR,296,2,342,1.825029711,5.9977522
AR,296,1,342,0.760359303,5.9977522
AR,297,EDGE,221,5.232478948,5.232478948
AR,297,6,221,4.844949036,5.232478948
AR,297,5,221,4.60907475,5.232478948
AR,297,4,221,4.40419673,5.232478948
AR,297,3,221,4.007951514,5.232478948
AR,297,2,221,3.420325954,5.232478948
AR,297,1,221,2.32775392,5.232478948
AR,298,EDGE,240,6.37294771,6.37294771
AR,298,8,240,6.02584522,6.37294771
AR,298,7,240,5.740927561,6.37294771
AR,298,6,240,5.482808562,6.37294771
AR,298,5,240,5.066104979,6.37294771
AR,298,4,240,4.403717193,6.37294771
AR,298,3,240,3.87835499,6.37294771
AR,298,2,240,3.265899202,6.37294771
AR,298,1,240,1.695696526,6.37294771
BO,389,EDGE,104,1.495554149,1.495554149
BO,389,1,104,0.736413655,1.495554149
BO,390,EDGE,105,1.58589275,1.58589275
BO,390,1,105,0.698108755,1.58589275
BO,391,EDGE,107,1.434064437,1.434064437
BO,391,1,107,0.695059121,1.434064437
BO,392,EDGE,124,2.110308547,2.110308547
BO,392,2,124,1.355166202,2.110308547
BO,392,1,124,0.792120664,2.110308547
