"pop","year","age.cat","sex","color","lat","long","habitat","human","pop.density","pack.size","standard.habitat","standard.human","standard.pop","standard.packsize","standard.latitude","standard.longitude","cav.binary","cdv.binary","cpv.binary","chv.binary","neo.binary","toxo.binary"
"AK.PEN",2010,"A","F","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,0,1,1,0,1
"AK.PEN",2010,"S","F","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,0,0,1,0,1
"AK.PEN",2010,"S","M","B",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,0,0,1,0,1
"AK.PEN",2010,"S","F","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,0,0,1,0,1
"AK.PEN",2010,"A","F","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,0,0,1,0,1
"AK.PEN",2010,"A","F","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,0,1,1,0,1
"AK.PEN",2010,"P","F","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,0,0,1,0,0
"AK.PEN",2010,"S","F","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,0,0,1,0,1
"AK.PEN",2010,"A","F","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,0,0,1,0,1
"AK.PEN",2010,"P","M","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,0,0,0,0,0,0
"AK.PEN",2010,"S","M","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,0,0,1,0,1
"AK.PEN",2010,"A","F","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,0,0,1,0,1
"AK.PEN",2010,"A","M","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,0,1,1,0,1
"AK.PEN",2010,"A","F","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,0,0,1,0,1
"AK.PEN",2010,"A","F","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,0,0,1,0,1
"AK.PEN",2010,"A","M","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,0,0,1,0,0
"AK.PEN",2011,"S","M","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,1,1,0,1,0,1
"AK.PEN",2011,"P","F","G",57.039835,-157.842737,254.08,10.42,8,8.78,-1.6339,-0.9784,-0.6827,1.3157,0.7214,-2.1441,0,1,0,0,0,0
"BAN.JAS",2001,"A","F","B",52.19775,-117.0543,18553.18,1144.68,8.85,9.56,0.7667,-0.4298,-0.5925,1.7742,0.1928,-0.0102,NA,1,1,NA,NA,NA
"BAN.JAS",2003,"A","F","B",52.19775,-117.0543,18553.18,1144.68,8.85,9.56,0.7667,-0.4298,-0.5925,1.7742,0.1928,-0.0102,NA,1,1,NA,NA,NA
"BAN.JAS",2001,"A","F","B",52.19775,-117.0543,18553.18,1144.68,8.85,9.56,0.7667,-0.4298,-0.5925,1.7742,0.1928,-0.0102,NA,1,1,NA,NA,NA
"BAN.JAS",2003,"A","F","B",52.19775,-117.0543,18553.18,1144.68,8.85,9.56,0.7667,-0.4298,-0.5925,1.7742,0.1928,-0.0102,NA,1,1,NA,NA,NA
"BAN.JAS",2005,"S","M","B",52.19775,-117.0543,18553.18,1144.68,8.85,9.56,0.7667,-0.4298,-0.5925,1.7742,0.1928,-0.0102,NA,0,1,NA,NA,NA
"BAN.JAS",2001,"A","F","G",52.19775,-117.0543,18553.18,1144.68,8.85,9.56,0.7667,-0.4298,-0.5925,1.7742,0.1928,-0.0102,NA,1,1,NA,NA,NA
"BAN.JAS",2001,"S","F","G",52.19775,-117.0543,18553.18,1144.68,8.85,9.56,0.7667,-0.4298,-0.5925,1.7742,0.1928,-0.0102,NA,0,1,NA,NA,NA
"BAN.JAS",2006,"A","F",NA,52.19775,-117.0543,18553.18,1144.68,8.85,9.56,0.7667,-0.4298,-0.5925,1.7742,0.1928,-0.0102,NA,1,1,NA,NA,NA
"BAN.JAS",2001,"A","M","G",52.19775,-117.0543,18553.18,1144.68,8.85,9.56,0.7667,-0.4298,-0.5925,1.7742,0.1928,-0.0102,NA,0,1,NA,NA,NA
"BAN.JAS",2003,"A","M","G",52.19775,-117.0543,18553.18,1144.68,8.85,9.56,0.7667,-0.4298,-0.5925,1.7742,0.1928,-0.0102,NA,0,1,NA,NA,NA
"BAN.JAS",2003,"A","M","G",52.19775,-117.0543,18553.18,1144.68,8.85,9.56,0.7667,-0.4298,-0.5925,1.7742,0.1928,-0.0102,NA,0,1,NA,NA,NA
"BAN.JAS",2001,"S","M","G",52.19775,-117.0543,18553.18,1144.68,8.85,9.56,0.7667,-0.4298,-0.5925,1.7742,0.1928,-0.0102,NA,0,1,NA,NA,NA
"BAN.JAS",2001,"S","F","G",52.19775,-117.0543,18553.18,1144.68,8.85,9.56,0.7667,-0.4298,-0.5925,1.7742,0.1928,-0.0102,NA,0,1,NA,NA,NA
"BAN.JAS",2003,"S","F","G",52.19775,-117.0543,18553.18,1144.68,8.85,9.56,0.7667,-0.4298,-0.5925,1.7742,0.1928,-0.0102,NA,0,1,NA,NA,NA
"BAN.JAS",2006,"A","M",NA,52.19775,-117.0543,18553.18,1144.68,8.85,9.56,0.7667,-0.4298,-0.5925,1.7742,0.1928,-0.0102,NA,0,1,NA,NA,NA
"BAN.JAS",2002,"A","M","G",52.19775,-117.0543,18553.18,1144.68,8.85,9.56,0.7667,-0.4298,-0.5925,1.7742,0.1928,-0.0102,NA,0,1,NA,NA,NA
"BAN.JAS",2003,"A","M","G",52.19775,-117.0543,18553.18,1144.68,8.85,9.56,0.7667,-0.4298,-0.5925,1.7742,0.1928,-0.0102,NA,0,1,NA,NA,NA
"BAN.JAS",2003,"S","F","B",52.19775,-117.0543,18553.18,1144.68,8.85,9.56,0.7667,-0.4298,-0.5925,1.7742,0.1928,-0.0102,NA,0,1,NA,NA,NA
"BAN.JAS",2004,"A","F","B",52.19775,-117.0543,18553.18,1144.68,8.85,9.56,0.7667,-0.4298,-0.5925,1.7742,0.1928,-0.0102,NA,0,1,NA,NA,NA
"BAN.JAS",2004,"S","F","G",52.19775,-117.0543,18553.18,1144.68,8.85,9.56,0.7667,-0.4298,-0.5925,1.7742,0.1928,-0.0102,NA,0,1,NA,NA,NA
"BAN.JAS",2006,"A","F","G",52.19775,-117.0543,18553.18,1144.68,8.85,9.56,0.7667,-0.4298,-0.5925,1.7742,0.1928,-0.0102,NA,0,1,NA,NA,NA
"BAN.JAS",2006,"S","F","G",52.19775,-117.0543,18553.18,1144.68,8.85,9.56,0.7667,-0.4298,-0.5925,1.7742,0.1928,-0.0102,NA,0,1,NA,NA,NA
"BAN.JAS",2006,"A","F","B",52.19775,-117.0543,18553.18,1144.68,8.85,9.56,0.7667,-0.4298,-0.5925,1.7742,0.1928,-0.0102,NA,0,1,NA,NA,NA
"BAN.JAS",2006,"A","F","B",52.19775,-117.0543,18553.18,1144.68,8.85,9.56,0.7667,-0.4298,-0.5925,1.7742,0.1928,-0.0102,NA,0,1,NA,NA,NA
"BAN.JAS",2006,"A","M","G",52.19775,-117.0543,18553.18,1144.68,8.85,9.56,0.7667,-0.4298,-0.5925,1.7742,0.1928,-0.0102,NA,0,1,NA,NA,NA
"BAN.JAS",2006,"S","M","B",52.19775,-117.0543,18553.18,1144.68,8.85,9.56,0.7667,-0.4298,-0.5925,1.7742,0.1928,-0.0102,NA,0,1,NA,NA,NA
"BAN.JAS",2006,"S","F","B",52.19775,-117.0543,18553.18,1144.68,8.85,9.56,0.7667,-0.4298,-0.5925,1.7742,0.1928,-0.0102,NA,0,0,NA,NA,NA
"BAN.JAS",2006,"S","M","B",52.19775,-117.0543,18553.18,1144.68,8.85,9.56,0.7667,-0.4298,-0.5925,1.7742,0.1928,-0.0102,NA,0,1,NA,NA,NA
"BAN.JAS",2007,"A","F",NA,52.19775,-117.0543,18553.18,1144.68,8.85,9.56,0.7667,-0.4298,-0.5925,1.7742,0.1928,-0.0102,NA,0,1,NA,NA,NA
"BAN.JAS",2008,"A","F",NA,52.19775,-117.0543,18553.18,1144.68,8.85,9.56,0.7667,-0.4298,-0.5925,1.7742,0.1928,-0.0102,NA,1,1,NA,NA,NA
"BAN.JAS",2008,"A","F",NA,52.19775,-117.0543,18553.18,1144.68,8.85,9.56,0.7667,-0.4298,-0.5925,1.7742,0.1928,-0.0102,NA,0,1,NA,NA,NA
"BAN.JAS",2004,NA,NA,NA,52.19775,-117.0543,18553.18,1144.68,8.85,9.56,0.7667,-0.4298,-0.5925,1.7742,0.1928,-0.0102,NA,0,1,NA,NA,NA
"BAN.JAS",2000,"A","F","B",52.19775,-117.0543,18553.18,1144.68,8.85,9.56,0.7667,-0.4298,-0.5925,1.7742,0.1928,-0.0102,NA,1,1,NA,NA,NA
"BAN.JAS",2004,NA,NA,NA,52.19775,-117.0543,18553.18,1144.68,8.85,9.56,0.7667,-0.4298,-0.5925,1.7742,0.1928,-0.0102,NA,0,0,NA,NA,NA
"BAN.JAS",2000,"S","F","G",52.19775,-117.0543,18553.18,1144.68,8.85,9.56,0.7667,-0.4298,-0.5925,1.7742,0.1928,-0.0102,NA,0,1,NA,NA,NA
"BAN.JAS",2004,NA,NA,NA,52.19775,-117.0543,18553.18,1144.68,8.85,9.56,0.7667,-0.4298,-0.5925,1.7742,0.1928,-0.0102,NA,0,1,NA,NA,NA
"BAN.JAS",2000,"A","F","G",52.19775,-117.0543,18553.18,1144.68,8.85,9.56,0.7667,-0.4298,-0.5925,1.7742,0.1928,-0.0102,NA,0,1,NA,NA,NA
"BAN.JAS",2004,NA,NA,NA,52.19775,-117.0543,18553.18,1144.68,8.85,9.56,0.7667,-0.4298,-0.5925,1.7742,0.1928,-0.0102,NA,0,1,NA,NA,NA
"BAN.JAS",2004,NA,NA,NA,52.19775,-117.0543,18553.18,1144.68,8.85,9.56,0.7667,-0.4298,-0.5925,1.7742,0.1928,-0.0102,NA,1,1,NA,NA,NA
"BAN.JAS",2005,"A","M",NA,52.19775,-117.0543,18553.18,1144.68,8.85,9.56,0.7667,-0.4298,-0.5925,1.7742,0.1928,-0.0102,NA,0,1,NA,NA,NA
"BAN.JAS",2006,"A","M",NA,52.19775,-117.0543,18553.18,1144.68,8.85,9.56,0.7667,-0.4298,-0.5925,1.7742,0.1928,-0.0102,NA,0,1,NA,NA,NA
"BAN.JAS",2005,"A","F",NA,52.19775,-117.0543,18553.18,1144.68,8.85,9.56,0.7667,-0.4298,-0.5925,1.7742,0.1928,-0.0102,NA,0,1,NA,NA,NA
"BAN.JAS",2006,"A","F",NA,52.19775,-117.0543,18553.18,1144.68,8.85,9.56,0.7667,-0.4298,-0.5925,1.7742,0.1928,-0.0102,NA,1,1,NA,NA,NA
"BAN.JAS",2007,"A","F",NA,52.19775,-117.0543,18553.18,1144.68,8.85,9.56,0.7667,-0.4298,-0.5925,1.7742,0.1928,-0.0102,NA,0,1,NA,NA,NA
"BAN.JAS",2007,"A","F",NA,52.19775,-117.0543,18553.18,1144.68,8.85,9.56,0.7667,-0.4298,-0.5925,1.7742,0.1928,-0.0102,NA,0,1,NA,NA,NA
"BAN.JAS",1999,"A","F","B",52.19775,-117.0543,18553.18,1144.68,8.85,9.56,0.7667,-0.4298,-0.5925,1.7742,0.1928,-0.0102,NA,1,1,NA,NA,NA
"BAN.JAS",1999,"S","F","B",52.19775,-117.0543,18553.18,1144.68,8.85,9.56,0.7667,-0.4298,-0.5925,1.7742,0.1928,-0.0102,NA,0,0,NA,NA,NA
"BAN.JAS",1999,"S","M","B",52.19775,-117.0543,18553.18,1144.68,8.85,9.56,0.7667,-0.4298,-0.5925,1.7742,0.1928,-0.0102,NA,0,0,NA,NA,NA
