Name,Variation,DIY,Buy,Sell,Color 1,Color 2,Size,Source,Source Notes,Seasonal Availability,Mannequin Piece,Version,Style,Label Themes,Villager Equippable,Catalog,Filename,Internal ID,Unique Entry ID
athletic pants,Blue,No,880,220,Blue,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Active,outdoorsy; comfy; sporty,No,For sale,BottomsTexPantsNormalJersey3,11297,R6apb74ivZCDbvEvi
athletic pants,Berry red,No,880,220,Red,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Active,outdoorsy; comfy; sporty,No,For sale,BottomsTexPantsNormalJersey4,11298,HSgcZgAkXCBroWboG
athletic pants,Navy blue,No,880,220,Blue,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Active,outdoorsy; comfy; sporty,No,For sale,BottomsTexPantsNormalJersey5,11299,zauG7p57gDAPSqPH4
athletic shorts,Red,No,560,140,Red,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Active,outdoorsy; comfy; sporty,No,For sale,BottomsTexPantsHalfJersey0,4518,Pz4KvZgNanynj88ut
athletic shorts,Green,No,560,140,Green,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Active,outdoorsy; comfy; sporty,No,For sale,BottomsTexPantsHalfJersey1,11905,Cgi5fvfgm5YEdCpNu
athletic shorts,Black,No,560,140,Black,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Yes,1.0.0,Active,outdoorsy; comfy; sporty,No,For sale,BottomsTexPantsHalfJersey2,11906,XZyRpyaiPbfw5nwTD
athletic shorts,Blue,No,560,140,Blue,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Active,outdoorsy; comfy; sporty,No,For sale,BottomsTexPantsHalfJersey3,11907,omNsW8d3EgoAs3tLL
athletic shorts,Berry red,No,560,140,Red,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Active,outdoorsy; comfy; sporty,No,For sale,BottomsTexPantsHalfJersey4,11908,QWxKgGJSnKgHEyz5Y
athletic shorts,Navy blue,No,560,140,Blue,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Active,outdoorsy; comfy; sporty,No,For sale,BottomsTexPantsHalfJersey5,11909,wkX3PL2R5dYC8PNJ2
basketball shorts,Purple,No,980,245,Purple,Yellow,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Active,sporty; work,No,For sale,BottomsTexPantsHalfBasketball0,5720,yTsGx7eQh4JWNdXB2
basketball shorts,Red,No,980,245,Red,Black,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Active,sporty; work,No,For sale,BottomsTexPantsHalfBasketball1,11307,TpYJQMq2Z8tEkK2Wd
basketball shorts,Green,No,980,245,Green,Orange,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Active,sporty; work,No,For sale,BottomsTexPantsHalfBasketball2,11308,KCggjKmE8js3MG6bq
basketball shorts,Orange,No,980,245,Orange,Blue,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Active,sporty; work,No,For sale,BottomsTexPantsHalfBasketball3,11309,iHFbTwYkKaqut6RnX
basketball shorts,Blue,No,980,245,Blue,Red,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Active,sporty; work,No,For sale,BottomsTexPantsHalfBasketball4,11310,4iB4fmJjkKNNzWJBS
basketball shorts,Yellow,No,980,245,Yellow,Green,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Active,sporty; work,No,For sale,BottomsTexPantsHalfBasketball5,11311,zjahPrxJ4ZBRcnq74
basketball shorts,Light blue,No,980,245,Light blue,Blue,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Active,sporty; work,No,For sale,BottomsTexPantsHalfBasketball6,11312,iDr7MMuWGDqgsh5Be
basketball shorts,Black,No,980,245,Black,Red,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Active,sporty; work,No,For sale,BottomsTexPantsHalfBasketball7,11313,gRj6pG26jHFQZB8TA
bell-bottoms,Orange,No,1320,330,Orange,Orange,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Gorgeous,everyday,No,For sale,BottomsTexPantsWideBellbottoms0,4364,sAGeX7YksW4qTsRz9
bell-bottoms,Brown,No,1320,330,Brown,Brown,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Gorgeous,everyday,No,For sale,BottomsTexPantsWideBellbottoms1,9270,AhZR3qCS8owvTgWS9
bell-bottoms,Beige,No,1320,330,Beige,Beige,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Gorgeous,everyday,No,For sale,BottomsTexPantsWideBellbottoms2,9271,h5fKoKik2BmT6JPAb
bell-bottoms,Green,No,1320,330,Green,Green,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Yes,1.0.0,Gorgeous,everyday,No,For sale,BottomsTexPantsWideBellbottoms3,9272,tn3suswYrh2ZcD649
bell-bottoms,Blue,No,1320,330,Blue,Blue,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Gorgeous,everyday,No,For sale,BottomsTexPantsWideBellbottoms4,9273,mRdLrYzxuYuP7yqB9
belted wraparound skirt,Yellow,No,1040,260,Yellow,Black,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,everyday; comfy,No,For sale,BottomsTexSkirtLongWrap0,4545,6j99icX2C8n2NQSxe
belted wraparound skirt,Red,No,1040,260,Red,Black,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,everyday; comfy,No,For sale,BottomsTexSkirtLongWrap1,8721,TuKyTJdQckfqf2nae
belted wraparound skirt,Green,No,1040,260,Green,Black,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,everyday; comfy,No,For sale,BottomsTexSkirtLongWrap2,8722,FCtNFz4XG85wdDcbu
belted wraparound skirt,Blue,No,1040,260,Blue,Black,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,everyday; comfy,No,For sale,BottomsTexSkirtLongWrap3,8723,Z3y37JrC5nnCjyFgC
boa shorts,Purple,No,1200,300,Purple,Black,1x1,Able Sisters,Available from Able Sisters shop only,Winter,No,1.0.0,Active,everyday; outdoorsy,No,For sale,BottomsTexPantsHalfBoa0,5419,hHHSAxKeTKy94FrLh
boa shorts,Avocado,No,1200,300,Green,Black,1x1,Able Sisters,Available from Able Sisters shop only,Winter,No,1.0.0,Active,everyday; outdoorsy,No,For sale,BottomsTexPantsHalfBoa1,9114,diDTCzmh2EfcQ8Est
boa shorts,Beige,No,1200,300,Beige,Black,1x1,Able Sisters,Available from Able Sisters shop only,Winter,No,1.0.0,Active,everyday; outdoorsy,No,For sale,BottomsTexPantsHalfBoa2,9115,rxrscQDTFaB6T3CS3
boa shorts,Blue,No,1200,300,Blue,Black,1x1,Able Sisters,Available from Able Sisters shop only,Winter,No,1.0.0,Active,everyday; outdoorsy,No,For sale,BottomsTexPantsHalfBoa3,9116,uNMeoCpWFsgQnhyGJ
boa shorts,Red,No,1200,300,Red,Black,1x1,Able Sisters,Available from Able Sisters shop only,Winter,No,1.0.0,Active,everyday; outdoorsy,No,For sale,BottomsTexPantsHalfBoa4,9117,Ydd3mZGaYrNupaAop
boa shorts,Orange,No,1200,300,Orange,Black,1x1,Able Sisters,Available from Able Sisters shop only,Winter,Yes,1.0.0,Active,everyday; outdoorsy,No,For sale,BottomsTexPantsHalfBoa5,9118,nmpe6DS922LwufDP5
boa shorts,Peacock blue,No,1200,300,Light blue,Black,1x1,Able Sisters,Available from Able Sisters shop only,Winter,No,1.0.0,Active,everyday; outdoorsy,No,For sale,BottomsTexPantsHalfBoa6,9119,y3bqMB4hjKdxHjeRQ
boa shorts,Black,No,1200,300,Black,Black,1x1,Able Sisters,Available from Able Sisters shop only,Winter,No,1.0.0,Active,everyday; outdoorsy,No,For sale,BottomsTexPantsHalfBoa7,9120,3Z3cYyfhRkhmDKKKP
boa skirt,Green,No,1300,325,Green,Black,1x1,Able Sisters,Available from Able Sisters shop only,Winter,No,1.0.0,Active,everyday; outdoorsy,No,For sale,BottomsTexSkirtBoxBoa0,5418,nFzxYepHxpSzdLHrw
boa skirt,Blue,No,1300,325,Blue,Black,1x1,Able Sisters,Available from Able Sisters shop only,Winter,No,1.0.0,Active,everyday; outdoorsy,No,For sale,BottomsTexSkirtBoxBoa1,9107,MYjHWe4KXX2bDwP6k
boa skirt,Purple,No,1300,325,Purple,Black,1x1,Able Sisters,Available from Able Sisters shop only,Winter,No,1.0.0,Active,everyday; outdoorsy,No,For sale,BottomsTexSkirtBoxBoa2,9108,eSPxEhawpKLm2ceMk
boa skirt,Red,No,1300,325,Red,Black,1x1,Able Sisters,Available from Able Sisters shop only,Winter,No,1.0.0,Active,everyday; outdoorsy,No,For sale,BottomsTexSkirtBoxBoa3,9109,ef7PeMEWM8geRb2JX
boa skirt,Yellow,No,1300,325,Yellow,Black,1x1,Able Sisters,Available from Able Sisters shop only,Winter,No,1.0.0,Active,everyday; outdoorsy,No,For sale,BottomsTexSkirtBoxBoa4,9110,sBZFNvhEg4Bsi8WLM
boa skirt,Light blue,No,1300,325,Light blue,Black,1x1,Able Sisters,Available from Able Sisters shop only,Winter,No,1.0.0,Active,everyday; outdoorsy,No,For sale,BottomsTexSkirtBoxBoa5,9111,JzeKHWEDDS5k9KpBy
boa skirt,Beige,No,1300,325,Beige,Black,1x1,Able Sisters,Available from Able Sisters shop only,Winter,No,1.0.0,Active,everyday; outdoorsy,No,For sale,BottomsTexSkirtBoxBoa6,9112,GtiB2HMiy56rLvCYA
boa skirt,Brown,No,1300,325,Brown,Black,1x1,Able Sisters,Available from Able Sisters shop only,Winter,Yes,1.0.0,Active,everyday; outdoorsy,No,For sale,BottomsTexSkirtBoxBoa7,9113,uDTLrmXkDEqToQbJ3
bomber-style skirt,Avocado,No,1320,330,Green,Green,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Cool,everyday; outdoorsy,No,For sale,BottomsTexSkirtLongMaone0,5722,jhqr7bGfmAXM6uK3x
bomber-style skirt,Black,No,1320,330,Black,Black,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Cool,everyday; outdoorsy,No,For sale,BottomsTexSkirtLongMaone1,11663,Bp7H3PBvjLpJycCqv
bomber-style skirt,Blue,No,1320,330,Blue,Blue,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Cool,everyday; outdoorsy,No,For sale,BottomsTexSkirtLongMaone2,11664,EQerBX3MAFt27siGH
bomber-style skirt,Brown,No,1320,330,Brown,Brown,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Cool,everyday; outdoorsy,No,For sale,BottomsTexSkirtLongMaone3,11665,xy5EjisA8WfpzSGcW
botanical shorts,Black,No,700,175,Black,Red,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Summer,No,1.0.0,Cool,comfy; vacation,No,For sale,BottomsTexPantsHalfBotanical0,5854,kFwQPwqhakmXTPHC2
botanical shorts,White,No,700,175,White,Red,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Summer,No,1.0.0,Cool,comfy; vacation,No,For sale,BottomsTexPantsHalfBotanical1,9193,iDnWPtRoBpziJEEwt
box-pleated skirt,Light blue,No,1320,330,Light blue,Light blue,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Simple,everyday; vacation,No,For sale,BottomsTexSkirtBoxBoxpleats0,5703,Rwte5DmWEbaQdQgqu
box-pleated skirt,Beige,No,1320,330,Beige,Beige,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Simple,everyday; vacation,No,For sale,BottomsTexSkirtBoxBoxpleats1,11786,MXmzA39FLKtQzzCpv
box-pleated skirt,Red,No,1320,330,Red,Red,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Simple,everyday; vacation,No,For sale,BottomsTexSkirtBoxBoxpleats2,11787,KxYmNHwegBmRL9uxJ
box-pleated skirt,Green,No,1320,330,Green,Green,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Simple,everyday; vacation,No,For sale,BottomsTexSkirtBoxBoxpleats3,11788,LrqFHr8zsLgjDoBtZ
buttoned lace skirt,Yellow,No,1200,300,Yellow,Yellow,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Summer,No,1.0.0,Simple,everyday; fairy tale; comfy; vacation,No,For sale,BottomsTexSkirtLongLace0,5421,n4JbiQzu22rdtdy9a
buttoned lace skirt,White,No,1200,300,White,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Summer,Yes,1.0.0,Simple,everyday; fairy tale; comfy; vacation,No,For sale,BottomsTexSkirtLongLace1,8727,hYFNGFXqrvmujTJJm
buttoned lace skirt,Pink,No,1200,300,Pink,Pink,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Summer,No,1.0.0,Simple,everyday; fairy tale; comfy; vacation,No,For sale,BottomsTexSkirtLongLace2,8728,sJnpKrkWcAxGxoaix
buttoned lace skirt,Green,No,1200,300,Green,Green,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Summer,No,1.0.0,Simple,everyday; fairy tale; comfy; vacation,No,For sale,BottomsTexSkirtLongLace3,8729,MYzQEa7dvMqmrWLN7
buttoned lace skirt,Purple,No,1200,300,Purple,Purple,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Summer,No,1.0.0,Simple,everyday; fairy tale; comfy; vacation,No,For sale,BottomsTexSkirtLongLace4,8730,tkit3npe9HwdDufJQ
buttoned wraparound skirt,Gray,No,1820,455,Gray,Black,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Yes,1.0.0,Elegant,everyday; formal,No,For sale,BottomsTexSkirtLongWrapbicolor0,5816,MeqvzbNAieKTjMAgF
buttoned wraparound skirt,Blue,No,1820,455,Blue,Black,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,everyday; formal,No,For sale,BottomsTexSkirtLongWrapbicolor1,8731,YYgfpmdbXNoCFzBmw
buttoned wraparound skirt,Orange,No,1820,455,Orange,Black,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,everyday; formal,No,For sale,BottomsTexSkirtLongWrapbicolor2,8732,ypymB5aMKxZStb8ch
buttoned wraparound skirt,Pink,No,1820,455,Pink,Black,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,everyday; formal,No,For sale,BottomsTexSkirtLongWrapbicolor3,8733,rEFFT7saJTdTb6kG8
buttoned wraparound skirt,Green,No,1820,455,Green,Black,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,everyday; formal,No,For sale,BottomsTexSkirtLongWrapbicolor4,8734,JCkkAtMCEr6kaRwaH
buttoned wraparound skirt,Purple,No,1820,455,Purple,Black,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,everyday; formal,No,For sale,BottomsTexSkirtLongWrapbicolor5,8735,BEqJbSTipj8WRGE55
camo pants,Brown,No,1300,325,Brown,Beige,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Cool,everyday; outdoorsy,No,For sale,BottomsTexPantsNormalCamouflage0,3342,aNFpYieN49dxPKyYy
camo pants,Avocado,No,1300,325,Green,Beige,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Cool,everyday; outdoorsy,No,For sale,BottomsTexPantsNormalCamouflage1,10185,qtsT4H3FaWL6rb8Pp
camo pants,Pink,No,1300,325,Pink,Brown,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Cool,everyday; outdoorsy,No,For sale,BottomsTexPantsNormalCamouflage2,10186,nXT2XiJEx3CHegAip
camo pants,Blue,No,1300,325,Blue,Light blue,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Cool,everyday; outdoorsy,No,For sale,BottomsTexPantsNormalCamouflage3,10187,26N6fryHPqE2DNxTR
camo pants,Gray,No,1300,325,Gray,Black,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Yes,1.0.0,Cool,everyday; outdoorsy,No,For sale,BottomsTexPantsNormalCamouflage4,10188,EAtqzquCLivjkZhWr
camo pants,Purple,No,1300,325,Purple,Purple,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Cool,everyday; outdoorsy,No,For sale,BottomsTexPantsNormalCamouflage5,10189,H86rkRrvcpRorAzTf
camo pants,Red,No,1300,325,Red,Beige,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Cool,everyday; outdoorsy,No,For sale,BottomsTexPantsNormalCamouflage6,10190,5dYWfib2BWXgC3Rc4
camo skirt,Brown,No,1300,325,Brown,Beige,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Cool,everyday; outdoorsy,No,For sale,BottomsTexSkirtBoxCamo0,4434,q5c559aFcRKoBNr4w
camo skirt,Avocado,No,1300,325,Green,Beige,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Cool,everyday; outdoorsy,No,For sale,BottomsTexSkirtBoxCamo1,11322,GvqcgrFieJhgy5Jpw
camo skirt,Pink,No,1300,325,Pink,Brown,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Cool,everyday; outdoorsy,No,For sale,BottomsTexSkirtBoxCamo2,11323,oz3YufzmPiL39q4CM
camo skirt,Blue,No,1300,325,Blue,Light blue,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Cool,everyday; outdoorsy,No,For sale,BottomsTexSkirtBoxCamo3,11324,HpyMqkJ4oWAietZmq
camo skirt,Gray,No,1300,325,Gray,Black,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Cool,everyday; outdoorsy,No,For sale,BottomsTexSkirtBoxCamo4,11325,tZTrTGhi5YdxdNi8f
camo skirt,Purple,No,1300,325,Purple,Purple,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Cool,everyday; outdoorsy,No,For sale,BottomsTexSkirtBoxCamo5,11326,BNhmc7m6TBukQNosf
camo skirt,Red,No,1300,325,Red,Beige,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Cool,everyday; outdoorsy,No,For sale,BottomsTexSkirtBoxCamo6,11327,5vPqqjmwqkMBLpm8y
career skirt,Gray,No,1560,390,Gray,Gray,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,formal; work,No,For sale,BottomsTexSkirtBoxCareer0,4504,nPFtncH3euNHGz2dj
career skirt,Beige,No,1560,390,Beige,Beige,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,formal; work,No,For sale,BottomsTexSkirtBoxCareer1,11347,vGt7atvSCh9Qy7Mm7
career skirt,Peach,No,1560,390,Pink,Pink,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,formal; work,No,For sale,BottomsTexSkirtBoxCareer2,11348,adRgkTRKLohGw8obF
career skirt,Light blue,No,1560,390,Light blue,Light blue,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,formal; work,No,For sale,BottomsTexSkirtBoxCareer3,11349,xNYdSrxuyczCSKPGi
career skirt,Pink,No,1560,390,Pink,Pink,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,formal; work,No,For sale,BottomsTexSkirtBoxCareer4,11350,tWpAfzeAvq8FBxtTW
career skirt,Green,No,1560,390,Green,Green,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,formal; work,No,For sale,BottomsTexSkirtBoxCareer5,11351,LgL59ZfDAre6HTfSx
career skirt,Blue,No,1560,390,Blue,Blue,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,formal; work,No,For sale,BottomsTexSkirtBoxCareer6,11352,86ca36YiBEuZeEvRS
career skirt,Red,No,1560,390,Red,Red,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,formal; work,No,For sale,BottomsTexSkirtBoxCareer7,11353,jcZP8k8ETAgyyiuh5
cargo pants,Avocado,No,770,192,Green,Green,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Yes,1.0.0,Simple,everyday; outdoorsy,No,For sale,BottomsTexPantsWideCargo0,3351,DDAHZHuS496kgxWwH
cargo pants,Beige,No,770,192,Beige,Beige,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Simple,everyday; outdoorsy,No,For sale,BottomsTexPantsWideCargo1,9703,Fp3ffEayi79Wh6bQ7
cargo pants,Navy blue,No,770,192,Blue,Blue,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Simple,everyday; outdoorsy,No,For sale,BottomsTexPantsWideCargo2,9704,E9cHhMTiduzizSpsM
cargo pants,Mustard,No,770,192,Yellow,Yellow,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Simple,everyday; outdoorsy,No,For sale,BottomsTexPantsWideCargo3,9705,eG7sZuGE2wp7or2Rq
cargo pants,Brown,No,770,192,Brown,Brown,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Simple,everyday; outdoorsy,No,For sale,BottomsTexPantsWideCargo4,9706,oJGyRjQePhaFecQsd
cargo shorts,Beige,No,1080,270,Beige,Beige,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Simple,everyday; outdoorsy; comfy; vacation,No,For sale,BottomsTexPantsHalfCargo0,4150,YcGuBwEQnJECddEic
cargo shorts,Navy blue,No,1080,270,Blue,Blue,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Simple,everyday; outdoorsy; comfy; vacation,No,For sale,BottomsTexPantsHalfCargo1,8835,vEnqBX2onCbeNqtit
cargo shorts,Avocado,No,1080,270,Green,Green,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Simple,everyday; outdoorsy; comfy; vacation,No,For sale,BottomsTexPantsHalfCargo2,8836,kNKe7u4ZsvCie9ENh
cargo shorts,Camel,No,1080,270,Yellow,Yellow,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Simple,everyday; outdoorsy; comfy; vacation,No,For sale,BottomsTexPantsHalfCargo3,8837,XfSgGJoDQJY77dQhg
cargo shorts,Brown,No,1080,270,Brown,Brown,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Yes,1.0.0,Simple,everyday; outdoorsy; comfy; vacation,No,For sale,BottomsTexPantsHalfCargo4,8838,7yRKReQZ3PzPXPYy3
casual pants,Navy blue,No,1100,275,Blue,Blue,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Simple,everyday; comfy,No,For sale,BottomsTexPantsWideEasy0,4430,bpJ3hEuxXj9AKNHif
casual pants,Gray,No,1100,275,Gray,Gray,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Simple,everyday; comfy,No,For sale,BottomsTexPantsWideEasy1,9714,Za9fHScKzquRFg3aJ
casual pants,Green,No,1100,275,Green,Green,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Simple,everyday; comfy,No,For sale,BottomsTexPantsWideEasy2,9715,fycsBvwX3NiuWvksP
casual pants,Beige,No,1100,275,Beige,Beige,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Simple,everyday; comfy,No,For sale,BottomsTexPantsWideEasy3,9716,i4JcDRnsLP5JZWuC8
casual pants,Black,No,1100,275,Black,Black,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Yes,1.0.0,Simple,everyday; comfy,No,For sale,BottomsTexPantsWideEasy4,9717,drkTQr6MAuptTbKBJ
