Name,#1,Material 1,#2,Material 2,#3,Material 3,#4,Material 4,#5,Material 5,#6,Material 6,Buy,Sell,Miles Price,Source,Source Notes,Recipes to Unlock,Version,Category,Serial ID,Internal ID,Unique Entry ID
bamboo basket,7,bamboo piece,,,,,,,,,,,NFS,200,NA,Snooty villagers,,50,1.0.0,Housewares,2409,152,y7Zjyax97JJo6k4oJ
bamboo bench,8,bamboo piece,,,,,,,,,,,NFS,200,NA,Normal villagers,,50,1.0.0,Housewares,2401,46,iRBcw227DDdksTz3J
bamboo candleholder,3,bamboo piece,2,clay,,,,,,,,,NFS,200,NA,Snooty villagers,,50,1.0.0,Miscellaneous,2402,153,9FCcnLSsxLXkR2NEA
bamboo doll,6,young spring bamboo,,,,,,,,,,,NFS,200,NA,Balloons,Only available during Spring,0,1.0.0,Housewares,2500,158,gc6yP5HuqTxEGBK48
bamboo drum,3,bamboo piece,2,softwood,,,,,,,,,NFS,200,NA,Jock villagers,,50,1.0.0,Miscellaneous,2413,397,K5pwygoJtxAXbj7db
bamboo floor lamp,8,bamboo piece,,,,,,,,,,,NFS,200,NA,Normal villagers,,50,1.0.0,Housewares,2410,159,47AeakgHNdNvSvLRb
bamboo flooring,15,bamboo piece,,,,,,,,,,,NFS,200,NA,Cranky villagers,,50,1.0.0,Floors,2460,485,JyK3oMGwWg46SZ7M6
bamboo hat,10,clump of weeds,,,,,,,,,,,NFS,200,NA,Cranky villagers,,0,1.0.0,Headwear,1284,607,p6dWvgRwv6574A7md
bamboo lattice fence,6,bamboo piece,,,,,,,,,,,NFS,200,1000,Nook Miles Exchange,,0,1.0.0,Fencing,2490,101,kFi2XW9eoPkAoWdS5
bamboo lunch box,4,bamboo piece,,,,,,,,,,,NFS,200,NA,Snooty villagers,,50,1.0.0,Miscellaneous,2406,421,ejw8RfXvq8vPJuLod
bamboo noodle slide,7,young spring bamboo,3,wood,,,,,,,,,NFS,200,NA,Balloons; Isabelle,Only available during Spring,0,1.0.0,Housewares,2502,424,P9SmzDkYdcYuPmRop
bamboo partition,7,bamboo piece,6,stone,,,,,,,,,NFS,200,NA,Cranky villagers,,50,1.0.0,Housewares,2403,157,6B3A3RrMHHYeGnDR4
bamboo shelf,15,bamboo piece,,,,,,,,,,,NFS,200,NA,Snooty villagers,,50,1.0.0,Housewares,2405,155,ATFSAKswogCggcGbd
bamboo speaker,3,bamboo piece,1,iron nugget,,,,,,,,,NFS,200,NA,Snooty villagers,,50,1.0.0,Housewares,2411,591,59rwk7hPFaeWEX7AY
bamboo sphere,3,bamboo piece,,,,,,,,,,,NFS,200,NA,Normal villagers,,50,1.0.0,Miscellaneous,2404,420,4DSiABqB4KvShtQdM
bamboo stool,5,bamboo piece,,,,,,,,,,,NFS,200,NA,Snooty villagers,,50,1.0.0,Housewares,2400,590,cSywc8qQTGtF5PTqT
bamboo stopblock,3,bamboo piece,,,,,,,,,,,NFS,200,NA,Jock villagers,,50,1.0.0,Housewares,2412,154,g6cSM6je3YN47KiMD
bamboo wall,15,bamboo piece,,,,,,,,,,,NFS,200,NA,Cranky villagers,,50,1.0.0,Wallpaper,2450,322,BYCNmo3a3HZQXWqHK
bamboo wall decoration,1,bamboo piece,,,,,,,,,,,NFS,200,NA,Jock villagers,,50,1.0.0,Wall-mounted,2430,151,Xb2ywJv5tsDeSKG2H
bamboo wand,6,young spring bamboo,3,star fragment,,,,,,,,,NFS,200,NA,Balloons,Only available during Spring,0,1.0.0,Tools,2590,538,Z5FSewP6wM2McqRCJ
bamboo-grove wall,7,young spring bamboo,3,bamboo shoot,,,,,,,,,NFS,200,NA,Balloons,Only available during Spring,0,1.0.0,Wallpaper,2551,300,YEqTcFmBecj7pp4XX
bamboo-shoot lamp,4,young spring bamboo,5,bamboo shoot,4,clay,,,,,,,NFS,200,NA,Balloons,Only available during Spring,0,1.0.0,Miscellaneous,2504,385,kdfzcoLwkhis8mbtR
barbed-wire fence,3,hardwood,2,iron nugget,,,,,,,,,NFS,200,1000,Nook Miles Exchange,,0,1.0.0,Fencing,585,561,dgW8J3q4JWsyyrDxP
barbell,10,iron nugget,,,,,,,,,,,NFS,200,NA,Jock villagers,,0,1.0.0,Housewares,914,395,A3fKpbNzYnRZwYMbx
barrel,5,wood,2,iron nugget,,,,,,,,,NFS,200,NA,Tom Nook; Cranky villagers,Obtained during the main storyline during the villager house development quest,0,1.0.0,Housewares,431,165,QBxsHQZ8DpGYE7d8S
basement flooring,10,stone,,,,,,,,,,,NFS,200,NA,Smug villagers,,0,1.0.0,Floors,860,474,RdpaWYGrZLzQWtKDJ
basket pack,6,young spring bamboo,,,,,,,,,,,NFS,200,NA,Balloons,Only available during Spring,0,1.0.0,Bags,2580,645,j2a3p7Gtpy8fW2Z5S
beekeeper's hive,3,wasp nest,5,wood,,,,,,,,,NFS,200,NA,Jock villagers,,0,1.0.0,Housewares,2000,204,nxtm2DdtRcHzAyrZX
big festive tree,6,red ornament,6,blue ornament,4,gold ornament,5,wood,5,clay,,,NFS,200,NA,Balloons,Only available during Festive Season,0,1.0.0,Housewares,3404,273,xArzFHH3vK5tq4r6y
birdbath,6,stone,,,,,,,,,,,NFS,200,NA,Tom Nook; Snooty villagers,Obtained during the main storyline during the villager house development quest,0,1.0.0,Housewares,802,42,73BAmDLcYdhSDnHLR
birdcage,8,wood,,,,,,,,,,,NFS,200,NA,Big Sister villagers,,0,1.0.0,Housewares,404,216,Dm56HseZexdC2ctda
birdhouse,2,wood,5,softwood,,,,,,,,,NFS,200,NA,Tom Nook; Peppy villagers,,0,1.0.0,Housewares,435,41,cDe3r9tficCbWgmH4
blossom-viewing lantern,6,cherry-blossom petal,4,hardwood,,,,,,,,,NFS,200,NA,Balloons,Only available during Cherry-Blossom Season,0,1.0.0,Housewares,2604,427,7dxFMY3pjTmv4D3QX
blue rose crown,6,blue roses,,,,,,,,,,,NFS,200,NA,All Villagers,,200,1.0.0,Headwear,3615,459,5oscGctPhHbHFeSHY
blue rose wreath,10,blue roses,,,,,,,,,,,NFS,200,NA,All Villagers,,200,1.0.0,Wall-mounted,3555,447,XbGbAr5htMNb6h4mr
bone doorplate,3,softwood,,,,,,,,,,,NFS,200,NA,Lazy villagers,,50,1.0.0,Wall-mounted,500,467,jbvhjbWecrky57s9e
bonfire,1,campfire,10,wood,,,,,,,,,NFS,200,NA,Tom Nook; Cranky villagers,,0,1.0.0,Housewares,201,34,JxApKgoud4gfvEcwk
bonsai shelf,1,cherry-blossom bonsai,1,pine bonsai tree,8,wood,,,,,,,NFS,200,NA,Cranky villagers,,100,1.0.0,Housewares,437,593,ybNj2deAkSr4AkbXf
boomerang,3,hardwood,,,,,,,,,,,NFS,200,NA,Lazy villagers,,50,1.0.0,Wall-mounted,481,171,rMasSCDby69z84Fai
brick fence,6,clay,,,,,,,,,,,NFS,200,1000,Nook Miles Exchange,,0,1.0.0,Fencing,790,99,F7bg775Kh6niY7gcZ
brick oven,8,clay,2,iron nugget,6,wood,,,,,,,NFS,200,NA,Wildest Dreams DIY,Purchase Wildest Dreams DIY from Nook's Cranny,0,1.0.0,Housewares,706,58,HKzfxMGvbz6Xhni9E
brick well,8,clay,5,wood,1,flimsy shovel,,,,,,,NFS,200,2000,Nook Miles Exchange,,0,1.0.0,Housewares,707,408,MZhaSK4GZ9D3jkRMw
bridge construction kit,4,log stakes,4,clay,4,stone,,,,,,,NFS,200,NA,Tom Nook,,0,1.0.0,Other,1,458,5aMdJ9fqw3nFtTSYR
brown herringbone wall,15,softwood,,,,,,,,,,,NFS,200,NA,Big Sister villagers,,0,1.0.0,Wallpaper,524,312,YXiuGMDZmkG7wbuQn
Bunny Day arch,2,earth egg,2,stone egg,2,leaf egg,2,wood egg,2,sky egg,2,water egg,NFS,200,NA,Zipper,Reward from Zipper after collecting all 6 egg types; Only available during Bunny Day,0,1.1.0a,Housewares,3708,695,LnuCzHYJaAs4HNMdm
Bunny Day bag,1,earth egg,1,stone egg,1,leaf egg,1,wood egg,1,sky egg,1,water egg,NFS,200,NA,All villagers,Only available during Bunny Day,0,1.1.0a,Bags,3781,694,9njGw9d2nxaB5RiGR
Bunny Day bed,1,earth egg,1,stone egg,1,leaf egg,1,wood egg,1,sky egg,1,water egg,NFS,200,NA,Egg bottle; Egg balloon,Only available during Bunny Day,0,1.1.0a,Housewares,3704,698,FiJ85ZKnHbkjNQ7FF
Bunny Day crown,1,earth egg,1,stone egg,1,leaf egg,1,wood egg,1,sky egg,1,water egg,NFS,200,NA,All villagers,Only available during Bunny Day,0,1.1.0a,Headwear,3780,693,ARB6gWR7MFyiPoP3b
Bunny Day fence,1,earth egg,1,stone egg,1,leaf egg,1,wood egg,1,sky egg,1,water egg,NFS,200,NA,Egg bottle; Egg balloon,Only available during Bunny Day,0,1.1.0a,Fencing,3790,712,4Kdig9tWPTr4Xx6Kv
Bunny Day festive balloons,1,stone egg,1,wood egg,1,water egg,,,,,,,NFS,200,NA,Egg bottle; Egg balloon,Only available during Bunny Day,0,1.1.0a,Housewares,3707,704,gSFqr84aRRt85bwzj
Bunny Day flooring,2,earth egg,2,stone egg,2,leaf egg,2,wood egg,2,sky egg,2,water egg,NFS,200,NA,Egg bottle; Egg balloon,Only available during Bunny Day,0,1.1.0a,Floors,3751,710,niHGKnTgXRGTbpEwc
Bunny Day glowy garland,1,earth egg,1,stone egg,1,leaf egg,1,wood egg,1,sky egg,1,water egg,NFS,200,NA,Egg bottle; Egg balloon,Only available during Bunny Day,0,1.1.0a,Wall-mounted,3731,700,o4dxxDMeguMH8zQzx
Bunny Day lamp,4,wood egg,,,,,,,,,,,NFS,200,NA,Egg bottle; Egg balloon,Only available during Bunny Day,0,1.1.0a,Miscellaneous,3705,697,aJAmvizpFhDespKHb
Bunny Day merry balloons,1,earth egg,1,leaf egg,1,sky egg,,,,,,,NFS,200,NA,Egg bottle; Egg balloon,Only available during Bunny Day,0,1.1.0a,Housewares,3706,702,8JL8MamAW5zYTfT3J
Bunny Day rug,1,earth egg,1,stone egg,1,leaf egg,1,wood egg,1,sky egg,1,water egg,NFS,200,NA,Egg bottle; Egg balloon,Only available during Bunny Day,0,1.1.0a,Rugs,3752,709,qhQxRtRZztg72hh23
Bunny Day stool,3,water egg,,,,,,,,,,,NFS,200,NA,Egg bottle; Egg balloon,Only available during Bunny Day,0,1.1.0a,Housewares,3700,699,wa4bcffdYLswPfJ2B
Bunny Day table,4,earth egg,,,,,,,,,,,NFS,200,NA,Egg bottle; Egg balloon,Only available during Bunny Day,0,1.1.0a,Housewares,3701,705,9aQh9Qrq3vpQdqueu
Bunny Day vanity,4,leaf egg,,,,,,,,,,,NFS,200,NA,Egg bottle; Egg balloon,Only available during Bunny Day,0,1.1.0a,Housewares,3703,703,NnTWBXepctfiLMjnL
Bunny Day wall,2,earth egg,2,stone egg,2,leaf egg,2,wood egg,2,sky egg,2,water egg,NFS,200,NA,Egg bottle; Egg balloon,Only available during Bunny Day,0,1.1.0a,Wallpaper,3750,708,fJWKvdNQwBqRaKjsz
Bunny Day wall clock,3,sky egg,,,,,,,,,,,NFS,200,NA,Egg bottle; Egg balloon,Only available during Bunny Day,0,1.1.0a,Wall-mounted,3730,701,CYdX8kEStsmMXX96v
Bunny Day wand,1,wobbling Zipper toy,3,star fragment,,,,,,,,,NFS,200,NA,Zipper,Reward from Zipper after crafting wobbling Zipper toy; Only available during Bunny Day,0,1.1.0a,Tools,3791,711,ySsGKkX7k5TFeytzQ
Bunny Day wardrobe,4,stone egg,,,,,,,,,,,NFS,200,NA,Egg bottle; Egg balloon,Only available during Bunny Day,0,1.1.0a,Housewares,3702,706,CNAhe3aeGYQ22Q7LG
Bunny Day wreath,1,earth egg,1,stone egg,1,leaf egg,1,wood egg,1,sky egg,1,water egg,NFS,200,NA,Egg bottle; Egg balloon,Only available during Bunny Day,0,1.1.0a,Wall-mounted,3740,707,296Ws5ikbL8hMv3ZC
butter churn,4,wood,2,iron nugget,,,,,,,,,NFS,200,NA,Snooty villagers,,0,1.0.0,Housewares,433,508,zAPyFGPvmSTCdivgm
cabin wall,15,hardwood,,,,,,,,,,,NFS,200,NA,Peppy villagers,,0,1.0.0,Wallpaper,527,315,vYePWAqNbmHCX2n7u
campfire,3,tree branch,,,,,,,,,,,NFS,200,NA,Tom Nook,,0,1.0.0,Housewares,200,13,YDCiZFYQHNweKWYcz
campsite construction kit,15,wood,15,softwood,15,hardwood,15,iron nugget,,,,,NFS,200,NA,Tom Nook (Story),,0,1.0.0,Other,1,461,r2Hct8GMigwWDdwc8
Cancer table,3,star fragment,2,Cancer fragment,2,gold nugget,3,stone,,,,,NFS,200,NA,Celeste,,0,1.0.0,Housewares,2303,371,FvH6DXMtKuuXbmRdS
Capricorn ornament,3,star fragment,2,Capricorn fragment,2,gold nugget,12,stone,,,,,NFS,200,NA,Celeste,,0,1.0.0,Housewares,2309,370,WzAvFzPD5oa7ZijeY
cardboard bed,4,cardboard box,,,,,,,,,,,NFS,200,NA,Lazy villagers,,0,1.0.0,Housewares,2133,497,egMT9pGzXF4tW2TcQ
cardboard chair,1,cardboard box,,,,,,,,,,,NFS,200,NA,Lazy villagers,,0,1.0.0,Housewares,2130,498,keFZfoTQf5ShhZn7b
cardboard sofa,2,cardboard box,,,,,,,,,,,NFS,200,NA,Peppy villagers,,0,1.0.0,Housewares,2131,500,XfuFR6TygpGsHECLn
cardboard table,4,cardboard box,,,,,,,,,,,NFS,200,NA,Peppy villagers,,0,1.0.0,Housewares,2132,496,nXCaiKb8ZKtRdFrps
cherry dress,8,cherry,,,,,,,,,,,NFS,200,NA,Peppy villagers,,100,1.0.0,Dresses,1482,612,XeA7zE2nkf38vLXR2
cherry hat,5,cherry,,,,,,,,,,,NFS,200,NA,Peppy villagers,,100,1.0.0,Headwear,1481,613,t7SsbKgRAa6GWgjR8
cherry lamp,10,cherry,2,clay,,,,,,,,,NFS,200,NA,Peppy villagers,,100,1.0.0,Wall-mounted,1430,162,6hBjge6rn7Sxd5sr7
cherry rug,6,cherry,,,,,,,,,,,NFS,200,NA,Peppy villagers,,100,1.0.0,Rugs,1470,543,pMnYDcm7v9cjAdLj2
cherry speakers,10,cherry,2,iron nugget,,,,,,,,,NFS,200,NA,Peppy villagers,,100,1.0.0,Miscellaneous,1400,161,TtSKEhTt2uf2P9Mcj
cherry umbrella,7,cherry,,,,,,,,,,,NFS,200,NA,Peppy villagers,,100,1.0.0,Umbrellas,1480,614,pKzsdzbBmNX3hZd7R
cherry wall,20,cherry,,,,,,,,,,,NFS,200,NA,Peppy villagers,,100,1.0.0,Wallpaper,1450,307,c4EyTmXti6TusMbGF
cherry-blossom bonsai,6,cherry-blossom petal,2,hardwood,3,clump of weeds,3,clay,,,,,NFS,200,NA,Balloons,Only available during Cherry-Blossom Season,0,1.0.0,Miscellaneous,2601,375,ToGQibiXb4sB3pT7B
cherry-blossom branches,8,cherry-blossom petal,4,tree branch,5,clay,,,,,,,NFS,200,NA,Balloons,Only available during Cherry-Blossom Season,0,1.0.0,Housewares,2602,419,6P3zgNBfKCc3vZxjJ
cherry-blossom clock,5,cherry-blossom petal,,,,,,,,,,,NFS,200,NA,Balloons,Only available during Cherry-Blossom Season,0,1.0.0,Wall-mounted,2630,426,9kPKbzAAQzJTu9758
cherry-blossom flooring,10,cherry-blossom petal,20,clump of weeds,,,,,,,,,NFS,200,NA,Balloons,Only available during Cherry-Blossom Season,0,1.0.0,Floors,2660,479,Bthw6qsrWMxRp4L2J
cherry-blossom pochette,6,cherry-blossom petal,,,,,,,,,,,NFS,200,NA,Balloons,Only available during Cherry-Blossom Season,0,1.0.0,Bags,2681,630,vh9iLeDKLo3LR8T4G
cherry-blossom pond stone,10,stone,3,cherry-blossom petal,,,,,,,,,NFS,200,NA,Balloons,Only available during Cherry-Blossom Season,0,1.0.0,Housewares,820,511,5kPZxufBzifksrFoK
cherry-blossom umbrella,7,cherry-blossom petal,,,,,,,,,,,NFS,200,NA,Balloons,Only available during Cherry-Blossom Season,0,1.0.0,Umbrellas,2680,629,Ss2QnC4nP26NFyexM
cherry-blossom wand,3,cherry-blossom petal,3,star fragment,,,,,,,,,NFS,200,NA,Balloons,Only available during Cherry-Blossom Season,0,1.0.0,Tools,2690,537,TRZ2p8L58k3FvGpPJ
cherry-blossom-petal pile,5,cherry-blossom petal,,,,,,,,,,,NFS,200,NA,Balloons,Only available during Cherry-Blossom Season,0,1.0.0,Housewares,2600,418,Brh7tns5YQ2rzkYLN
cherry-blossom-trees wall,10,cherry-blossom petal,5,hardwood,,,,,,,,,NFS,200,NA,Balloons,Only available during Cherry-Blossom Season,0,1.0.0,Wallpaper,2650,480,C4v4pT2hwNJdB82tD
chic cosmos wreath,10,black cosmos,,,,,,,,,,,NFS,200,NA,All Villagers,,200,1.0.0,Wall-mounted,3548,444,XgThrnxG75cqkssWt
chic mum crown,3,purple mums,3,pink mums,,,,,,,,,NFS,200,NA,All Villagers,,100,1.0.0,Headwear,3604,259,tZEt9aNRec7gTZDjp
chic rose crown,3,purple roses,3,black roses,,,,,,,,,NFS,200,NA,All Villagers,,200,1.0.0,Headwear,3614,254,af3PHSYfriLmgvb8b
chic tulip crown,2,purple tulips,2,pink tulips,1,orange tulips,,,,,,,NFS,200,NA,All Villagers,,100,1.0.0,Headwear,3610,244,AWo72X4YM3PnWSL2P
chic windflower wreath,10,purple windflowers,,,,,,,,,,,NFS,200,NA,All Villagers,,200,1.0.0,Wall-mounted,3542,440,2W5Pa9MKWHhknBENu
chocolate herringbone wall,15,softwood,,,,,,,,,,,NFS,200,NA,Smug villagers,,0,1.0.0,Wallpaper,525,313,TvTxY9NBsDvQfXAJH
clackercart,2,hardwood,6,softwood,,,,,,,,,NFS,200,NA,Lazy villagers,,0,1.0.0,Housewares,402,164,EqWJqEqcpki2TCTXS
classic pitcher,4,clay,,,,,,,,,,,NFS,200,NA,Tom Nook; Snooty villagers,Obtained during the main storyline during the villager house development quest,0,1.0.0,Miscellaneous,702,192,jtdnvzuzyxYDa6xov
classic-library wall,10,book,,,,,,,,,,,NFS,200,NA,Normal villagers,,100,1.0.0,Wallpaper,2103,317,tWZXois4WZ3ztMwv6
clothesline,10,tree branch,,,,,,,,,,,NFS,200,NA,Tom Nook; Cranky villagers,Obtained during the main storyline during the villager house development quest,0,1.0.0,Housewares,203,457,kQm8o92yBJJPNpM2o
coconut juice,1,coconut,,,,,,,,,,,NFS,200,NA,Snooty villagers,,0,1.0.0,Miscellaneous,1800,163,43ztxc7D5XHDmAMXA
coconut wall planter,1,coconut,5,clump of weeds,,,,,,,,,NFS,200,NA,Snooty villagers,,50,1.0.0,Wall-mounted,1830,405,tw8LKPHQrkMZwgAua
colored-leaves flooring,10,maple leaf,15,clump of weeds,,,,,,,,,NFS,200,NA,Balloons,Only available during Maple Leaf Season,0,1.0.0,Floors,2960,476,ENEvnncek9KfcwS9G
cool hyacinth crown,4,blue hyacinths,2,pink hyacinths,2,orange hyacinths,,,,,,,NFS,200,NA,All Villagers,,100,1.0.0,Headwear,3621,238,zRzWiZwk8nTjaPxy7
cool hyacinth wreath,3,orange hyacinths,3,blue hyacinths,3,pink hyacinths,,,,,,,NFS,200,NA,All Villagers,,100,1.0.0,Wall-mounted,3561,453,HaC5frhoXCDpy5YYj
cool pansy crown,3,orange pansies,3,blue pansies,,,,,,,,,NFS,200,NA,All Villagers,,100,1.0.0,Headwear,3618,247,HH3M3xNAeCLsHTZRj
cool pansy wreath,10,purple pansies,,,,,,,,,,,NFS,200,NA,All Villagers,,200,1.0.0,Wall-mounted,3559,450,RxiJe64ebSZy3dsHg
cool windflower crown,3,blue windflowers,3,pink windflowers,,,,,,,,,NFS,200,NA,All Villagers,,100,1.0.0,Headwear,3601,241,8KsLNr5dskMACBgmg
cool windflower wreath,3,blue windflowers,3,pink windflowers,3,white windflowers,,,,,,,NFS,200,NA,All Villagers,,100,1.0.0,Wall-mounted,3541,441,Aer6cEdrENAWFD4TP
corral fence,6,wood,,,,,,,,,,,NFS,200,1000,Nook Miles Exchange,,0,1.0.0,Fencing,580,269,MRhMdwsDKNuaDfi8s
cosmos crown,2,red cosmos,2,yellow cosmos,3,white cosmos,,,,,,,NFS,200,NA,All Villagers,,0,1.0.0,Headwear,3606,249,RBhKgvizEg6uocZvQ
cosmos shower,5,pink cosmos,3,iron nugget,,,,,,,,,NFS,200,NA,Snooty villagers,,50,1.0.0,Housewares,3502,501,WqnkcGJydxs7ueTdr
cosmos wand,1,white cosmos,3,star fragment,,,,,,,,,NFS,200,NA,Celeste,,0,1.0.0,Tools,3672,528,qw6sc7YjNoXFjQt7J
cosmos wreath,3,yellow cosmos,3,white cosmos,3,red cosmos,,,,,,,NFS,200,NA,All Villagers,,50,1.0.0,Wall-mounted,3546,227,KwujCjwLcpr42PGb3
country fence,6,hardwood,,,,,,,,,,,NFS,200,1000,Nook Miles Exchange,,0,1.0.0,Fencing,583,268,Wy3TCH3APTHJrpDhg
crescent-moon chair,7,star fragment,1,large star fragment,,,,,,,,,NFS,200,NA,Celeste,,0,1.0.0,Housewares,2201,432,3FcpSCLM9gcJrNhMu
crest doorplate,4,iron nugget,,,,,,,,,,,NFS,200,NA,Smug villagers,,50,1.0.0,Wall-mounted,941,469,rBCZK2XaMKZ4jXrNH
crewed spaceship,10,star fragment,20,iron nugget,,,,,,,,,NFS,200,NA,Celeste,,0,1.0.0,Housewares,2224,434,2SBnbqnymBq9DczP6
cute lily crown,2,pink lilies,2,orange lilies,2,white lilies,,,,,,,NFS,200,NA,All Villagers,,100,1.0.0,Headwear,3624,256,WNR9mPLvre4qtfrnQ
cute rose crown,3,pink roses,3,orange roses,,,,,,,,,NFS,200,NA,All Villagers,,100,1.0.0,Headwear,3613,253,GqacSkmPu6G4u43tR
cutting board,2,hardwood,1,iron nugget,,,,,,,,,NFS,200,NA,Normal villagers,,0,1.0.0,Miscellaneous,465,284,ebxdGKznZzRDMMccg
dark bamboo rug,6,bamboo piece,,,,,,,,,,,NFS,200,NA,Cranky villagers,,50,1.0.0,Rugs,2470,672,4FRs7iQAhxjseeyWP
dark cosmos crown,7,black cosmos,,,,,,,,,,,NFS,200,NA,All Villagers,,200,1.0.0,Headwear,3608,251,yoXYwWGZ7xpNi9P4W
dark lily crown,6,black lilies,,,,,,,,,,,NFS,200,NA,All Villagers,,200,1.0.0,Headwear,3625,257,Fr3oaQMDbkQ9N9i8t
dark lily wreath,10,black lilies,,,,,,,,,,,NFS,200,NA,All Villagers,,200,1.0.0,Wall-mounted,3565,454,ExWh3urifQgJTCCH3
dark rose wreath,3,black roses,6,purple roses,,,,,,,,,NFS,200,NA,All Villagers,,200,1.0.0,Wall-mounted,3554,446,utyr7MwFDwd8syFcW
dark tulip crown,5,black tulips,,,,,,,,,,,NFS,200,NA,All Villagers,,200,1.0.0,Headwear,3611,245,xJjpphgWJpHubYFET
dark tulip wreath,10,black tulips,,,,,,,,,,,NFS,200,NA,All Villagers,,200,1.0.0,Wall-mounted,3551,362,oCnpF6D3PyAJ5kGz8
dark wooden-mosaic wall,15,wood,,,,,,,,,,,NFS,200,NA,Big Sister villagers,,0,1.0.0,Wallpaper,522,311,sEZQCkucygfgPphNu
decoy duck,4,softwood,,,,,,,,,,,NFS,200,NA,Smug villagers,,0,1.0.0,Miscellaneous,466,390,Rb8PSLPkNwP7hCk8G
deer decoration,8,softwood,,,,,,,,,,,NFS,200,NA,Lazy villagers,,50,1.0.0,Wall-mounted,482,378,BTF82ckDtSkknQmua
deer scare,3,bamboo piece,8,stone,3,clump of weeds,,,,,,,NFS,200,NA,Cranky villagers,,50,1.0.0,Housewares,2408,359,Tdhp7ADcciKJj7y3H
destinations signpost,4,hardwood,8,softwood,,,,,,,,,NFS,200,1500,Nook Miles Exchange,,0,1.0.0,Housewares,441,383,39ryJtTNCrokaosYW
DIY workbench,5,wood,5,hardwood,5,softwood,3,iron nugget,1,mini DIY workbench,,,NFS,200,NA,Big Sister villagers,,100,1.0.0,Housewares,302,263,sjr8rh3ZujiLscc3C
document stack,1,scattered papers,,,,,,,,,,,NFS,200,NA,Smug villagers,,100,1.0.0,Miscellaneous,2120,462,rLvnyoEj48NFgsNpX
doghouse,10,wood,7,hardwood,,,,,,,,,NFS,200,NA,Jock villagers,,0,1.0.0,Housewares,430,14,vMF3FP2steT4gaJ9u
drinking fountain,8,stone,2,iron nugget,,,,,,,,,NFS,200,800,Nook Miles Exchange,,0,1.0.0,Housewares,803,77,tsTxksskAQtbvJMWB
