Name,Variation,DIY,Buy,Sell,Color 1,Color 2,Size,Miles Price,Source,Source Notes,Seasonal Availability,Version,Style,Label Themes,Villager Equippable,Catalog,Filename,Internal ID,Unique Entry ID
extra-large backpack,Red,No,2100,525,Red,Red,1x1,NA,Kicks,,All Year,1.0.0,Active,outdoorsy; sporty,No,For sale,BagBackpackMountain0,7505,sjT2tZJCMpWQNmhTy
extra-large backpack,Green,No,2100,525,Green,Green,1x1,NA,Kicks,,All Year,1.0.0,Active,outdoorsy; sporty,No,For sale,BagBackpackMountain1,11971,MKeBKrETSTs4tyrg4
extra-large backpack,Black,No,2100,525,Black,Black,1x1,NA,Kicks,,All Year,1.0.0,Active,outdoorsy; sporty,No,For sale,BagBackpackMountain2,11972,HqReXLwGPigWMiJbS
extra-large backpack,Blue,No,2100,525,Blue,Blue,1x1,NA,Kicks,,All Year,1.0.0,Active,outdoorsy; sporty,No,For sale,BagBackpackMountain3,11973,vvEqA5aMBGyycpQFz
faux-fur bag,Pink,No,1400,350,Pink,Yellow,1x1,NA,Kicks,,All Year,1.0.0,Cute,formal; party,No,For sale,BagShoulderFakefur0,7480,FyneYzGmHW7SyoHn7
faux-fur bag,Purple,No,1400,350,Purple,Yellow,1x1,NA,Kicks,,All Year,1.0.0,Cute,formal; party,No,For sale,BagShoulderFakefur1,12003,gH3fn5rkmCrekWoJB
fish pochette,Blue,No,NFS,210,Light blue,Blue,1x1,NA,Fishing Tourney,,All Year,1.0.0,Cute,formal; party,No,Not for sale,BagShoulderFish0,7477,CrFcdF3rXiaiiajEB
foldover-top backpack,Green,No,1300,325,Green,Beige,1x1,NA,Kicks,,All Year,1.0.0,Active,outdoorsy; sporty,No,For sale,BagBackpackLid0,7507,nkXJ2eRThdt4vEpFb
foldover-top backpack,Blue,No,1300,325,Blue,Light blue,1x1,NA,Kicks,,All Year,1.0.0,Active,outdoorsy; sporty,No,For sale,BagBackpackLid1,12016,M8i2DNwxgXKWADAtW
foldover-top backpack,Gray,No,1300,325,Gray,White,1x1,NA,Kicks,,All Year,1.0.0,Active,outdoorsy; sporty,No,For sale,BagBackpackLid2,12017,Z8WFCNZodHtW2DBPB
foldover-top backpack,Pink,No,1300,325,Pink,Purple,1x1,NA,Kicks,,All Year,1.0.0,Active,outdoorsy; sporty,No,For sale,BagBackpackLid3,12018,nD9TYBr8sw4rhLAyG
gumdrop shoulder bag,Pop,No,2000,500,Pink,Green,1x1,NA,Kicks,,All Year,1.0.0,Simple,everyday; comfy,No,For sale,BagShoulderPattern0,7486,mQZCwxcr6z3hq5Dgm
gumdrop shoulder bag,Cool,No,2000,500,Purple,Light blue,1x1,NA,Kicks,,All Year,1.0.0,Simple,everyday; comfy,No,For sale,BagShoulderPattern1,12012,JxHQbqWH73Q3GYKT8
hand-knit pouch,Green,No,1250,312,Green,Green,1x1,NA,Kicks,,All Year,1.0.0,Elegant,vacation,No,For sale,BagShoulderRace0,7482,taTKqY3xif2LhShrf
hand-knit pouch,Purple,No,1250,312,Purple,Purple,1x1,NA,Kicks,,All Year,1.0.0,Elegant,vacation,No,For sale,BagShoulderRace1,12004,GLLrMeJCPd8Xn7fdr
hard-shell backpack,Blue,No,1680,420,Blue,Black,1x1,NA,Kicks,,All Year,1.0.0,Cool,outdoorsy; work,No,For sale,BagBackpackHardshell0,7512,LETQjE3yFDKze4ntv
hard-shell backpack,Red,No,1680,420,Red,Black,1x1,NA,Kicks,,All Year,1.0.0,Cool,outdoorsy; work,No,For sale,BagBackpackHardshell1,10184,qdP3rmZ7P7HgA2cin
hard-shell backpack,Silver,No,1680,420,Gray,Black,1x1,NA,Kicks,,All Year,1.0.0,Cool,outdoorsy; work,No,For sale,BagBackpackHardshell2,11946,yxnDx8JQqzZDM66oR
knapsack,Blue,No,630,157,Blue,Black,1x1,NA,Kicks,,All Year,1.0.0,Active,everyday; outdoorsy; sporty,No,For sale,BagBackpackKnapsack0,7508,XbKqQChpAJXng37Mr
knapsack,Black,No,630,157,Black,Black,1x1,NA,Kicks,,All Year,1.0.0,Active,everyday; outdoorsy; sporty,No,For sale,BagBackpackKnapsack1,12019,Fx4M2zpFTWGww54rw
knitted-grass backpack,Green,Yes,NFS,400,Green,Brown,1x1,NA,Crafting,,All Year,1.0.0,Elegant,outdoorsy; comfy; vacation,No,Not for sale,BagBackpackGrass0,7511,xM5iaYn4gbZoR94Qm
log pack,Brown,Yes,NFS,960,Brown,Beige,1x1,NA,Crafting,,All Year,1.0.0,Simple,fairy tale; outdoorsy,No,Not for sale,BagBackpackWood0,7498,rDDM48hSfsSbcp92u
maple-leaf pochette,Red,Yes,NFS,2400,Orange,Orange,1x1,NA,Crafting,,All Year,1.0.0,Simple,fairy tale,No,Not for sale,BagShoulderMaple0,7491,HJDH4dCPMQY9qQanL
messenger bag,Green,No,840,210,Green,Black,1x1,NA,Kicks,,All Year,1.0.0,Simple,everyday; outdoorsy; sporty,No,For sale,BagShoulderMessenger0,7470,7mPZ9PnTd46r65DXx
messenger bag,Orange,No,840,210,Orange,Black,1x1,NA,Kicks,,All Year,1.0.0,Simple,everyday; outdoorsy; sporty,No,For sale,BagShoulderMessenger1,11978,sgxnCe87EdtdoKved
messenger bag,Black,No,840,210,Black,Black,1x1,NA,Kicks,,All Year,1.0.0,Simple,everyday; outdoorsy; sporty,No,For sale,BagShoulderMessenger2,11979,ZuwiM4DzJF5Rsg46x
mini pleather bag,White,No,1600,400,White,White,1x1,NA,Kicks,,All Year,1.0.0,Elegant,everyday; formal; party,No,For sale,BagBackpackSmall0,7504,FyrYDDhzABDegtZ6n
mini pleather bag,Black,No,1600,400,Black,Black,1x1,NA,Kicks,,All Year,1.0.0,Elegant,everyday; formal; party,No,For sale,BagBackpackSmall1,12015,hYJk97FFi4zJGQ5cH
Mom's knapsack,M,No,NFS,175,Yellow,Beige,1x1,NA,Mom,,All Year,1.0.0,Cute,comfy,No,Not for sale,BagBackpackQuilt0,7510,szhWnj6jpymTsKce8
Mom's knapsack,Flowers,No,NFS,175,Gray,Beige,1x1,NA,Mom,,All Year,1.0.0,Cute,comfy,No,Not for sale,BagBackpackQuilt1,12148,gqy4s4zFowLbNKTd2
Mom's knapsack,Polka dots,No,NFS,175,Pink,Beige,1x1,NA,Mom,,All Year,1.0.0,Cute,comfy,No,Not for sale,BagBackpackQuilt2,12149,Hkju8Bjb8Kaamsu3j
Mom's knapsack,Colorful quilt design,No,NFS,175,Colorful,Beige,1x1,NA,Mom,,All Year,1.0.0,Cute,comfy,No,Not for sale,BagBackpackQuilt3,12150,6uKkNZRz7E8gkSiBF
Mom's knapsack,Cherries,No,NFS,175,Light blue,Beige,1x1,NA,Mom,,All Year,1.0.0,Cute,comfy,No,Not for sale,BagBackpackQuilt4,12151,46PX3NMjAdrNiRQXb
Mom's knapsack,Denim with stripes,No,NFS,175,Blue,Beige,1x1,NA,Mom,,All Year,1.0.0,Cute,comfy,No,Not for sale,BagBackpackQuilt5,12152,hj8ixCKXNWBnGZSrw
Mom's knapsack,Forest print,No,NFS,175,White,Beige,1x1,NA,Mom,,All Year,1.0.0,Cute,comfy,No,Not for sale,BagBackpackQuilt6,12153,E3XrB5LbBTu795xbM
Mom's knapsack,Chick,No,NFS,175,Orange,Beige,1x1,NA,Mom,,All Year,1.0.0,Cute,comfy,No,Not for sale,BagBackpackQuilt7,12154,jCi92aiMtZB92idfQ
Nook Inc. knapsack,Brown,No,NFS,4000,Brown,Yellow,1x1,800,Nook Miles Shop,,All Year,1.0.0,Gorgeous,everyday,No,Not for sale,BagBackpackNook0,9761,zQh6chGG66h4f5JbX
outdoor backpack,Avocado,No,1560,390,Green,Black,1x1,NA,Kicks,,All Year,1.0.0,Active,outdoorsy; sporty,No,For sale,BagBackpackOutdoor0,7501,CAsQFPPeo3vBGpHSo
outdoor backpack,Orange,No,1560,390,Orange,Black,1x1,NA,Kicks,,All Year,1.0.0,Active,outdoorsy; sporty,No,For sale,BagBackpackOutdoor1,11969,hiF7bqmoudyFJPcWG
outdoor backpack,Navy blue,No,1560,390,Blue,Black,1x1,NA,Kicks,,All Year,1.0.0,Active,outdoorsy; sporty,No,For sale,BagBackpackOutdoor2,11970,qd8DJb8mX5zhewgyn
pleather crossbody bag,Navy blue,No,1120,280,Blue,Brown,1x1,NA,Kicks,,All Year,1.0.0,Cool,everyday; work,No,For sale,BagBackpackBodybag0,7484,YQD8XMuvDbymAeKxt
pleather crossbody bag,Black,No,1120,280,Black,White,1x1,NA,Kicks,,All Year,1.0.0,Cool,everyday; work,No,For sale,BagBackpackBodybag1,12005,QDPYGrpFNNir49uBe
pleather fringe bag,Camel,No,2400,600,Brown,Brown,1x1,NA,Kicks,,All Year,1.0.0,Elegant,everyday; formal; party,No,For sale,BagShoulderFringe0,7481,7RYHreaA7o9huubNu
pleather fringe bag,White,No,2400,600,White,White,1x1,NA,Kicks,,All Year,1.0.0,Elegant,everyday; formal; party,No,For sale,BagShoulderFringe1,12010,fiM98m9CGgi6iATkQ
pleather shoulder bag,Brown,No,2400,600,Brown,Brown,1x1,NA,Kicks,,All Year,1.0.0,Elegant,everyday; formal,No,For sale,BagShoulderLeather0,7476,9AqRYq83NRMxrEWiD
pleather shoulder bag,Navy blue,No,2400,600,Blue,Blue,1x1,NA,Kicks,,All Year,1.0.0,Elegant,everyday; formal,No,For sale,BagShoulderLeather1,12009,ZKgcPhGYErHShMrGR
retro sports bag,Blue,No,1400,350,White,Blue,1x1,NA,Kicks,,All Year,1.0.0,Active,outdoorsy; sporty,No,For sale,BagShoulderSports0,7302,vY7qcZFdWb3HgSv7L
retro sports bag,Red,No,1400,350,White,Red,1x1,NA,Kicks,,All Year,1.0.0,Active,outdoorsy; sporty,No,For sale,BagShoulderSports1,12007,Lqtjq3rWFoy4Dv39C
retro sports bag,Black,No,1400,350,Black,Yellow,1x1,NA,Kicks,,All Year,1.0.0,Active,outdoorsy; sporty,No,For sale,BagShoulderSports2,12008,nGhHjk4GEKSQwvARA
sacoche bag,Blue,No,980,245,Blue,Green,1x1,NA,Kicks,,All Year,1.0.0,Active,outdoorsy; sporty,No,For sale,BagShoulderSacosh0,7304,n82fhWWNSv8kyFJc2
sacoche bag,Red,No,980,245,Red,Yellow,1x1,NA,Kicks,,All Year,1.0.0,Active,outdoorsy; sporty,No,For sale,BagShoulderSacosh1,11974,LYnLwBnwTYcMp4fr9
sacoche bag,Black,No,980,245,Black,White,1x1,NA,Kicks,,All Year,1.0.0,Active,outdoorsy; sporty,No,For sale,BagShoulderSacosh2,11975,NRYqQLN2Beq4jpDBJ
shellfish pochette,White,Yes,NFS,10800,White,White,1x1,NA,Crafting,,All Year,1.0.0,Cute,fairy tale; vacation,No,Not for sale,BagShoulderShell0,7494,XEsQxMf7k9qvjYxPF
snowflake pochette,White,Yes,NFS,2400,Light blue,White,1x1,NA,Crafting,,All Year,1.0.0,Elegant,fairy tale; party; vacation,No,Not for sale,BagShoulderSnow0,7493,gW7R4HX8hjZEHAFtB
square backpack,Yellow,No,1300,325,Yellow,Black,1x1,NA,Kicks,,All Year,1.0.0,Active,everyday; outdoorsy; sporty,No,For sale,BagBackpackSquare0,7500,2RYepaMxTnXMZ9tXg
square backpack,Pink,No,1300,325,Pink,Black,1x1,NA,Kicks,,All Year,1.0.0,Active,everyday; outdoorsy; sporty,No,For sale,BagBackpackSquare1,11967,wN6jaJRRvg6cQZXhk
square backpack,Green,No,1300,325,Green,Black,1x1,NA,Kicks,,All Year,1.0.0,Active,everyday; outdoorsy; sporty,No,For sale,BagBackpackSquare2,11968,rJain6G9X749mG5p7
star pochette,Yellow,Yes,NFS,3000,Yellow,Yellow,1x1,NA,Crafting,,All Year,1.0.0,Cute,fairy tale; party; vacation,No,Not for sale,BagShoulderStar0,7489,3WQ8vSWtHMjZ6YPtR
straw pochette,Brown,No,980,245,Brown,Brown,1x1,NA,Kicks,,All Year,1.0.0,Simple,comfy; vacation,No,For sale,BagShoulderRattan0,7488,CGs3z4dKEkH82FDyq
studded backpack,Black,No,1560,390,Black,Yellow,1x1,NA,Kicks,,All Year,1.0.0,Cool,everyday; goth,No,For sale,BagBackpackStuds0,7503,mTMCDJnwtFJzvQ9rs
studded backpack,White,No,1560,390,White,Gray,1x1,NA,Kicks,,All Year,1.0.0,Cool,everyday; goth,No,For sale,BagBackpackStuds1,12006,e6iev2NrSfaxSg5nr
tackle bag,Blue,No,NFS,175,Blue,Orange,1x1,NA,Fishing Tourney,,All Year,1.0.0,Active,outdoorsy; sporty; work,No,Not for sale,BagShoulderFishing0,7478,prkWCjgn7gTK4X8QH
tool bag,Black,No,910,227,Black,Yellow,1x1,NA,Kicks,,All Year,1.0.0,Active,outdoorsy; work,No,For sale,BagShoulderTool0,7497,KiXvv8fvv7CN5sFDx
town backpack,Green,No,1040,260,Green,Green,1x1,NA,Kicks,,All Year,1.0.0,Active,everyday; outdoorsy,No,For sale,BagBackpackTown0,6838,sm5eKnwyeNyKGXQLC
town backpack,Orange,No,1040,260,Orange,Orange,1x1,NA,Kicks,,All Year,1.0.0,Active,everyday; outdoorsy,No,For sale,BagBackpackTown1,6839,aZasytqebQRikaZZZ
town backpack,Blue,No,1040,260,Blue,Blue,1x1,NA,Kicks,,All Year,1.0.0,Active,everyday; outdoorsy,No,For sale,BagBackpackTown2,11944,WGhvofsBw6pFs5c93
town backpack,Red,No,1040,260,Red,Red,1x1,NA,Kicks,,All Year,1.0.0,Active,everyday; outdoorsy,No,For sale,BagBackpackTown3,11945,wkeZwbrp9BoHTEPRZ
travel pouch,Pink,No,840,210,Pink,Black,1x1,NA,Kicks,,All Year,1.0.0,Active,everyday; outdoorsy,No,For sale,BagShoulderTravel0,2550,ygrWBZtknqDLLH8Rn
travel pouch,Green,No,840,210,Green,Black,1x1,NA,Kicks,,All Year,1.0.0,Active,everyday; outdoorsy,No,For sale,BagShoulderTravel1,12000,oX3GfBwtMfcQ4STtd
travel pouch,Light blue,No,840,210,Light blue,Black,1x1,NA,Kicks,,All Year,1.0.0,Active,everyday; outdoorsy,No,For sale,BagShoulderTravel2,12001,SSHDSgfSasCP6AgmW
travel pouch,Purple,No,840,210,Purple,Black,1x1,NA,Kicks,,All Year,1.0.0,Active,everyday; outdoorsy,No,For sale,BagShoulderTravel3,12002,HTjXg6MXwPZCwEtmJ
traveler's backpack,Orange,No,2940,735,Orange,Beige,1x1,NA,Kicks,,All Year,1.0.0,Simple,fairy tale; outdoorsy; work,No,For sale,BagBackpackJourney0,7499,ag2m7kcBg83aCARGE
traveler's backpack,Blue,No,2940,735,Blue,Beige,1x1,NA,Kicks,,All Year,1.0.0,Simple,fairy tale; outdoorsy; work,No,For sale,BagBackpackJourney1,11965,iprTWWTSARJtHTKqF
traveler's backpack,Brown,No,2940,735,Brown,Beige,1x1,NA,Kicks,,All Year,1.0.0,Simple,fairy tale; outdoorsy; work,No,For sale,BagBackpackJourney2,11966,ehhBAiZqTHaTExHYP
