Name,Variation,DIY,Buy,Sell,Color 1,Color 2,Size,Miles Price,Source,Source Notes,Seasonal Availability,Mannequin Piece,Version,Style,Label Themes,Type,Villager Equippable,Catalog,Filename,Internal ID,Unique Entry ID
bunny nose,Yellow,No,560,140,Yellow,Orange,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; party; theatrical,AccessoryMouthInvisibleNose,No,For sale,AccessoryMouthRabbit1,11023,y6Dp62aNQn5ixvkwf
bunny nose,White,No,560,140,White,Red,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; party; theatrical,AccessoryMouthInvisibleNose,No,For sale,AccessoryMouthRabbit2,11024,ci8RKqDmqS5wD3W5k
butterfly shades,Blue,No,1040,260,Black,Blue,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Yes,1.0.0,Cool,outdoorsy,AccessoryEye,Yes,For sale,AccessoryGlassButterfly0,4608,WjbaLp9JbBGYRrb6K
butterfly shades,Red,No,1040,260,Red,Brown,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Yes,1.0.0,Cool,outdoorsy,AccessoryEye,Yes,For sale,AccessoryGlassButterfly1,11503,AZrrNvHghPTHobKL4
butterfly shades,Brown,No,1040,260,Brown,Brown,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Cool,outdoorsy,AccessoryEye,Yes,For sale,AccessoryGlassButterfly2,11504,rz3Pgs5XGNiQFa3t4
candy-skull mask,Purple,No,NFS,800,White,Purple,1x1,NA,Gulliver,,All Year,No,1.0.0,Gorgeous,formal; party; theatrical,AccessoryEyeMouthInvisibleNose,No,Not for sale,AccessoryGlassmouthCatrina0,5666,GT3LzQZKg29riohcP
candy-skull mask,Orange,No,NFS,800,White,Orange,1x1,NA,Gulliver,,All Year,No,1.0.0,Gorgeous,formal; party; theatrical,AccessoryEyeMouthInvisibleNose,No,Not for sale,AccessoryGlassmouthCatrina1,11169,xyQdqFuAkXkNs9qQ5
candy-skull mask,Blue,No,NFS,800,White,Light blue,1x1,NA,Gulliver,,All Year,No,1.0.0,Gorgeous,formal; party; theatrical,AccessoryEyeMouthInvisibleNose,No,Not for sale,AccessoryGlassmouthCatrina2,11170,fev4af8sNdggceyW9
cat nose,White,No,560,140,White,Pink,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; party; theatrical,AccessoryMouthInvisibleNose,No,For sale,AccessoryMouthCat0,4483,45Muns9ig4dqrsFF7
cat nose,Brown,No,560,140,Brown,Beige,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; party; theatrical,AccessoryMouthInvisibleNose,No,For sale,AccessoryMouthCat1,11021,CXDCEFzBdv8DwkCyM
cat nose,Navy blue,No,560,140,Blue,Black,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; party; theatrical,AccessoryMouthInvisibleNose,No,For sale,AccessoryMouthCat2,11022,ywdWXRcwKJNMMxDyj
cucumber pack,Green,No,490,122,Green,Green,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Yes,1.0.0,Simple,comfy,AccessoryMouth,No,For sale,AccessoryMouthCucumber,4491,MhbCBrYX5fHxZWDuA
curly mustache,Black,No,700,175,Colorful,Colorful,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,fairy tale; formal; party,AccessoryMouthEarJaw,No,For sale,AccessoryMouthRollingmustacheBlack,4672,9tyCrNPeibcu5NLo8
cyber shades,Red,No,1300,325,Red,Black,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Active,party; theatrical,AccessoryEye,Yes,For sale,AccessoryGlassCyber0,4552,3YPuxxPLkzwwNQMQd
cyber shades,Black,No,1300,325,Black,Black,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Active,party; theatrical,AccessoryEye,Yes,For sale,AccessoryGlassCyber1,11498,67BAc4y8aADafp9Xk
cyber shades,Silver,No,1300,325,Gray,Black,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Active,party; theatrical,AccessoryEye,Yes,For sale,AccessoryGlassCyber2,11499,AKakpCweRnd5hAsRB
cyber shades,Purple,No,1300,325,Purple,Black,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Active,party; theatrical,AccessoryEye,Yes,For sale,AccessoryGlassCyber3,11500,y2svNHScnr8cNZe86
cyber shades,Green,No,1300,325,Green,Black,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Active,party; theatrical,AccessoryEye,Yes,For sale,AccessoryGlassCyber4,11501,9izTCDGHSpqWrQp6T
cyber shades,Yellow,No,1300,325,Yellow,Black,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Active,party; theatrical,AccessoryEye,Yes,For sale,AccessoryGlassCyber5,11502,5pk9ZMDGsEzLqp24L
DAL eye mask,Blue,No,NFS,1010,Blue,Blue,1x1,NA,Dodo Airlines,Received in mail from DAL after taking certain numbers of flights,All Year,No,1.0.0,Simple,comfy; vacation,AccessoryEye,Yes,Not for sale,AccessoryGlassDalmask0,12128,sbkqQrHpJWMEEZLSR
DAL sunglasses,Yellow,No,NFS,1010,Yellow,Blue,1x1,NA,Dodo Airlines,Received in mail from DAL after taking certain numbers of flights,All Year,No,1.0.0,Gorgeous,comfy; vacation,AccessoryEye,Yes,Not for sale,AccessoryGlassDalglass0,12129,zRnkH9B3rYNMLpiTP
doctor's mask,White,No,140,35,White,White,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Simple,everyday; goth; comfy,AccessoryMouthEarJaw,No,For sale,AccessoryMouthMaskWhite,4451,vZDsrDRdgrbbiwi8N
dog nose,White,No,560,140,White,Black,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; party; theatrical,AccessoryMouthInvisibleNose,No,For sale,AccessoryMouthDog0,5244,moGRcnkQihHbN89Kc
dog nose,Beige,No,560,140,Orange,Black,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; party; theatrical,AccessoryMouthInvisibleNose,No,For sale,AccessoryMouthDog1,11025,zCQqXy8HLE7rDfrQf
dog nose,Black,No,560,140,Black,Black,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; party; theatrical,AccessoryMouthInvisibleNose,No,For sale,AccessoryMouthDog2,11026,9JGbmWtDA3rmjf8Kc
double-bridge glasses,Gold,No,1100,275,Yellow,Yellow,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,comfy; vacation; work,AccessoryEye,Yes,For sale,AccessoryGlassDoublebridge0,4263,8QCnzjXY8KEyqf7Wa
double-bridge glasses,Purple,No,1100,275,Purple,Purple,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,Yes,1.0.0,Elegant,comfy; vacation; work,AccessoryEye,Yes,For sale,AccessoryGlassDoublebridge1,11076,guPGRuhMyqdWYKh8d
double-bridge glasses,Silver,No,1100,275,Gray,Gray,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,Yes,1.0.0,Elegant,comfy; vacation; work,AccessoryEye,Yes,For sale,AccessoryGlassDoublebridge2,11077,CLPEzZqr3vut85Ja4
double-bridge glasses,Blue,No,1100,275,Blue,Blue,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,comfy; vacation; work,AccessoryEye,Yes,For sale,AccessoryGlassDoublebridge3,11078,fD5pteAQtC8CMhq2v
drinking-straw glasses,Green,No,560,140,Green,Green,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Active,comfy; vacation; work,AcceEyeMouth,No,For sale,AccessoryGlassmouthStraw0,5773,hMiEGoaE2jYb6kY4e
drinking-straw glasses,Blue,No,560,140,Light blue,Light blue,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Active,comfy; vacation; work,AcceEyeMouth,No,For sale,AccessoryGlassmouthStraw1,11010,DNij9RhiMW39MtKWF
drinking-straw glasses,Pink,No,560,140,Pink,Pink,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Active,comfy; vacation; work,AcceEyeMouth,No,For sale,AccessoryGlassmouthStraw2,11011,b4G7SFYMTs5YWJ4i5
drinking-straw glasses,White,No,560,140,White,White,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Active,comfy; vacation; work,AcceEyeMouth,No,For sale,AccessoryGlassmouthStraw3,11012,bQ67Xe7cQZ4PcXnNe
eye mask,Blue,No,560,140,Blue,Black,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Simple,comfy,AccessoryEye,Yes,For sale,AccessoryGlassMask0,4425,68oXMszxbRtGoe9tH
eye mask,Pink,No,560,140,Pink,Black,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Simple,comfy,AccessoryEye,Yes,For sale,AccessoryGlassMask1,11154,Ck7jeovxpJEQa9BXB
eye mask,Gray,No,560,140,Gray,Black,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Simple,comfy,AccessoryEye,Yes,For sale,AccessoryGlassMask2,11155,FFAmL82w7xmtQyj49
eye mask,Green,No,560,140,Green,Black,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Simple,comfy,AccessoryEye,Yes,For sale,AccessoryGlassMask3,11156,csWKsYtw2k9ADBQpT
eye mask,Orange,No,560,140,Orange,Black,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Simple,comfy,AccessoryEye,Yes,For sale,AccessoryGlassMask4,11157,Gy2FEnpkD9KrRshtd
eye mask,Red,No,560,140,Red,Black,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Simple,comfy,AccessoryEye,Yes,For sale,AccessoryGlassMask5,11158,DN9e9e3kPAvftJL7X
eye patch,Black,No,140,35,Black,Black,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cool,fairy tale; goth,AccessoryOneEye,Yes,For sale,AccessoryGlassPatchBlack,4457,iZoTNGb8htGE8JWEw
facial mask,White,No,560,140,White,White,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,goth; comfy,AcceEyeMouth,No,For sale,AccessoryGlassmouthPackWhite,4512,KzBY9kLtwTHhHGzR3
fake nose,Red,No,490,122,Red,Red,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; party; theatrical,AcceEyeMouth,No,For sale,AccessoryGlassmouthNoseRed,4496,chP2wAyDtdSTS3XrF
flower sunglasses,Red,No,770,192,Red,Black,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Cute,party; vacation,AccessoryEye,Yes,For sale,AccessoryGlassFlower0,5739,iJsQqLTdb4gcPwekJ
flower sunglasses,Orange,No,770,192,Orange,Black,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Yes,1.0.0,Cute,party; vacation,AccessoryEye,Yes,For sale,AccessoryGlassFlower1,11228,6TygyrRpgFEJRtYAD
flower sunglasses,Blue,No,770,192,Blue,Black,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Cute,party; vacation,AccessoryEye,Yes,For sale,AccessoryGlassFlower2,11229,g4jdQJuTAwEgGWsyH
flower sunglasses,Purple,No,770,192,Purple,Black,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Cute,party; vacation,AccessoryEye,Yes,For sale,AccessoryGlassFlower3,11230,hN8mRmSqAqfBBXqsK
flower sunglasses,Green,No,770,192,Green,Black,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Yes,1.0.0,Cute,party; vacation,AccessoryEye,Yes,For sale,AccessoryGlassFlower4,11231,vnNLfafLRpv9vrESq
food mess,Pasta,No,490,122,Orange,Beige,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Simple,comfy,AccessoryMouth,No,For sale,AccessoryMouthPasta,5857,ErTpS7LHoG7hZ4bvn
funny glasses,Brown,No,1100,275,Brown,Black,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; party; theatrical,AccessoryEye,Yes,For sale,AccessoryGlassEyes0,4513,nvgwq4bKZzDoiTQzw
funny glasses,Pink,No,1100,275,Pink,Black,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; party; theatrical,AccessoryEye,Yes,For sale,AccessoryGlassEyes1,11008,4ASpkj55QiocnNkZ2
funny glasses,Blue,No,1100,275,Light blue,Black,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; party; theatrical,AccessoryEye,Yes,For sale,AccessoryGlassEyes2,11009,dio9gmQCebNSjSX89
gas mask,Black,No,1100,275,Black,Black,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cool,goth; work,AcceEyeMouth,No,For sale,AccessoryGlassmouthGasmask0,4649,cuqWQPfsbkmXz5DuB
gas mask,Avocado,No,1100,275,Green,Green,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cool,goth; work,AcceEyeMouth,No,For sale,AccessoryGlassmouthGasmask1,11160,9K9ea2sRHMsPmcX6d
glass-bottle glasses,Black,No,1100,275,Black,Gray,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Simple,comfy; work,AccessoryEye,Yes,For sale,AccessoryGlassBottleBlack,4282,JFtffcGH7WnPnJKtc
goatee,Black,No,980,245,Colorful,Colorful,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,Yes,1.0.0,Cool,everyday; comfy; theatrical,AccessoryMouthEarJaw,No,For sale,AccessoryMouthBeardChinBlack,4676,W5S7BC9qA4QMCQEFR
goggles,Black,No,560,140,Black,Black,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Summer,No,1.0.0,Active,outdoorsy; sporty; vacation,AccessoryEye,Yes,For sale,AccessoryGlassGoggles0,4454,3YkDq5TZm3jE8nBL9
goggles,Blue,No,560,140,Blue,Blue,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Summer,No,1.0.0,Active,outdoorsy; sporty; vacation,AccessoryEye,Yes,For sale,AccessoryGlassGoggles1,11484,gozwdhewwK4PmPGFQ
goggles,Pink,No,560,140,Pink,Pink,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Summer,No,1.0.0,Active,outdoorsy; sporty; vacation,AccessoryEye,Yes,For sale,AccessoryGlassGoggles2,11485,49s9b7jcrE8uaFEdR
goggles,Green,No,560,140,Green,Green,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Summer,No,1.0.0,Active,outdoorsy; sporty; vacation,AccessoryEye,Yes,For sale,AccessoryGlassGoggles3,11486,sDjZobRoupcETEKeH
goggles,Purple,No,560,140,Purple,Purple,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Summer,No,1.0.0,Active,outdoorsy; sporty; vacation,AccessoryEye,Yes,For sale,AccessoryGlassGoggles4,11487,kwS6ErrZHdDNXpmbR
goggles,Red,No,560,140,Red,Red,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Summer,No,1.0.0,Active,outdoorsy; sporty; vacation,AccessoryEye,Yes,For sale,AccessoryGlassGoggles5,11488,P8X4Rnuc6WjHTrbkz
handlebar mustache,Black,No,1120,280,Colorful,Colorful,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,Yes,1.0.0,Elegant,fairy tale; formal; theatrical,AccessoryMouth,No,For sale,AccessoryMouthBeardBlack,3550,HJfvmuhPDFMN8eRB2
heart shades,Pink,No,1040,260,Pink,Blue,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Yes,1.0.0,Cute,party; vacation,AccessoryEye,Yes,For sale,AccessoryGlassHeart0,4237,ZkwfoAxXwqiJav677
heart shades,Yellow,No,1040,260,Yellow,Blue,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Cute,party; vacation,AccessoryEye,Yes,For sale,AccessoryGlassHeart1,11188,jvPC7gmEHvxxgmwfA
heart shades,Blue,No,1040,260,Light blue,Blue,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Cute,party; vacation,AccessoryEye,Yes,For sale,AccessoryGlassHeart2,11189,k2fF9yEC5S3XGsXhX
heart shades,Purple,No,1040,260,Purple,Blue,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Cute,party; vacation,AccessoryEye,Yes,For sale,AccessoryGlassHeart3,11190,3fs7r8mBn9EiGmMT7
heart shades,Green,No,1040,260,Green,Blue,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Cute,party; vacation,AccessoryEye,Yes,For sale,AccessoryGlassHeart4,11191,CbiyKw9gGsMfYzA4g
HMD,White,No,2000,500,White,Black,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cool,comfy,AccessoryEye,Yes,For sale,AccessoryGlassHmdWhite,5182,Hkcb2b5RCvgcXrHvc
jester's mask,Black,No,1760,440,Black,White,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cool,fairy tale; goth; party; theatrical; work,AccessoryEyeMouthInvisibleNose,No,For sale,AccessoryGlassmouthPierrot0,4678,5iGdajwpPAQ98B9eE
jester's mask,Red,No,1760,440,Red,White,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cool,fairy tale; goth; party; theatrical; work,AccessoryEyeMouthInvisibleNose,No,For sale,AccessoryGlassmouthPierrot1,11166,7HBtvdHttSMJiuA7W
jester's mask,Green,No,1760,440,Green,White,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cool,fairy tale; goth; party; theatrical; work,AccessoryEyeMouthInvisibleNose,No,For sale,AccessoryGlassmouthPierrot2,11167,LTCnc3SoDzsffayDr
jester's mask,Blue,No,1760,440,Blue,White,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cool,fairy tale; goth; party; theatrical; work,AccessoryEyeMouthInvisibleNose,No,For sale,AccessoryGlassmouthPierrot3,11168,Kpyk7xszcwxgdawqA
Labelle sunglasses,Twilight,No,2000,500,Purple,Purple,1x1,NA,Labelle,,All Year,No,1.0.0,Gorgeous,everyday; formal; party; theatrical; vacation,AccessoryEye,Yes,For sale,AccessoryGlassKate0,9887,2B4ttG2NJS7ZKRimP
Labelle sunglasses,Midnight,No,2000,500,Black,Black,1x1,NA,Labelle,,All Year,No,1.0.0,Gorgeous,everyday; formal; party; theatrical; vacation,AccessoryEye,Yes,For sale,AccessoryGlassKate1,11776,Pk4syNKBscFTBD2mP
Labelle sunglasses,Passion,No,2000,500,Red,Red,1x1,NA,Labelle,,All Year,No,1.0.0,Gorgeous,everyday; formal; party; theatrical; vacation,AccessoryEye,Yes,For sale,AccessoryGlassKate2,11777,TJqYcpQKFaPX6naSj
Labelle sunglasses,Ocean,No,2000,500,Blue,Blue,1x1,NA,Labelle,,All Year,No,1.0.0,Gorgeous,everyday; formal; party; theatrical; vacation,AccessoryEye,Yes,For sale,AccessoryGlassKate3,11778,yWuQ9CtGKLaG7ntW9
Labelle sunglasses,Sunset,No,2000,500,Yellow,Yellow,1x1,NA,Labelle,,All Year,No,1.0.0,Gorgeous,everyday; formal; party; theatrical; vacation,AccessoryEye,Yes,For sale,AccessoryGlassKate4,11779,Km6htuKWbDhQx5v2o
Labelle sunglasses,Love,No,2000,500,Pink,Pink,1x1,NA,Labelle,,All Year,No,1.0.0,Gorgeous,everyday; formal; party; theatrical; vacation,AccessoryEye,Yes,For sale,AccessoryGlassKate5,11780,WHaB5ZbzSPteM5KxG
ladder shades,Red,No,880,220,Red,Red,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Active,party; theatrical,AccessoryEye,Yes,For sale,AccessoryGlassBlind0,4464,DErjYKaqmFEkp7RQ3
