Name,DIY,Stack Size,Buy,Sell,Miles Price,Source,Source Notes,Tag,Color 1,Color 2,Version,Filename,Internal ID,Unique Entry ID
blue-hydrangea start,No,10,280,70,NA,,,NA,None,None,1.2.0,SeedHydrangeaBlue,3798,GNsNR4uHsjm4B7XJr
blue-pansy plant,No,1,NFS,80,NA,White/white pansies,,Plants,None,None,1.0.0,PltPansyBlue3,3860,Zd4CiamQfSEbYcymn
blue-rose plant,No,1,NFS,1000,NA,Orange/orange roses,,Plants,None,None,1.0.0,PltRoseBlue3,3876,XXDs7bACfxsb5ospo
blue-windflower plant,No,1,NFS,80,NA,"White/white windflowers
Orange/white windflowers",,Plants,None,None,1.0.0,PltAnemonesBlue3,3902,A4yXEFxhamZ2fCfmG
boot,No,1,40,10,NA,Fishing,Medium shadow,NA,None,None,1.0.0,TrashBoot,3469,7jBpMwNw25uQW345e
brick path permit,No,1,NFS,,2000,Nook Miles Redemption,Found under the Special tab of the Nook Miles Redemption service.,,,,1.0.0,FtrGroundMakerBrick,8774,oHZbjoqc3QKK6WLCC
bridge construction kit,Yes,1,NFS,NA,NA,Tom Nook,,Outdoors Decor,None,None,1.0.0,BridgeLogReserveKit,7211,qT8ewTJpgMGSEENoY
bridge marker kit,No,1,NFS,NA,NA,Tom Nook,,NA,None,None,1.0.0,BridgeReserveKit,4310,nS86mCT42JirpqqPY
brown wrapping paper,No,10,160,40,NA,Nook's Cranny,,NA,None,None,1.0.0,WPaperBrown,7696,hJhmHZLzeNSDBEoSo
campsite construction kit,Yes,1,NFS,NA,NA,Tom Nook,,NA,None,None,1.0.0,CampsiteReserveKit,5166,ezCup9En25XEqADNt
campsite moving kit,No,1,NFS,NA,NA,Tom Nook,,NA,None,None,1.0.0,MovingKitCampsite,6841,ZXGmQ8gab2KnTmP5a
Cancer fragment,No,10,NFS,500,NA,Wishing on shooting stars (June 21 - July 22),,NA,None,None,1.0.0,StarpieceCancer,5991,SmqC4auAEN7GSNraA
Capricorn fragment,No,10,NFS,500,NA,Wishing on shooting stars (Dec 22 - Jan 19),,NA,None,None,1.0.0,StarpieceCapricornus,5985,Yv5hZXu5AkG7sWNQ6
cedar sapling,No,10,640,160,NA,Nook's Cranny,,Plants,None,None,1.0.0,SeedCedar,2800,LP6TnsveSD3AGAMmQ
cedar tree,No,1,NFS,240,NA,Planting a cedar start,,Plants,None,None,1.0.0,PltCedar4,2805,scFwAJ9XXGD3G6NbX
chartreuse wrapping paper,No,10,160,40,NA,Nook's Cranny,,NA,None,None,1.0.0,WPaperLightGreen,7686,RWcJQMBA79cybhZDM
cherry,No,10,400,500,NA,Cherry tree,,NA,None,None,1.0.0,Cherry,2287,vAujDBhEiEHX39WDn
cherry tree,No,1,NFS,300,NA,Planting a cherry,,Plants,None,None,1.0.0,PltCherry4,3381,GhjdFWs3sFftbtd2W
cherry-blossom petal,No,10,NFS,NA,NA,Catching with a net (Cherry-Blossom Season),,NA,None,None,1.0.0,Sakurapetal,5859,7hYtxcDFLTySLx8Nz
clay,No,30,NFS,100,NA,Hitting a rock,,NA,None,None,1.0.0,DIYClay,3090,3yoCRN4WNjdYKQEJB
cliff construction permit,No,1,NFS,,6000,Nook Miles Redemption,Found under the Special tab of the Nook Miles Redemption service.,,,,1.0.0,FtrCliffMaker,8781,WQsguRuMd9bwEFu5j
clump of weeds,No,99,NFS,10,NA,On ground,,Plants,None,None,1.0.0,PltWeed,2624,GEtNwS4vwNF7oBvw9
coconut,No,10,NFS,250,NA,Coconut tree,,NA,None,None,1.0.0,Coconut,2288,eHNoTML3CsNoaHoZ9
coconut tree,No,1,NFS,500,NA,Planting a coconut,,Plants,None,None,1.0.0,PltPalm4,2810,c4FSMaXCEqboxnQzT
coin,No,9,NFS,0,NA,Shaking a tree,,NA,None,None,1.0.0,PhotoStudioBell,7730,jNjH659eycYXADzaq
communicator part,No,10,NFS,20,NA,Clam dig spot while on a quest for Gulliver,,NA,None,None,1.0.0,JohnnyQuest1,2381,XiM7GBuMGY9HReqm2
conch,No,10,NFS,700,NA,Beach,,NA,None,None,1.0.0,ShellDriftHora,1376,rtDktiz93Crc46m5c
coral,No,10,NFS,500,NA,Beach,,NA,None,None,1.0.0,ShellDriftSango,1380,4CHLh45qehAS8wHpb
cowrie,No,10,NFS,60,NA,Beach,,NA,None,None,1.0.0,ShellDriftTakara,1382,zxAax3FMiJMX9Chet
custom design path permit,No,1,NFS,,2300,Nook Miles Redemption,Found under the Special tab of the Nook Miles Redemption service.,,,,1.0.0,FtrGroundMakerMydesign,9771,gsKtaovfLwrynQzh2
Custom Design Pro Editor,No,1,NFS,,800,Nook Miles Redemption,,,,,1.0.0,HowtoBookMydesingPro,12185,MMYBdDHWn2kW2Maze
customizable phone case kit,No,1,NFS,,1800,Nook Miles Redemption,Found under the Special tab of the Nook Miles Redemption service.,,,,1.0.0,SmartphoneCase,8760,nwyFbGaLtmPjknPTY
customization kit,No,50,600,150,NA,Nook's Cranny,,Supplies,None,None,1.0.0,RemakeKit,2513,Ld3gGWdjsFZscs6Qq
dark dirt path permit,No,1,NFS,,2000,Nook Miles Redemption,Found under the Special tab of the Nook Miles Redemption service.,,,,1.0.0,FtrGroundMakerDarkSoil,8775,E6p3k7jqPy5nQZqkx
delivery,No,1,NFS,222,NA,Delivering item for a villager,,NA,None,None,1.0.0,DummyCardboard,4645,dSEW4GQniyS8P6SnE
delivery box,No,1,NFS,NA,NA,Nook Shopping,,NA,None,None,1.0.0,QuestWrappingBox,4245,KGs8SGuNQXerMe7xC
DIY for Beginners,No,1,480,NA,NA,Nook's Cranny,,NA,None,None,1.0.0,DIYbook1,5603,Xg3ZJkcs2GKKj629h
earth egg,No,30,NFS,200,NA,Dig spot (Bunny Day),,NA,None,None,1.1.0a,EggGround,12509,GfuzxkKwqvLMLq4TJ
egg message bottle,No,1,NFS,NA,NA,Beach (Bunny Day),,NA,None,None,1.1.0a,MessageBottleEgg,12544,AQictTWfneH93yYQM
elegant mushroom,No,10,NFS,10000,NA,On ground (Mushroom Season),,NA,None,None,1.0.0,MushSplendid,3276,kHtGRmaZmf3foEhwz
empty can,No,1,NFS,10,NA,Fishing,Small shadow,NA,None,None,1.0.0,TrashCan,3466,rqiTcqwQexTmYoPTH
fish bait,Yes,10,NFS,200,NA,Crafting,,NA,None,None,1.0.0,FishBait,4549,Ghm4XtGMDXTpyFQSj
flat mushroom,No,10,NFS,200,NA,On ground (Mushroom Season),,NA,None,None,1.0.0,MushFlat,3279,Ym7BRDNMQF6nZL446
fossil,No,1,NFS,100,NA,Dig spot,,NA,None,None,1.0.0,Fossil,2579,ZwqydviSR4WiRWdDA
Gemini fragment,No,10,NFS,500,NA,Wishing on shooting stars (May 21 - June 20),,NA,None,None,1.0.0,StarpieceGemini,5990,FKd48SRH79uQKweuZ
giant clam,No,10,NFS,900,NA,Beach,,NA,None,None,1.0.0,ShellDriftSyako,1381,yzrzGTGG6mdN2N4d4
gold nugget,No,30,NFS,10000,NA,Hitting a rock,,NA,None,None,1.0.0,DIYGold,2505,i7QscMET7RcTdffLC
gold ornament,No,10,NFS,50,NA,Shaking a cedar tree (Festive Season),,NA,None,None,1.0.0,DIYOrnamentGold,5732,PDc3gmJTvyra4nNb6
gold roses,No,10,NFS,1000,NA,Picking flowers,,Plants,Yellow,Yellow,1.0.0,FlwRoseGold,2963,6B9RaLkgxyFA72rdm
gold wrapping paper,No,10,160,40,NA,Nook's Cranny,,NA,None,None,1.0.0,WPaperGold,7695,nKFEifDX73E7y86s3
gold-rose plant,No,1,NFS,1000,NA,"Black/black roses
Water with gold watering can",,Plants,None,None,1.0.0,PltRoseGold3,3878,vgqcsR2h6B96skooq
gray wrapping paper,No,10,160,40,NA,Nook's Cranny,,NA,None,None,1.0.0,WPaperGray,7697,yiydxSjmgGZiNBxsm
green mums,No,10,NFS,240,NA,Picking flowers,,Plants,Green,Green,1.0.0,FlwMumGreen,5175,iZDGXg9rxMCXkkRXQ
green wrapping paper,No,10,160,40,NA,Nook's Cranny,,NA,None,None,1.0.0,WPaperGreen,7687,3mskzQhZ5uWSBJ373
green-mum plant,No,1,NFS,240,NA,Purple/purple mums,,Plants,None,None,1.0.0,PltMumGreen3,3934,ejT89srWvyFe6eQKf
hardwood,No,30,NFS,60,NA,Chopping a tree,,NA,None,None,1.0.0,DIYWoodHard,2769,ni3n8DjyCZ9cghTD2
hardwood tree,No,1,NFS,240,NA,Planting a sapling,,Plants,None,None,1.0.0,PltOak4,2799,iGMxqfQ39pMGzJrji
heart crystal,No,30,400,100,NA,Reese,Reward for helping Cyrus & Reese during Wedding Season,NA,None,None,1.2.0,Love,12546,Seo4ym9pKPhr7A6yb
holly bush,No,1,560,140,NA,,,NA,None,None,1.2.0,PltHolly2,3027,iS4C5XqHay6jggFoL
holly nursery,No,1,280,70,NA,,,NA,None,None,1.2.0,PltHolly0,12757,vyJTecdJnm8PS8zh6
holly start,No,10,280,70,NA,,,NA,None,None,1.2.0,SeedHolly,3024,ikDCfcT8TcvyPNH8Y
housing kit,No,1,NFS,NA,NA,Tom Nook,,NA,None,None,1.0.0,NnpcNewHousingkit,3349,3H4M8fad4hXPPK9tq
incline marker kit,No,1,NFS,NA,NA,Tom Nook,,NA,None,None,1.0.0,SlopeReserveKit,4311,Nmp2P7XPoEWX2tQG6
iron nugget,No,30,NFS,375,NA,Hitting a rock,,NA,None,None,1.0.0,DIYIron,2511,smkrptPsq6cK6e7ya
large snowflake,No,10,NFS,NA,NA,Snowboy,Reward for making a perfect Snowboy; Only available during Winter,NA,None,None,1.0.0,SnowCrystalLarge,3540,roPJbuZmNfYv9k3Q5
large star fragment,No,10,NFS,2500,NA,Wishing on shooting stars,,NA,None,None,1.0.0,StarpieceRare,5984,FA6nhbrBzK7ESdoDL
leaf egg,No,30,NFS,200,NA,Shaking a hardwood tree (Bunny Day),,NA,None,None,1.1.0a,EggLeaf,12511,3rZgwsLcirdRrMrND
Leo fragment,No,10,NFS,500,NA,Wishing on shooting stars (July 23 - August 22),,NA,None,None,1.0.0,StarpieceLeo,5992,kxQAgnSXcGbYHtNLB
Libra fragment,No,10,NFS,500,NA,Wishing on shooting stars (September 23 - October 22),,NA,None,None,1.0.0,StarpieceLibra,5994,SRpunGqz97ZSyQeKq
light-blue wrapping paper,No,10,160,40,NA,Nook's Cranny,,NA,None,None,1.0.0,WPaperLightBlue,7689,k6ZfmjnoDpGqHWweS
lily-of-the-valley plant,No,1,NFS,222,NA,5-star town status,,Plants,None,None,1.0.0,PltSuzuran2,7651,LXttqtLN2HF8PhQbu
lost item,No,1,NFS,NA,NA,On ground,,NA,None,None,1.0.0,LostQuestBag,2374,uncR4zC9xppuSkiij
lost item,No,1,NFS,NA,NA,On ground,,NA,None,None,1.0.0,LostQuestBook,2375,ymD8pZhYvP99PRiYr
lost item,No,1,NFS,NA,NA,On ground,,NA,None,None,1.0.0,LostQuestNote,5426,Fd7AxQwkCjc5RmfRW
manila clam,No,1,NFS,100,NA,Clam dig spot,,NA,None,None,1.0.0,FtrShellFishAsari,2567,JFoiWRD9rYYRQchWY
maple leaf,No,10,NFS,NA,NA,Catching with a net (Fall),,NA,None,None,1.0.0,AutumnLeaf,7374,iNPeEEqdSxkjKFPDS
medicine,Yes,10,400,100,NA,Nook's Cranny,,Hospital,None,None,1.0.0,ItemMedicine,2777,3pirDraBT9LTcGCDc
message bottle,No,1,NFS,NA,NA,Beach,,NA,None,None,1.0.0,MessageBottle,5793,euJRD9W3hqTR3YeGC
mint wrapping paper,No,10,160,40,NA,Nook's Cranny,,NA,None,None,1.0.0,WPaperMint,7688,J7HrFYe8eAajkNBPk
money tree,No,1,NFS,240,NA,Burying bells in a glowing spot,,Plants,None,None,1.0.0,PltMoney4,4426,ePzXeAjEBZXBhxuAF
moving kit,No,1,NFS,NA,NA,Tom Nook,,NA,None,None,1.0.0,MovingKitPlayer,5358,MyYYwJYdNvcGSEoFZ
museum moving kit,No,1,NFS,NA,NA,Tom Nook,,NA,None,None,1.0.0,MovingKitMuseum,5361,nrLWMtL3jGmWYDAQM
navy wrapping paper,No,10,160,40,NA,Nook's Cranny,,NA,None,None,1.0.0,WPaperNavy,7691,Ms5AhyNbJL5DuZrh2
Nook Miles Ticket,No,1,NFS,,2000,Nook Miles Redemption,Found under the Special tab of the Nook Miles Redemption service.,,,,1.0.0,MilePlaneTicket,5851,FAn9xRZvpBRAad3E6
old tire,No,1,NFS,10,NA,Fishing,Large shadow,NA,None,None,1.0.0,TrashTire,3470,3S8juGp87QfHvtpyq
orange,No,10,400,500,NA,Orange tree,,NA,None,None,1.0.0,Orange,2214,T54w2hgHB3Edytw3f
orange cosmos,No,10,NFS,80,NA,Picking flowers,,Plants,Orange,Green,1.0.0,FlwCosmosOrange,2871,Hvp5sHy7uPHnH2Qda
orange hyacinths,No,10,NFS,80,NA,Picking flowers,,Plants,Orange,Green,1.0.0,FlwHyacinthOrange,3741,H7pirF6ynSFrpgLMN
orange lilies,No,10,NFS,80,NA,Picking flowers,,Plants,Orange,Green,1.0.0,FlwYuriOrange,2995,Y8kaixfp7SEvzCDCd
orange pansies,No,10,NFS,80,NA,Picking flowers,,Plants,Red,Green,1.0.0,FlwPansyRedYellow,2919,atQLxZD4CSqYsaNkM
orange roses,No,10,NFS,80,NA,Picking flowers,,Plants,Orange,Green,1.0.0,FlwRoseOrange,2947,MsnwoMvrqgeH2ZrG6
orange tree,No,1,NFS,300,NA,Planting an orange,,Plants,None,None,1.0.0,PltOrange4,3365,RjcKphnD5xgCxeMFM
orange tulips,No,10,NFS,80,NA,Picking flowers,,Plants,Orange,Green,1.0.0,FlwTulipOrange,2895,h9SC924x9vkjSAsBC
orange windflowers,No,10,NFS,40,NA,Picking flowers,,Plants,Orange,Green,1.0.0,FlwAnemonesOrange,3713,dCQyoCdY9JFYxHXbR
orange wrapping paper,No,10,160,40,NA,Nook's Cranny,,NA,None,None,1.0.0,WPaperOrange,7685,brMQqHjgqsMz5kdtb
orange-cosmos plant,No,1,NFS,80,NA,Red/yellow cosmos,,Plants,None,None,1.0.0,PltCosmosOrange3,3832,ZMn3hzNpMRg9vkW7E
orange-hyacinth plant,No,1,NFS,80,NA,Red/yellow hyacinths,,Plants,None,None,1.0.0,PltHyacinthOrange3,3916,Qm6vasEvBMXEaWDgF
orange-lily plant,No,1,NFS,80,NA,Red/yellow lilies,,Plants,None,None,1.0.0,PltYuriOrange3,3894,b2dp3BnCjLEQTcyHt
orange-pansy plant,No,1,NFS,80,NA,Red/yellow pansies,,Plants,None,None,1.0.0,PltPansyRedYellow3,3856,NN4tLZwnXJA7nsQJF
orange-rose plant,No,1,NFS,80,NA,Red/yellow roses,,Plants,None,None,1.0.0,PltRoseOrange3,3870,WN72HFoZ3fyhwQ5NG
orange-tea-olive bush,No,1,560,140,NA,,,NA,None,None,1.2.0,PltBushOsmathusOrange2,12482,ijnrJoK6XMityJZDM
orange-tea-olive nursery,No,1,280,70,NA,,,NA,None,None,1.2.0,PltBushOsmathusOrange0,12754,YiNQSEMBSiYzc45YQ
orange-tea-olive start,No,10,280,70,NA,,,NA,None,None,1.2.0,SeedBushOsmathusOrange,12480,QRyD9Q4f7vzqQdeCs
orange-tulip plant,No,1,NFS,80,NA,Red/yellow tulips,,Plants,None,None,1.0.0,PltTulipOrange3,3844,iYi6dRqA3vA8fb4oZ
orange-windflower bag,No,10,240,60,NA,Nook's Cranny,,Plants,None,None,1.0.0,SeedAnemonesOrange,3714,HuPd5NbyLkkFvigEo
orange-windflower plant,No,1,NFS,40,NA,Seed bag,,Plants,None,None,1.0.0,PltAnemonesOrange3,3900,E9PAkZEzQ3HaJiRqy
peach,No,10,400,500,NA,Peach tree,,NA,None,None,1.0.0,Peach,2286,qjF3dwhQy3e2LiWtr
peach tree,No,1,NFS,300,NA,Planting a peach,,Plants,None,None,1.0.0,PltPeach4,3375,jr4TgJyTJyZ933o6T
pear,No,10,400,500,NA,Pear tree,,NA,None,None,1.0.0,Pear,2285,pnTL7PHd4rtyzkanu
pear tree,No,1,NFS,300,NA,Planting a pear,,Plants,None,None,1.0.0,PltPear4,3370,7kQWGcj7EmNqj8KiL
pine cone,No,30,NFS,200,NA,Shaking a cedar tree (Fall),,NA,None,None,1.0.0,DIYPinecone,5728,pKvkjhsyir2FimNts
pink cosmos,No,10,NFS,80,NA,Picking flowers,,Plants,Pink,Green,1.0.0,FlwCosmosPink,2867,898Ts8bbEr7iNZzGG
pink hyacinths,No,10,NFS,80,NA,Picking flowers,,Plants,Pink,Green,1.0.0,FlwHyacinthPink,3738,wNbmG4DKhkErfibGX
pink lilies,No,10,NFS,80,NA,Picking flowers,,Plants,Pink,Green,1.0.0,FlwYuriPink,2991,kiCkkhX3PNkfauJXo
pink mums,No,10,NFS,80,NA,Picking flowers,,Plants,Pink,Green,1.0.0,FlwMumPink,3765,xNhBxScQvumKJeYDz
pink roses,No,10,NFS,80,NA,Picking flowers,,Plants,Pink,Green,1.0.0,FlwRosePink,2943,Y3XgoGJjbP4FARKP8
pink tulips,No,10,NFS,80,NA,Picking flowers,,Plants,Pink,Green,1.0.0,FlwTulipPink,2891,xsXifs2QAihKWQneZ
pink windflowers,No,10,NFS,80,NA,Picking flowers,,Plants,Pink,Green,1.0.0,FlwAnemonesPink,3720,ap2QtwXRXd3rCw99D
pink wrapping paper,No,10,160,40,NA,Nook's Cranny,,NA,None,None,1.0.0,WPaperPink,7684,nRfsjMz6ctyb5gpGt
pink-azalea bush,No,1,560,140,NA,,,NA,None,None,1.2.0,PltAzaleaPink2,3788,jy3SJweiZ5ketX4zg
pink-azalea nursery,No,1,280,70,NA,,,NA,None,None,1.2.0,PltAzaleaPink0,12748,Ez7WK3mA2WD5CeyHb
pink-azalea start,No,10,280,70,NA,,,NA,None,None,1.2.0,SeedAzaleaPink,3786,R69MFoTNoTFaAFokq
pink-camellia bush,No,1,560,140,NA,,,NA,None,None,1.2.0,PltBushCamelliaPink2,12492,tKaeYZdRmGtTShfmH
pink-camellia nursery,No,1,280,70,NA,,,NA,None,None,1.2.0,PltBushCamelliaPink0,12756,dCLfqkekaY3tAFmvc
pink-camellia start,No,10,280,70,NA,,,NA,None,None,1.2.0,SeedBushCamelliaPink,12490,nWKkXpxtQqLCtmPEG
pink-cosmos plant,No,1,NFS,80,NA,Red/white cosmos,,Plants,None,None,1.0.0,PltCosmosPink3,3830,sPeds6o4kAXvts6mc
pink-hyacinth plant,No,1,NFS,80,NA,Red/white hyacinths,,Plants,None,None,1.0.0,PltHyacinthPink3,3914,3w8JnddzGnc2yb4LF
pink-hydrangea bush,No,1,560,140,NA,,,NA,None,None,1.2.0,PltHydrangeaPink2,3796,t3sEjgXcrmrJ9WbS7
pink-hydrangea nursery,No,1,280,70,NA,,,NA,None,None,1.2.0,PltHydrangeaPink0,12750,6FZYjcB7o4msQZhhM
pink-hydrangea start,No,10,280,70,NA,,,NA,None,None,1.2.0,SeedHydrangeaPink,3794,MeN5MT4W7J4dbcWcC
pink-lily plant,No,1,NFS,80,NA,Red/white lilies,,Plants,None,None,1.0.0,PltYuriPink3,3892,iRrTAcjkNBukdsAQm
pink-mum plant,No,1,NFS,80,NA,Red/white mums,,Plants,None,None,1.0.0,PltMumPink3,3930,yP44c6mMQC7u5udxv
pink-rose plant,No,1,NFS,80,NA,Red/white roses,,Plants,None,None,1.0.0,PltRosePink3,3868,wpLag9jyPSoMr6wcW
pink-tulip plant,No,1,NFS,80,NA,Red/white tulips,,Plants,None,None,1.0.0,PltTulipPink3,3842,usSvXn26PTCuavTHo
pink-windflower plant,No,1,NFS,80,NA,Red/orange windflowers,,Plants,None,None,1.0.0,PltAnemonesPink3,3904,YJfanQias2fdR9t9X
Pisces fragment,No,10,NFS,500,NA,Wishing on shooting stars (February 19 - March 20),,NA,None,None,1.0.0,StarpiecePisces,5987,nCwjX8yHBFefjAion
pitfall seed,Yes,10,NFS,140,NA,Crafting,,NA,None,None,1.0.0,PitfallSeed,2578,HYdEMJJQXzoudrWDT
plot 1 housing kit,No,1,NFS,NA,NA,Tom Nook,,NA,None,None,1.0.0,HousingKitRcoQuestA,5827,2JkqabfsQ26vYe7Fp
plot 2 housing kit,No,1,NFS,NA,NA,Tom Nook,,NA,None,None,1.0.0,HousingKitRcoQuestB,5828,h63H2kQtzWceBt57Y
plot 3 housing kit,No,1,NFS,NA,NA,Tom Nook,,NA,None,None,1.0.0,HousingKitRcoQuestC,5829,5JGfxP3vczLy755Y4
Pocket Organization Guide,No,1,NFS,,5000,Nook Miles Redemption,,,,,1.0.0,HowtoBookPocketExpansion,9052,rMYGGvqwXxrzrA2FG
present,No,1,NFS,222,NA,Mail,,Seasonal Decor,None,None,1.0.0,DummyPresentbox,4480,eKkBqvy3TwbZbNQWZ
present (black),No,1,NFS,NA,NA,Wrapping a present,,NA,None,None,1.0.0,DummyWrappingBlack,7714,Fz8reyFJoWrSLQSvq
present (blue),No,1,NFS,NA,NA,Wrapping a present,,NA,None,None,1.0.0,DummyWrappingBlue,7708,f38mKJ6yzmhtjyWXS
present (brown),No,1,NFS,NA,NA,Wrapping a present,,NA,None,None,1.0.0,DummyWrappingBrown,7712,hwkpJC9vq2AYKrhqe
present (chartreuse),No,1,NFS,NA,NA,Wrapping a present,,NA,None,None,1.0.0,DummyWrappingLightGreen,7702,78JwZftyosktxaKyQ
present (gold),No,1,NFS,NA,NA,Wrapping a present,,NA,None,None,1.0.0,DummyWrappingGold,7711,JzsQLAwTvEPAZ2f9x
present (gray),No,1,NFS,NA,NA,Wrapping a present,,NA,None,None,1.0.0,DummyWrappingGary,7713,fw5ehh62f4u6rvQbw
present (green),No,1,NFS,NA,NA,Wrapping a present,,NA,None,None,1.0.0,DummyWrappingGreen,7703,9uhhf44dFKeQ4b5zP
present (light-blue),No,1,NFS,NA,NA,Wrapping a present,,NA,None,None,1.0.0,DummyWrappingLightBlue,7705,gFWMoXzFEjAaBkoFi
present (mint),No,1,NFS,NA,NA,Wrapping a present,,NA,None,None,1.0.0,DummyWrappingMint,7704,uWkGsjeN7twxbeXLR
present (navy),No,1,NFS,NA,NA,Wrapping a present,,NA,None,None,1.0.0,DummyWrappingNavy,7707,YeKbW5aZJbTqDGemJ
present (orange),No,1,NFS,NA,NA,Wrapping a present,,NA,None,None,1.0.0,DummyWrappingOrange,7701,nHGaD5m8mC7s7CXvL
present (pink),No,1,NFS,NA,NA,Wrapping a present,,NA,None,None,1.0.0,DummyWrappingPink,7700,pvtYwhqa379pE76XE
present (purple),No,1,NFS,NA,NA,Wrapping a present,,NA,None,None,1.0.0,DummyWrappingPurple,7706,7hrL79hJbARyu7ipm
present (red),No,1,NFS,NA,NA,Wrapping a present,,NA,None,None,1.0.0,DummyWrappingRed,7710,id6zFR4kWdzBig22Z
present (white),No,1,NFS,NA,NA,Wrapping a present,,NA,None,None,1.0.0,DummyWrappingWhite,7709,a5AhJAfzsgzgTfMty
