Name,Variation,Body Title,Pattern,Pattern Title,DIY,Customize,Kit Cost,Buy,Sell,Color 1,Color 2,Size,Source,Version,Catalog,Filename,Variant ID,Internal ID,Unique Entry ID
Agent S's photo,Pop,Frame,NA,NA,No,Yes,1,NFS,10,Blue,Gray,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlSqu05_Remake_4_0,4_0,6709,iomBsZt9QqcSzT3H7
Agent S's photo,Colorful,Frame,NA,NA,No,Yes,1,NFS,10,Blue,Gray,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlSqu05_Remake_5_0,5_0,6709,K3hy4ggMxgXBMckmm
Agent S's photo,Silver,Frame,NA,NA,No,Yes,1,NFS,10,Blue,Gray,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlSqu05_Remake_6_0,6_0,6709,46s4b7pCXCjcCr7MP
Agent S's photo,Gold,Frame,NA,NA,No,Yes,1,NFS,10,Blue,Gray,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlSqu05_Remake_7_0,7_0,6709,2jhfB8AxfCMXKRZrC
Agnes's photo,Natural wood,Frame,NA,NA,No,Yes,1,NFS,10,Pink,Black,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlPig17_Remake_0_0,0_0,6661,Y9TFv46iQHZu2zFZd
Agnes's photo,Dark wood,Frame,NA,NA,No,Yes,1,NFS,10,Pink,Black,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlPig17_Remake_1_0,1_0,6661,Jx66fd7cnM8ZWbhaJ
Agnes's photo,Pastel,Frame,NA,NA,No,Yes,1,NFS,10,Pink,Black,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlPig17_Remake_2_0,2_0,6661,gXbBWYiRdoyaySYAH
Agnes's photo,White,Frame,NA,NA,No,Yes,1,NFS,10,Pink,Black,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlPig17_Remake_3_0,3_0,6661,S77GzrsKa8RNG57LK
Agnes's photo,Pop,Frame,NA,NA,No,Yes,1,NFS,10,Pink,Black,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlPig17_Remake_4_0,4_0,6661,x2cJ95t8guFyT3Rr3
Agnes's photo,Colorful,Frame,NA,NA,No,Yes,1,NFS,10,Pink,Black,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlPig17_Remake_5_0,5_0,6661,AZxhvbHLYYD7XibxR
Agnes's photo,Silver,Frame,NA,NA,No,Yes,1,NFS,10,Pink,Black,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlPig17_Remake_6_0,6_0,6661,FBuzWvevFzyJpu9Nx
Agnes's photo,Gold,Frame,NA,NA,No,Yes,1,NFS,10,Pink,Black,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlPig17_Remake_7_0,7_0,6661,8PK88rGguoqtW3gEE
Al's photo,Natural wood,Frame,NA,NA,No,Yes,1,NFS,10,Red,Light blue,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlGor08_Remake_0_0,0_0,6518,fgXqHQkbNynr4dHSj
Al's photo,Dark wood,Frame,NA,NA,No,Yes,1,NFS,10,Red,Light blue,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlGor08_Remake_1_0,1_0,6518,pTvyPF7Qg82Xppnt7
Al's photo,Pastel,Frame,NA,NA,No,Yes,1,NFS,10,Red,Light blue,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlGor08_Remake_2_0,2_0,6518,ZiRaBj2YcL5yfaRzh
Al's photo,White,Frame,NA,NA,No,Yes,1,NFS,10,Red,Light blue,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlGor08_Remake_3_0,3_0,6518,wJayuqNjGeFRAQEZe
Al's photo,Pop,Frame,NA,NA,No,Yes,1,NFS,10,Red,Light blue,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlGor08_Remake_4_0,4_0,6518,b973uXnbfTtF3NAKw
Al's photo,Colorful,Frame,NA,NA,No,Yes,1,NFS,10,Red,Light blue,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlGor08_Remake_5_0,5_0,6518,bDGnD6iJH78niht5i
Al's photo,Silver,Frame,NA,NA,No,Yes,1,NFS,10,Red,Light blue,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlGor08_Remake_6_0,6_0,6518,QAqdzm9yTfWXatwPZ
Al's photo,Gold,Frame,NA,NA,No,Yes,1,NFS,10,Red,Light blue,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlGor08_Remake_7_0,7_0,6518,daiPoNWQSCF32yPNf
Alfonso's photo,Natural wood,Frame,NA,NA,No,Yes,1,NFS,10,Orange,Red,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlCrd00_Remake_0_0,0_0,6800,sHeBWxocuJwBwwsX9
Alfonso's photo,Dark wood,Frame,NA,NA,No,Yes,1,NFS,10,Orange,Red,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlCrd00_Remake_1_0,1_0,6800,Kf5pDkihCrLbF8ujD
Alfonso's photo,Pastel,Frame,NA,NA,No,Yes,1,NFS,10,Orange,Red,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlCrd00_Remake_2_0,2_0,6800,pTCmAGBtxrDSxDW4a
Alfonso's photo,White,Frame,NA,NA,No,Yes,1,NFS,10,Orange,Red,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlCrd00_Remake_3_0,3_0,6800,ZuFEMzDFa7wJHX9G3
Alfonso's photo,Pop,Frame,NA,NA,No,Yes,1,NFS,10,Orange,Red,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlCrd00_Remake_4_0,4_0,6800,EozfDw3LwTKd2mpW2
Alfonso's photo,Colorful,Frame,NA,NA,No,Yes,1,NFS,10,Orange,Red,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlCrd00_Remake_5_0,5_0,6800,JrkQkorv9kFgrgaE8
Alfonso's photo,Silver,Frame,NA,NA,No,Yes,1,NFS,10,Orange,Red,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlCrd00_Remake_6_0,6_0,6800,m77WnAr5d6fBTS98s
Alfonso's photo,Gold,Frame,NA,NA,No,Yes,1,NFS,10,Orange,Red,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlCrd00_Remake_7_0,7_0,6800,jsr3zu4bLXDBPe7ot
Alice's photo,Natural wood,Frame,NA,NA,No,Yes,1,NFS,10,Beige,White,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlKal01_Remake_0_0,0_0,6555,gZp2fontkZDvuszMd
Alice's photo,Dark wood,Frame,NA,NA,No,Yes,1,NFS,10,Beige,White,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlKal01_Remake_1_0,1_0,6555,Wa3mCutCKZdo96Yjn
Alice's photo,Pastel,Frame,NA,NA,No,Yes,1,NFS,10,Beige,White,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlKal01_Remake_2_0,2_0,6555,wHSfmTb2KjxyALHAD
Alice's photo,White,Frame,NA,NA,No,Yes,1,NFS,10,Beige,White,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlKal01_Remake_3_0,3_0,6555,kcpxvj9sGS44FbX2c
Alice's photo,Pop,Frame,NA,NA,No,Yes,1,NFS,10,Beige,White,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlKal01_Remake_4_0,4_0,6555,kGbJkgusmZKmSgkDk
Alice's photo,Colorful,Frame,NA,NA,No,Yes,1,NFS,10,Beige,White,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlKal01_Remake_5_0,5_0,6555,i9dT63jckHZCBMR7o
Alice's photo,Silver,Frame,NA,NA,No,Yes,1,NFS,10,Beige,White,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlKal01_Remake_6_0,6_0,6555,B2zBzxLoj9Mqdicja
Alice's photo,Gold,Frame,NA,NA,No,Yes,1,NFS,10,Beige,White,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlKal01_Remake_7_0,7_0,6555,Dvr8wZn7viSPqTkak
Alli's photo,Natural wood,Frame,NA,NA,No,Yes,1,NFS,10,Light blue,Red,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlCrd01_Remake_0_0,0_0,6801,Bc29TDiDwZcmkH4vF
Alli's photo,Dark wood,Frame,NA,NA,No,Yes,1,NFS,10,Light blue,Red,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlCrd01_Remake_1_0,1_0,6801,TthvBPZKGC7AJtkuT
Alli's photo,Pastel,Frame,NA,NA,No,Yes,1,NFS,10,Light blue,Red,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlCrd01_Remake_2_0,2_0,6801,Hd2rGwiWq7kfiTvF7
Alli's photo,White,Frame,NA,NA,No,Yes,1,NFS,10,Light blue,Red,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlCrd01_Remake_3_0,3_0,6801,unourZLSpivQQQ4ZZ
Alli's photo,Pop,Frame,NA,NA,No,Yes,1,NFS,10,Light blue,Red,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlCrd01_Remake_4_0,4_0,6801,ENb9xzPQnCGaaS2MG
Alli's photo,Colorful,Frame,NA,NA,No,Yes,1,NFS,10,Light blue,Red,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlCrd01_Remake_5_0,5_0,6801,R6JqAu92w2sLYaqE6
Alli's photo,Silver,Frame,NA,NA,No,Yes,1,NFS,10,Light blue,Red,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlCrd01_Remake_6_0,6_0,6801,rsZfjzuREvRgprnwm
Alli's photo,Gold,Frame,NA,NA,No,Yes,1,NFS,10,Light blue,Red,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlCrd01_Remake_7_0,7_0,6801,ja55MQDxximJgruSZ
Amelia's photo,Natural wood,Frame,NA,NA,No,Yes,1,NFS,10,Red,White,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlPbr01_Remake_0_0,0_0,6621,JSxiKWLGAnnqxmDhs
Amelia's photo,Dark wood,Frame,NA,NA,No,Yes,1,NFS,10,Red,White,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlPbr01_Remake_1_0,1_0,6621,DikXrND4oMSyqRNWY
Amelia's photo,Pastel,Frame,NA,NA,No,Yes,1,NFS,10,Red,White,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlPbr01_Remake_2_0,2_0,6621,X7trG3ssXSeM8F2h4
Amelia's photo,White,Frame,NA,NA,No,Yes,1,NFS,10,Red,White,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlPbr01_Remake_3_0,3_0,6621,CyZwnwfyjHm4i2Dhv
Amelia's photo,Pop,Frame,NA,NA,No,Yes,1,NFS,10,Red,White,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlPbr01_Remake_4_0,4_0,6621,6bosCCtGJtXATeuu3
Amelia's photo,Colorful,Frame,NA,NA,No,Yes,1,NFS,10,Red,White,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlPbr01_Remake_5_0,5_0,6621,ta9WXybqsCtmKChCJ
Amelia's photo,Silver,Frame,NA,NA,No,Yes,1,NFS,10,Red,White,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlPbr01_Remake_6_0,6_0,6621,97TESN8CpxAuaMxhs
Amelia's photo,Gold,Frame,NA,NA,No,Yes,1,NFS,10,Red,White,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlPbr01_Remake_7_0,7_0,6621,Xf6buhMqjBv2PnuYj
Anabelle's photo,Natural wood,Frame,NA,NA,No,Yes,1,NFS,10,Yellow,Blue,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlAnt03_Remake_0_0,0_0,6743,LT7496qvy6dDvgGkY
Anabelle's photo,Dark wood,Frame,NA,NA,No,Yes,1,NFS,10,Yellow,Blue,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlAnt03_Remake_1_0,1_0,6743,JTddssj8v6A5MfmJt
Anabelle's photo,Pastel,Frame,NA,NA,No,Yes,1,NFS,10,Yellow,Blue,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlAnt03_Remake_2_0,2_0,6743,gmk5egkzABqiTwv6W
Anabelle's photo,White,Frame,NA,NA,No,Yes,1,NFS,10,Yellow,Blue,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlAnt03_Remake_3_0,3_0,6743,ZBw8J6ZGmnXQao3tw
Anabelle's photo,Pop,Frame,NA,NA,No,Yes,1,NFS,10,Yellow,Blue,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlAnt03_Remake_4_0,4_0,6743,Zz47sQp5XkX8ZHbRn
Anabelle's photo,Colorful,Frame,NA,NA,No,Yes,1,NFS,10,Yellow,Blue,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlAnt03_Remake_5_0,5_0,6743,qCibitHp3ZawMDAHo
Anabelle's photo,Silver,Frame,NA,NA,No,Yes,1,NFS,10,Yellow,Blue,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlAnt03_Remake_6_0,6_0,6743,KkfNyAqEggbMjabZD
Anabelle's photo,Gold,Frame,NA,NA,No,Yes,1,NFS,10,Yellow,Blue,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlAnt03_Remake_7_0,7_0,6743,6r7rMRggBEwLyH66f
Anchovy's photo,Natural wood,Frame,NA,NA,No,Yes,1,NFS,10,Brown,Light blue,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlBrd02_Remake_0_0,0_0,6582,hpLFGZgWJsbaseuBc
Anchovy's photo,Dark wood,Frame,NA,NA,No,Yes,1,NFS,10,Brown,Light blue,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlBrd02_Remake_1_0,1_0,6582,YHg2kyiK7niTyopbv
Anchovy's photo,Pastel,Frame,NA,NA,No,Yes,1,NFS,10,Brown,Light blue,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlBrd02_Remake_2_0,2_0,6582,hjbgTvg2L4pGzdqbz
Anchovy's photo,White,Frame,NA,NA,No,Yes,1,NFS,10,Brown,Light blue,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlBrd02_Remake_3_0,3_0,6582,iLjSaf7FqFf7wL9Ey
Anchovy's photo,Pop,Frame,NA,NA,No,Yes,1,NFS,10,Brown,Light blue,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlBrd02_Remake_4_0,4_0,6582,tLDKLMPQMAup7wcwa
Anchovy's photo,Colorful,Frame,NA,NA,No,Yes,1,NFS,10,Brown,Light blue,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlBrd02_Remake_5_0,5_0,6582,mu3iGGQA6o2ghHRAB
Anchovy's photo,Silver,Frame,NA,NA,No,Yes,1,NFS,10,Brown,Light blue,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlBrd02_Remake_6_0,6_0,6582,xqYGcvWxXHR9KTw6o
Anchovy's photo,Gold,Frame,NA,NA,No,Yes,1,NFS,10,Brown,Light blue,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlBrd02_Remake_7_0,7_0,6582,oWegMFKbRrQAsdKYa
Angus's photo,Natural wood,Frame,NA,NA,No,Yes,1,NFS,10,Red,Orange,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlBul00_Remake_0_0,0_0,6704,bWYmPSadFcLqxGxcS
Angus's photo,Dark wood,Frame,NA,NA,No,Yes,1,NFS,10,Red,Orange,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlBul00_Remake_1_0,1_0,6704,ig8GGdKzD3oLJyP7t
Angus's photo,Pastel,Frame,NA,NA,No,Yes,1,NFS,10,Red,Orange,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlBul00_Remake_2_0,2_0,6704,XEL4hZ5pmrCL2vLLk
Angus's photo,White,Frame,NA,NA,No,Yes,1,NFS,10,Red,Orange,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlBul00_Remake_3_0,3_0,6704,RWgRWo6H4iyDZKCNu
Angus's photo,Pop,Frame,NA,NA,No,Yes,1,NFS,10,Red,Orange,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlBul00_Remake_4_0,4_0,6704,C8CKY7yNmc2oPkx3K
Angus's photo,Colorful,Frame,NA,NA,No,Yes,1,NFS,10,Red,Orange,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlBul00_Remake_5_0,5_0,6704,p2C7bTApZzjx3fGFq
Angus's photo,Silver,Frame,NA,NA,No,Yes,1,NFS,10,Red,Orange,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlBul00_Remake_6_0,6_0,6704,C5PsDbeg7h39M3nsb
Angus's photo,Gold,Frame,NA,NA,No,Yes,1,NFS,10,Red,Orange,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlBul00_Remake_7_0,7_0,6704,gxBxZJgWjaKFyZafH
Anicotti's photo,Natural wood,Frame,NA,NA,No,Yes,1,NFS,10,Green,Brown,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlMus10_Remake_0_0,0_0,6598,pffn93KpfJ7mNmFAN
Anicotti's photo,Dark wood,Frame,NA,NA,No,Yes,1,NFS,10,Green,Brown,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlMus10_Remake_1_0,1_0,6598,q2WggDjpTyQtGpHkn
Anicotti's photo,Pastel,Frame,NA,NA,No,Yes,1,NFS,10,Green,Brown,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlMus10_Remake_2_0,2_0,6598,fJjPwnjhEtbq6TLbF
Anicotti's photo,White,Frame,NA,NA,No,Yes,1,NFS,10,Green,Brown,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlMus10_Remake_3_0,3_0,6598,snM8DERwy8KbBfDim
Anicotti's photo,Pop,Frame,NA,NA,No,Yes,1,NFS,10,Green,Brown,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlMus10_Remake_4_0,4_0,6598,CeubHxuKNkE68GE6o
Anicotti's photo,Colorful,Frame,NA,NA,No,Yes,1,NFS,10,Green,Brown,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlMus10_Remake_5_0,5_0,6598,mW6sK64jC4JrsL7G6
Anicotti's photo,Silver,Frame,NA,NA,No,Yes,1,NFS,10,Green,Brown,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlMus10_Remake_6_0,6_0,6598,ziAFXw7ajBxHRa7Rz
Anicotti's photo,Gold,Frame,NA,NA,No,Yes,1,NFS,10,Green,Brown,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlMus10_Remake_7_0,7_0,6598,2e9cBNbAZberuRhhq
Ankha's photo,Natural wood,Frame,NA,NA,No,Yes,1,NFS,10,Yellow,Brown,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlCat19_Remake_0_0,0_0,6766,wanh7QBD9ojePXr6R
Ankha's photo,Dark wood,Frame,NA,NA,No,Yes,1,NFS,10,Yellow,Brown,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlCat19_Remake_1_0,1_0,6766,GKkHYKcpiyZogTHYC
Ankha's photo,Pastel,Frame,NA,NA,No,Yes,1,NFS,10,Yellow,Brown,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlCat19_Remake_2_0,2_0,6766,NdF6fg5wkKNDiuHsL
Ankha's photo,White,Frame,NA,NA,No,Yes,1,NFS,10,Yellow,Brown,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlCat19_Remake_3_0,3_0,6766,LGvwo6yozovC7HC5N
Ankha's photo,Pop,Frame,NA,NA,No,Yes,1,NFS,10,Yellow,Brown,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlCat19_Remake_4_0,4_0,6766,t9RkHQJXEkmTnGM2q
Ankha's photo,Colorful,Frame,NA,NA,No,Yes,1,NFS,10,Yellow,Brown,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlCat19_Remake_5_0,5_0,6766,nEkzNwCh9msXGjEA3
Ankha's photo,Silver,Frame,NA,NA,No,Yes,1,NFS,10,Yellow,Brown,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlCat19_Remake_6_0,6_0,6766,2uYMkqXxWNRJ3qYD5
Ankha's photo,Gold,Frame,NA,NA,No,Yes,1,NFS,10,Yellow,Brown,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlCat19_Remake_7_0,7_0,6766,idFMJJzvBJEoeH2v7
Annalisa's photo,Natural wood,Frame,NA,NA,No,Yes,1,NFS,10,Beige,Pink,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlAnt08_Remake_0_0,0_0,6765,QdJTerAbMDgHtmpSo
Annalisa's photo,Dark wood,Frame,NA,NA,No,Yes,1,NFS,10,Beige,Pink,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlAnt08_Remake_1_0,1_0,6765,HoGz4y43TrZKfMrHu
Annalisa's photo,Pastel,Frame,NA,NA,No,Yes,1,NFS,10,Beige,Pink,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlAnt08_Remake_2_0,2_0,6765,jm6hDnMdpN7e37X6S
Annalisa's photo,White,Frame,NA,NA,No,Yes,1,NFS,10,Beige,Pink,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlAnt08_Remake_3_0,3_0,6765,XJQJYkQQJjYpgtx4o
Annalisa's photo,Pop,Frame,NA,NA,No,Yes,1,NFS,10,Beige,Pink,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlAnt08_Remake_4_0,4_0,6765,aeBErddM9fTSvyucb
Annalisa's photo,Colorful,Frame,NA,NA,No,Yes,1,NFS,10,Beige,Pink,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlAnt08_Remake_5_0,5_0,6765,dJzbQ65YZ6YShThfM
Annalisa's photo,Silver,Frame,NA,NA,No,Yes,1,NFS,10,Beige,Pink,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlAnt08_Remake_6_0,6_0,6765,MCpzohBCPSmtqYbg3
Annalisa's photo,Gold,Frame,NA,NA,No,Yes,1,NFS,10,Beige,Pink,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlAnt08_Remake_7_0,7_0,6765,wZGfhzFwC7KCp9B45
Annalise's photo,Natural wood,Frame,NA,NA,No,Yes,1,NFS,10,Brown,Purple,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlHrs09_Remake_0_0,0_0,6548,Aj5vy8sBd4MG69QQo
Annalise's photo,Dark wood,Frame,NA,NA,No,Yes,1,NFS,10,Brown,Purple,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlHrs09_Remake_1_0,1_0,6548,hNZmfa8WtR2Rp8wo4
Annalise's photo,Pastel,Frame,NA,NA,No,Yes,1,NFS,10,Brown,Purple,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlHrs09_Remake_2_0,2_0,6548,cWoWqzC2d6z742vWJ
Annalise's photo,White,Frame,NA,NA,No,Yes,1,NFS,10,Brown,Purple,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlHrs09_Remake_3_0,3_0,6548,84oTpLos535gMB8RC
Annalise's photo,Pop,Frame,NA,NA,No,Yes,1,NFS,10,Brown,Purple,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlHrs09_Remake_4_0,4_0,6548,zuAtHjtTWFd4Z8KvN
Annalise's photo,Colorful,Frame,NA,NA,No,Yes,1,NFS,10,Brown,Purple,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlHrs09_Remake_5_0,5_0,6548,utaXJakd3mamtPiEP
Annalise's photo,Silver,Frame,NA,NA,No,Yes,1,NFS,10,Brown,Purple,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlHrs09_Remake_6_0,6_0,6548,ZJtHqtNktREQ84eLq
Annalise's photo,Gold,Frame,NA,NA,No,Yes,1,NFS,10,Brown,Purple,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlHrs09_Remake_7_0,7_0,6548,vodAcZt6Hb9tXj8mr
Antonio's photo,Natural wood,Frame,NA,NA,No,Yes,1,NFS,10,Blue,Yellow,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlAnt01_Remake_0_0,0_0,6537,whr8GRsLLoRddENk5
Antonio's photo,Dark wood,Frame,NA,NA,No,Yes,1,NFS,10,Blue,Yellow,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlAnt01_Remake_1_0,1_0,6537,hz6hZwM5wv3PPJ4KN
