Name,Variation,Body Title,Pattern,Pattern Title,DIY,Body Customize,Pattern Customize,Kit Cost,Buy,Sell,Color 1,Color 2,Size,Source,Source Notes,Version,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,Interact,Tag,Outdoor,Speaker Type,Lighting Type,Catalog,Filename,Variant ID,Internal ID,Unique Entry ID
amp,White,NA,NA,NA,No,No,No,NA,5100,1275,White,Gray,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,concert,None,None,None,No,Musical Instrument,No,Does not play music,No lighting,For sale,FtrAmp_Remake_1_0,1_0,849,MyyKQjQLoNwRBxotN
amp,Orange,NA,NA,NA,No,No,No,NA,5100,1275,Orange,Black,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,concert,None,None,None,No,Musical Instrument,No,Does not play music,No lighting,For sale,FtrAmp_Remake_2_0,2_0,849,RvK5HfWmj3JiarEuv
amp,Brown,NA,NA,NA,No,No,No,NA,5100,1275,Brown,Beige,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,concert,None,None,None,No,Musical Instrument,No,Does not play music,No lighting,For sale,FtrAmp_Remake_3_0,3_0,849,tBcdytBjuxSm9d2fZ
amp,Blue,NA,NA,NA,No,No,No,NA,5100,1275,Blue,Black,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,concert,None,None,None,No,Musical Instrument,No,Does not play music,No lighting,For sale,FtrAmp_Remake_4_0,4_0,849,AmLfDtSibYyBDrMmY
amp,Red,NA,NA,NA,No,No,No,NA,5100,1275,Red,Black,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,concert,None,None,None,No,Musical Instrument,No,Does not play music,No lighting,For sale,FtrAmp_Remake_5_0,5_0,849,9PHmPyxF6fjKgGzKA
amp,Pink,NA,NA,NA,No,No,No,NA,5100,1275,Pink,Gray,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,concert,None,None,None,No,Musical Instrument,No,Does not play music,No lighting,For sale,FtrAmp_Remake_6_0,6_0,849,yivR6nwwzFWyQ5ogM
analog kitchen scale,Red,NA,NA,NA,No,No,No,NA,1100,275,Red,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,None,None,Yes,Kitchen Things,No,Does not play music,No lighting,For sale,FtrWeighing_Remake_0_0,0_0,3993,6WMJcEFXoWt9mmtvE
analog kitchen scale,Yellow,NA,NA,NA,No,No,No,NA,1100,275,Yellow,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,None,None,Yes,Kitchen Things,No,Does not play music,No lighting,For sale,FtrWeighing_Remake_1_0,1_0,3993,YfYgj2jXPy6sip9Qu
analog kitchen scale,Green,NA,NA,NA,No,No,No,NA,1100,275,Green,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,None,None,Yes,Kitchen Things,No,Does not play music,No lighting,For sale,FtrWeighing_Remake_2_0,2_0,3993,Spi4XHmdPD2CX7xL4
analog kitchen scale,Blue,NA,NA,NA,No,No,No,NA,1100,275,Blue,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,None,None,Yes,Kitchen Things,No,Does not play music,No lighting,For sale,FtrWeighing_Remake_3_0,3_0,3993,LgKQD3p9WLzfg3GN4
analog kitchen scale,Pink,NA,NA,NA,No,No,No,NA,1100,275,Pink,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,None,None,Yes,Kitchen Things,No,Does not play music,No lighting,For sale,FtrWeighing_Remake_4_0,4_0,3993,FJHLtvYAkJLBCyvKZ
analog kitchen scale,Ivory,NA,NA,NA,No,No,No,NA,1100,275,Yellow,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,None,None,Yes,Kitchen Things,No,Does not play music,No lighting,For sale,FtrWeighing_Remake_5_0,5_0,3993,o8gB7rkjtK8geGeMW
analog kitchen scale,Light blue,NA,NA,NA,No,No,No,NA,1100,275,Light blue,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,None,None,Yes,Kitchen Things,No,Does not play music,No lighting,For sale,FtrWeighing_Remake_6_0,6_0,3993,Xd3pqsLgpnFeWC46C
analog kitchen scale,Black,NA,NA,NA,No,No,No,NA,1100,275,Black,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,None,None,Yes,Kitchen Things,No,Does not play music,No lighting,For sale,FtrWeighing_Remake_7_0,7_0,3993,2Sw2GvGbFtnz6Ft7g
anchovy model,NA,NA,NA,NA,No,No,No,NA,NFS,600,Blue,Black,1x1,C.J.,Trade 3 fish to receive a model in the mail the next day,1.0.0,None,None,None,None,No,Fish,No,Does not play music,No lighting,Not for sale,FtrFishAntyobiToy,NA,6999,jqs5hyDDgiozw7D6W
angelfish model,NA,NA,NA,NA,No,No,No,NA,NFS,9000,Yellow,Black,1x1,C.J.,Trade 3 fish to receive a model in the mail the next day,1.0.0,None,None,None,None,No,Fish,No,Does not play music,No lighting,Not for sale,FtrFishAngelfishToy,NA,6933,c68YashL9kXvfwLp4
ant farm,NA,NA,NA,NA,No,No,No,NA,1400,350,Green,Brown,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,facility,child's room,None,None,No,Special Insect,No,Does not play music,No lighting,For sale,FtrInsectAriFarm,NA,11866,nuqhnEuJinwzRrp2z
ant model,NA,NA,NA,NA,No,No,No,NA,NFS,240,Black,Black,1x1,Flick,Trade 3 insects to receive a model in the mail the next day,1.0.0,None,None,None,None,No,Insect,No,Does not play music,No lighting,Not for sale,FtrInsectAriToy,NA,7053,pvyXsn72duZvP5csK
anthurium plant,White,NA,NA,NA,No,No,No,NA,990,247,Red,Green,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,living room,None,None,None,No,Plants,No,Does not play music,No lighting,For sale,FtrPlantAnthurium_Remake_0_0,0_0,3949,BfZjDAavNeyem3bFX
anthurium plant,Brown,NA,NA,NA,No,No,No,NA,990,247,Red,Green,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,living room,None,None,None,No,Plants,No,Does not play music,No lighting,For sale,FtrPlantAnthurium_Remake_1_0,1_0,3949,8r8yH5cDR9D94dWE2
anthurium plant,Light blue,NA,NA,NA,No,No,No,NA,990,247,Red,Green,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,living room,None,None,None,No,Plants,No,Does not play music,No lighting,For sale,FtrPlantAnthurium_Remake_2_0,2_0,3949,9WXR8N8LWcLgcbuTq
anthurium plant,Pink,NA,NA,NA,No,No,No,NA,990,247,Pink,Green,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,living room,None,None,None,No,Plants,No,Does not play music,No lighting,For sale,FtrPlantAnthurium_Remake_3_0,3_0,3949,eRvZ8pBJ2gMbQXTTC
anthurium plant,Black,NA,NA,NA,No,No,No,NA,990,247,White,Green,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,living room,None,None,None,No,Plants,No,Does not play music,No lighting,For sale,FtrPlantAnthurium_Remake_4_0,4_0,3949,X5WqEpcbqAunjxS4f
arapaima model,NA,NA,NA,NA,No,No,No,NA,NFS,30000,Black,Black,2x1,C.J.,Trade 3 fish to receive a model in the mail the next day,1.0.0,None,None,None,None,No,Fish,No,Does not play music,No lighting,Not for sale,FtrFishPirarukuToy,NA,7006,mYrf2qXTygc8GphQC
aroma pot,White,Variation,NA,NA,Yes,Yes,No,1,NFS,600,White,Light blue,1x1,Crafting,,1.0.0,living room,None,None,None,Yes,Beauty,No,Does not play music,No lighting,Not for sale,FtrAlomapot_Remake_0_0,0_0,1753,6AqmYqJXkqoYTfJej
aroma pot,Brown,Variation,NA,NA,Yes,Yes,No,1,NFS,600,Brown,Orange,1x1,Crafting,,1.0.0,living room,None,None,None,Yes,Beauty,No,Does not play music,No lighting,Not for sale,FtrAlomapot_Remake_1_0,1_0,1753,kv6phyzaTZRerstP4
aroma pot,Green,Variation,NA,NA,Yes,Yes,No,1,NFS,600,Green,Green,1x1,Crafting,,1.0.0,living room,None,None,None,Yes,Beauty,No,Does not play music,No lighting,Not for sale,FtrAlomapot_Remake_2_0,2_0,1753,QQLoouuttf58T3ufJ
aroma pot,Pink,Variation,NA,NA,Yes,Yes,No,1,NFS,600,Pink,Pink,1x1,Crafting,,1.0.0,living room,None,None,None,Yes,Beauty,No,Does not play music,No lighting,Not for sale,FtrAlomapot_Remake_3_0,3_0,1753,tLn4NcyuPmuHXgKn8
aroma pot,Cream,Variation,NA,NA,Yes,Yes,No,1,NFS,600,Beige,Green,1x1,Crafting,,1.0.0,living room,None,None,None,Yes,Beauty,No,Does not play music,No lighting,Not for sale,FtrAlomapot_Remake_4_0,4_0,1753,5RFavNA2iBfAcQCK4
aroma pot,Black,Variation,NA,NA,Yes,Yes,No,1,NFS,600,Black,Blue,1x1,Crafting,,1.0.0,living room,None,None,None,Yes,Beauty,No,Does not play music,No lighting,Not for sale,FtrAlomapot_Remake_5_0,5_0,1753,YZgdtQSYDiw8TTXzJ
arowana model,NA,NA,NA,NA,No,No,No,NA,NFS,30000,Yellow,Black,1x1,C.J.,Trade 3 fish to receive a model in the mail the next day,1.0.0,None,None,None,None,No,Fish,No,Does not play music,No lighting,Not for sale,FtrFishArowanaToy,NA,6935,SeSQEP9r8f4ZH3ZgP
Baby bear,Cream,NA,None,Shirt,No,No,Yes,1,1800,450,Beige,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,No,Does not play music,No lighting,For sale,FtrBearS_Remake_0_0,0_0,1501,g2XmJfB8pFYwRq9F6
Baby bear,Cream,NA,Heart,Shirt,No,No,Yes,1,1800,450,Beige,Red,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,No,Does not play music,No lighting,For sale,FtrBearS_Remake_0_1,0_1,1501,SSKzzn4PKuGQwr2pL
Baby bear,Cream,NA,Fish,Shirt,No,No,Yes,1,1800,450,Beige,Blue,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,No,Does not play music,No lighting,For sale,FtrBearS_Remake_0_2,0_2,1501,36HzWPnuJQGP8dQ3J
Baby bear,Cream,NA,Star,Shirt,No,No,Yes,1,1800,450,Beige,Yellow,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,No,Does not play music,No lighting,For sale,FtrBearS_Remake_0_3,0_3,1501,ejuF7sTa4N64k8AD9
Baby bear,Caramel mocha,NA,None,Shirt,No,No,Yes,1,1800,450,Beige,Beige,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,No,Does not play music,No lighting,For sale,FtrBearS_Remake_1_0,1_0,1501,pkRq4pGLsBgZJs6Zz
Baby bear,Caramel mocha,NA,Heart,Shirt,No,No,Yes,1,1800,450,Beige,Red,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,No,Does not play music,No lighting,For sale,FtrBearS_Remake_1_1,1_1,1501,vXLCKkgzYCK7KQjgp
Baby bear,Caramel mocha,NA,Fish,Shirt,No,No,Yes,1,1800,450,Beige,Blue,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,No,Does not play music,No lighting,For sale,FtrBearS_Remake_1_2,1_2,1501,GvyMQSw6Y7dAssqLE
Baby bear,Caramel mocha,NA,Star,Shirt,No,No,Yes,1,1800,450,Beige,Yellow,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,No,Does not play music,No lighting,For sale,FtrBearS_Remake_1_3,1_3,1501,B85z59MD8h7M9Ctrk
Baby bear,Choco,NA,None,Shirt,No,No,Yes,1,1800,450,Brown,Brown,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,No,Does not play music,No lighting,For sale,FtrBearS_Remake_2_0,2_0,1501,2T9YQNT5fZytrqrwK
Baby bear,Choco,NA,Heart,Shirt,No,No,Yes,1,1800,450,Brown,Red,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,No,Does not play music,No lighting,For sale,FtrBearS_Remake_2_1,2_1,1501,CD9XqwhPSre2zzNjX
Baby bear,Choco,NA,Fish,Shirt,No,No,Yes,1,1800,450,Brown,Blue,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,No,Does not play music,No lighting,For sale,FtrBearS_Remake_2_2,2_2,1501,ZKQ8SQtNRXhQ63ANr
Baby bear,Choco,NA,Star,Shirt,No,No,Yes,1,1800,450,Brown,Yellow,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,No,Does not play music,No lighting,For sale,FtrBearS_Remake_2_3,2_3,1501,muwwSKJHXGAeCmPEb
Baby bear,Floral,NA,None,Shirt,No,No,Yes,1,1800,450,Blue,Pink,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,No,Does not play music,No lighting,For sale,FtrBearS_Remake_3_0,3_0,1501,iC6uke9rdu6nFFZ9G
Baby bear,Floral,NA,Heart,Shirt,No,No,Yes,1,1800,450,Blue,Red,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,No,Does not play music,No lighting,For sale,FtrBearS_Remake_3_1,3_1,1501,JgZfkc4k6nyjwjv9Q
Baby bear,Floral,NA,Fish,Shirt,No,No,Yes,1,1800,450,Blue,Blue,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,No,Does not play music,No lighting,For sale,FtrBearS_Remake_3_2,3_2,1501,hycjnzbvHSdCXcCSJ
Baby bear,Floral,NA,Star,Shirt,No,No,Yes,1,1800,450,Blue,Yellow,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,No,Does not play music,No lighting,For sale,FtrBearS_Remake_3_3,3_3,1501,mjwTqXDWN6TXNtLoR
Baby bear,Checkered,NA,None,Shirt,No,No,Yes,1,1800,450,Yellow,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,No,Does not play music,No lighting,For sale,FtrBearS_Remake_4_0,4_0,1501,QJqqQh5tQR59LFLXP
Baby bear,Checkered,NA,Heart,Shirt,No,No,Yes,1,1800,450,Yellow,Red,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,No,Does not play music,No lighting,For sale,FtrBearS_Remake_4_1,4_1,1501,qBvYFruEFNxRRm4qF
Baby bear,Checkered,NA,Fish,Shirt,No,No,Yes,1,1800,450,Yellow,Yellow,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,No,Does not play music,No lighting,For sale,FtrBearS_Remake_4_2,4_2,1501,pfbzHggDW8rLZyySF
Baby bear,Checkered,NA,Star,Shirt,No,No,Yes,1,1800,450,Yellow,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,No,Does not play music,No lighting,For sale,FtrBearS_Remake_4_3,4_3,1501,5uqwwqA6dMAhQFpmm
Baby bear,Tweed,NA,None,Shirt,No,No,Yes,1,1800,450,Colorful,Colorful,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,No,Does not play music,No lighting,For sale,FtrBearS_Remake_5_0,5_0,1501,nPchvcMPNmZ7eDKJJ
Baby bear,Tweed,NA,Heart,Shirt,No,No,Yes,1,1800,450,Colorful,Red,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,No,Does not play music,No lighting,For sale,FtrBearS_Remake_5_1,5_1,1501,mgSKedtr9Lk4NTaWL
Baby bear,Tweed,NA,Fish,Shirt,No,No,Yes,1,1800,450,Colorful,Blue,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,No,Does not play music,No lighting,For sale,FtrBearS_Remake_5_2,5_2,1501,goji34uBiXDRhjkSv
Baby bear,Tweed,NA,Star,Shirt,No,No,Yes,1,1800,450,Colorful,Yellow,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,No,Does not play music,No lighting,For sale,FtrBearS_Remake_5_3,5_3,1501,qjt78GA8vEf5xDW5W
Baby panda,NA,NA,NA,NA,No,No,No,NA,1800,450,Green,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,panda,No,Animal,No,Does not play music,No lighting,For sale,FtrPandaS,NA,9698,TrjKcMrQXJf7NCbta
bagworm model,NA,NA,NA,NA,No,No,No,NA,NFS,1800,Brown,Brown,1x1,Flick,Trade 3 insects to receive a model in the mail the next day,1.0.0,None,None,None,None,No,Insect,No,Does not play music,No lighting,Not for sale,FtrInsectMinomushiToy,NA,7082,xPShFD4zcZx389xxz
ball,Basketball,NA,NA,NA,No,No,No,NA,520,130,Orange,Black,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fitness,school,None,None,Yes,Sports,Yes,Does not play music,No lighting,For sale,FtrBall_Remake_0_0,0_0,2010,kWNLESb9BwdejFzCw
ball,Soccer ball,NA,NA,NA,No,No,No,NA,520,130,White,Black,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fitness,school,None,None,Yes,Sports,Yes,Does not play music,No lighting,For sale,FtrBall_Remake_1_0,1_0,2010,Tps4AsF9ZaDrhn2CN
ball,Volleyball,NA,NA,NA,No,No,No,NA,520,130,White,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fitness,school,None,None,Yes,Sports,Yes,Does not play music,No lighting,For sale,FtrBall_Remake_2_0,2_0,2010,6Jr79mcuZsGGPJjK8
ball,Dodgeball,NA,NA,NA,No,No,No,NA,520,130,Yellow,Black,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fitness,school,None,None,Yes,Sports,Yes,Does not play music,No lighting,For sale,FtrBall_Remake_3_0,3_0,2010,7FFD7gshDsb7mmB2X
bamboo candleholder,Green bamboo,Bamboo,NA,NA,Yes,Yes,No,2,NFS,880,Green,Beige,1x1,Crafting,,1.0.0,zen-style,None,bamboo,None,Yes,Lamp,No,Does not play music,Candle,Not for sale,FtrBambooCandle_Remake_0_0,0_0,3554,WzyJkmGQKPRk7xyv9
bamboo candleholder,Dried bamboo,Bamboo,NA,NA,Yes,Yes,No,2,NFS,880,Yellow,Beige,1x1,Crafting,,1.0.0,zen-style,None,bamboo,None,Yes,Lamp,No,Does not play music,Candle,Not for sale,FtrBambooCandle_Remake_1_0,1_0,3554,yNHBsocxFskBwynvR
bamboo candleholder,Smoke-cured bamboo,Bamboo,NA,NA,Yes,Yes,No,2,NFS,880,Brown,Beige,1x1,Crafting,,1.0.0,zen-style,None,bamboo,None,Yes,Lamp,No,Does not play music,Candle,Not for sale,FtrBambooCandle_Remake_2_0,2_0,3554,7xMibNQTXMWZvPWGR
bamboo drum,Green bamboo,Bamboo,NA,NA,Yes,Yes,No,1,NFS,720,Green,Pink,1x1,Crafting,,1.0.0,zen-style,None,bamboo,None,Yes,Musical Instrument,No,Does not play music,No lighting,Not for sale,FtrBamboodrum_Remake_0_0,0_0,4093,gg3aBipuGNFEeuyQb
bamboo drum,Dried bamboo,Bamboo,NA,NA,Yes,Yes,No,1,NFS,720,Yellow,Orange,1x1,Crafting,,1.0.0,zen-style,None,bamboo,None,Yes,Musical Instrument,No,Does not play music,No lighting,Not for sale,FtrBamboodrum_Remake_1_0,1_0,4093,Pexz4E7q8zEQMgyK6
bamboo drum,Smoke-cured bamboo,Bamboo,NA,NA,Yes,Yes,No,1,NFS,720,Brown,Light blue,1x1,Crafting,,1.0.0,zen-style,None,bamboo,None,Yes,Musical Instrument,No,Does not play music,No lighting,Not for sale,FtrBamboodrum_Remake_2_0,2_0,4093,XAEk7jqLzW3yD58sp
bamboo lunch box,Green bamboo,Bamboo,NA,NA,Yes,Yes,No,1,NFS,640,Green,Colorful,1x1,Crafting,,1.0.0,zen-style,None,bamboo,None,No,Dining,No,Does not play music,No lighting,Not for sale,FtrBambooLunch_Remake_0_0,0_0,5978,XTFhsR3P4ybuZhc3d
bamboo lunch box,Dried bamboo,Bamboo,NA,NA,Yes,Yes,No,1,NFS,640,Yellow,Colorful,1x1,Crafting,,1.0.0,zen-style,None,bamboo,None,No,Dining,No,Does not play music,No lighting,Not for sale,FtrBambooLunch_Remake_1_0,1_0,5978,6AMme4wZdRJtrLuTj
bamboo lunch box,Smoke-cured bamboo,Bamboo,NA,NA,Yes,Yes,No,1,NFS,640,Brown,Colorful,1x1,Crafting,,1.0.0,zen-style,None,bamboo,None,No,Dining,No,Does not play music,No lighting,Not for sale,FtrBambooLunch_Remake_2_0,2_0,5978,sS2JrzYMRLDbsNAxB
bamboo sphere,Green bamboo,Bamboo,NA,NA,Yes,Yes,No,1,NFS,480,Green,Blue,1x1,Crafting,,1.0.0,zen-style,None,bamboo,None,No,Toy,No,Does not play music,No lighting,Not for sale,FtrBambooBall_Remake_0_0,0_0,5976,MyMNc3DYkCywyNQfd
bamboo sphere,Dried bamboo,Bamboo,NA,NA,Yes,Yes,No,1,NFS,480,Yellow,Purple,1x1,Crafting,,1.0.0,zen-style,None,bamboo,None,No,Toy,No,Does not play music,No lighting,Not for sale,FtrBambooBall_Remake_1_0,1_0,5976,ZPTZa8nL2qZzec7Mn
bamboo sphere,Smoke-cured bamboo,Bamboo,NA,NA,Yes,Yes,No,1,NFS,480,Brown,White,1x1,Crafting,,1.0.0,zen-style,None,bamboo,None,No,Toy,No,Does not play music,No lighting,Not for sale,FtrBambooBall_Remake_2_0,2_0,5976,5uyxDdyRak9EPGhur
bamboo-shoot lamp,NA,NA,NA,NA,Yes,No,No,NA,NFS,4900,Brown,Beige,1x1,Crafting,,1.0.0,zen-style,None,bamboo,None,Yes,Lamp,No,Does not play music,Fluorescent,Not for sale,FtrBambooshootLamp,NA,5977,9j4wh3muQeG6F8Kz2
barred knifejaw model,NA,NA,NA,NA,No,No,No,NA,NFS,15000,White,Black,1x1,C.J.,Trade 3 fish to receive a model in the mail the next day,1.0.0,None,None,None,None,No,Fish,No,Does not play music,No lighting,Not for sale,FtrFishIshidaiToy,NA,6959,T9JBnkxBRJenY33Bg
barreleye model,NA,NA,NA,NA,No,No,No,NA,NFS,45000,Black,Black,1x1,C.J.,Trade 3 fish to receive a model in the mail the next day,1.0.0,None,None,None,None,No,Fish,No,Does not play music,No lighting,Not for sale,FtrFishDemenigisuToy,NA,6943,3Gucpfk3GP7mTsQtJ
beach ball,Colorful,NA,NA,NA,No,No,No,NA,430,107,Colorful,Colorful,1x1,Nook's Cranny,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened",1.0.0,ocean,None,None,None,Yes,Seaside,Yes,Does not play music,No lighting,For sale,FtrBeachball_Remake_0_0,0_0,9584,hduZB4RhQNp75i9W9
