Name,Buy,Sell,Color 1,Color 2,Size,Source,Museum,Version,Interact,Catalog,Filename,Internal ID,Unique Entry ID
plesio tail,NFS,4500,Brown,Brown,2x2,Assessing fossils,Room 2,1.0.0,No,Not for sale,FtrFossilElasmosaurusC,236,7dLqS33KYzWRFvkde
ptera body,NFS,4000,Brown,Brown,2x2,Assessing fossils,Room 2,1.0.0,No,Not for sale,FtrFossilPteranodonA,206,6oAjXjSy7DqrbifKT
quetzal torso,NFS,4500,Brown,Brown,2x2,Assessing fossils,Room 2,1.0.0,No,Not for sale,FtrFossilQuetzalcoatlusA,4697,SoS8Q55cyTsEyqeZi
right megalo side,NFS,5500,Beige,Brown,2x2,Assessing fossils,Room 3,1.0.0,No,Not for sale,FtrFossilMegalocerosA,4658,6qFWqu3vKF9SuPjRE
right ptera wing,NFS,4500,Brown,Brown,2x2,Assessing fossils,Room 2,1.0.0,No,Not for sale,FtrFossilPteranodonB,207,z45jBDDaRufwQkiEf
right quetzal wing,NFS,5000,Brown,Brown,2x2,Assessing fossils,Room 2,1.0.0,No,Not for sale,FtrFossilQuetzalcoatlusB,4698,aAXrsXuY5cTjq4yKi
sabertooth skull,NFS,2500,Brown,Brown,2x2,Assessing fossils,Room 3,1.0.0,No,Not for sale,FtrFossilSmilodonA,213,4xkrLpphWXubgtRPw
sabertooth tail,NFS,2000,Brown,Brown,2x2,Assessing fossils,Room 3,1.0.0,No,Not for sale,FtrFossilSmilodonB,214,iXfTo3dxakDrLZxnv
shark-tooth pattern,NFS,1000,Beige,Brown,1x1,Assessing fossils,Room 1,1.0.0,No,Not for sale,FtrFossilShark,302,yKE5xwKL9EeCJdN4D
spino skull,NFS,4000,Brown,Brown,2x2,Assessing fossils,Room 2,1.0.0,Yes,Not for sale,FtrFossilSpinosaurusA,222,qbzMLGPcJWikeTWAG
spino tail,NFS,2500,Brown,Brown,2x2,Assessing fossils,Room 2,1.0.0,No,Not for sale,FtrFossilSpinosaurusC,224,7gnFZgeb6qq6K34Tb
spino torso,NFS,3000,Brown,Brown,2x2,Assessing fossils,Room 2,1.0.0,No,Not for sale,FtrFossilSpinosaurusB,223,Ap8LgQD6Ht4dryTjk
stego skull,NFS,5000,Brown,Brown,2x2,Assessing fossils,Room 2,1.0.0,No,Not for sale,FtrFossilStegosaurusA,226,DqsxWDoY5Mue6eQxg
stego tail,NFS,4000,Brown,Brown,2x2,Assessing fossils,Room 2,1.0.0,No,Not for sale,FtrFossilStegosaurusC,228,DQgfeZCeApGKBazBL
stego torso,NFS,4500,Brown,Brown,2x2,Assessing fossils,Room 2,1.0.0,No,Not for sale,FtrFossilStegosaurusB,227,Lv7ChzGsofd3qEjDL
T. rex skull,NFS,6000,Brown,Brown,2x2,Assessing fossils,Room 2,1.0.0,Yes,Not for sale,FtrFossilTRexA,238,9DunYGEb3QhJLwpPu
T. rex tail,NFS,5000,Brown,Brown,2x2,Assessing fossils,Room 2,1.0.0,No,Not for sale,FtrFossilTRexC,240,AfeJAEkmJCdgtMrWj
T. rex torso,NFS,5500,Brown,Brown,2x2,Assessing fossils,Room 2,1.0.0,No,Not for sale,FtrFossilTRexB,239,q9voJCHs9X5b32TWf
tricera skull,NFS,5500,Brown,Brown,2x2,Assessing fossils,Room 2,1.0.0,Yes,Not for sale,FtrFossilTriceratopsA,242,ueCYTncJDsf2RYJYx
tricera tail,NFS,4500,Brown,Brown,2x2,Assessing fossils,Room 2,1.0.0,No,Not for sale,FtrFossilTriceratopsC,244,TXbdqeAkhjtqBJAWC
tricera torso,NFS,5000,Brown,Brown,2x2,Assessing fossils,Room 2,1.0.0,No,Not for sale,FtrFossilTriceratopsB,243,s2EGQuuStMSwFdT8y
trilobite,NFS,1300,Beige,Brown,1x1,Assessing fossils,Room 1,1.0.0,No,Not for sale,FtrFossilTrilobite,303,qFoqCvDTBd2oyC5Gz
