order,family,Genus,species,mass,gestation,newborn,weaning,wean mass,AFR,max. life,litter size,litters/year
Artiodactyla,Bovidae,Cephalophus,nigrifrons,13900,-999,not measured,-999,-999,-999,236,-999,
Artiodactyla,Bovidae,Cephalophus,natalensis,10000,-999,not measured,-999,-999,-999,0,1,
Artiodactyla,Bovidae,Cephalophus,leucogaster,12700,-999,not measured,-999,-999,-999,0,1,
Artiodactyla,Bovidae,Cephalophus,ogilbyi,20000,4,not measured,-999,-999,-999,0,1,
Artiodactyla,Bovidae,Cephalophus,zebra,-999,7.47,1707.5,-999,-999,-999,0,1,
Artiodactyla,Bovidae,Cephalophus,rufilatus,12500,7.82,965,-999,-999,13.78,0,1,
Artiodactyla,Bovidae,Cephalophus,dorsalis,11600,7.75,1610,-999,-999,19,0,1,
Artiodactyla,Bovidae,Cephalophus,monticola,6250,6.43,800,-999,-999,16,144,1,
Artiodactyla,Bovidae,Cephalophus,silvicultor,62500,5.43,2400,1.25,20512.5,-999,0,1,1
Artiodactyla,Bovidae,Cephalophus,maxwellii,9000,4,832,2,-999,32,120,1,1
Artiodactyla,Bovidae,Connochaetes,gnou,132250,8.5,11000,7.5,-999,25.1,235,1.01,
Artiodactyla,Bovidae,Connochaetes,taurinus,164500,8.32,17716.67,8,-999,20.4,0,1,1
Artiodactyla,Bovidae,Damaliscus,hunteri,159000,9.3,8350,-999,-999,-999,0,1,
Artiodactyla,Bovidae,Damaliscus,pygargus,84500,8.2,6792,5,-999,23.26,260,1.25,
Artiodactyla,Bovidae,Damaliscus,lunatus,128000,7.81,11100,-999,-999,21,0,1,0.57
Artiodactyla,Bovidae,Gazella,soemmerringii,40000,6.5,not measured,-999,-999,19.9,0,-999,
Artiodactyla,Bovidae,Gazella,rufifrons,27000,5.75,not measured,-999,-999,-999,0,1,
Artiodactyla,Bovidae,Gazella,dama,73000,6.84,not measured,-999,-999,-999,0,1,
Artiodactyla,Bovidae,Gazella,leptoceros,23600,5.42,4640,-999,-999,5.17,0,1,
Artiodactyla,Bovidae,Gazella,granti,47636.36,6.45,5602.5,-999,-999,8.25,0,1,
Artiodactyla,Bovidae,Gazella,spekei,20000,6.48,1253.33,-999,-999,16.8,0,1,
Artiodactyla,Bovidae,Gazella,cuvieri,17500,5.61,not measured,-999,-999,11.46,0,1.46,
Artiodactyla,Bovidae,Gazella,dorcas,16985,4.74,1500.63,2.75,7000,22.27,0,1.18,1
Artiodactyla,Bovidae,Gazella,subgutturosa,25500,5.37,2426.67,3.5,13500,18.5,188,1.44,1
Artiodactyla,Bovidae,Gazella,thomsonii,16300,5.37,2553.75,3.35,-999,12.18,0,1,1.5
Artiodactyla,Bovidae,Gazella,gazella,20750,6,not measured,3,-999,13.2,219,1.6,1.5
Artiodactyla,Bovidae,Hemitragus,hylocrius,-999,6.17,not measured,5,-999,20.5,0,1,
Artiodactyla,Bovidae,Hemitragus,jemlahicus,35200,6,2000,4.97,-999,24,261,1.03,1
Artiodactyla,Bovidae,Hippotragus,equinus,242000,9.32,15166.67,6,-999,23.5,0,1,
Artiodactyla,Bovidae,Hippotragus,niger,200500,8.87,15447.14,7,-999,24.51,267,1,1
Artiodactyla,Bovidae,Kobus,megaceros,17500,-999,not measured,-999,-999,19.67,0,-999,
Artiodactyla,Bovidae,Kobus,vardonii,63950,8.5,not measured,-999,-999,-999,0,1,
Artiodactyla,Bovidae,Kobus,leche,81733.33,7.57,5100,4.5,-999,23.31,180,1,
Artiodactyla,Bovidae,Kobus,ellipsiprymnus,175333.33,8.91,9000,7.39,-999,25.34,222,1.1,1.1
Artiodactyla,Bovidae,Kobus,kob,58600,8.38,4937.5,6.39,31600,11.6,263,1,1.3
Artiodactyla,Bovidae,Litocranius,walleri,41333.33,6.76,not measured,-999,-999,11.83,156,1,
Artiodactyla,Bovidae,Madoqua,saltiana,3250,-999,690,1.5,-999,10,0,1,
Artiodactyla,Bovidae,Madoqua,guentheri,4550,5.84,681.67,2.75,2825.5,-999,0,1,2
Artiodactyla,Bovidae,Madoqua,kirkii,4876.67,5.77,654,2.35,1780,8.77,171,1,2
Artiodactyla,Bovidae,Naemorhedus,crispus,30000,7.15,3510.5,-999,-999,42,223,1,
Artiodactyla,Bovidae,Naemorhedus,sumatraensis,87500,7.5,not measured,-999,-999,-999,0,1,1
Artiodactyla,Bovidae,Naemorhedus,goral,27666.67,7.69,2000,-999,-999,31.2,0,1,1
Artiodactyla,Bovidae,Neotragus,batesi,2500,6,500,-999,-999,9.33,0,-999,
Artiodactyla,Bovidae,Neotragus,moschatus,7166.67,6,not measured,-999,-999,6.05,162,1,
Artiodactyla,Bovidae,Oreamnos,americanus,82350,5.78,3176.67,2.67,-999,29.99,230,1.32,1
Artiodactyla,Bovidae,Oreotragus,oreotragus,13000,6.79,1065,4.5,-999,12,214,1,
Artiodactyla,Bovidae,Oryx,dammah,177500,8.22,10316.67,-999,-999,21.3,0,1,
Artiodactyla,Bovidae,Oryx,leucoryx,121350,8,not measured,4.5,-999,26.11,0,1,1
Artiodactyla,Bovidae,Oryx,gazella,195000,9.01,12015,-999,-999,25.02,240,1,1.33
Artiodactyla,Bovidae,Ourebia,ourebi,17500,6.95,2235,4.5,-999,12.62,190,1,1.53
Artiodactyla,Bovidae,Ovibos,moschatus,258000,8.48,11077.4,6.21,-999,37.33,288,1.01,0.75
Artiodactyla,Bovidae,Ovis,nivicola,50500,-999,not measured,-999,-999,24,0,1,
Artiodactyla,Bovidae,Ovis,vignei,60000,6,not measured,-999,-999,-999,0,1.5,
Artiodactyla,Bovidae,Ovis,dalli,57666.67,5.62,3500,4.33,-999,26.57,0,1.18,0.75
Artiodactyla,Bovidae,Ovis,canadensis,68166.67,5.99,4266.67,4.86,28666.67,23.07,240,1.06,1
Artiodactyla,Bovidae,Ovis,ammon,180000,5.61,2375,4.5,-999,11.67,0,1.2,1
Artiodactyla,Bovidae,Ovis,aries,50000,5.02,2277.08,6,17500,18.23,0,1.35,1
Artiodactyla,Bovidae,Pantholops,hodgsonii,27500,7,not measured,-999,-999,-999,0,1,
Artiodactyla,Bovidae,Pelea,capreolus,25000,8.7,not measured,-999,-999,-999,148,1,
Artiodactyla,Bovidae,Procapra,gutturosa,24000,6.43,2900,-999,-999,17.5,84,1.33,
Artiodactyla,Bovidae,Pseudois,nayaur,46666.67,5.16,not measured,6,-999,18.61,180,1.5,
Artiodactyla,Bovidae,Raphicerus,campestris,11333.33,6.53,936,3,-999,7.5,0,1,
Artiodactyla,Bovidae,Redunca,arundinum,48850,7.32,4500,-999,-999,-999,0,1,
Artiodactyla,Bovidae,Redunca,redunca,40000,7.5,not measured,-999,-999,120,216,1,
Artiodactyla,Bovidae,Redunca,fulvorufula,30000,7.57,2600,-999,-999,12.96,144,1,1.09
Artiodactyla,Bovidae,Rupicapra,rupicapra,26100,5.83,2652.86,3.7,-999,30.55,0,1,0.94
Artiodactyla,Bovidae,Saiga,tatarica,38250,4.94,3365.33,2.92,14500,9.15,144,1.65,1
Artiodactyla,Bovidae,Sigmoceros,lichtensteinii,153000,7.76,15000,-999,-999,16.58,0,1,
Artiodactyla,Bovidae,Sylvicapra,grimmia,19000,5.08,1202.86,-999,-999,9.9,172,1.01,1.38
Artiodactyla,Bovidae,Syncerus,caffer,504666.67,11.03,42862.5,9.18,166000,47.92,354,1.08,0.4
Artiodactyla,Bovidae,Taurotragus,derbianus,680000,8.67,not measured,-999,-999,36.4,0,1,
Artiodactyla,Bovidae,Taurotragus,oryx,432500,8.64,28325,6,-999,26.99,282,1,
Artiodactyla,Bovidae,Tetracerus,quadricornis,19000,7.34,1033,-999,-999,13.2,130,1.57,
Artiodactyla,Bovidae,Tragelaphus,buxtoni,218000,-999,not measured,-999,-999,-999,0,1,
Artiodactyla,Bovidae,Tragelaphus,eurycerus,186250,9.57,19240,-999,-999,27.94,233,1,0.73
Artiodactyla,Bovidae,Tragelaphus,spekii,87500,8.13,4000,-999,-999,13.17,258,1,1
Artiodactyla,Bovidae,Tragelaphus,strepsiceros,190000,7.41,16150,6,-999,18.4,267,1,1
Artiodactyla,Bovidae,Tragelaphus,angasii,100666.67,7.37,5232.5,7,-999,14.85,192,1,1.21
Artiodactyla,Bovidae,Tragelaphus,imberbis,64500,8.01,5760,-999,-999,25.89,0,1,1.33
Artiodactyla,Bovidae,Tragelaphus,scriptus,36250,6.17,3800,-999,-999,16.32,144,1,1.5
Artiodactyla,Camelidae,Camelus,bactrianus,-999,13.18,35000,10.5,-999,42,0,1,0.5
Artiodactyla,Camelidae,Camelus,dromedarius,434000,12.64,35808.46,14.63,253484,46.3,480,1,0.65
Artiodactyla,Camelidae,Lama,glama,142500,11.01,12000,5,-999,-999,0,1,
Artiodactyla,Camelidae,Lama,pacos,60000,10.79,7584,7,-999,16,0,1,
Artiodactyla,Camelidae,Lama,guanicoe,110000,11.25,11666.67,11.33,-999,18,340,1,0.5
Artiodactyla,Camelidae,Vicugna,vicugna,50000,11.55,5841.67,7,-999,22.75,344,1,0.67
Artiodactyla,Cervidae,Alces,alces,351000,7.95,13018.18,3.8,94000,23.38,324,1.29,0.77
Artiodactyla,Cervidae,Axis,porcinus,33500,7.45,2365,6,-999,10,240,1.01,
Artiodactyla,Cervidae,Axis,axis,55000,7.72,3378.5,4,-999,12.64,249,1.03,
Artiodactyla,Cervidae,Blastocerus,dichotomus,102500,8.89,4200,-999,-999,-999,0,1,1
Artiodactyla,Cervidae,Capreolus,capreolus,21666.67,6.54,1214.33,3.08,8692.5,15.41,180,1.78,
Artiodactyla,Cervidae,Capreolus,pygargus,39450,9.67,1750,4.5,28750,-999,0,2,1
Artiodactyla,Cervidae,Cervus,duvaucelii,143000,8.21,not measured,-999,-999,36,276,1,
Artiodactyla,Cervidae,Cervus,elaphus,120333.33,8.03,8814.09,5.37,46900,28.36,324,1.07,0.91
Artiodactyla,Cervidae,Cervus,albirostris,125000,8.33,not measured,-999,-999,24,228,1,1
Artiodactyla,Cervidae,Cervus,timorensis,53000,8.49,not measured,7.5,-999,17.71,253,1,1
Artiodactyla,Cervidae,Cervus,unicolor,171000,8.2,9890,7,-999,23.23,317,1,1
Artiodactyla,Cervidae,Cervus,eldii,73000,7.37,5008,7.88,-999,18.78,235,1.01,1
Artiodactyla,Cervidae,Cervus,nippon,96500,7.59,3734,5.67,28590,22.12,305,1.02,1
Artiodactyla,Cervidae,Dama,dama,54500,7.75,4511.17,6.01,22570,18.55,300,1.14,1
Artiodactyla,Cervidae,Elaphodus,cephalophus,33500,6.5,not measured,-999,-999,18,144,1,
Artiodactyla,Cervidae,Elaphurus,davidianus,149000,9.41,11412.5,5.5,-999,27,279,1.11,1
Artiodactyla,Cervidae,Hippocamelus,bisulcus,70000,6.5,not measured,-999,-999,-999,0,1,
Artiodactyla,Cervidae,Hippocamelus,antisensis,68600,8,not measured,-999,-999,-999,0,1,
Artiodactyla,Cervidae,Hydropotes,inermis,14000,6.25,1028.33,-999,-999,7,167,3.32,
Artiodactyla,Cervidae,Mazama,rufina,8200,7.25,not measured,-999,-999,-999,0,1,
Artiodactyla,Cervidae,Mazama,gouazoupira,16650,7.42,792.33,-999,-999,20.5,0,1,
Artiodactyla,Cervidae,Mazama,americana,23000,7.43,542.5,6,-999,12,166,1,1
Artiodactyla,Cervidae,Muntiacus,muntjak,14000,6.12,1310.8,2,-999,8.67,204,1.33,
Artiodactyla,Cervidae,Muntiacus,reevesi,12000,6.86,1096.67,-999,-999,6,236,1,1.5
Artiodactyla,Cervidae,Odocoileus,hemionus,55766.67,6.85,2952.67,2.48,19516.67,14.24,264,1.62,0.97
Artiodactyla,Cervidae,Odocoileus,virginianus,59500,6.84,3154.67,4.29,33631.33,9.09,276,1.71,1
Artiodactyla,Cervidae,Ozotoceros,bezoarticus,35000,7.25,2150,5.5,-999,12,253,1,1
Artiodactyla,Cervidae,Pudu,mephistophiles,9750,-999,400,-999,-999,-999,0,1,
Artiodactyla,Cervidae,Pudu,puda,8250,6.76,695,2,-999,5.73,252,1.03,
Artiodactyla,Cervidae,Rangifer,tarandus,113200,7.24,5773.67,2.84,26900,23.93,242,1.2,0.91
Artiodactyla,Giraffidae,Giraffa,camelopardalis,800000,14.89,59770.59,8.25,-999,48.71,434,1.12,0.54
Artiodactyla,Giraffidae,Okapia,johnstoni,287500,14.87,17375,7,77000,23.86,396,1,0.75
Artiodactyla,Hippopotamidae,Hexaprotodon,liberiensis,215000,6.84,5636.25,7.33,-999,48,526,1,0.42
Artiodactyla,Hippopotamidae,Hippopotamus,amphibius,1258333.33,7.75,39746.67,10.13,237500,89.93,732,1,0.61
Artiodactyla,Moschidae,Moschus,chrysogaster,11000,-999,800,-999,-999,21,0,1,
Artiodactyla,Moschidae,Moschus,berezovskii,10900,-999,524,-999,-999,-999,0,1.71,
Artiodactyla,Moschidae,Moschus,moschiferus,12500,5.33,458.75,3.5,-999,15.54,144,1.49,1
Artiodactyla,Suidae,Babyrousa,babyrussa,100000,5.16,715,7,-999,18,288,1.4,2
Artiodactyla,Suidae,Hylochoerus,meinertzhageni,202500,4.39,1250,2.25,-999,17.5,216,4.7,
Artiodactyla,Suidae,Phacochoerus,aethiopicus,71000,5.53,672.78,3.49,-999,18.55,225,3.53,1.11
Artiodactyla,Suidae,Potamochoerus,porcus,71000,3.78,762,3,-999,28.24,240,4.33,
Artiodactyla,Suidae,Sus,salvanius,8150,3.76,191.5,-999,-999,23,0,3.2,
Artiodactyla,Suidae,Sus,barbatus,102750,4,not measured,-999,-999,-999,0,4,
Artiodactyla,Suidae,Sus,scrofa,100900,3.95,1040.31,3.38,8726,9.77,252,5.76,1.36
Artiodactyla,Tayassuidae,Catagonus,wagneri,35300,-999,647,-999,-999,39.17,0,2.42,
Artiodactyla,Tayassuidae,Pecari,tajacu,19200,4.66,657.18,1.7,5220.67,10.64,296,1.82,2
Artiodactyla,Tayassuidae,Tayassu,pecari,33750,5.23,1225,1.63,-999,20,253,2,
Artiodactyla,Tragulidae,Hyemoschus,aquaticus,12250,5.86,not measured,5.17,-999,13.38,156,1.25,1
Artiodactyla,Tragulidae,Moschiola,meminna,2450,4.94,319,-999,-999,-999,81,1.5,
Artiodactyla,Tragulidae,Tragulus,javanicus,3850,4.61,370,2.92,-999,5.2,144,1,
Artiodactyla,Tragulidae,Tragulus,napu,5900,5.2,373.67,3,-999,4.5,192,1,
Carnivora,Canidae,Alopex,lagopus,4500,1.75,71.04,1.67,-999,9.94,194,8.12,0.92
Carnivora,Canidae,Atelocynus,microtis,9500,-999,not measured,-999,-999,-999,132,-999,
Carnivora,Canidae,Canis,simensis,12675,2.04,not measured,2.5,-999,24,0,4,
Carnivora,Canidae,Canis,aureus,11000,2.05,207.5,2.28,-999,10.46,192,4.16,
Carnivora,Canidae,Canis,rufus,26000,2.05,not measured,-999,-999,-999,168,4.51,
Carnivora,Canidae,Canis,lupus,34875,2.16,418.6,1.55,5250,22.04,192,4.82,0.82
Carnivora,Canidae,Canis,mesomelas,9750,2.08,159,2.13,-999,10.8,168,3.95,1
Carnivora,Canidae,Canis,latrans,11800,2.05,249.75,1.74,1517,10.29,262,5.49,1
Carnivora,Canidae,Canis,adustus,8250,2.17,not measured,1.5,-999,7.67,144,4.29,2
Carnivora,Canidae,Cerdocyon,thous,6500,1.85,365,3,-999,9.07,138,4.1,1.9
Carnivora,Canidae,Chrysocyon,brachyurus,23000,2.11,400.17,4.75,-999,24,188,3.09,
Carnivora,Canidae,Cuon,alpinus,12760,2.07,273.33,1.64,2350,11.5,186,4.13,
Carnivora,Canidae,Lycaon,pictus,27133.33,2.41,332.5,2.88,-999,25.25,204,6.99,0.93
Carnivora,Canidae,Nyctereutes,procyonoides,4232,2.05,87.92,1.73,825,12.22,128,9.46,1
Carnivora,Canidae,Otocyon,megalotis,4150,2.26,120.88,2.06,-999,12,165,3.74,2
Carnivora,Canidae,Pseudalopex,gymnocercus,4690,1.95,not measured,-999,-999,10,164,2.5,
Carnivora,Canidae,Pseudalopex,griseus,3990,1.85,not measured,-999,-999,-999,0,4.17,
Carnivora,Canidae,Pseudalopex,culpaeus,13000,1.99,not measured,2,-999,12,0,4,1
Carnivora,Canidae,Speothos,venaticus,6000,2.35,152.43,3.33,-999,11,160,4.26,2
Carnivora,Canidae,Urocyon,cinereoargenteus,4220,2.14,95.33,1.8,519.67,10.5,0,4.17,0.98
Carnivora,Canidae,Urocyon,littoralis,1890.67,1.7,not measured,2,-999,12,0,2.6,1
Carnivora,Canidae,Vulpes,cana,1000,1.84,29,1.5,-999,10.5,0,2,
Carnivora,Canidae,Vulpes,chama,4000,1.72,not measured,-999,-999,-999,0,3.25,
Carnivora,Canidae,Vulpes,rueppelli,2250,1.75,not measured,-999,-999,12,0,3.26,
Carnivora,Canidae,Vulpes,ferrilata,7000,-999,not measured,-999,-999,-999,0,3.5,
Carnivora,Canidae,Vulpes,pallida,2550,-999,not measured,-999,-999,-999,0,4,
Carnivora,Canidae,Vulpes,bengalensis,1800,1.69,58.5,-999,-999,-999,0,4,
Carnivora,Canidae,Vulpes,corsac,2700,1.77,62.5,0.93,-999,16.81,0,4.71,
Carnivora,Canidae,Vulpes,vulpes,5662.5,1.73,101.25,1.81,1236.43,9.76,144,4.34,0.91
Carnivora,Canidae,Vulpes,zerda,1200,1.71,26.28,2.18,-999,9.87,175,2.45,1
Carnivora,Canidae,Vulpes,velox,2766.67,1.71,39.65,1.69,-999,11.01,240,4.44,1
Carnivora,Felidae,Acinonyx,jubatus,58750,3.35,403.96,3.67,1940,25.41,228,3.04,0.65
Carnivora,Felidae,Caracal,caracal,14000,2.43,165,4.17,-999,16.51,216,3.08,
Carnivora,Felidae,Catopuma,temminckii,11500,2.67,250,-999,-999,21,240,1.28,
Carnivora,Felidae,Felis,chaus,10000,2.05,126.62,3,2212.5,15.82,240,3.48,2
Carnivora,Felidae,Felis,margarita,2350,2.2,55.5,-999,-999,9,156,4.5,2
Carnivora,Felidae,Felis,silvestris,4150,2.15,101.87,2.25,630.79,10.24,180,3.69,2.02
Carnivora,Felidae,Felis,nigripes,2125,2.2,70.87,-999,-999,17.04,0,1.91,2.5
Carnivora,Felidae,Herpailurus,yaguarondi,6750,2.33,not measured,-999,-999,26.4,180,2.34,2
Carnivora,Felidae,Leopardus,wiedii,3666.67,2.67,118,1.83,785.1,21.65,252,1.38,
Carnivora,Felidae,Leopardus,tigrinus,2250,2.51,not measured,1.83,-999,-999,0,1.5,
Carnivora,Felidae,Leopardus,pardalis,8800,2.64,254.4,3.5,3400,21.8,257,1.54,0.75
Carnivora,Felidae,Leptailurus,serval,13350,2.36,253.2,4.2,-999,26.75,237,2.18,2
Carnivora,Felidae,Lynx,pardinus,9400,2.18,not measured,-999,-999,-999,156,2.5,
Carnivora,Felidae,Lynx,rufus,8600,1.86,301,2.55,1190,17.06,388,2.82,0.94
Carnivora,Felidae,Lynx,lynx,18026.67,2.33,269.5,3.1,1860,16.36,264,2.25,1
Carnivora,Felidae,Lynx,canadensis,8900,2.18,204,5,-999,17.6,321,3.19,1
Carnivora,Felidae,Neofelis,nebulosa,19500,3.06,215.33,4.26,5427.5,26.3,234,2.47,
Carnivora,Felidae,Oncifelis,colocolo,2950,-999,not measured,-999,-999,-999,0,2.5,
Carnivora,Felidae,Oncifelis,geoffroyi,4000,2.45,86.18,2.25,-999,-999,252,2.04,1.33
Carnivora,Felidae,Otocolobus,manul,3500,2.37,89,-999,-999,12,0,4.14,
Carnivora,Felidae,Panthera,tigris,119700,3.51,1248.59,5.48,19556,41.12,315,2.57,0.4
Carnivora,Felidae,Panthera,onca,81150,3.39,831.89,4.13,5033.5,35.56,264,2.46,0.5
Carnivora,Felidae,Panthera,leo,139500,3.62,1377.45,7.22,8480,35.98,360,2.9,0.66
Carnivora,Felidae,Panthera,pardus,42325,3.22,363.49,2.88,1940,34.1,276,2.38,0.83
Carnivora,Felidae,Pardofelis,marmorata,3500,-999,85,-999,-999,-999,0,2,
Carnivora,Felidae,Prionailurus,viverrinus,10850,2.29,170,2.92,-999,-999,0,2.12,
Carnivora,Felidae,Prionailurus,rubiginosus,1350,2.23,not measured,-999,-999,-999,192,2.13,
Carnivora,Felidae,Prionailurus,bengalensis,4150,2.17,93.86,1.47,620,18.52,180,2.64,
Carnivora,Felidae,Profelis,aurata,10650,-999,248.33,-999,-999,-999,0,2,
Carnivora,Felidae,Puma,concolor,48000,3.07,388.22,4.2,3500,26.91,240,2.85,0.47
Carnivora,Felidae,Uncia,uncia,45625,3.28,463.45,2.54,7500,30.11,252,2.22,1
Carnivora,Herpestidae,Atilax,paludinosus,3300,2.49,100.23,1.43,631.85,-999,228,2.42,
Carnivora,Herpestidae,Bdeogale,crassicauda,1570,-999,not measured,-999,-999,-999,0,1,
Carnivora,Herpestidae,Crossarchus,obscurus,727,2.25,not measured,0.75,-999,9,108,4,2.5
Carnivora,Herpestidae,Cynictis,penicillata,598.5,1.84,not measured,2,-999,24,182,1.67,2
Carnivora,Herpestidae,Galerella,pulverulenta,683,2,not measured,1.92,-999,-999,0,2.6,
Carnivora,Herpestidae,Galerella,sanguinea,448,2,not measured,1.73,-999,-999,0,2.23,2
Carnivora,Herpestidae,Galidia,elegans,800,2.61,50,1.94,183,24.22,293,1,1
Carnivora,Herpestidae,Galidictis,fasciata,-999,-999,not measured,-999,-999,-999,0,1,1
Carnivora,Herpestidae,Helogale,parvula,274.8,1.8,not measured,-999,-999,13.5,0,3.38,2.33
Carnivora,Herpestidae,Herpestes,javanicus,800,1.62,25.92,1.65,275,9.9,0,2.24,
Carnivora,Herpestidae,Herpestes,edwardsii,1008,1.98,not measured,-999,-999,-999,0,2.6,
Carnivora,Herpestidae,Herpestes,ichneumon,2920,2.39,not measured,2,800,24,0,2.91,1
Carnivora,Herpestidae,Ichneumia,albicauda,3150,-999,not measured,9,-999,-999,121,2.33,
Carnivora,Herpestidae,Mungos,mungo,1331.5,2.02,22.1,-999,-999,11.29,144,3.24,1
Carnivora,Herpestidae,Mungotictis,decemlineata,700,3.27,50,1.29,-999,24.39,0,1,
Carnivora,Herpestidae,Paracynictis,selousi,1800,-999,not measured,-999,-999,-999,0,2.5,
Carnivora,Herpestidae,Suricata,suricatta,776,2.57,31.33,1.44,212.75,10.8,152,3.63,1
Carnivora,Hyaenidae,Crocuta,crocuta,63000,3.45,1353.33,10.57,14500,33,493,2,1
Carnivora,Hyaenidae,Hyaena,hyaena,40000,3.01,669.5,9.17,-999,28.11,282,2.61,
Carnivora,Hyaenidae,Parahyaena,brunnea,60200,3.08,727.28,7.67,27400,36,348,2.28,0.4
Carnivora,Hyaenidae,Proteles,cristatus,10000,2.9,not measured,3.52,-999,-999,227,2.77,
Carnivora,Mustelidae,Amblonyx,cinereus,3000,2.07,57,2.67,-999,-999,192,1.42,2
Carnivora,Mustelidae,Aonyx,congicus,24000,-999,not measured,-999,-999,14.2,0,-999,
Carnivora,Mustelidae,Aonyx,capensis,11800,2.1,1050,1.75,3360,12,168,2.56,
Carnivora,Mustelidae,Arctonyx,collaris,10500,1.5,58,3.42,-999,-999,0,3.5,
Carnivora,Mustelidae,Conepatus,leuconotus,3500,-999,not measured,-999,-999,-999,0,3,
Carnivora,Mustelidae,Conepatus,semistriatus,1200,2,not measured,-999,-999,-999,0,4.5,
Carnivora,Mustelidae,Conepatus,mesoleucus,1996.67,1.7,not measured,-999,-999,10.5,0,3.83,1.5
Carnivora,Mustelidae,Eira,barbara,4500,2.19,82.25,2.71,1707.5,-999,216,1.92,
Carnivora,Mustelidae,Enhydra,lutris,21800,7.1,1909.17,5.77,12666.67,43.13,240,1,0.83
Carnivora,Mustelidae,Galictis,vittata,2350,1.3,not measured,-999,-999,-999,126,2,
Carnivora,Mustelidae,Gulo,gulo,16333.33,1.69,90.53,2.6,-999,26.76,208,2.84,0.45
Carnivora,Mustelidae,Ictonyx,libyca,500,1.68,5,1.25,250,-999,0,2,
Carnivora,Mustelidae,Ictonyx,striatus,765,1.2,12.5,2.6,170,9.26,160,2.17,1
Carnivora,Mustelidae,Lontra,longicaudis,7500,1.87,not measured,-999,-999,-999,0,2.5,
Carnivora,Mustelidae,Lontra,felina,-999,2.45,not measured,-999,-999,-999,0,3.25,
Carnivora,Mustelidae,Lontra,canadensis,6225,2.01,141,4.38,1510,29.97,276,2.72,0.94
Carnivora,Mustelidae,Lutra,maculicollis,4000,2,not measured,-999,-999,-999,0,2,
Carnivora,Mustelidae,Lutra,lutra,6750,2.2,not measured,1.9,-999,12,0,2.06,1
Carnivora,Mustelidae,Lutrogale,perspicillata,9000,2.07,not measured,-999,-999,-999,240,5,
Carnivora,Mustelidae,Martes,flavigula,2500,-999,not measured,-999,-999,-999,168,2.5,
Carnivora,Mustelidae,Martes,zibellina,1066.67,1.5,31.25,1.79,600,17.34,180,3.2,
Carnivora,Mustelidae,Martes,foina,1700,3.19,not measured,1.42,-999,18,217,3.79,
Carnivora,Mustelidae,Martes,americana,606.67,0.93,32.67,1.5,414,17.67,204,2.73,1
Carnivora,Mustelidae,Martes,pennanti,2600,1.33,34.78,2.61,-999,17.33,120,2.92,1
Carnivora,Mustelidae,Martes,martes,1300,1.73,30,1.87,680,24.09,204,3.8,1
