Campus,Academic_Yr,Category,Ethnicity,Perc FR,FilteredCountFR
Berkeley,2016,Applicants,American Indian,0.51%,422
Berkeley,2016,Applicants,African American,5.11%,4220
Berkeley,2016,Applicants,All,100.00%,82560
Berkeley,2015,Applicants,International,19.05%,15027
Berkeley,2015,Applicants,Unknown,3.16%,2494
Berkeley,2015,Applicants,White,23.81%,18781
Berkeley,2015,Applicants,Asian,30.88%,24365
Berkeley,2015,Applicants,Chicano/Latino,17.57%,13865
Berkeley,2015,Applicants,American Indian,0.53%,417
Berkeley,2015,Applicants,African American,5.00%,3944
Berkeley,2015,Applicants,All,100.00%,78893
Berkeley,2014,Applicants,International,18.59%,13719
Berkeley,2014,Applicants,Unknown,2.80%,2066
Berkeley,2014,Applicants,White,24.12%,17795
Berkeley,2014,Applicants,Asian,31.31%,23099
Berkeley,2014,Applicants,Chicano/Latino,17.78%,13122
Berkeley,2014,Applicants,American Indian,0.60%,444
Berkeley,2014,Applicants,African American,4.80%,3540
Berkeley,2014,Applicants,All,100.00%,73785
Berkeley,2013,Applicants,International,17.13%,11601
Berkeley,2013,Applicants,Unknown,3.04%,2059
Berkeley,2013,Applicants,White,24.90%,16859
Berkeley,2013,Applicants,Asian,31.25%,21157
Berkeley,2013,Applicants,Chicano/Latino,18.20%,12321
Berkeley,2013,Applicants,American Indian,0.48%,328
Berkeley,2013,Applicants,African American,4.99%,3381
Berkeley,2013,Applicants,All,100.00%,67706
Berkeley,2012,Applicants,International,15.29%,9434
Berkeley,2012,Applicants,Unknown,2.77%,1708
Berkeley,2012,Applicants,White,24.96%,15406
Berkeley,2012,Applicants,Asian,33.31%,20555
Berkeley,2012,Applicants,Chicano/Latino,18.01%,11117
Berkeley,2012,Applicants,American Indian,0.60%,368
Berkeley,2012,Applicants,African American,5.07%,3129
Berkeley,2012,Applicants,All,100.00%,61717
Berkeley,2011,Applicants,International,11.95%,6330
Berkeley,2011,Applicants,Unknown,2.41%,1279
Berkeley,2011,Applicants,White,27.56%,14604
Berkeley,2011,Applicants,Asian,34.66%,18365
Berkeley,2011,Applicants,Chicano/Latino,17.79%,9427
Berkeley,2011,Applicants,American Indian,0.62%,330
Berkeley,2011,Applicants,African American,5.00%,2647
Berkeley,2011,Applicants,All,100.00%,52982
Berkeley,2010,Applicants,International,9.78%,4929
Berkeley,2010,Applicants,Unknown,5.40%,2721
Berkeley,2010,Applicants,White,28.13%,14170
Berkeley,2010,Applicants,Asian,34.41%,17332
Berkeley,2010,Applicants,Chicano/Latino,16.30%,8209
Berkeley,2010,Applicants,American Indian,0.70%,352
Berkeley,2010,Applicants,African American,5.28%,2661
Berkeley,2010,Applicants,All,100.00%,50374
Berkeley,2019,Admits,International,10.81%,1543
Berkeley,2019,Admits,Unknown,4.63%,661
Berkeley,2019,Admits,White,22.57%,3223
Berkeley,2019,Admits,Asian,41.87%,5978
Berkeley,2019,Admits,Chicano/Latino,15.98%,2282
Berkeley,2019,Admits,American Indian,0.57%,82
Berkeley,2019,Admits,African American,3.56%,508
Berkeley,2019,Admits,All,100.00%,14277
Berkeley,2018,Admits,International,10.92%,1453
Berkeley,2018,Admits,Unknown,5.24%,697
Berkeley,2018,Admits,White,23.42%,3115
Berkeley,2018,Admits,Asian,40.43%,5378
Berkeley,2018,Admits,Chicano/Latino,15.66%,2083
Berkeley,2018,Admits,American Indian,0.39%,52
Berkeley,2018,Admits,African American,3.93%,523
Berkeley,2018,Admits,All,100.00%,13301
Berkeley,2017,Admits,International,8.93%,1299
Berkeley,2017,Admits,Unknown,4.85%,706
Berkeley,2017,Admits,White,27.13%,3947
Berkeley,2017,Admits,Asian,40.52%,5895
Berkeley,2017,Admits,Chicano/Latino,14.55%,2117
Berkeley,2017,Admits,American Indian,0.63%,92
Berkeley,2017,Admits,African American,3.39%,493
Berkeley,2017,Admits,All,100.00%,14549
Berkeley,2016,Admits,International,8.07%,1128
Berkeley,2016,Admits,Unknown,5.42%,758
Berkeley,2016,Admits,White,27.38%,3827
Berkeley,2016,Admits,Asian,41.41%,5787
Berkeley,2016,Admits,Chicano/Latino,13.84%,1934
Berkeley,2016,Admits,American Indian,0.55%,77
Berkeley,2016,Admits,African American,3.32%,464
Berkeley,2016,Admits,All,100.00%,13975
Berkeley,2015,Admits,International,10.58%,1409
Berkeley,2015,Admits,Unknown,4.94%,658
Berkeley,2015,Admits,White,26.25%,3496
Berkeley,2015,Admits,Asian,40.41%,5383
Berkeley,2015,Admits,Chicano/Latino,14.04%,1870
Berkeley,2015,Admits,American Indian,0.56%,75
Berkeley,2015,Admits,African American,3.22%,429
Berkeley,2015,Admits,All,100.00%,13320
Berkeley,2014,Admits,International,12.77%,1509
Berkeley,2014,Admits,Unknown,4.31%,509
Berkeley,2014,Admits,White,26.90%,3179
Berkeley,2014,Admits,Asian,38.74%,4579
Berkeley,2014,Admits,Chicano/Latino,13.66%,1615
Berkeley,2014,Admits,American Indian,0.76%,90
Berkeley,2014,Admits,African American,2.87%,339
Berkeley,2014,Admits,All,100.00%,11820
Berkeley,2013,Admits,International,15.00%,1789
Berkeley,2013,Admits,Unknown,4.17%,497
Berkeley,2013,Admits,White,27.29%,3256
Berkeley,2013,Admits,Asian,38.03%,4537
Berkeley,2013,Admits,Chicano/Latino,11.97%,1428
Berkeley,2013,Admits,American Indian,0.50%,60
Berkeley,2013,Admits,African American,3.04%,363
Berkeley,2013,Admits,All,100.00%,11930
Berkeley,2012,Admits,International,11.36%,1262
Berkeley,2012,Admits,Unknown,3.90%,433
Berkeley,2012,Admits,White,27.02%,3001
Berkeley,2012,Admits,Asian,40.16%,4461
Berkeley,2012,Admits,Chicano/Latino,13.59%,1510
Berkeley,2012,Admits,American Indian,0.68%,76
Berkeley,2012,Admits,African American,3.29%,365
Berkeley,2012,Admits,All,100.00%,11108
Berkeley,2011,Admits,International,12.70%,1454
Berkeley,2011,Admits,Unknown,3.22%,369
Berkeley,2011,Admits,White,28.81%,3299
Berkeley,2011,Admits,Asian,39.29%,4500
Berkeley,2011,Admits,Chicano/Latino,12.22%,1399
Berkeley,2011,Admits,American Indian,0.67%,77
Berkeley,2011,Admits,African American,3.09%,354
Berkeley,2011,Admits,All,100.00%,11452
Berkeley,2010,Admits,International,10.69%,1154
Berkeley,2010,Admits,Unknown,6.72%,725
Berkeley,2010,Admits,White,30.45%,3287
Berkeley,2010,Admits,Asian,37.01%,3995
Berkeley,2010,Admits,Chicano/Latino,11.27%,1217
Berkeley,2010,Admits,American Indian,0.74%,80
Berkeley,2010,Admits,African American,3.12%,337
Berkeley,2010,Admits,All,100.00%,10795
Berkeley,2019,Enrollees,International,13.14%,848
Berkeley,2019,Enrollees,Unknown,4.66%,301
Berkeley,2019,Enrollees,White,21.06%,1359
Berkeley,2019,Enrollees,Asian,42.95%,2772
Berkeley,2019,Enrollees,Chicano/Latino,15.06%,972
Berkeley,2019,Enrollees,American Indian,0.37%,24
Berkeley,2019,Enrollees,African American,2.76%,178
Berkeley,2019,Enrollees,All,100.00%,6454
Berkeley,2018,Enrollees,International,13.29%,799
Berkeley,2018,Enrollees,Unknown,4.79%,288
Berkeley,2018,Enrollees,White,21.24%,1277
Berkeley,2018,Enrollees,Asian,41.63%,2503
Berkeley,2018,Enrollees,Chicano/Latino,15.57%,936
Berkeley,2018,Enrollees,American Indian,0.33%,20
Berkeley,2018,Enrollees,African American,3.14%,189
Berkeley,2018,Enrollees,All,100.00%,6012
Berkeley,2017,Enrollees,International,10.93%,697
Berkeley,2017,Enrollees,Unknown,4.72%,301
Berkeley,2017,Enrollees,White,24.53%,1565
Berkeley,2017,Enrollees,Asian,42.08%,2684
Berkeley,2017,Enrollees,Chicano/Latino,14.45%,922
Berkeley,2017,Enrollees,American Indian,0.38%,24
Berkeley,2017,Enrollees,African American,2.92%,186
Berkeley,2017,Enrollees,All,100.00%,6379
Berkeley,2016,Enrollees,International,9.37%,586
Berkeley,2016,Enrollees,Unknown,5.25%,328
Berkeley,2016,Enrollees,White,25.62%,1602
Berkeley,2016,Enrollees,Asian,43.17%,2699
Berkeley,2016,Enrollees,Chicano/Latino,13.48%,843
Berkeley,2016,Enrollees,American Indian,0.35%,22
Berkeley,2016,Enrollees,African American,2.75%,172
Berkeley,2016,Enrollees,All,100.00%,6252
Berkeley,2015,Enrollees,International,12.38%,687
Berkeley,2015,Enrollees,Unknown,4.72%,262
Berkeley,2015,Enrollees,White,24.20%,1343
Berkeley,2015,Enrollees,Asian,42.05%,2334
Berkeley,2015,Enrollees,Chicano/Latino,13.37%,742
Berkeley,2015,Enrollees,American Indian,0.49%,27
Berkeley,2015,Enrollees,African American,2.79%,155
Berkeley,2015,Enrollees,All,100.00%,5550
Berkeley,2014,Enrollees,International,13.68%,748
Berkeley,2014,Enrollees,Unknown,3.73%,204
Berkeley,2014,Enrollees,White,24.73%,1352
Berkeley,2014,Enrollees,Asian,39.75%,2173
Berkeley,2014,Enrollees,Chicano/Latino,14.42%,788
Berkeley,2014,Enrollees,American Indian,0.77%,42
Berkeley,2014,Enrollees,African American,2.91%,159
Berkeley,2014,Enrollees,All,100.00%,5466
Berkeley,2013,Enrollees,International,18.02%,848
Berkeley,2013,Enrollees,Unknown,3.57%,168
Berkeley,2013,Enrollees,White,24.61%,1158
Berkeley,2013,Enrollees,Asian,38.76%,1824
Berkeley,2013,Enrollees,Chicano/Latino,11.90%,560
Berkeley,2013,Enrollees,American Indian,0.38%,18
Berkeley,2013,Enrollees,African American,2.76%,130
Berkeley,2013,Enrollees,All,100.00%,4706
Berkeley,2012,Enrollees,International,12.69%,528
Berkeley,2012,Enrollees,Unknown,3.32%,138
Berkeley,2012,Enrollees,White,24.07%,1002
Berkeley,2012,Enrollees,Asian,42.84%,1783
Berkeley,2012,Enrollees,Chicano/Latino,12.97%,540
Berkeley,2012,Enrollees,American Indian,0.70%,29
Berkeley,2012,Enrollees,African American,3.41%,142
Berkeley,2012,Enrollees,All,100.00%,4162
Berkeley,2011,Enrollees,International,14.88%,661
Berkeley,2011,Enrollees,Unknown,2.30%,102
Berkeley,2011,Enrollees,White,26.76%,1189
Berkeley,2011,Enrollees,Asian,41.48%,1843
Berkeley,2011,Enrollees,Chicano/Latino,10.92%,485
Berkeley,2011,Enrollees,American Indian,0.74%,33
Berkeley,2011,Enrollees,African American,2.93%,130
Berkeley,2011,Enrollees,All,100.00%,4443
Berkeley,2010,Enrollees,International,12.46%,512
Berkeley,2010,Enrollees,Unknown,6.08%,250
Berkeley,2010,Enrollees,White,27.91%,1147
Berkeley,2010,Enrollees,Asian,39.50%,1623
Berkeley,2010,Enrollees,Chicano/Latino,10.37%,426
Berkeley,2010,Enrollees,American Indian,0.68%,28
Berkeley,2010,Enrollees,African American,2.99%,123
Berkeley,2010,Enrollees,All,100.00%,4109
Irvine,2019,Applicants,International,18.91%,18070
Irvine,2019,Applicants,Unknown,2.26%,2158
Irvine,2019,Applicants,White,13.74%,13135
Irvine,2019,Applicants,Asian,32.79%,31336
Irvine,2019,Applicants,Chicano/Latino,27.77%,26542
Irvine,2019,Applicants,American Indian,0.28%,272
Irvine,2019,Applicants,African American,4.24%,4052
Irvine,2019,Applicants,All,100.00%,95565
Irvine,2018,Applicants,International,18.41%,17504
Irvine,2018,Applicants,Unknown,2.53%,2409
Irvine,2018,Applicants,White,13.70%,13025
Irvine,2018,Applicants,Asian,32.48%,30875
Irvine,2018,Applicants,Chicano/Latino,28.06%,26673
Irvine,2018,Applicants,American Indian,0.35%,337
Irvine,2018,Applicants,African American,4.46%,4236
Irvine,2018,Applicants,All,100.00%,95059
Irvine,2017,Applicants,International,18.75%,15952
Irvine,2017,Applicants,Unknown,2.38%,2029
Irvine,2017,Applicants,White,14.39%,12246
Irvine,2017,Applicants,Asian,31.53%,26833
Irvine,2017,Applicants,Chicano/Latino,28.29%,24073
Irvine,2017,Applicants,American Indian,0.37%,318
Irvine,2017,Applicants,African American,4.28%,3641
Irvine,2017,Applicants,All,100.00%,85092
Irvine,2016,Applicants,International,18.85%,14666
Irvine,2016,Applicants,Unknown,2.48%,1929
Irvine,2016,Applicants,White,14.63%,11385
Irvine,2016,Applicants,Asian,32.28%,25114
Irvine,2016,Applicants,Chicano/Latino,27.07%,21065
Irvine,2016,Applicants,American Indian,0.38%,292
Irvine,2016,Applicants,African American,4.32%,3359
Irvine,2016,Applicants,All,100.00%,77810
Irvine,2015,Applicants,International,16.62%,11931
Irvine,2015,Applicants,Unknown,2.60%,1865
Irvine,2015,Applicants,White,15.00%,10766
Irvine,2015,Applicants,Asian,34.58%,24817
Irvine,2015,Applicants,Chicano/Latino,26.49%,19013
Irvine,2015,Applicants,American Indian,0.39%,278
Irvine,2015,Applicants,African American,4.33%,3105
Irvine,2015,Applicants,All,100.00%,71775
Irvine,2014,Applicants,International,15.39%,10236
Irvine,2014,Applicants,Unknown,2.27%,1511
Irvine,2014,Applicants,White,15.58%,10363
Irvine,2014,Applicants,Asian,36.04%,23972
Irvine,2014,Applicants,Chicano/Latino,25.94%,17253
Irvine,2014,Applicants,American Indian,0.46%,305
Irvine,2014,Applicants,African American,4.32%,2875
Irvine,2014,Applicants,All,100.00%,66515
Irvine,2013,Applicants,International,12.14%,7370
Irvine,2013,Applicants,Unknown,2.51%,1521
Irvine,2013,Applicants,White,16.62%,10089
Irvine,2013,Applicants,Asian,37.74%,22911
Irvine,2013,Applicants,Chicano/Latino,26.40%,16023
Irvine,2013,Applicants,American Indian,0.44%,270
Irvine,2013,Applicants,African American,4.15%,2518
Irvine,2013,Applicants,All,100.00%,60702
Irvine,2012,Applicants,International,8.07%,4558
Irvine,2012,Applicants,Unknown,2.22%,1254
Irvine,2012,Applicants,White,18.34%,10363
Irvine,2012,Applicants,Asian,41.01%,23176
Irvine,2012,Applicants,Chicano/Latino,25.33%,14318
Irvine,2012,Applicants,American Indian,0.50%,282
Irvine,2012,Applicants,African American,4.54%,2564
Irvine,2012,Applicants,All,100.00%,56515
Irvine,2011,Applicants,International,4.77%,2353
Irvine,2011,Applicants,Unknown,2.11%,1039
Irvine,2011,Applicants,White,20.88%,10290
Irvine,2011,Applicants,Asian,42.73%,21058
Irvine,2011,Applicants,Chicano/Latino,24.50%,12075
Irvine,2011,Applicants,American Indian,0.52%,256
Irvine,2011,Applicants,African American,4.49%,2212
Irvine,2011,Applicants,All,100.00%,49283
Irvine,2010,Applicants,International,4.16%,1902
Irvine,2010,Applicants,Unknown,4.67%,2135
Irvine,2010,Applicants,White,21.36%,9770
Irvine,2010,Applicants,Asian,43.31%,19807
Irvine,2010,Applicants,Chicano/Latino,21.62%,9886
Irvine,2010,Applicants,American Indian,0.62%,282
Irvine,2010,Applicants,African American,4.27%,1954
Irvine,2010,Applicants,All,100.00%,45736
Irvine,2019,Admits,International,28.82%,7309
Irvine,2019,Admits,Unknown,2.59%,657
Irvine,2019,Admits,White,12.62%,3201
Irvine,2019,Admits,Asian,35.24%,8938
