"Accession","Family","Genus","Country","State","County","Locality","Date","Collector"
9038750,"Telemidae","Usofila","USA","California","Calaveras","Cave of the Catacombs, Miller's Cave, Skull Cave, Stanford Grotto #139","1/9/1961","R Graham"
9038751,"Telemidae","Usofila","USA","California","Calaveras","Cave of Skulls, Frenchmen's Cave, Limestone Cave, Stanford Grotto #133, 3 mi N Columbia","29/3/1979","Rudolph, Martin, Winterath, Elliot, Reddell"
9038752,"Telemidae","Usofila","USA","California","Calaveras","Cave of Quills","14/5/1960","R Graham"
9038753,"Telemidae","Usofila","USA","California","Calaveras","Linda's Cave, 4.5 mi SE Angels Camp","16/5/1977","AG Grubbs, D Broussard, N Boice"
9038754,"Telemidae","Usofila","USA","California","Calaveras","Shaw's Cave, Stanford Grotto #36","21/13/1963","R Graham"
9038755,"Telemidae","Usofila","USA","California","Calaveras","Deer Cave, Brown Deer Cave, 7 mi ESE Angels Camp","27/4/1977","AG Grubbs"
9038756,"Telemidae","Usofila","USA","California","Calaveras","Carlow's Cave, Carlos', 4.5 mi SE Angela Camp","16/5/1977","AG Grubbs, N Boice, D Broussard"
9038758,"Telemidae","Usofila","USA","California","Calaveras","Shaw's Cave, Stanford Grotto #36","4/9/1961","R Graham"
9038759,"Telemidae","Usofila","USA","California","Calaveras","Moaning Cave, Mays Cave","4/9/1961","R Graham"
9038760,"Telemidae","Usofila","USA","California","Calaveras","Pseudoscorpion Cave","17/8/1963","R Graham"
9038763,"Telemidae","Usofila","USA","California","Calaveras","Shaw's Cave, Stanford Grotto #36","4/9/1961","M. Ivie"
9038764,"Telemidae","Usofila","USA","California","Calaveras","Cave of Quills","14/5/1960","RE Graham"
9038765,"Telemidae","Usofila","USA","California","Calaveras","Cave of Quills","14/5/1960","RE Graham"
9038766,"Telemidae","Usofila","USA","California","Calaveras","Kenny's Grotto, WSI # C-215","11/8/1972","R Graham"
9038767,"Telemidae","Usofila","USA","California","Calaveras","Shaw's Cave, Stanford Grotto #36","4/9/1961","R Graham"
9038557,"Telemidae","Usofila","USA","California","Contra Costa","Mt. Diablo, N. Gate Rd.","22/2/1991","D Ubick"
9038558,"Telemidae","Usofila","USA","California","Contra Costa","Mt. Diablo, N. Gate Rd.","22/2/1991","D Ubick"
9038559,"Telemidae","Usofila","USA","California","Contra Costa","Mt. Diablo, N. Gate Rd.","22/2/1991","D Ubick"
9038560,"Telemidae","Usofila","USA","California","Contra Costa","Orinda (1 Mi. W.)","12/12/1953","V Roth"
9038561,"Telemidae","Usofila","USA","California","Contra Costa","Orinda Village","5/12/1953","W Ferguson"
9038562,"Telemidae","Usofila","USA","California","Contra Costa","Redwood Park","18/5/1953","R Schuster, EE Gilbert"
9038775,"Telemidae","Usofila","USA","California","Contra Costa","Richmond Univ. Calif Richmond Field Station","27/3/1961",NA
9038519,"Telemidae","Usofila","USA","California","Del Norte","18mS Klamath","19/9/1953","Gilbert-Schuster"
9038520,"Telemidae","Usofila","USA","California","Del Norte","18mS Klamath","19/9/1953","Gilbert-Schuster"
9038784,"Telemidae","Usofila","USA","California","Del Norte","Jedediah Smith Redwoods State Park","20/4/1994","LJ Boutin"
9038563,"Telemidae","Usofila","USA","California","El Dorado","3 mi N Placerville","18/5/1961","RO Schuster"
9038564,"Telemidae","Usofila","USA","California","El Dorado","Alabaster Cave","1/9/1962","L Readdy"
9038565,"Telemidae","Usofila","USA","California","El Dorado","Alabaster Cave","1/9/1962","L Readdy"
9038566,"Telemidae","Usofila","USA","California","El Dorado","Alabaster Cave","18/3/1946","Marx"
9038568,"Telemidae","Usofila","USA","California","El Dorado","Kyburg (Kyburz)","2/6/1962","SF Bailey"
9038569,"Telemidae","Usofila","USA","California","El Dorado","Nr. Nashville","25/4/1958","LM Smith, RO Schuster"
9038570,"Telemidae","Usofila","USA","California","El Dorado","Nr. Nashville","5/3/1958","LM Smith, RO Schuster"
9038571,"Telemidae","Usofila","USA","California","El Dorado","Riverton","22/2/1958","RO Schuster"
9038572,"Telemidae","Usofila","USA","California","El Dorado","4 mi W of Kyburz","15/9/1959","WJ Gertsch, V Roth"
9038573,"Telemidae","Usofila","USA","California","Humboldt","18 mi S Klamath","13/8/1953","GA Marsh, RO Schuster"
9038574,"Telemidae","Usofila","USA","California","Humboldt","18 mi S Klamath","13/8/1953","GA Marsh, RO Schuster"
9038575,"Telemidae","Usofila","USA","California","Humboldt","Orick","16/9/1961","W Ivie, WJ Gertsch"
9038576,"Telemidae","Usofila","USA","California","Humboldt","14 mi. E. of Blue Lake","19/9/1953","R Schuster"
9038577,"Telemidae","Usofila","USA","California","Humboldt","Carlotta","15/9/1961","W Ivie, WJ Gertsch"
9038578,"Telemidae","Usofila","USA","California","Humboldt","E of Calrotta","1/10/1959","VD Roth"
9038579,"Telemidae","Usofila","USA","California","Humboldt","Big Lagoon","13/4/1953","GA Marsh, R Schuster"
9038580,"Telemidae","Usofila","USA","California","Humboldt","Hoopa Vlly. Indian Resort, Tish-Tang-a-Tang Cmpgd.","30/6/2006","J Ledford, S Synhorst"
9038769,"Telemidae","Usofila","USA","California","Humboldt","Eureka","13/7/1937","RVC"
9038773,"Telemidae","Usofila","USA","California","Humboldt","Hwy 299 W of Willow Creek","21/4/1994","LJ Boutin"
9038542,"Telemidae","Usofila","USA","California","Kern","Bodfish, Harrington Cave","30/9/1980","TS Briggs"
9038704,"Telemidae","Usofila","USA","California","Marin","6 mi E Point Reyes Sta","1/3/1960","Grigarick, Smith, Schuster"
9038705,"Telemidae","Usofila","USA","California","Marin","Novato, San Marin Dr.","14/3/1982","D Ubick"
9038706,"Telemidae","Usofila","USA","California","Marin","Black Point","24/3/1960","RO Schuster"
9038707,"Telemidae","Usofila","USA","California","Marin","Ross Bald Hill","01/3/1991","D Ubick, T Briggs"
9038708,"Telemidae","Usofila","USA","California","Marin","Taylor St. Pk.","8/11/1953","V Roth, R Schuster"
9038709,"Telemidae","Usofila","USA","California","Marin","Novato, San Marin Dr.","7/3/1982","D Ubick"
9038710,"Telemidae","Usofila","USA","California","Marin","Ring Mountain","14/11/1987","TS Briggs"
9038711,"Telemidae","Usofila","USA","California","Marin","SE slope Burdell Mtn, Buck Property (site 3)","08/3/1991","D Ubick"
9038712,"Telemidae","Usofila","USA","California","Marin","Novato, San Marin Dr.","02/1/1986","D Ubick"
9038713,"Telemidae","Usofila","USA","California","Marin","San Geronimo","15/1/1994","D Ubick, J Boutin"
9038714,"Telemidae","Usofila","USA","California","Marin","Novato: San Marin Dr.","23/2/1986","D Ubick"
9038715,"Telemidae","Usofila","USA","California","Marin","SE slope Burdell Mtn, Buck Property (site 1)","08/3/1991","D Ubick"
9038716,"Telemidae","Usofila","USA","California","Marin","Novato: San Marin Dr. & Hwy. 101","7/3/1982","D Ubick"
9038717,"Telemidae","Usofila","USA","California","Marin","San Geronimo","30/1/1994","D Ubick"
9038718,"Telemidae","Usofila","USA","California","Marin","Novato: San Marin Dr. & Hwy. 101","25/4/1982","D Ubick"
9038719,"Telemidae","Usofila","USA","California","Marin","South Tiburon: Marinero Ests","12/3/1994","J Boutin"
9038720,"Telemidae","Usofila","USA","California","Marin","South Tiburon: Marinero Ests","19/3/1994","D Ubick, J Boutin"
9038721,"Telemidae","Usofila","USA","California","Marin","South Tiburon Ridge: Marinero Estates","27/2/1993","D Ubick, J Boutin, C Kellner"
9038722,"Telemidae","Usofila","USA","California","Marin","Novato, San Marin Dr.","07/12/1985","D Ubick"
9038723,"Telemidae","Usofila","USA","California","Marin","Novato: SE slope Burdell Mtn","16/3/1990","D Ubick, R Brig"
9038581,"Telemidae","Usofila","USA","California","Mariposa","Bull Creek Cave, 11 mi. E of Coulterville","7/4/1979","DC Rudolph, B Martin, S Winterath, D Cowan, T Lakner"
9038582,"Telemidae","Usofila","USA","California","Mariposa","6 mi S Mather","4/9/1958","V Roth"
9038583,"Telemidae","Usofila","USA","California","Mariposa","Mariposa","4/4/1953","R Schuster"
9038584,"Telemidae","Usofila","USA","California","Mariposa","Mariposa","4/4/1953","R Schuster"
9038585,"Telemidae","Usofila","USA","California","Mariposa","Mariposa","4/4/1953","R Schuster"
9038586,"Telemidae","Usofila","USA","California","Mendocino","Jackson State Forest: Dunlap Camp 400'","7/9/1992","D Ubick, J Boutin"
9038587,"Telemidae","Usofila","USA","California","Mendocino","Jackson State Forest: Dunlap Camp 400'","25/7/1993","D Ubick"
9038588,"Telemidae","Usofila","USA","California","Mendocino","Jackson State Forest: Big River, 0.5 mi E Big R. Camp","15/9/1990","D Ubick"
9038589,"Telemidae","Usofila","USA","California","Mendocino","Spyrock Road, 9.2 mi NE Hwy 101 (2100')","21/9/1990","D Ubick"
9038590,"Telemidae","Usofila","USA","California","Mendocino","Tranquility, Caspar, 1.5 mi S","18/9/1990","D Ubick"
9038591,"Telemidae","Usofila","USA","California","Mendocino","Caspar, 1.5 mi S, Tranquility","04/5/1991","D Ubick"
9038592,"Telemidae","Usofila","USA","California","Mendocino","Covington Gulch at logging road, 2.5 mi E Hwy 1","20/7/1990","D Ubick"
9038593,"Telemidae","Usofila","USA","California","Mendocino","Fort Bragg","5/1/1957","JR Helfer"
9038594,"Telemidae","Usofila","USA","California","Mendocino","Littleriver","3/5/1955","JR Helfer"
9038595,"Telemidae","Usofila","USA","California","Mendocino","Mendocino","3/3/1957","JR Helfer"
9038596,"Telemidae","Usofila","USA","California","Mendocino","Mendocino","15/11/1957","JR Helfer"
9038597,"Telemidae","Usofila","USA","California","Mendocino","Mendocino","12/2/1955","J Helfer"
9038598,"Telemidae","Usofila","USA","California","Mendocino","Little River","3/8/1957","GA Marsh, JR Helfer"
9038599,"Telemidae","Usofila","USA","California","Mendocino","McKerricher Beach St. Pk., Cleone","17/3/1958","JR Helfer"
9038600,"Telemidae","Usofila","USA","California","Mendocino","Mendocino","15/3/1958","JR Helfer"
9038778,"Telemidae","Usofila","USA","California","Mendocino","Noyo R. 14.5 air mi E Ft. Bragg","26/5/1996","CE Griswold"
9038781,"Telemidae","Usofila","USA","California","Monterey","Pfeiffer, Big Sur State Park","2/5/1964","PR & DL Craig"
9038601,"Telemidae","Usofila","USA","California","Monterey","Limekiln Creek","31/5/1991","D Ubick"
9038602,"Telemidae","Usofila","USA","California","Napa","Mt. St. Helena","30/5/1949","EI Schlinger"
9038603,"Telemidae","Usofila","USA","California","Napa","Mt. St. Helena","31/12/1953","G Marsh, R Schuster, V Roth"
9038604,"Telemidae","Usofila","USA","California","Napa","9 mi S of Monticello","19/1/1958","RO Schuster"
9038605,"Telemidae","Usofila","USA","California","Napa","5 mi S of Monticello","6/1/1957","RO Schuster"
9038606,"Telemidae","Usofila","USA","California","Napa","9 mi S Monticello","22/1/1958","F Raney, RO Schuster"
9039607,"Telemidae","Usofila","USA","California","Napa","9 mi S Monticello","19/1/1958","RO Schuster"
9038608,"Telemidae","Usofila","USA","California","Napa","7mW Oakville","13/12/1957","LM Smith, RO Schuster"
9038609,"Telemidae","Usofila","USA","California","Napa","7 mi. E Rutherford","6/1/1957","RO Schuster"
9038610,"Telemidae","Usofila","USA","California","Napa","3 mi NNE St. Helena","15/12/1958","F Raney"
9038611,"Telemidae","Usofila","USA","California","Napa","9 mi S Monticello","22/1/1958","F Raney, RO Schuster"
9038612,"Telemidae","Usofila","USA","California","Napa","7 mi W Oakville","15/2/1954","VD Roth, R Schuster"
9038613,"Telemidae","Usofila","USA","California","Napa","3 mi N of Calistoga","31/12/1953","GA Marsh, RO Schuster, V Roth"
9038614,"Telemidae","Usofila","USA","California","Napa","10 mi S of Monticello","6/1/1957","RO Schuster"
9038615,"Telemidae","Usofila","USA","California","Napa","Wooden Valley","29/4/1962","SF Bailey"
9038616,"Telemidae","Usofila","USA","California","Napa","10 mi S Monticello","17/3/1957","RO Schuster"
9038618,"Telemidae","Usofila","USA","California","Napa","Bale Mill","22/5/1962","SF Bailey"
9038619,"Telemidae","Usofila","USA","California","Napa","10 mi S of Monticello","12/5/1957","LM Smith, RO Schuster"
9038620,"Telemidae","Usofila","USA","California","Napa","4 mi N of St. Helena","31/12/1953","GA Marsh, RO Schuster, VD Roth"
9038621,"Telemidae","Usofila","USA","California","Napa","Mt. St. Helena","14/3/1954","R Schuster"
9038622,"Telemidae","Usofila","USA","California","Napa","10 mi S of Monticello","16/3/1957","RO Schuster"
9038623,"Telemidae","Usofila","USA","California","Napa","Rutherford, I-3-58 F Raney","3/1/1958","RO Schuster"
9038500,"Telemidae","Usofila","USA","California","Placer","4mW Newcastle","10/3/1959","LM Smith, RO Schuster"
9038501,"Telemidae","Usofila","USA","California","Placer","4mW Newcastle","3/1/1959","F Raney, RO Schuster"
9038502,"Telemidae","Usofila","USA","California","Placer","4mW Newcastle","10/3/1959","LM Smith, RO Schuster"
9038503,"Telemidae","Usofila","USA","California","Placer","4mW Newcastle","21/3/1958","H Lange, LM Smith, RO Schuster"
9038504,"Telemidae","Usofila","USA","California","Placer","4mW Newcastle","3/1/1959","F Raney, RO Schuster"
9038505,"Telemidae","Usofila","USA","California","Placer","4mW Newcastle","19/3/1959","LM Smith, RO Schuster"
9038506,"Telemidae","Usofila","USA","California","Placer","4mW Newcastle","10/3/1959","LM Smith, RO Schuster"
9038507,"Telemidae","Usofila","USA","California","Placer","Newcastle","12/3/1958","LM Smith, RO Schuster"
9038515,"Telemidae","Usofila","USA","California","Plumas","Juniper Cave, WSI #C-96, C-103 and C-105, 10 mi SE Quincy","19/9/1959","R Graham"
9038517,"Telemidae","Usofila","USA","California","Plumas","Soda Springs Cave","5/9/1961","R Graham"
9038518,"Telemidae","Usofila","USA","California","San Bernandino","Crystal Kokoweah Cave nr. Mtn. Pass","1/4/1972","TS Briggs"
9038511,"Telemidae","Usofila","USA","California","San Francisco","SF Golden State Park","10/2/1954","R Schuster"
9038553,"Telemidae","Usofila","USA","California","San Mateo","1 mi S La Honda","29/6/1990","D Ubick"
9038554,"Telemidae","Usofila","USA","California","San Mateo","Alpine Road, 0.5 mi SE Pescadero Rd.","18/11/1988","D Ubick"
9038555,"Telemidae","Usofila","USA","California","San Mateo","E end Purisima Ck. Redwoods Open Space","16/5/1991","D Ubick"
9038556,"Telemidae","Usofila","USA","California","San Mateo","Scarper Peak Road, 1.3 mi SE El Granada-Pilarcitos Lake Rd.","13/7/2001","TS Briggs, D + S Ubick"
9038770,"Telemidae","Usofila","USA","California","San Mateo","Pescadero Beach RB-1","5/11/1961","PR Craig, D Dailey, R Dailey"
9038782,"Telemidae","Usofila","USA","California","San Mateo","Purisima Co. Park","13/9/1986","T Briggs, T Ohsumi"
9038785,"Telemidae","Usofila","USA","California","San Mateo","Edgewood Co. Park, Serpentine Trail","2/1/1987","TS Briggs, VF Lee, D Ubick"
9038624,"Telemidae","Usofila","USA","California","Santa Clara","9.0 mi N Bell Station","10/2/1991","D Ubick"
9038625,"Telemidae","Usofila","USA","California","Santa Clara","Henry Coe St. Pk: midway bet Manzanita Pt. Group Comp and Madrone Soda Spr.","11/3/1989","D Ubick"
9038626,"Telemidae","Usofila","USA","California","Santa Clara","Henry Coe St. Pk: 9.2 mi N Bell Station: N Fork Pacheco Ck","31/3/1989","D Ubick"
9038627,"Telemidae","Usofila","USA","California","Santa Clara","Santa Teresa County Park, Serpentine Grassland","20/2/1989","D Ubick"
9038628,"Telemidae","Usofila","USA","California","Santa Clara","Mt. Madonna","2/1/1954","R Burdick"
9038629,"Telemidae","Usofila","USA","California","Santa Clara","Stevens Creek","2/6/1957","RO Schuster"
9038724,"Telemidae","Usofila","USA","California","Santa Clara","Santa Teresa County Park","26/1/1990","D Ubick"
9038776,"Telemidae","Usofila","USA","California","Santa Clara","1.8 mi N of US Hwy 101 on Metcalf Road","2/1/1983","TS Briggs, D Ubick, VF Lee"
9038543,"Telemidae","Usofila","USA","California","Santa Cruz","6mNE Boulder Cr.","28/8/1957","I Newell"
9038544,"Telemidae","Usofila","USA","California","Santa Cruz","Big Basin","14/6/1953","PP Cook"
9038545,"Telemidae","Usofila","USA","California","Santa Cruz","Boulder Creek","23/12/1953","V Roth"
9038546,"Telemidae","Usofila","USA","California","Santa Cruz","Cave Gulch at Empire Grade Rd.","18/2/1991","D Ubick"
9034549,"Telemidae","Usofila","USA","California","Santa Cruz","Empire Cave","8/7/1989","D Ubick, S Fend, S Renkes"
9038550,"Telemidae","Usofila","USA","California","Santa Cruz","Dolloff Cave","28/8/1963","R Graham"
9034551,"Telemidae","Usofila","USA","California","Santa Cruz","Empire Grade Rd, 0.3 mi s Ben Lomond Youth Cmp.","18/2/1991","D Ubick"
9034552,"Telemidae","Usofila","USA","California","Santa Cruz","Santa Cruz, IXL Cave, Hell Hole Cave","21/4/1979","Rudolph, Dowan, canIngen"
9038682,"Telemidae","Usofila","USA","California","Shasta","Samwel Cave, 7 mi S Point McCloud Resort, Shasta Lake","15/9/1961","R Graham"
9038683,"Telemidae","Usofila","USA","California","Shasta","8 mi S Dunsmuir","11/7/1954","R Schuster, E Gilbert"
9038685,"Telemidae","Usofila","USA","California","Shasta","Samwell Cave, 25 mi N Redding","9/4/1979","Rudolph, Martin, Winterath"
9038686,"Telemidae","Usofila","USA","California","Shasta","Potter Creek Cave","7/9/1961","R Graham"
9038687,"Telemidae","Usofila","USA","California","Shasta","Samwel Cave, Stanford Grotto #23","7/9/1961","Graham"
9038688,"Telemidae","Usofila","USA","California","Shasta","Subway Cave","28/6/1960","R Graham"
9038689,"Telemidae","Usofila","USA","California","Shasta","Samwel Cave, Stanford Grotto #23","14/4/2000","JM Ledford"
9038690,"Telemidae","Usofila","USA","California","Shasta","Samwel Cave, Stanford Grotto #23","6/8/1989","D Ubick"
9038692,"Telemidae","Usofila","USA","California","Shasta","Subway Cave","28/6/1960","R Graham"
9038693,"Telemidae","Usofila","USA","California","Shasta","Samwel Cave, Stanford Grotto #23","27/9/1959","RE Graham"
9038695,"Telemidae","Usofila","USA","California","Shasta","Samwel Cave, Stanford Grotto #23","15/6/1959","RE Graham"
9038696,"Telemidae","Usofila","USA","California","Shasta","8 mi S Dunsmuir","11/7/1954","RO Schuster, EE Gilbert"
9038697,"Telemidae","Usofila","USA","California","Shasta","Samwel Cave","14/6/1959","REG"
9038698,"Telemidae","Usofila","USA","California","Shasta","Samwel Cave, Stanford Grotto #23","19/12/1959","RE Graham"
9038700,"Telemidae","Usofila","USA","California","Shasta","Potter Creek Cave","8/6/1995","D Ubick"
9038701,"Telemidae","Usofila","USA","California","Shasta","Samwel Cave, Stanford Grotto #23","30/8/1996","D Ubick"
9038702,"Telemidae","Usofila","USA","California","Shasta","Samwel Cave, Shasta Lake","2/4/1960","WJ Gertsch, R Schrammel"
9038703,"Telemidae","Usofila","USA","California","Shasta","Madrone Camp (7.5 air miles E Samwell Cave","07/8/1989","D Ubick"
9038771,"Telemidae","Usofila","USA","California","Shasta","Potter Creek Cave","8/6/1995","D Ubick"
9038777,"Telemidae","Usofila","USA","California","Shasta","Dekkas Rock at Gilman Rd","9/6/1995","D Ubick"
9038783,"Telemidae","Usofila","USA","California","Shasta","Samwel Cave, Stanford Grotto #23","7/6/1995","D Ubick"
9038538,"Telemidae","Usofila","USA","California","Sierra","Big Springs, 3 mi E Sierra City","17/8/1991","D Ubick"
9038512,"Telemidae","Usofila","USA","California","Siskiyou","1 mi S of Somes Bar","22/8/1959","V Roth, WJ Gertsch"
9038513,"Telemidae","Usofila","USA","California","Siskiyou","3.5 air mi W Gazelle, True Shasta View Cave","17/6/1989","D Ubick"
9038541,"Telemidae","Usofila","USA","California","Solano","1mW Cordelia","11/2/1960","FC Raney"
9038630,"Telemidae","Usofila","USA","California","Sonoma","Sonoma Mtn., Carriger Ck. At Canyon Dr.","11/2/1983","TS Briggs, D Ubick, V F Lee"
9038631,"Telemidae","Usofila","USA","California","Sonoma","2.5 mi E. Healdsburg","07/12/1980","D Ubick"
9038632,"Telemidae","Usofila","USA","California","Sonoma","Canyon Drive, Deer Park Drive, 3.5 mi W. of El Verano","11/2/1983","TS Briggs, D Ubick, V F Lee"
9038633,"Telemidae","Usofila","USA","California","Sonoma","nr. El Verano Jct. Spring and Prospect Rds. at Diamond Estates Rec. Area","18/1/1988","T Briggs"
9038634,"Telemidae","Usofila","USA","California","Sonoma","Mark West","14/3/1954","J Helfer"
9038636,"Telemidae","Usofila","USA","California","Sonoma","Mark West Resort","22/1/1958","F Raney, RO Schuster"
9038637,"Telemidae","Usofila","USA","California","Sonoma","Mark West Springs","31/12/1953","Marsh, Roth, Schuster"
9038638,"Telemidae","Usofila","USA","California","Sonoma","Mark West Springs","31/12/1953","GA Marsh, RO Schuster, VD Roth"
9038639,"Telemidae","Usofila","USA","California","Sonoma","Petrified Forest","21/11/1953","J Helfer"
9038640,"Telemidae","Usofila","USA","California","Sonoma","3 mi W of Glen Ellen","31/12/1953","Marsh, Roth, Schuster"
9038793,"Telemidae","Usofila","USA","California","Sonoma","SE of Monte Rio, Bohemian Hwy","9/1/2007","D Ubick, T Briggs"
9038539,"Telemidae","Usofila","USA","California","Stanislaus","17.8 mi N Bell Station","10/2/1991","D Ubick"
9038540,"Telemidae","Usofila","USA","California","Stanislaus","Henry Coe St. Pk: 15.0 mi N Bell Station: S Fork Orestimba Ck","31/3/1989","D Ubick"
9038510,"Telemidae","Usofila","USA","California","Tehama","4 mi W Mineral","26/6/1954","R Schuster"
9038641,"Telemidae","Usofila","USA","California","Trinity","Indian Valley Ck., just E. of Cave","27/10/1990","D Ubick"
9038642,"Telemidae","Usofila","USA","California","Trinity","Indian Valley Ck. Cave, 4 air mi SSE Hyampom","31/8/1996","D Ubick"
9038643,"Telemidae","Usofila","USA","California","Trinity","Big Slide Cmpg., N of Hyampom","13/8/1990","D Ubick"
9038644,"Telemidae","Usofila","USA","California","Trinity","Indian Valley Creek Cave","27/10/1990","D Ubick, W Rauscher"
9038645,"Telemidae","Usofila","USA","California","Trinity","Cave nr. Forest Glen Cave","20/10/1989","D Ubick"
9038646,"Telemidae","Usofila","USA","California","Trinity","11 mi E of Douglas City","11/7/1954","R Schuster, E Gilbert"
9038915,"Telemidae","Usofila","USA","California","Tulare","Sequoia Nat'l Park, Clough Cave","22/6/2000","JM Ledford, J Despaine"
9038647,"Telemidae","Usofila","USA","California","Tulare","Clough Cave, Ladder Room, Sequoia N. P.","5/4/1990","Tyson, Brigman, Jeffery"
9038648,"Telemidae","Usofila","USA","California","Tulare","Clough Cave, Sequoia N.P.","5/4/1990","Tyson, Brigman, Jeffery"
