Table S3. Ecological and life history traits for the 551 species include in the CBC trend analyses.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Order,Family,Common Name,Scientific Name,Diet,Life Expectancy,Habitat,Urban Affiliate,Migratory Strategy,log10(mass),Mean Eggs per Clutch,Mean Age at Sexual Maturity,Population Size,Winter Range Area,Range in CBC,Strata,Circles,Feeder Bird,Median Trend,Lower 95% CI,Upper 95% CI
Anseriformes,Anatidae,White-winged Scoter,Melanitta fusca,Invertebrates,Middle,Wetland,No,Moderate,3.26,11,2.5,NA,902422,3.8,38,587,No,1.025,0.988,1.063
Anseriformes,Anatidae,Wood Duck,Aix sponsa,Seed,Middle,Wetland,No,Short,2.82,10.5,1,NA,6715722,81.2,104,1805,No,1.031,1.023,1.039
Apodiformes,Apodidae,Vaux's Swift,Chaetura vauxi,Invertebrates,Short,Woodland,No,Moderate,1.28,5,1,340000,998800,0,1,26,No,1.031,0.971,1.101
Apodiformes,Apodidae,White-throated Swift,Aeronautes saxatalis,Invertebrates,Short,Various,No,Short,1.49,4.5,1,800000,1570664,30.4,6,186,No,1.002,0.950,1.030
Apodiformes,Trochilidae,Allen's Hummingbird,Selasphorus sasin,Nectar,Short,Shrubland,Yes,Moderate,0.53,2,2,700000,42584,4.1,1,35,Yes,1.167,1.151,1.185
Apodiformes,Trochilidae,Anna's Hummingbird,Calypte anna,Nectar,Short,Woodland,Yes,Short,0.63,2,1,4000000,1271937,83.7,14,344,Yes,1.049,1.043,1.055
Apodiformes,Trochilidae,Black-chinned Hummingbird,Archilochus alexandri,Nectar,Middle,Woodland,Yes,Short,0.48,2.5,1,4000000,238000,0,3,35,Yes,1.087,1.052,1.120
Apodiformes,Trochilidae,Blue-throated Hummingbird,Lampornis clemenciae,Nectar,Short,Woodland,No,Short,0.88,2,1,NA,372714,0,1,5,Yes,1.043,1.020,1.064
Apodiformes,Trochilidae,Broad-billed Hummingbird,Cynanthus latirostris,Nectar,Short,Woodland,Yes,Withdrawal,0.48,1.5,1,NA,466659,0,2,15,Yes,1.105,1.079,1.133
Apodiformes,Trochilidae,Broad-tailed Hummingbird,Selasphorus platycercus,Nectar,Middle,Woodland,Yes,Moderate,0.55,2,1,6000000,260306,0.2,1,4,Yes,1.092,1.032,1.176
Apodiformes,Trochilidae,Buff-bellied Hummingbird,Amazilia yucatanensis,Nectar,Middle,Woodland,Yes,Resident,0.60,2,1,NA,584491,30.7,4,51,Yes,1.094,1.079,1.111
Apodiformes,Trochilidae,Calliope Hummingbird,Stellula calliope,Nectar,Short,Woodland,No,Moderate,0.48,2,1,2000000,196229,0,1,5,Yes,1.157,1.104,1.224
Apodiformes,Trochilidae,Costa's Hummingbird,Calypte costae,Nectar,Short,Shrubland,No,Short,0.48,2,1,1400000,391181,29,3,94,Yes,1.061,1.046,1.076
Apodiformes,Trochilidae,Magnificent Hummingbird,Eugenes fulgens,Nectar,Short,Woodland,No,Short,0.90,2,1,NA,715030,0,1,6,Yes,1.086,1.053,1.118
Apodiformes,Trochilidae,Ruby-throated Hummingbird,Archilochus colubris,Nectar,Short,Woodland,Yes,Moderate,0.49,2,1,20000000,899178,1.2,6,116,Yes,1.057,1.039,1.080
Apodiformes,Trochilidae,Rufous Hummingbird,Selasphorus rufus,Nectar,Short,Woodland,No,Moderate,0.65,2,1,11000000,233245,0,7,72,Yes,1.092,1.069,1.116
Apodiformes,Trochilidae,Violet-crowned Hummingbird,Amazilia violiceps,Nectar,Short,Woodland,No,Short,0.70,2,1,NA,417628,0,1,4,Yes,1.122,1.054,1.237
Caprimulgiformes,Caprimulgidae,Chuck-will's-widow,Caprimulgus carolinensis,Invertebrates,Middle,Woodland,No,Short,2.04,2,1,6000000,415454,23.5,2,55,No,0.957,0.945,0.970
Caprimulgiformes,Caprimulgidae,Common Pauraque,Nyctidromus albicollis,Invertebrates,Middle,Shrubland,No,Resident,1.76,2,1,NA,13832520,0.2,2,33,No,0.984,0.973,0.995
Caprimulgiformes,Caprimulgidae,Common Poorwill,Phalaenoptilus nuttallii,Invertebrates,Short,Shrubland,No,Short,1.68,2,1,1800000,1257144,25.3,2,42,No,1.022,0.993,1.047
Caprimulgiformes,Caprimulgidae,Lesser Nighthawk,Chordeiles acutipennis,Invertebrates,Short,Shrubland,No,Short,1.69,2,1,3000000,9232686,0,3,22,No,1.032,0.989,1.080
Caprimulgiformes,Caprimulgidae,Eastern and Mexican Whip-poor-will ‡,Caprimulgus vociferus and C. arizonae,Invertebrates,Middle,Woodland,No,Moderate,1.72,2,1,2000000,1344198,18.8,2,57,No,0.985,0.973,0.996
Charadriiformes,Alcidae,Ancient Murrelet,Synthliboramphus antiquus,Invertebrates,Short,Ocean,No,Short,2.34,2,3.5,NA,727930,4,5,96,No,1.048,1.013,1.091
Charadriiformes,Alcidae,Atlantic Puffin,Fratercula arctica,Vertebrates,Long,Ocean,No,Short,2.77,1,4.5,NA,2238664,0.4,2,13,No,1.046,0.995,1.104
Charadriiformes,Alcidae,Black Guillemot,Cepphus grylle,Vertebrates,Long,Ocean,No,Withdrawal,2.58,2,3.5,NA,1665552,0.7,8,105,No,1.022,0.987,1.054
Charadriiformes,Alcidae,Cassin's Auklet,Ptychoramphus aleuticus,Invertebrates,Middle,Ocean,No,Short,2.27,1,3,NA,424739,48,3,41,No,1.018,0.975,1.066
Charadriiformes,Alcidae,Common Murre,Uria aalge,Vertebrates,Long,Ocean,No,Short,3.00,1,5,NA,1218342,1.9,9,175,No,0.923,0.876,0.967
Charadriiformes,Alcidae,Dovekie,Alle alle,Invertebrates,Middle,Ocean,No,Withdrawal,2.26,1,5.5,NA,2189639,0.2,7,75,No,1.017,0.967,1.077
Charadriiformes,Alcidae,Marbled Murrelet,Brachyramphus marmoratus,Invertebrates,Short,Ocean,No,Withdrawal,2.34,1,1.5,NA,691331,2.7,7,145,No,0.995,0.965,1.026
Charadriiformes,Alcidae,Pigeon Guillemot,Cepphus columba,Vertebrates,Middle,Ocean,No,Withdrawal,2.72,1.5,3.5,NA,408500,40.4,8,128,No,1.022,0.999,1.045
Charadriiformes,Alcidae,Razorbill,Alca torda,Vertebrates,Long,Ocean,No,Short,2.86,1,4.5,NA,646654,1,7,68,No,1.185,1.137,1.224
Charadriiformes,Alcidae,Rhinoceros Auklet,Cerorhinca monocerata,Vertebrates,Short,Ocean,No,Withdrawal,2.68,1,2.5,NA,732327,1.2,5,102,No,1.057,1.025,1.084
Charadriiformes,Alcidae,Thick-billed Murre,Uria lomvia,Vertebrates,Long,Ocean,No,Short,2.98,1,4.5,NA,2267113,1.2,5,39,No,0.968,0.886,1.025
Charadriiformes,Charadriidae,American Avocet,Recurvirostra americana,Invertebrates,Short,Wetland,No,Short,2.48,4,1,NA,1401869,18.2,14,223,No,0.976,0.876,1.042
Charadriiformes,Charadriidae,American Oystercatcher,Haematopus palliatus,Invertebrates,Middle,Ocean,No,Withdrawal,2.74,3,3.5,NA,1203075,24.4,12,122,No,1.017,1.005,1.028
Charadriiformes,Charadriidae,Black Oystercatcher,Haematopus bachmani,Invertebrates,Middle,Ocean,No,Resident,2.74,2.5,4.5,NA,271789,54.4,6,106,No,1.048,1.015,1.085
Charadriiformes,Charadriidae,Black-bellied Plover,Pluvialis squatarola,Invertebrates,Middle,Wetland,No,Moderate,2.40,4,1.5,NA,1691279,29.8,28,454,No,1.002,0.973,1.021
Charadriiformes,Charadriidae,Black-necked Stilt,Himantopus mexicanus,Invertebrates,Middle,Wetland,No,Short,2.22,4,1,NA,8535689,3.2,10,224,No,1.080,1.052,1.106
Charadriiformes,Charadriidae,Killdeer,Charadrius vociferus,Invertebrates,Middle,Various,Yes,Short,1.98,4,1,NA,8940735,60.4,114,2046,No,1.001,0.997,1.005
Charadriiformes,Charadriidae,Mountain Plover,Charadrius montanus,Invertebrates,Short,Grassland,No,Moderate,1.98,3,1,NA,870130,31.9,2,38,No,0.984,0.917,1.056
Charadriiformes,Charadriidae,Pacific Golden-Plover,Pluvialis fulva,Invertebrates,Short,Grassland,No,Long,2.18,4,1,NA,5113012,1.1,3,60,No,0.994,0.981,1.007
Charadriiformes,Charadriidae,Piping Plover,Charadrius melodus,Invertebrates,Middle,Ocean,No,Moderate,1.72,4,1,NA,236163,77.5,11,118,No,0.976,0.960,0.991
Charadriiformes,Charadriidae,Semipalmated Plover,Charadrius semipalmatus,Invertebrates,Short,Wetland,No,Long,1.67,3.5,2.5,NA,1672043,26,18,277,No,1.024,1.004,1.052
Charadriiformes,Charadriidae,Snowy Plover,Charadrius alexandrinus,Invertebrates,Middle,Ocean,No,Short,1.63,3,0.9,NA,637405,34.5,9,125,No,1.006,0.995,1.015
Charadriiformes,Charadriidae,Wilson's Plover,Charadrius wilsonia,Invertebrates,Middle,Ocean,No,Short,1.74,3,1,NA,847760,2.3,5,74,No,0.978,0.952,1.016
Charadriiformes,Laridae,Black-headed Gull,Chroicocephalus ridibundus,Invertebrates,Long,Wetland,No,Moderate,2.45,3,1.5,NA,130396,23.6,3,50,No,0.831,0.755,0.902
Charadriiformes,Laridae,Black-legged Kittiwake,Rissa tridactyla,Invertebrates,Long,Ocean,No,Moderate,2.62,2,4,NA,2323220,0.3,16,191,No,0.981,0.914,1.048
Charadriiformes,Laridae,Bonaparte's Gull,Chroicocephalus philadelphia,Omnivore,Middle,Wetland,No,Moderate,2.32,3,2,NA,3826413,62.1,79,1118,No,1.021,0.982,1.067
Charadriiformes,Laridae,California Gull,Larus californicus,Omnivore,Long,Wetland,Yes,Short,2.84,3.5,4,NA,894484,6.4,19,362,No,1.023,0.984,1.047
Charadriiformes,Laridae,Elegant Tern,Thalasseus elegans,Vertebrates,Middle,Ocean,No,Long,2.41,1.5,3,NA,864017,0,1,17,No,0.963,0.925,0.996
Charadriiformes,Laridae,Franklin's Gull,Leucophaeus pipixcan,Invertebrates,Short,Wetland,No,Long,2.45,2,2,NA,727423,0,2,24,No,0.975,0.943,1.027
Charadriiformes,Laridae,Glaucous Gull,Larus hyperboreus,Omnivore,Middle,Wetland,No,Moderate,3.18,2.5,3.5,NA,1792607,14.8,32,460,No,0.967,0.915,1.024
Charadriiformes,Laridae,Glaucous-winged Gull,Larus glaucescens,Omnivore,Long,Ocean,Yes,Short,3.02,3,5.5,NA,954904,19.5,13,299,No,0.973,0.951,0.986
Charadriiformes,Laridae,Great Black-backed Gull,Larus marinus,Omnivore,Long,Wetland,Yes,Short,3.22,2.5,4.5,NA,1112138,79.8,46,748,No,1.000,0.983,1.010
Charadriiformes,Laridae,Heermann's Gull,Larus heermanni,Vertebrates,Short,Ocean,No,Withdrawal,2.70,2.5,4,NA,786775,6.6,2,49,No,1.010,0.998,1.021
Charadriiformes,Laridae,Herring Gull,Larus argentatus,Omnivore,Long,Wetland,Yes,Short,3.04,3,4,NA,5442058,58.4,119,2033,No,0.972,0.953,0.985
Charadriiformes,Laridae,Laughing Gull,Leucophaeus atricilla,Invertebrates,Middle,Ocean,Yes,Withdrawal,2.49,3,2.5,NA,3393524,7.4,18,304,No,1.011,0.988,1.026
Charadriiformes,Laridae,Least Tern,Sternula antillarum,Vertebrates,Middle,Ocean,Yes,Moderate,1.67,3,1,NA,2175338,0,4,33,No,0.970,0.909,1.026
Charadriiformes,Laridae,Lesser Black-backed Gull,Larus fuscus,Vertebrates,Long,Ocean,Yes,Moderate,2.88,3,4.5,NA,4671221,3.6,20,237,No,1.126,1.101,1.144
Charadriiformes,Laridae,Little Gull,Hydrocoloeus minutus,Invertebrates,Middle,Wetland,No,Moderate,2.07,3,1.5,NA,569305,39.5,2,12,No,0.962,0.932,1.000
Charadriiformes,Laridae,Mew Gull,Larus canus,Invertebrates,Long,Ocean,No,Short,2.62,3,2.5,NA,113054,97.6,9,256,No,1.003,0.980,1.025
Charadriiformes,Laridae,Ring-billed Gull,Larus delawarensis,Vertebrates,Middle,Wetland,Yes,Short,2.71,3,2,NA,4308667,57.6,130,2212,No,1.024,1.009,1.040
Charadriiformes,Laridae,Iceland and Thayer's Gull §,Larus glaucoides and L. thayeri,Vertebrates,Middle,Wetland,No,Moderate,2.97,2.5,4,NA,1728204,31.4,33,622,No,1.023,1.000,1.048
Charadriiformes,Laridae,Western Gull,Larus occidentalis,Omnivore,Long,Ocean,Yes,Withdrawal,2.97,3,4.5,NA,157748,24.3,5,172,No,1.012,0.987,1.037
Charadriiformes,Laridae,Yellow-footed Gull,Larus livens,Vertebrates,Middle,Wetland,No,Short,3.12,3,4.5,NA,199954,4.5,3,4,No,1.052,0.747,1.220
Charadriiformes,Rynchopidae,Black Skimmer,Rynchops niger,Vertebrates,Middle,Ocean,No,Withdrawal,2.47,4.5,1.5,NA,14335169,1,12,172,No,0.971,0.948,0.989
Charadriiformes,Scolopacidae,American Woodcock,Scolopax minor,Invertebrates,Short,Wetland,No,Short,2.29,4,0.9,NA,1596300,98.9,40,586,No,0.994,0.988,1.000
Charadriiformes,Scolopacidae,Black Turnstone,Arenaria melanocephala,Invertebrates,Short,Wetland,No,Moderate,2.10,4,1,NA,798005,16.4,6,144,No,0.998,0.984,1.008
Charadriiformes,Scolopacidae,Dunlin,Calidris alpina,Invertebrates,Long,Wetland,No,Moderate,1.72,4,1.5,NA,1105302,23.4,36,608,No,1.004,0.988,1.020
Charadriiformes,Scolopacidae,Greater Yellowlegs,Tringa melanoleuca,Invertebrates,Short,Wetland,No,Moderate,2.21,3.5,1.5,NA,21489140,5.1,48,772,No,1.026,1.020,1.032
Charadriiformes,Scolopacidae,Least Sandpiper,Calidris minutilla,Invertebrates,Middle,Wetland,No,Moderate,1.36,4,1,NA,10407083,21.1,47,722,No,1.000,0.987,1.012
Charadriiformes,Scolopacidae,Lesser Yellowlegs,Tringa flavipes,Invertebrates,Short,Wetland,No,Moderate,1.89,6,1.5,NA,20496957,3.1,27,436,No,0.998,0.980,1.009
Charadriiformes,Scolopacidae,Long-billed Curlew,Numenius americanus,Invertebrates,Middle,Grassland,No,Moderate,2.77,4,2.5,NA,1636664,15,9,197,No,0.997,0.980,1.020
Charadriiformes,Scolopacidae,Long-billed Dowitcher,Limnodromus scolopaceus,Invertebrates,Middle,Wetland,No,Moderate,2.02,4,1,NA,2954234,38.5,27,453,No,1.030,1.009,1.047
Charadriiformes,Scolopacidae,Marbled Godwit,Limosa fedoa,Invertebrates,Middle,Wetland,No,Moderate,2.55,4,2.5,NA,718543,53.6,15,187,No,1.026,0.995,1.071
Charadriiformes,Scolopacidae,Pectoral Sandpiper,Calidris melanotos,Invertebrates,Short,Wetland,No,Long,1.90,4,1,NA,13348747,0.1,11,60,No,0.924,0.804,0.983
Charadriiformes,Scolopacidae,Purple Sandpiper,Calidris maritima,Invertebrates,Middle,Wetland,No,Long,1.81,4,2.5,NA,312598,78.7,17,155,No,1.003,0.982,1.025
Charadriiformes,Scolopacidae,Red Knot,Calidris canutus,Invertebrates,Long,Wetland,No,Long,2.15,4,2.5,NA,1681271,12.2,15,177,No,1.004,0.964,1.039
Charadriiformes,Scolopacidae,Red-necked Phalarope,Phalaropus lobatus,Invertebrates,Short,Wetland,No,Long,1.56,4,1,NA,4174725,0,3,27,No,0.861,0.728,0.991
Charadriiformes,Scolopacidae,Rock Sandpiper,Calidris ptilocnemis,Invertebrates,Short,Wetland,No,Moderate,1.97,4,1,NA,1215141,31.1,9,92,No,0.988,0.929,1.039
Charadriiformes,Scolopacidae,Ruddy Turnstone,Arenaria interpres,Invertebrates,Middle,Wetland,No,Moderate,2.13,4,2,NA,2076624,4.7,23,288,No,1.030,1.016,1.044
Charadriiformes,Scolopacidae,Sanderling,Calidris alba,Invertebrates,Middle,Wetland,No,Long,1.71,4,2,NA,3121796,13.9,28,417,No,0.998,0.985,1.009
Charadriiformes,Scolopacidae,Semipalmated Sandpiper,Calidris pusilla,Invertebrates,Middle,Wetland,No,Long,1.44,3.5,1,NA,1224857,0,6,68,No,0.739,0.676,0.798
Charadriiformes,Scolopacidae,Short-billed Dowitcher,Limnodromus griseus,Invertebrates,Middle,Wetland,No,Moderate,2.04,4,1,NA,1459679,8.1,13,223,No,1.037,1.010,1.072
Charadriiformes,Scolopacidae,Solitary Sandpiper,Tringa solitaria,Invertebrates,Middle,Wetland,No,Long,1.69,4,2,NA,16712332,0.6,1,13,No,1.019,0.996,1.038
Charadriiformes,Scolopacidae,Spotted Sandpiper,Actitis macularia,Invertebrates,Middle,Wetland,No,Moderate,1.62,4,1,NA,19553676,6.3,31,613,No,1.009,1.005,1.013
Charadriiformes,Scolopacidae,Stilt Sandpiper,Calidris himantopus,Omnivore,Middle,Wetland,No,Long,1.80,4,1.5,NA,12977352,0.5,4,83,No,1.061,1.035,1.088
Charadriiformes,Scolopacidae,Surfbird,Aphriza virgata,Invertebrates,Short,Wetland,No,Moderate,2.30,4,1,NA,1633017,19,6,114,No,0.994,0.966,1.018
Charadriiformes,Scolopacidae,Wandering Tattler,Tringa incana,Invertebrates,Middle,Wetland,No,Long,2.07,4,2.5,NA,583618,35.9,3,63,No,0.976,0.967,0.987
Charadriiformes,Scolopacidae,Western Sandpiper,Calidris mauri,Invertebrates,Short,Wetland,No,Long,1.44,4,1.5,NA,3194025,56.2,28,484,No,1.005,0.985,1.028
Charadriiformes,Scolopacidae,Whimbrel,Numenius phaeopus,Invertebrates,Middle,Wetland,No,Moderate,2.56,2,1.5,NA,2308618,16,11,152,No,1.004,0.981,1.015
Charadriiformes,Scolopacidae,White-rumped Sandpiper,Calidris fuscicollis,Invertebrates,Short,Wetland,No,Long,1.63,4,1,NA,419242,0,4,21,No,0.993,0.871,1.118
Charadriiformes,Scolopacidae,Willet,Tringa semipalmata,Invertebrates,Middle,Wetland,No,Moderate,2.39,3.5,2,NA,1498799,34.5,16,263,No,1.000,0.975,1.023
Charadriiformes,Scolopacidae,Wilson's Phalarope,Phalaropus tricolor,Invertebrates,Short,Wetland,No,Moderate,1.78,4,1,NA,5981504,0,1,4,No,1.118,1.002,1.300
Charadriiformes,Scolopacidae,Wilson's Snipe,Gallinago gallinago,Invertebrates,Middle,Wetland,No,Short,2.05,4,1,NA,9604425,57.8,116,1991,No,0.986,0.977,0.996
Charadriiformes,Stercorariidae,Parasitic Jaeger,Stercorarius parasiticus,Vertebrates,Long,Ocean,No,Moderate,2.65,1.5,4.5,NA,6327061,0,3,41,No,1.018,0.966,1.055
Charadriiformes,Stercorariidae,Pomarine Jaeger,Stercorarius pomarinus,Vertebrates,Middle,Ocean,No,Moderate,2.84,2.5,1,NA,27061720,0,1,33,No,1.022,1.004,1.041
Charadriiformes,Sternidae,Caspian Tern,Hydroprogne caspia,Vertebrates,Long,Wetland,No,Moderate,2.81,2,2.5,NA,1536201,12,15,254,No,0.993,0.979,1.006
Charadriiformes,Sternidae,Common Tern,Sterna hirundo,Vertebrates,Short,Wetland,No,Moderate,2.11,3,3,NA,4759009,0.1,9,113,No,0.889,0.861,0.912
Charadriiformes,Sternidae,Forster's Tern,Sterna forsteri,Vertebrates,Middle,Wetland,No,Moderate,2.17,2.5,2,NA,3178877,29.3,28,451,No,1.025,1.016,1.036
Charadriiformes,Sternidae,Gull-billed Tern,Gelochelidon nilotica,Omnivore,Middle,Ocean,No,Moderate,2.23,2,4.5,NA,2275017,4.9,3,59,No,0.986,0.973,1.000
Charadriiformes,Sternidae,Royal Tern,Thalasseus maximus,Vertebrates,Middle,Ocean,No,Short,2.65,1,3.5,NA,3418376,5.7,14,218,No,1.012,1.000,1.024
Charadriiformes,Sternidae,Sandwich Tern,Thalasseus sandvicensis,Omnivore,Middle,Ocean,No,Short,2.30,2,3.5,NA,3091608,2.9,4,84,No,1.021,1.004,1.035
