geo,name,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
caf,Central African Republic,479444,479444,479444,479444,479444,479444,479444,479444,479444,479444,479444,479444,479444,479444,479444,479444,479444,479444,479444,481588,485925,492502,501371,512583,524045,535764,547745,559994,572516,585319,598407,611789,625470,639457,653756,668375,683321,698602,714224,730195,746524,763218,780285,797733,815572,833810,852456,871518,891007,906867,919016,928677,934466,936279,938093,939909,941726,943545,945366,947455,949815,952446,955352,958534,961724,964924,968132,971348,974574,978100,981929,986065,990509,995265,1000041,1004839,1009658,1014498,1019360,1024248,1029161,1034101,1039068,1044061,1049076,1054113,1059173,1064254,1069359,1072764,1074466,1074460,1072739,1069300,1065870,1062449,1059037,1055635,1052241,1048550,1044564,1040284,1035713,1030853,1026013,1021195,1016397,1011621,1006865,1002327,998007,993903,990013,986336,982672,979019,975378,971749,966884,965492,967598,973230,982418,995189,1008127,1021233,1034509,1047957,1061581,1075163,1088702,1102194,1115635,1129023,1142571,1156282,1170157,1184199,1198410,1213772,1230317,1248073,1267072,1287345,1307943,1328870,1350132,1371734,1393682,1415790,1438057,1461251,1484824,1508948,1533757,1559363,1585846,1613277,1641670,1671331,1702346,1734580,1768115,1803063,1839583,1877854,1918082,1960444,2005100,2051515,2097505,2141450,2183769,2226008,2269338,2313916,2348566,2372930,2397961,2423794,2450535,2478402,2507375,2537399,2568610,2600932,2634258,2669155,2713965,2783970,2871910,2963191,3058831,3157839,3257954,3348052,3435965,3531700,3628827,3729450,3833416,3919487,4006077,4103086,4192826,4288810,4377579,4462770,4558984,4529047,4492995,4565021,4610848,4642419,4623182,4629320,4713663,4793511,4878657,4944703,5026628,5112100,5098039,5152421,5330690,5513282,5698984,5888123,6082465,6279732,6478245,6680057,6884139,7089443,7296247,7502587,7707561,7911631,8115863,8321556,8526455,8729074,8931163,9134996,9341762,9550893,9761444,9972764,10186017,10400626,10616753,10834361,11052358,11271690,11491188,11710159,11928607,12146810,12364354,12580147,12794248,13005374,13214263,13423522,13629237,13830255,14030004,14229120,14425337,14618133,14809844,14997824,15178490,15355547,15528202,15697683,15868014,16035525,16196829,16350362,16502027,16652248,16799360,16945083,17086351,17221559,17354298,17483566,17607042,17724407,17838607,17951022,18059046,18162242,18261242,18358755,18451738,18538428,18622113,18703140,18779149
can,Canada,500000,512396,525100,538119,551460,565132,579143,593502,608216,623296,639132,654978,671216,687858,704911,722388,740298,758652,777461,798664,822390,848776,877963,910099,943411,977943,1013738,1050844,1089308,1129501,1171497,1215377,1261221,1309115,1358828,1410429,1463990,1519584,1577290,1637493,1700301,1765826,1834182,1905491,1979572,2056533,2136487,2219548,2305839,2391522,2476448,2559522,2641458,2722081,2805165,2890785,2979018,3069943,3163643,3247242,3320292,3382328,3432869,3471420,3510404,3549825,3589688,3629999,3670761,3714461,3761167,3810948,3863875,3920020,3976980,4034767,4093393,4152870,4213212,4271526,4327751,4381827,4433690,4483274,4533412,4584111,4635375,4687213,4739629,4791558,4842985,4893892,4944263,4994083,5044403,5095230,5146568,5198423,5250800,5322438,5414039,5526329,5660054,5815980,5976202,6140837,6310006,6483834,6662450,6835413,7002359,7162911,7316676,7463246,7612752,7765251,7920804,8079472,8244429,8408136,8570485,8731366,8890664,9048259,9208649,9371882,9538008,9707078,9879146,10040282,10190141,10328369,10454603,10568474,10683586,10799952,10917584,11036499,11156708,11295108,11452206,11628521,11824581,12040928,12261233,12485569,12714009,12946630,13183506,13448166,13741747,14083299,14482799,14897875,15318987,15728274,16159622,16641330,17104086,17515520,17898790,18263074,18613601,18964262,19321666,19685518,20053671,20408780,20734172,21037618,21440022,21895691,22230880,22512227,22824082,23148986,23455781,23730340,23978738,24237173,24533776,24844974,25140164,25412608,25670375,25927465,26211031,26540921,26927945,27366050,27789443,28157158,28500059,28830637,29147381,29459131,29767206,30059089,30329969,30599456,30891803,31213577,31535577,31836482,32132678,32440173,32759171,33092171,33449085,33826370,34196899,34555452,34922516,35293433,35634264,35962234,36353343,36808497,37295005,37782935,38171902,38454057,38821259,39299105,39742430,40126723,40467728,40782234,41085503,41376296,41655589,41928615,42191768,42438030,42676472,42905267,43124450,43343006,43555952,43759359,43951417,44137906,44321950,44501136,44675804,44850096,45016755,45173486,45329217,45476950,45621882,45771463,45922954,46071010,46213215,46357072,46504143,46655785,46816196,46982141,47145289,47309916,47481925,47656822,47829974,48002027,48174162,48350940,48525241,48692311,48857807,49022938,49187298,49346188,49501805,49661529,49826113,49984253,50140226,50297170,50449270,50606319,50759611,50910759,51064690,51211734,51357630,51502219,51658545,51815707,51956748,52105251,52259694,52414813,52573700,52734099,52898268,53074354,53258349,53436912,53612234
che,Switzerland,1750000,1761104,1772279,1783525,1794842,1806231,1817692,1829226,1840834,1852514,1864344,1876174,1888079,1900060,1912116,1924249,1936459,1948747,1961112,1973259,1985184,1996884,2008356,2019597,2030901,2042268,2053699,2065194,2076753,2088366,2100034,2111757,2123535,2135368,2147268,2159233,2171265,2183365,2195531,2208374,2221899,2236117,2251034,2266659,2282393,2298235,2314188,2330251,2346426,2361968,2376868,2391043,2404559,2417406,2430322,2443308,2456362,2469486,2482681,2496075,2509670,2523469,2537472,2551683,2565973,2580343,2594794,2609326,2623939,2639213,2655155,2671773,2689076,2707070,2725184,2743420,2761777,2780257,2798861,2815975,2831583,2845667,2858213,2869203,2880235,2891310,2902427,2913587,2924790,2940376,2960412,2984964,3014098,3047882,3082044,3116590,3151522,3186847,3222567,3259491,3297642,3337043,3377721,3419697,3462196,3505222,3548784,3592887,3637537,3676240,3708898,3735411,3755679,3769600,3783573,3797597,3811673,3825802,3840104,3854972,3870409,3886420,3903010,3920183,3937431,3954755,3972156,3989632,4007186,4024687,4042133,4059524,4076859,4094137,4111489,4128914,4146413,4163986,4181634,4204687,4233224,4267326,4307074,4352549,4398505,4444945,4491876,4539302,4587230,4638319,4692641,4748085,4811612,4875652,4938748,5002112,5065620,5130162,5196441,5262800,5327780,5434123,5573696,5694165,5789149,5856419,5917962,5991733,6067657,6136351,6180922,6213530,6261081,6307403,6341377,6338600,6302555,6281359,6282038,6294715,6319846,6354556,6391804,6419311,6442422,6470957,6504750,6545773,6594143,6647788,6713173,6796943,6875051,6938106,6993587,7040477,7071883,7089163,7110291,7144121,7184007,7226391,7278752,7333447,7384194,7431823,7478509,7545381,7641728,7737645,7825753,7914372,7998926,8091202,8190235,8283934,8374901,8453628,8516344,8577524,8640582,8707023,8792182,8870561,8921981,8967407,9007798,9043906,9076513,9104953,9130292,9154022,9174696,9192399,9209209,9224225,9236747,9247903,9257649,9266361,9276178,9285143,9293495,9302064,9309174,9315498,9321380,9327870,9334798,9339962,9342586,9343512,9343509,9340965,9334790,9326971,9319226,9312862,9305960,9296751,9287263,9277056,9265893,9255594,9245239,9233898,9222169,9212724,9204915,9196767,9187370,9177164,9168531,9160266,9150541,9142534,9137371,9131146,9124041,9117039,9110194,9103881,9097875,9092583,9088048,9083853,9080907,9080219,9079721,9079237,9080417,9082868,9085599,9088075,9091437,9096329,9100899,9106388,9113178,9120188,9126131
chl,Chile,771447,771447,771447,771447,771447,771447,771447,771447,771447,771447,771447,771447,771447,771447,771447,771447,771447,771447,771447,774943,782013,792740,807205,825494,844197,863324,882884,902887,923344,943821,964311,984805,1005294,1025767,1046657,1067973,1089722,1111915,1134559,1157081,1179467,1201704,1223779,1245676,1267965,1290653,1313747,1337254,1361181,1385146,1409141,1434994,1460927,1486934,1513402,1540338,1567751,1595650,1624042,1652736,1681734,1711036,1740645,1770561,1800989,1831937,1863414,1895429,1927991,1960878,1994091,2027632,2061503,2095703,2130468,2165806,2201727,2238240,2275355,2312569,2349875,2387265,2424732,2462268,2500381,2539081,2578376,2618275,2658787,2699090,2739169,2779005,2818584,2857887,2897733,2938131,2979088,3020611,3062709,3104619,3146329,3187825,3229092,3270116,3311657,3353721,3396314,3439443,3483115,3527412,3572344,3617917,3664144,3711031,3758513,3806597,3855292,3904603,3949888,3997408,4047212,4099350,4153874,4210836,4268579,4327114,4386451,4446602,4507578,4572573,4641696,4715060,4792779,4874970,4958571,5043606,5130099,5218075,5307559,5400377,5496620,5596379,5699751,5806834,5915928,6027072,6140304,6255663,6373190,6497419,6628577,6756667,6891989,7033529,7180569,7332301,7489533,7651304,7815986,7983428,8153350,8324802,8497059,8670144,8842525,9012938,9181722,9348939,9514716,9680282,9845344,10009701,10174678,10340362,10505817,10671559,10838251,11005519,11172695,11339779,11508550,11678717,11850214,12026138,12207733,12395274,12588914,12790150,12999424,13215005,13437176,13662491,13884577,14102276,14316256,14527381,14734046,14932434,15127799,15319313,15503635,15683849,15857925,16024752,16187322,16348778,16509195,16671581,16838988,17009731,17181464,17351816,17519119,17687006,17864195,18047625,18267221,18558868,18893191,19197744,19370624,19456334,19553036,19658835,19764771,19859921,19945850,20026154,20100933,20169624,20233183,20290985,20341807,20385072,20422549,20455940,20485086,20507949,20524482,20535706,20542103,20543285,20539916,20532924,20519684,20499138,20473282,20443723,20408336,20366442,20320306,20269202,20211416,20146396,20075221,19998262,19915522,19827632,19735659,19638753,19536589,19430026,19318424,19201091,19077781,18951112,18820965,18687549,18552334,18415486,18276830,18135293,17992067,17847738,17700422,17549406,17395724,17239828,17081481,16921161,16758877,16594886,16430962,16265892,16098426,15928819,15757605,15585567,15412003,15237933,15064885,14893263,14723841,14555966,14389263,14224298,14061317,13901092,13742672,13585685,13430616
chn,China,330000000,331538997,333085172,334638557,336199187,337767094,339342314,340924881,342514827,344112189,346787806,349473695,352535289,355977887,359454102,362964264,366508704,370087755,373701758,377149238,380427133,383532342,386461720,389212084,391982022,394771673,397581178,400410677,403260312,405607878,407449420,408780953,409598466,409897918,410197589,410497479,410797588,411097916,411398464,411638991,411819451,411939802,412000000,412000000,412000000,412000000,412000000,412000000,412000000,411271706,409821554,407571207,404612902,400953345,397326869,393733177,390171971,386642959,383145849,379957356,377073144,374488926,372200462,370203557,368217349,366241782,364276799,362322343,360378357,359009380,358213651,357989417,358334940,359248496,360164366,361082555,362003068,362925913,363851094,364811918,365808568,366841230,367910088,369015329,370123874,371235733,372350915,373469431,374591291,375861884,377282343,378853809,380577427,382454353,384340518,386235968,388140749,390054906,391978486,393948270,395964677,398028126,400139044,402297857,404468299,406650433,408844322,411050028,413267616,415949604,419103292,422736070,426855424,431468929,436132277,440846009,445610666,450426800,455390940,459713848,463385992,466397723,468739279,470400781,472068172,473741473,475420706,477105890,478797048,480723984,482888894,485293993,487941510,490833691,493743015,496669583,499613499,502574863,505553781,508484014,511364925,514195868,516976194,519705247,522448707,525206648,527979149,530766285,533568134,537980644,544044358,553758247,565131438,577557138,590113858,603547007,616558583,630356208,644219479,652708217,654802069,655773486,665073691,684552645,704798265,723415733,742402213,761026026,781011025,802140332,823308967,844069867,863677814,882576946,900307582,916116793,930372292,943546375,956161485,969288069,983163542,997721071,1013588179,1029064956,1043849638,1059807820,1077233607,1096217446,1115244165,1133991008,1153582724,1170788528,1184574237,1197308575,1209003096,1220133927,1230944812,1241139622,1250847127,1260176655,1269581175,1278725063,1286866839,1294517326,1302100316,1310027136,1318054036,1325813582,1333821016,1342522716,1351561514,1360250664,1369520864,1379008040,1387951972,1396134174,1404052632,1412354727,1419008956,1423520357,1426106093,1426437267,1425179569,1422584933,1419321278,1416096094,1412914089,1409679406,1406136744,1402282752,1398153832,1393748670,1389060032,1384096521,1378876934,1373427531,1367742785,1361830063,1355722707,1349394718,1342816657,1335990231,1328909238,1321590798,1314015987,1306113788,1297817582,1289120427,1279992585,1270381145,1260289093,1249692538,1238557132,1226929854,1214853346,1202342471,1189440669,1176217945,1162722708,1149002167,1135127191,1121174717,1107207133,1093276704,1079407882,1065632529,1051989135,1038472818,1025103452,1011878190,998784319,985806560,972905671,960055383,947249417,934466660,921677630,908874532,896043789,883166975,870252344,857328715,844439196,831604667,818815356,806115054,793559254,781153718,768899132,756809110,744902836,733179456,721612750,710185968,698893770,687724085,676660877,665695503,654825389,644049400,633368113
civ,Cote d'Ivoire,1088530,1088530,1088530,1088530,1088530,1088530,1088530,1088530,1088530,1088530,1088530,1088530,1088530,1088530,1088530,1088530,1088530,1088530,1088530,1088156,1087409,1086290,1084798,1082935,1081076,1079219,1077366,1075516,1073669,1071826,1069985,1068148,1066314,1064483,1062655,1060830,1059009,1057190,1055375,1053562,1051753,1049947,1048144,1046345,1044548,1042754,1040964,1039176,1037392,1037413,1039249,1044153,1050904,1059519,1068203,1076957,1085781,1094676,1103642,1112455,1121114,1129614,1137952,1146126,1154356,1162644,1170990,1179394,1187857,1196620,1205686,1215062,1224750,1234756,1244843,1255010,1265258,1275588,1286001,1295975,1305502,1314576,1323188,1331331,1339523,1347763,1356052,1364390,1372778,1381771,1391378,1401607,1412468,1423970,1435565,1447251,1459031,1470905,1482873,1494034,1504375,1513884,1522548,1530354,1538198,1546081,1554002,1561961,1569960,1578631,1587984,1598027,1608768,1620218,1631746,1643355,1655045,1666815,1676816,1689932,1706226,1725765,1748615,1774844,1801467,1828489,1855916,1883755,1912011,1940297,1968608,1996939,2025285,2053639,2082390,2111543,2141105,2171080,2201475,2234107,2269038,2306334,2346063,2388292,2431281,2475044,2519595,2564948,2611117,2667685,2735180,2809367,2885711,2965131,3048537,3136628,3230010,3329278,3435080,3548941,3673666,3810151,3956939,4112061,4273952,4442377,4617519,4799744,4990021,5192221,5411567,5650868,5909716,6184944,6474057,6776297,7057958,7321950,7603130,7902267,8220714,8556596,8907936,9272744,9650516,10040483,10440917,10851475,11275189,11719771,12189778,12683870,13200310,13735951,14287201,14855565,15442312,16047170,16663948,17215935,17699004,18178913,18654771,19125542,19595000,20068458,20546802,21030558,21514439,21997940,22488065,22982000,23467078,23939775,24527395,25246342,25989405,26733372,27464173,28193009,28915449,29639736,30395002,31165654,31934230,32711547,33494346,34281130,35077096,35883455,36699009,37529365,38376606,39244384,40132808,41033849,41948467,42879999,43824369,44778745,45743925,46717432,47702162,48700665,49709046,50716067,51718056,52721463,53730596,54739406,55746985,56759561,57772652,58783276,59797639,60815802,61826433,62831827,63843645,64855751,65861370,66872832,67888440,68908169,69935317,70968220,72013857,73059532,74101979,75138746,76166277,77193744,78211565,79219659,80225057,81235636,82241363,83234027,84223328,85204417,86179854,87153993,88121003,89080799,90020568,90946504,91879537,92807681,93723590,94638954,95557108,96471115,97374901,98256245,99121205,99975736,100815103,101636470,102447192,103251940,104042819
cmr,Cameroon,1860054,1860054,1860054,1860054,1860054,1860054,1860054,1860054,1860054,1860054,1860054,1860054,1860054,1860054,1860054,1860054,1860054,1860054,1860054,1865014,1875001,1890080,1910321,1935792,1961602,1987757,2014260,2041117,2068332,2095910,2123855,2152173,2180869,2209947,2239413,2269272,2299528,2330189,2361258,2392741,2424644,2456973,2489732,2522929,2556568,2590655,2625197,2660200,2695669,2726839,2753631,2774631,2791073,2802879,2814734,2826639,2838593,2850598,2862652,2874956,2887512,2900320,2913384,2926705,2940087,2953528,2967031,2980594,2994219,3008522,3023509,3039186,3055559,3072636,3089807,3107074,3124436,3141895,3159450,3177115,3194890,3212776,3230773,3248883,3267093,3285404,3303817,3322333,3340952,3352927,3358253,3356927,3348943,3334297,3319714,3305194,3290737,3276342,3262010,3244729,3224542,3201490,3175612,3146951,3118547,3090399,3062504,3034860,3007465,2982815,2960873,2941601,2924961,2910917,2896940,2883029,2869184,2855405,2843100,2840770,2848503,2866390,2894522,2932993,2971975,3011475,3051500,3092056,3133152,3174533,3216200,3258152,3300391,3342916,3385989,3429618,3473808,3518568,3563904,3612756,3665219,3721390,3781367,3845252,3910216,3976278,4043456,4111769,4181236,4253975,4330084,4395353,4464716,4538446,4616886,4700257,4788337,4878933,4972218,5070071,5159057,5239273,5338620,5456623,5578257,5704686,5837295,5977318,6125863,6283462,6449793,6624408,6806872,6996660,7193583,7397120,7597962,7796501,8011921,8239641,8512219,8816377,9028678,9215397,9475078,9761730,10060342,10370749,10684968,11002745,11331821,11667180,12006353,12353131,12704903,13058516,13414757,13775214,14144860,14525140,14912631,15309490,15725528,16160340,16610487,17074594,17550407,18049896,18574056,19113974,19668066,20232304,20809529,21402376,22059893,22763414,23454161,24128601,24806383,25506095,26210558,26915758,27632771,28372687,29123744,29879337,30640817,31410384,32190668,32979283,33777190,34584117,35399671,36223483,37054810,37893818,38742467,39600372,40463012,41332840,42208003,43089980,43976016,44857801,45741474,46629039,47519038,48413783,49308765,50203270,51096317,51989016,52885711,53780179,54670862,55557082,56438109,57320853,58204677,59084925,59960896,60830908,61695067,62554749,63411694,64266376,65117257,65962217,66799157,67630705,68458220,69281001,70100398,70912212,71716675,72513577,73296756,74071103,74837842,75593957,76344375,77085039,77810057,78523921,79226074,79916765,80595177,81262709,81920827,82567871,83203329,83825950,84434007,85029323,85616518,86190175,86750799,87301733,87838657,88362383,88875688
cod,"Congo, Dem. Rep.",5163819,5163819,5163819,5163819,5163819,5163819,5163819,5163819,5163819,5163819,5163819,5163819,5163819,5163819,5163819,5163819,5163819,5163819,5163819,5179959,5212490,5261670,5327758,5411019,5495580,5581464,5668689,5757277,5847250,5938629,6031436,6125694,6221424,6318651,6417396,6517686,6619542,6722990,6828055,6934761,7043136,7153204,7264992,7378527,7493836,7610947,7729889,7850689,7973377,8073221,8149850,8203380,8232938,8238132,8243328,8248528,8253732,8258938,8264148,8278940,8303383,8337544,8381494,8435301,8489453,8543953,8598803,8654005,8709561,8767739,8828573,8892099,8958350,9027364,9096909,9166990,9237610,9308775,9380488,9446869,9507851,9563364,9613338,9657703,9702272,9747047,9792028,9837217,9882615,9908873,9916000,9904005,9872896,9822681,9772720,9723014,9673560,9624358,9575407,9517503,9450783,9375382,9291434,9199070,9107625,9017088,8927451,8838705,8750841,8670897,8598752,8534289,8477391,8427943,8378783,8329910,8281323,8233018,8184506,8167193,8181304,8227068,8304717,8414489,8525712,8638406,8752588,8868280,8985502,9102435,9219054,9335332,9451241,9566753,9683677,9802030,9921830,10043094,10165840,10298425,10441106,10594143,10757803,10932357,11109744,11290009,11473198,11659360,11848543,12059912,12294287,12542644,12803639,13069450,13343031,13630351,13929951,14242279,14557796,14891582,15264846,15662374,16075724,16507599,16955327,17427802,17931929,18462782,19012189,19570445,20137436,20695569,21251160,21827665,22418878,23021101,23624031,24229061,24992689,25886782,26711099,27500515,28338190,29250963,30245081,31264816,32265196,33298904,34382752,35486866,36684063,37925817,39228910,40656336,42626876,44433704,45296124,46029902,47297600,48912971,50507442,52132646,53750524,55343867,56997741,58775724,60615908,62477752,64390664,66412044,68563038,70849311,73254618,75789395,78403242,81035531,83956415,87083398,90047644,92947442,95989998,99148932,102396968,105789731,109276265,112832473,116452162,120129746,123871549,127674140,131532201,135447495,139408612,143414030,147468136,151560103,155689455,159848576,164045609,168296695,172595582,176946263,181350405,185805164,190312002,194865379,199464484,204105927,208783693,213497692,218246072,223027957,227837014,232664917,237508266,242361217,247217774,252076411,256940359,261810598,266679133,271539699,276386349,281214645,286020052,290802814,295566363,300307025,305024361,309717274,314382310,319008024,323597049,328151396,332668933,337148986,341591956,345997829,350356778,354663932,358920647,363127572,367286366,371405058,375476383,379483691,383424209,387295720,391094836,394825388,398480921,402059257,405554504,408970520,412322023,415597743,418781543,421876805,424898159,427842825,430709445
cog,"Congo, Rep.",314465,314465,314465,314465,314465,314465,314465,314465,314465,314465,314465,314465,314465,314465,314465,314465,314465,314465,314465,315477,317518,320603,324750,329976,335286,340682,346164,351735,357395,363146,368990,374928,380961,387092,393321,399651,406082,412617,419257,426003,432859,439825,446902,454094,461401,468826,476371,484037,491826,498107,502855,506279,508123,508358,508593,508828,509062,509297,509532,510379,511841,513925,516634,519973,523333,526715,530119,533545,536992,540679,544610,548787,553214,557895,562616,567376,572177,577018,581900,586705,591431,596076,600640,605120,609634,614181,618762,623377,628026,631180,632836,632986,631628,628755,625895,623048,620214,617392,614583,611178,607186,602613,597469,591762,586109,580510,574964,569471,564030,559084,554625,550646,547141,544103,541081,538076,535088,532116,528924,527945,529200,532708,538491,546568,554767,563088,571535,580108,588809,597520,606239,614963,623692,632424,641278,650256,659359,668590,677951,688000,698757,710242,722477,735481,748720,762197,775916,789883,804101,819217,835261,853635,872682,892466,913017,934432,956823,980198,1004628,1030155,1056732,1084389,1113175,1143263,1174816,1207880,1242534,1278691,1316519,1356182,1397638,1441039,1486468,1533680,1582301,1627032,1667225,1707568,1748089,1788524,1828985,1869759,1910430,1950321,1999528,2059311,2120602,2183473,2247653,2313558,2380560,2449229,2519465,2595124,2673144,2749461,2826785,2887862,2952061,3032874,3151345,3272537,3350771,3445753,3565554,3696393,3837409,3980430,4113517,4281219,4462290,4609724,4740450,4857099,4975880,5097581,5222536,5351011,5483118,5616661,5752791,5892183,6035104,6182885,6332961,6484437,6637785,6794294,6953972,7116463,7282266,7452409,7626477,7802999,7981344,8160733,8341711,8524801,8709726,8896174,9083971,9274659,9466760,9658842,9850507,10041901,10234371,10427912,10621399,10813655,11006471,11200449,11394540,11588702,11783763,11977754,12170789,12364401,12558479,12754017,12950780,13148492,13348745,13549289,13747451,13945147,14143856,14340898,14536301,14733635,14929960,15124135,15317711,15510183,15700217,15888666,16074470,16257211,16440547,16622258,16802276,16980264,17158125,17336315,17511543,17683692,17854605,18025474,18195509,18362315,18525565,18687358,18846995,19003267,19155559,19305619,19454162,19600617,19745458,19887449,20025644
col,Colombia,1206000,1206000,1206000,1206000,1206000,1206000,1206000,1206000,1206000,1206000,1206000,1206000,1206000,1206000,1206000,1206000,1206000,1206000,1206000,1214218,1230935,1256439,1291031,1335020,1380508,1427545,1476185,1526483,1578494,1625412,1666969,1702888,1732878,1756641,1780729,1805148,1829902,1854995,1880433,1903501,1924150,1942328,1957983,1971062,1984228,1997482,2010824,2024256,2037777,2059759,2090483,2130531,2179923,2238970,2299616,2361905,2425881,2491590,2559078,2607482,2636526,2645924,2635380,2604587,2574154,2544076,2514350,2484970,2455935,2441191,2440818,2454897,2483512,2526750,2570742,2615499,2661036,2707366,2754501,2802458,2851249,2900890,2951395,3002780,3055059,3108248,3162363,3217420,3273435,3330421,3388395,3447374,3507374,3568414,3630517,3693700,3757983,3823384,3889923,3960099,4034025,4111820,4193603,4279498,4367152,4456602,4547884,4641035,4736094,4836936,4943772,5056822,5176311,5302473,5431710,5564096,5699709,5838627,5980122,6125371,6274474,6427532,6584651,6745936,6911172,7080455,7253884,7431562,7613591,7784729,7944479,8092331,8227759,8350218,8474500,8600632,8728641,8858555,8990403,9140477,9309432,9497943,9706706,9936435,10171600,10412331,10658759,10911020,11169250,11454141,11766988,12078807,12405842,12746035,13100839,13473060,13861801,14270271,14693287,15136215,15606209,16095203,16599029,17113823,17637411,18169050,18702688,19235618,19766796,20291942,20811782,21319096,21819563,22325374,22833469,23344644,23858810,24393494,24950337,25515626,26104498,26713267,27338331,27988173,28642690,29268470,29879112,30499467,31130524,31776279,32440069,33098372,33760571,34441473,35127410,35804662,36462745,37121149,37792165,38454863,39089934,39709262,40324680,40937429,41543171,42128977,42691084,43235374,43758808,44271541,44777319,45259614,45715810,46151584,46565429,46969940,47437512,48131078,49024465,49907985,50629997,51188173,51737944,52321152,52886363,53425635,53936226,54422266,54885116,55322626,55736475,56125963,56490499,56832260,57151612,57445753,57716865,57965296,58190077,58394306,58576446,58736885,58878128,59000357,59104590,59190823,59259760,59313134,59351253,59375010,59385357,59382960,59368286,59341502,59302995,59252857,59191342,59118668,59034730,58939677,58833441,58716000,58587063,58446679,58294750,58131055,57955180,57766692,57565953,57353303,57128480,56891287,56642330,56382062,56110522,55827989,55535068,55231931,54918950,54597433,54267963,53930889,53586874,53236620,52881132,52520933,52156801,51789198,51418569,51046494,50674501,50303185,49933006,49564330,49197688,48834469,48475980,48121487,47770267,47423141,47080764
com,Comoros,56346,56346,56346,56346,56346,56346,56346,56346,56346,56346,56346,56346,56346,56346,56346,56346,56346,56346,56346,56370,56417,56488,56583,56701,56820,56939,57059,57178,57298,57418,57539,57659,57780,57902,58023,58145,58266,58389,58511,58634,58757,58880,59003,59127,59251,59375,59500,59624,59749,59919,60133,60468,60849,61277,61708,62142,62578,63018,63461,63906,64355,64807,65262,65720,66181,66645,67112,67583,68056,68533,69013,69497,69983,70473,70967,71463,71963,72467,72974,73484,73998,74515,75036,75560,76088,76619,77154,77693,78235,78781,79330,79884,80441,81002,81566,82135,82707,83283,83863,84697,85792,87156,88797,90723,92690,94699,96753,98850,100993,103182,105419,107704,110038,112422,114859,117347,119890,122487,124996,127206,129108,130695,131957,132884,133818,134758,135706,136659,137620,138587,139561,140542,141530,142524,143526,144535,145550,146573,147603,148641,149686,150738,151797,152864,153938,155020,156110,157207,158312,159884,161938,165533,168976,172600,176138,179587,182958,186566,190563,194286,197700,201201,204702,208185,211644,214967,218663,223859,230244,237001,244185,251865,260077,268820,278075,287692,297538,307579,317688,327791,337721,347382,357139,367233,377637,388352,399318,410439,421687,433103,444596,455556,465113,473682,482142,490586,499107,507777,516597,525886,536080,547220,558923,569798,580704,592677,604753,616927,629307,641947,654836,668056,681630,696192,711503,726682,741741,756669,771590,786578,802163,818174,834188,850387,866628,882847,899010,915174,931431,947807,964264,980775,997350,1014062,1030870,1047763,1064851,1081999,1099148,1116420,1133778,1151149,1168512,1185959,1203544,1221072,1238455,1255711,1273038,1290369,1307558,1324686,1341720,1358539,1375094,1391500,1407726,1423737,1439574,1455278,1470859,1486299,1501452,1516378,1531210,1545863,1560376,1574793,1589013,1602955,1616592,1630120,1643543,1656713,1669672,1682479,1695137,1707466,1719486,1731166,1742529,1753679,1764609,1775397,1785889,1795935,1805707,1815169,1824310,1833228,1841867,1850197,1858160,1865734,1873047,1880188,1886980,1893461,1899646,1905479,1911034
