"Code","Name_En","Name_Fr","Name_Es","Name_Ar","Name_Cn","Name_Ru","Ocean_Group_En","Ocean_Group_Fr","Ocean_Group_Es","Ocean_Group_Ar","Ocean_Group_Cn","Ocean_Group_Ru","InlandMarine_Group_En","InlandMarine_Group_Fr","InlandMarine_Group_Es","InlandMarine_Group_Ar","InlandMarine_Group_Cn","InlandMarine_Group_Ru","FARegion_Group_En","FARegion_Group_Fr","FARegion_Group_Es","FARegion_Group_Ar","FARegion_Group_Cn","FARegion_Group_Ru"
"31","Atlantic, Western Central","Atlantique, centre-ouest","Atlántico, centro-occidental","غرب وسط المحيط الأطلسي","西部中大西洋","Центрально-Западная Атлантика","Atlantic Ocean and adjacent seas","Océan Atlantique et mers limitrophes","Océano Atlántico y mares adyacentes","المحيط الأطلسي","大西洋","Атлантический океан","Marine areas","Zones maritimes","Áreas marítimas","المناطق البحرية","海域","Морские районы","Central regions","Régions centrales","Regiones centrales","","",""
"34","Atlantic, Eastern Central","Atlantique, centre-est","Atlántico, centro-oriental","شرق وسط المحيط الأطلنطي","中东大西洋","Центрально-Восточная Атлантика","Atlantic Ocean and adjacent seas","Océan Atlantique et mers limitrophes","Océano Atlántico y mares adyacentes","المحيط الأطلسي","大西洋","Атлантический океан","Marine areas","Zones maritimes","Áreas marítimas","المناطق البحرية","海域","Морские районы","Central regions","Régions centrales","Regiones centrales","","",""
"37","Mediterranean and Black Sea","Méditerranée et mer Noire","Mediterráneo y Mar Negro","البحر الأبيض المتوسط والبحر الأسود","地中海和黑海","Средиземное и Черное моря","Atlantic Ocean and adjacent seas","Océan Atlantique et mers limitrophes","Océano Atlántico y mares adyacentes","المحيط الأطلسي","大西洋","Атлантический океан","Marine areas","Zones maritimes","Áreas marítimas","المناطق البحرية","海域","Морские районы","Central regions","Régions centrales","Regiones centrales","","",""
"41","Atlantic, Southwest","Atlantique, sud-ouest","Atlántico, sudoccidental","جنوب غرب المحيط الاطلسي","西南大西洋","Юго-Западная Атлантика","Atlantic Ocean and adjacent seas","Océan Atlantique et mers limitrophes","Océano Atlántico y mares adyacentes","المحيط الأطلسي","大西洋","Атлантический океан","Marine areas","Zones maritimes","Áreas marítimas","المناطق البحرية","海域","Морские районы","Southern regions","Régions méridionales","Regiones del Sur","","",""
"47","Atlantic, Southeast","Atlantique, sud-est","Atlántico, sudoriental","جنوب شرق المحيط الاطلسي","东南大西洋","Юго-Восточная Атлантика","Atlantic Ocean and adjacent seas","Océan Atlantique et mers limitrophes","Océano Atlántico y mares adyacentes","المحيط الأطلسي","大西洋","Атлантический океан","Marine areas","Zones maritimes","Áreas marítimas","المناطق البحرية","海域","Морские районы","Southern regions","Régions méridionales","Regiones del Sur","","",""
"48","Atlantic, Antarctic","Atlantique, Antarctique","Atlántico, Antártico","الأطلنطي الأنتاركتيكي المحيط","南极大西洋","антарктическая часть Атлантики","Southern Ocean (Antarctic)","Océan Austral (Antarctique)","Océano Austral (Antártico)","المحيط الأنتاركتيكي","南极海","Южный океан","Marine areas","Zones maritimes","Áreas marítimas","المناطق البحرية","海域","Морские районы","Southern regions","Régions méridionales","Regiones del Sur","","",""
"51","Indian Ocean, Western","Océan Indien, ouest","Océano Índico, occidental","غرب المحيط الهندي","西印度洋","западная часть Индийского океана","Indian Ocean","Océan Indien","Océano Índico","المحيط الهندي","印度洋","Индийский океан","Marine areas","Zones maritimes","Áreas marítimas","المناطق البحرية","海域","Морские районы","Central regions","Régions centrales","Regiones centrales","","",""
"57","Indian Ocean, Eastern","Océan Indien, est","Océano Índico, oriental","شرق المحيط الهندي","东印度洋","восточная часть Индийского океана","Indian Ocean","Océan Indien","Océano Índico","المحيط الهندي","印度洋","Индийский океан","Marine areas","Zones maritimes","Áreas marítimas","المناطق البحرية","海域","Морские районы","Central regions","Régions centrales","Regiones centrales","","",""
"58","Indian Ocean, Antarctic","Océan Indien, Antarctique","Océano Índico, Antártico","المحيط الهندي الأنتاركتيكي","南极印度洋","антарктическая часть Индийского океана","Southern Ocean (Antarctic)","Océan Austral (Antarctique)","Océano Austral (Antártico)","المحيط الأنتاركتيكي","南极海","Южный океан","Marine areas","Zones maritimes","Áreas marítimas","المناطق البحرية","海域","Морские районы","Southern regions","Régions méridionales","Regiones del Sur","","",""
"61","Pacific, Northwest","Pacifique, nord-ouest","Pacífico, noroeste","شمال غرب المحيط الهادئ","西北太平洋","северо-западная часть Тихого океана","Pacific Ocean","Océan Pacifique","Océano Pacífico","المحيط الهادئ","太平洋","Тихий океан","Marine areas","Zones maritimes","Áreas marítimas","المناطق البحرية","海域","Морские районы","Northern regions","Régions septentrionales","Regiones del Norte","","",""
"67","Pacific, Northeast","Pacifique, nord-est","Pacífico, nordeste","شمال شرق المحيط الهادئ","东北太平洋","северо-восточная часть Тихого океана","Pacific Ocean","Océan Pacifique","Océano Pacífico","المحيط الهادئ","太平洋","Тихий океан","Marine areas","Zones maritimes","Áreas marítimas","المناطق البحرية","海域","Морские районы","Northern regions","Régions septentrionales","Regiones del Norte","","",""
"71","Pacific, Western Central","Pacifique, centre-ouest","Pacífico, centro-occidental","غرب وسط المحيط الهادئ","西部中太平洋","центрально-западная часть Тихого океана","Pacific Ocean","Océan Pacifique","Océano Pacífico","المحيط الهادئ","太平洋","Тихий океан","Marine areas","Zones maritimes","Áreas marítimas","المناطق البحرية","海域","Морские районы","Central regions","Régions centrales","Regiones centrales","","",""
"77","Pacific, Eastern Central","Pacifique, centre-est","Pacífico, centro-oriental","شرق وسط المحيط الهادئ","中东太平洋","центрально-восточная часть Тихого океана","Pacific Ocean","Océan Pacifique","Océano Pacífico","المحيط الهادئ","太平洋","Тихий океан","Marine areas","Zones maritimes","Áreas marítimas","المناطق البحرية","海域","Морские районы","Central regions","Régions centrales","Regiones centrales","","",""
"81","Pacific, Southwest","Pacifique, sud-ouest","Pacífico, sudoccidental","جنوب غرب المحيط الهادى","西南太平洋","юго-западная часть Тихого океана","Pacific Ocean","Océan Pacifique","Océano Pacífico","المحيط الهادئ","太平洋","Тихий океан","Marine areas","Zones maritimes","Áreas marítimas","المناطق البحرية","海域","Морские районы","Southern regions","Régions méridionales","Regiones del Sur","","",""
"87","Pacific, Southeast","Pacifique, sud-est","Pacífico, sudoriental","جنوب شرق المحيط الهادى","东南太平洋","юго-восточная часть Тихого океана","Pacific Ocean","Océan Pacifique","Océano Pacífico","المحيط الهادئ","太平洋","Тихий океан","Marine areas","Zones maritimes","Áreas marítimas","المناطق البحرية","海域","Морские районы","Southern regions","Régions méridionales","Regiones del Sur","","",""
"88","Pacific, Antarctic","Pacifique, Antarctique","Pacífico, Antártico","المحيط الهادئ الأنتاركتيكي","南极太平洋","антарктическая часть Тихого океана","Southern Ocean (Antarctic)","Océan Austral (Antarctique)","Océano Austral (Antártico)","المحيط الأنتاركتيكي","南极海","Южный океан","Marine areas","Zones maritimes","Áreas marítimas","المناطق البحرية","海域","Морские районы","Southern regions","Régions méridionales","Regiones del Sur","","",""
"98","Antarctic areas NEI","Zones antarctiques NCA","Áreas antárticas NEP","","","","Southern Ocean (Antarctic)","Océan Austral (Antarctique)","Océano Austral (Antártico)","المحيط الأنتاركتيكي","南极海","Южный океан","Marine areas","Zones maritimes","Áreas marítimas","المناطق البحرية","海域","Морские районы","","","","","",""
"99","Marine areas outside the Antarctic","Zones maritimes hors de l'Antarctique","Áreas marítimas fuera del Antártico","","","","","","","","","","Marine areas","Zones maritimes","Áreas marítimas","المناطق البحرية","海域","Морские районы","","","","","",""
"08","Antarctica - Inland waters","Antarctique - Eaux continentales","Antártida - Aguas continentales","القارة القطبية الجنوبية – المياه الداخلية","南极洲-内陆水域","Антарктика – внутренние воды","","","","","","","Inland waters","Eaux continentales","Aguas continentales","المياه الداخلية","内陆水域","внутренние воды","","","","","",""
