park,biolyr,pack,packcode,packsizeAug,mortYN,mortALL,mortLEAD,mortNONLEAD,reprody1,persisty1
DENA,1988,Clearwater,68,4,0,0,0,0,1,1
DENA,1989,Clearwater,68,8,0,0,0,0,0,0
DENA,1995,Corner Lake,69,4,0,0,0,0,1,1
DENA,1996,Corner Lake,69,7,0,0,0,0,1,1
DENA,1997,Corner Lake,69,4,0,0,0,0,1,1
DENA,1998,Corner Lake,69,1,0,0,0,0,0,0
DENA,2000,Death Valley,70,2,0,0,0,0,0,1
DENA,2001,Death Valley,70,3,0,0,0,0,0,1
DENA,2002,Death Valley,70,2,0,0,0,0,1,1
DENA,2016,Eagle Gorge,71,5,0,0,0,0,1,1
DENA,1986,East Fork,72,9,0,0,0,0,1,1
DENA,1987,East Fork,72,8,0,0,0,0,1,1
DENA,1989,East Fork,72,27,0,0,0,0,1,1
DENA,1990,East Fork,72,33,0,0,0,0,1,1
DENA,1991,East Fork,72,16,0,0,0,0,1,1
DENA,1993,East Fork,72,9,0,0,0,0,1,1
DENA,1994,East Fork,72,9,0,0,0,0,1,1
DENA,1995,East Fork,72,14,0,0,0,0,1,1
DENA,1997,East Fork,72,7,0,0,0,0,1,1
DENA,1998,East Fork,72,7,0,0,0,0,1,1
DENA,1999,East Fork,72,9,0,0,0,0,1,1
DENA,2001,East Fork,72,10,0,0,0,0,1,1
DENA,2002,East Fork,72,4,0,0,0,0,1,1
DENA,2003,East Fork,72,8,0,0,0,0,1,1
DENA,2007,East Fork,72,15,0,0,0,0,1,1
DENA,2008,East Fork,72,16,0,0,0,0,1,1
DENA,2009,East Fork,72,12,0,0,0,0,1,1
DENA,2011,East Fork,72,10,0,0,0,0,1,1
DENA,2012,East Fork,72,13,0,0,0,0,1,1
DENA,2013,East Fork,72,20,0,0,0,0,1,1
DENA,1987,Ewe Creek,73,8,0,0,0,0,1,1
DENA,1989,Foraker,4,7,0,0,0,0,1,1
DENA,1990,Foraker,74,9,0,0,0,0,1,1
DENA,1991,Foraker,74,8,0,0,0,0,1,1
DENA,1993,Foraker,74,NULL,0,0,0,0,1,1
DENA,1994,Foraker,74,6,0,0,0,0,1,1
DENA,1995,Foraker,74,12,0,0,0,0,1,1
DENA,1996,Foraker,74,NULL,0,0,0,0,1,1
DENA,1997,Foraker,74,8,0,0,0,0,1,1
DENA,1998,Foraker,74,8,0,0,0,0,1,1
DENA,1999,Foraker,74,8,0,0,0,0,1,1
DENA,2000,Foraker,74,9,0,0,0,0,1,1
DENA,2001,Foraker,74,1,0,0,0,0,0,0
DENA,2002,Grant Creek,75,2,0,0,0,0,0,1
DENA,2003,Grant Creek,75,2,0,0,0,0,1,1
DENA,2004,Grant Creek,75,5,0,0,0,0,1,1
DENA,2005,Grant Creek,75,6,0,0,0,0,1,1
DENA,2006,Grant Creek,75,13,0,0,0,0,1,1
DENA,2008,Grant Creek,75,6,0,0,0,0,1,1
DENA,2009,Grant Creek,75,14,0,0,0,0,1,1
DENA,2010,Grant Creek,75,16,0,0,0,0,1,1
DENA,2011,Grant Creek,75,13,0,0,0,0,1,1
DENA,2014,Grant Creek,75,4,0,0,0,0,1,1
DENA,2015,Grant Creek,75,6,0,0,0,0,1,1
DENA,2016,Grant Creek,75,12,0,0,0,0,0,1
DENA,2017,Grant Creek,75,5,0,0,0,0,NULL,NULL
DENA,2008,Hauke Creek,76,0,0,0,0,0,0,0
DENA,1986,Headquarters,77,2,0,0,0,0,0,1
DENA,1987,Headquarters,77,2,0,0,0,0,1,1
DENA,1988,Headquarters,77,7,0,0,0,0,1,1
DENA,1989,Headquarters,77,14,0,0,0,0,1,1
DENA,1990,Headquarters,77,11,0,0,0,0,1,1
DENA,1991,Headquarters,77,10,0,0,0,0,1,1
DENA,1992,Headquarters,77,5,0,0,0,0,1,1
DENA,2002,Herron,78,10,0,0,0,0,0,1
DENA,2003,Herron,78,7,0,0,0,0,0,1
DENA,2004,Herron,78,8,0,0,0,0,0,0
DENA,1988,Highpower,79,8,0,0,0,0,1,1
DENA,1989,Highpower,79,10,0,0,0,0,1,1
DENA,1990,Highpower,79,12,0,0,0,0,1,1
DENA,1991,Highpower,79,11,0,0,0,0,1,1
DENA,2007,Hot Slough,80,7,0,0,0,0,1,1
DENA,2009,Hot Slough,80,7,0,0,0,0,0,1
DENA,2010,Hot Slough,80,3,0,0,0,0,1,1
DENA,2011,Hot Slough,80,10,0,0,0,0,1,1
DENA,2012,Hot Slough,80,3,0,0,0,0,0,1
DENA,2013,Hot Slough,80,3,0,0,0,0,0,1
DENA,2014,Hot Slough,80,3,0,0,0,0,1,1
DENA,2015,Hot Slough,80,0,0,0,0,0,0,0
DENA,2010,Iron Creek,81,9,0,0,0,0,0,1
DENA,2011,Iron Creek,81,8,0,0,0,0,0,0
DENA,2013,Iron Creek East,82,5,0,0,0,0,1,1
DENA,2014,Iron Creek East,82,2,0,0,0,0,0,0
DENA,2013,Iron Creek West,83,6,0,0,0,0,1,1
DENA,2014,Iron Creek West,83,6,0,0,0,0,1,1
DENA,2015,Iron Creek West,83,15,0,0,0,0,1,1
DENA,2016,Iron Creek West,83,10,0,0,0,0,0,1
DENA,1993,Jenny Creek,84,6,0,0,0,0,1,1
DENA,2013,John Hansen,85,8,0,0,0,0,1,1
DENA,2015,John Hansen,85,3,0,0,0,0,1,1
DENA,2016,John Hansen,85,8,0,0,0,0,1,1
DENA,2017,John Hansen,85,15,0,0,0,0,NULL,1
DENA,2000,Kantishna River,86,6,0,0,0,0,1,1
DENA,2001,Kantishna River,86,6,0,0,0,0,0,1
DENA,2002,Kantishna River,86,5,0,0,0,0,1,1
DENA,2003,Kantishna River,86,8,0,0,0,0,0,1
DENA,2004,Kantishna River,86,2,0,0,0,0,1,1
DENA,2005,Kantishna River,86,7,0,0,0,0,0,1
DENA,2007,Kantishna River,86,1,0,0,0,0,1,1
DENA,2008,Kantishna River,86,5,0,0,0,0,1,1
DENA,2009,Kantishna River,86,6,0,0,0,0,1,1
DENA,2010,Kantishna River,86,8,0,0,0,0,0,NULL
DENA,1988,Little Bear,87,7,0,0,0,0,1,1
DENA,1989,Little Bear,87,12,0,0,0,0,NULL,1
DENA,1991,Little Bear,87,23,0,0,0,0,1,1
DENA,1992,Little Bear,87,12,0,0,0,0,1,1
DENA,1993,Little Bear,87,12,0,0,0,0,1,1
DENA,1995,Little Bear,87,0,0,0,0,0,0,0
DENA,2004,McKinley River,88,6,0,0,0,0,1,1
DENA,2005,McKinley River,88,2,0,0,0,0,1,1
DENA,2006,McKinley River,88,6,0,0,0,0,1,1
DENA,2007,McKinley River,88,10,0,0,0,0,1,0
DENA,1990,McKinley River1,89,8,0,0,0,0,1,1
DENA,1991,McKinley River1,89,9,0,0,0,0,1,1
DENA,1993,McKinley River1,89,3,0,0,0,0,NULL,1
DENA,1999,McKinley Slough,90,2,0,0,0,0,1,1
DENA,2000,McKinley Slough,90,3,0,0,0,0,0,1
DENA,2001,McKinley Slough,90,2,0,0,0,0,1,1
DENA,2002,McKinley Slough,90,7,0,0,0,0,1,1
DENA,2003,McKinley Slough,90,8,0,0,0,0,1,1
DENA,2004,McKinley Slough,90,8,0,0,0,0,1,1
DENA,2005,McKinley Slough,90,10,0,0,0,0,1,1
DENA,2006,McKinley Slough,90,8,0,0,0,0,1,1
DENA,2007,McKinley Slough,90,15,0,0,0,0,1,1
DENA,2009,McKinley Slough,90,15,0,0,0,0,1,1
DENA,2010,McKinley Slough,90,19,0,0,0,0,1,1
DENA,2011,McKinley Slough,90,15,0,0,0,0,1,1
DENA,2012,McKinley Slough,90,5,0,0,0,0,0,1
DENA,2013,McKinley Slough,90,4,0,0,0,0,0,1
DENA,2014,McKinley Slough,90,2,0,0,0,0,0,1
DENA,2015,McKinley Slough,90,2,0,0,0,0,0,1
DENA,2016,McKinley Slough,90,2,0,0,0,0,0,0
DENA,1987,McLeod,91,7,0,0,0,0,1,1
DENA,1988,McLeod,91,12,0,0,0,0,1,1
DENA,1989,McLeod,91,12,0,0,0,0,1,1
DENA,1990,McLeod,91,20,0,0,0,0,1,1
DENA,1991,McLeod,91,13,0,0,0,0,1,1
DENA,1992,McLeod,91,13,0,0,0,0,1,1
DENA,1993,McLeod,91,15,0,0,0,0,1,1
DENA,1994,McLeod,91,10,0,0,0,0,0,1
DENA,1995,McLeod,91,7,0,0,0,0,1,1
DENA,1996,McLeod,91,13,0,0,0,0,1,1
DENA,1997,McLeod,91,6,0,0,0,0,0,0
DENA,1991,McLeod West,92,11,0,0,0,0,1,1
DENA,2009,Moose Creek,94,2,0,0,0,0,1,1
DENA,2010,Moose Creek,94,0,0,0,0,0,0,0
DENA,2000,Mt Margaret,95,3,0,0,0,0,1,1
DENA,2001,Mt Margaret,95,6,0,0,0,0,1,1
DENA,2002,Mt Margaret,95,10,0,0,0,0,1,1
DENA,2004,Mt Margaret,95,7,0,0,0,0,1,1
DENA,2005,Mt Margaret,95,10,0,0,0,0,1,1
DENA,2006,Mt Margaret,95,11,0,0,0,0,1,1
DENA,2007,Mt Margaret,95,7,0,0,0,0,1,1
DENA,2000,Muddy River,96,2,0,0,0,0,0,1
DENA,2001,Muddy River,96,4,0,0,0,0,NULL,1
DENA,2002,Muddy River,96,2,0,0,0,0,NULL,1
DENA,2015,Myrtle,97,6,0,0,0,0,1,1
DENA,2009,Nenana River,98,6,0,0,0,0,1,1
DENA,2010,Nenana River,98,5,0,0,0,0,1,1
DENA,2011,Nenana River,98,7,0,0,0,0,1,1
DENA,2012,Nenana River,98,8,0,0,0,0,0,1
DENA,2014,Nenana River,98,14,0,0,0,0,1,1
DENA,1999,North Fork,99,5,0,0,0,0,0,1
DENA,2000,North Fork,99,4,0,0,0,0,1,1
DENA,2001,North Fork,99,5,0,0,0,0,0,0
DENA,1998,Otter Creek,100,7,0,0,0,0,1,1
DENA,1999,Otter Creek,100,6,0,0,0,0,1,1
DENA,2009,Otter Lake,100,2,0,0,0,0,1,1
DENA,2006,Pinto,101,5,0,0,0,0,1,1
DENA,1998,Pinto Creek,102,8,0,0,0,0,1,1
DENA,2000,Pinto Creek,102,17,0,0,0,0,1,1
DENA,2001,Pinto Creek,102,17,0,0,0,0,1,1
DENA,2002,Pinto Creek,102,10,0,0,0,0,1,1
DENA,1988,Pirate Creek,103,9,0,0,0,0,0,0
DENA,2014,Riley Creek,104,6,0,0,0,0,1,1
DENA,2015,Riley Creek,104,9,0,0,0,0,1,1
DENA,2016,Riley Creek,104,14,0,0,0,0,1,1
DENA,2018,Riley Creek West,105,2,0,0,0,0,NULL,1
DENA,1995,Sanctuary,106,5,0,0,0,0,1,1
DENA,1996,Sanctuary,106,10,0,0,0,0,1,1
DENA,1997,Sanctuary,106,15,0,0,0,0,1,1
DENA,1998,Sanctuary,106,3,0,0,0,0,1,1
DENA,1999,Sanctuary,106,6,0,0,0,0,1,1
DENA,1997,Sandless Lake,107,6,0,0,0,0,0,1
DENA,2008,Savage,108,6,0,0,0,0,0,0
DENA,1993,Savage1,109,8,0,0,0,0,1,1
DENA,1991,Slippery Creek,110,5,0,0,0,0,1,1
DENA,1992,Slippery Creek,110,1,0,0,0,0,0,0
DENA,2008,Somber,111,8,0,0,0,0,0,1
DENA,2009,Somber,111,2,0,0,0,0,1,1
DENA,2010,Somber,111,6,0,0,0,0,NULL,1
DENA,2012,Somber,111,6,0,0,0,0,0,1
DENA,2013,Somber,111,5,0,0,0,0,0,1
DENA,2014,Somber,111,2,0,0,0,0,0,1
DENA,2015,Somber,111,5,0,0,0,0,1,1
DENA,1988,Stampede,112,7,0,0,0,0,1,1
DENA,1989,Stampede,112,10,0,0,0,0,0,1
DENA,1992,Stampede,112,2,0,0,0,0,1,1
DENA,1993,Stampede,112,3,0,0,0,0,1,1
DENA,1994,Stampede,112,7,0,0,0,0,1,1
DENA,1995,Stampede,112,8,0,0,0,0,1,1
DENA,1997,Stampede,112,2,0,0,0,0,1,1
DENA,1998,Stampede,112,6,0,0,0,0,1,1
DENA,1999,Stampede,112,3,0,0,0,0,1,1
DENA,2000,Stampede,112,2,0,0,0,0,1,1
DENA,2001,Stampede,112,2,0,0,0,0,0,0
DENA,2001,Starr Lake,113,2,0,0,0,0,0,1
DENA,2002,Starr Lake,113,2,0,0,0,0,1,1
DENA,2003,Starr Lake,113,10,0,0,0,0,1,1
DENA,2004,Starr Lake,113,7,0,0,0,0,1,1
DENA,2005,Starr Lake,113,9,0,0,0,0,0,1
DENA,2007,Starr Lake,113,6,0,0,0,0,1,1
DENA,2008,Starr Lake,113,3,0,0,0,0,1,1
DENA,2009,Starr Lake,113,6,0,0,0,0,1,1
DENA,2010,Starr Lake,113,3,0,0,0,0,0,0
DENA,1995,Stony,114,2,0,0,0,0,1,1
DENA,1996,Stony,114,6,0,0,0,0,1,1
DENA,1997,Stony,114,7,0,0,0,0,0,1
DENA,1998,Stony,114,3,0,0,0,0,1,1
DENA,1999,Stony,114,3,0,0,0,0,0,0
DENA,2000,Straightaway,115,10,0,0,0,0,0,1
DENA,2001,Straightaway,115,9,0,0,0,0,1,1
DENA,2002,Straightaway,115,12,0,0,0,0,1,1
DENA,2004,Straightaway,115,4,0,0,0,0,NULL,1
DENA,2005,Turtle Hill ,117,3,0,0,0,0,0,1
DENA,2006,Turtle Hill ,117,3,0,0,0,0,1,1
DENA,1992,Turtle Hill1,118,8,0,0,0,0,1,1
DENA,1993,Turtle Hill1,118,7,0,0,0,0,NULL,1
DENA,1996,White Creek,119,5,0,0,0,0,0,1
DENA,1997,White Creek,119,3,0,0,0,0,1,1
DENA,1998,White Creek,119,4,0,0,0,0,1,1
DENA,1999,White Creek,119,2,0,0,0,0,1,1
DENA,1987,Windy Creek,120,8,0,0,0,0,1,1
DENA,1988,Windy Creek,120,5,0,0,0,0,1,1
GNTP,2010,Buffalo,158,16.8,1,2,0,2,0,0
GNTP,2012,Phantom Springs,165,9.6,1,4,1,3,1,1
GNTP,2014,Phantom Springs,165,6,1,2,NULL,NULL,0,1
GNTP,2017,Phantom Springs,165,2.4,1,2,1,1,0,0
GNTP,2008,Antelope,157,9.6,1,1,NULL,NULL,1,1
GNTP,2006,Buffalo,158,15.6,1,1,NULL,NULL,1,1
GNTP,2008,Buffalo,158,10.8,1,1,NULL,NULL,1,1
GNTP,2009,Buffalo,158,26.4,1,1,NULL,NULL,0,1
GNTP,2005,Flat Creek,159,9.6,1,1,0,1,0,0
GNTP,2019,Huckleberry,161,20.4,1,4,1,3,0,0
GNTP,2016,Lower Gros Ventre,162,8.4,1,1,1,0,0,1
GNTP,2018,Lower Gros Ventre,162,9.6,1,3,2,NULL,1,1
GNTP,2020,Lower Gros Ventre,162,12,1,1,NULL,NULL,1,1
GNTP,2010,Phantom Springs,165,10.8,1,1,1,0,1,1
GNTP,2011,Phantom Springs,165,15.6,1,1,0,1,1,1
GNTP,2015,Phantom Springs,165,3.6,1,1,0,1,1,1
GNTP,2012,Pinnacle Peak,166,12,1,1,0,1,1,1
GNTP,2016,Pinnacle Peak,166,15.6,1,2,1,NULL,1,1
GNTP,2017,Pinnacle Peak,166,12,1,1,1,0,1,1
GNTP,2019,Pinnacle Peak,166,12,1,2,NULL,NULL,1,0
GNTP,1999,Teton,167,7.2,1,1,1,0,0,1
GNTP,2000,Teton,167,4.8,1,1,1,0,1,1
GNTP,2003,Teton,167,14.4,1,2,0,2,1,1
GNTP,2004,Teton,167,15.6,1,1,0,1,1,1
GNTP,2009,Antelope,157,9.6,0,0,0,0,0,1
GNTP,2010,Antelope,157,4.8,0,0,0,0,0,0
GNTP,2007,Buffalo,158,18,0,0,0,0,1,1
GNTP,2019,Horsetail Creek (Murie),160,3.6,0,0,0,0,1,1
GNTP,2020,Horsetail Creek (Murie),160,4.8,0,0,0,0,1,1
GNTP,2006,Huckleberry,161,8.4,0,0,0,0,1,1
GNTP,2007,Huckleberry,161,8.4,0,0,0,0,NULL,1
GNTP,2008,Huckleberry,161,4.8,0,0,0,0,NULL,1
GNTP,2009,Huckleberry,161,7.2,0,0,0,0,NULL,1
GNTP,2010,Huckleberry,161,10.8,0,0,0,0,1,1
GNTP,2011,Huckleberry,161,6,0,0,0,0,1,1
GNTP,2012,Huckleberry,161,7.2,0,0,0,0,1,1
GNTP,2013,Huckleberry,161,13.2,0,0,0,0,0,1
GNTP,2014,Huckleberry,161,3.6,0,0,0,0,1,1
GNTP,2015,Huckleberry,161,12,0,0,0,0,1,1
GNTP,2016,Huckleberry,161,15.6,0,0,0,0,0,1
GNTP,2017,Huckleberry,161,8.4,0,0,0,0,1,1
GNTP,2018,Huckleberry,161,12,0,0,0,0,1,1
GNTP,2011,Lower Gros Ventre,162,3.6,0,0,0,0,1,1
GNTP,2012,Lower Gros Ventre,162,6,0,0,0,0,0,1
GNTP,2013,Lower Gros Ventre,162,2.4,0,0,0,0,1,1
GNTP,2014,Lower Gros Ventre,162,4.8,0,0,0,0,1,1
GNTP,2015,Lower Gros Ventre,162,6,0,0,0,0,1,1
GNTP,2017,Lower Gros Ventre,162,6,0,0,0,0,1,1
GNTP,2019,Lower Gros Ventre,162,14.4,0,0,0,0,1,1
GNTP,2012,Lower Slide Lake (781M Group),163,2.4,0,0,0,0,0,1
GNTP,2013,Lower Slide Lake (781M Group),163,2.4,0,0,0,0,0,1
GNTP,2014,Lower Slide Lake (781M Group),163,2.4,0,0,0,0,0,1
GNTP,2005,Pacific Creek,164,13.2,0,0,0,0,1,1
GNTP,2006,Pacific Creek,164,10.8,0,0,0,0,1,1
GNTP,2007,Pacific Creek,164,15.6,0,0,0,0,1,1
GNTP,2008,Pacific Creek,164,15.6,0,0,0,0,1,1
GNTP,2009,Pacific Creek,164,16.8,0,0,0,0,1,1
GNTP,2010,Pacific Creek,164,14.4,0,0,0,0,1,1
GNTP,2008,Phantom Springs,165,10.8,0,0,0,0,1,1
GNTP,2009,Phantom Springs,165,10.8,0,0,0,0,1,1
GNTP,2013,Phantom Springs,165,13.2,0,0,0,0,0,1
GNTP,2016,Phantom Springs,165,4.8,0,0,0,0,0,1
GNTP,2007,Pinnacle Peak,166,2.4,0,0,0,0,1,1
GNTP,2008,Pinnacle Peak,166,12,0,0,0,0,1,1
GNTP,2009,Pinnacle Peak,166,16.8,0,0,0,0,1,1
GNTP,2010,Pinnacle Peak,166,13.2,0,0,0,0,1,1
GNTP,2011,Pinnacle Peak,166,16.8,0,0,0,0,1,1
GNTP,2013,Pinnacle Peak,166,14.4,0,0,0,0,1,1
GNTP,2014,Pinnacle Peak,166,14.4,0,0,0,0,1,1
GNTP,2015,Pinnacle Peak,166,15.6,0,0,0,0,1,1
GNTP,2018,Pinnacle Peak,166,9.6,0,0,0,0,1,1
GNTP,1998,Teton,167,2.4,0,0,0,0,1,1
GNTP,2001,Teton,167,14.4,0,0,0,0,1,1
GNTP,2002,Teton,167,16.8,0,0,0,0,1,1
GNTP,2005,Teton,167,13.2,0,0,0,0,0,1
GNTP,2006,Teton,167,3.6,0,0,0,0,1,1
GNTP,2020,Wildcat Ridge,168,NULL,0,0,0,0,1,1
VNP,1987,tomcodbay,169,6,1,2,NULL,NULL,1,1
VNP,1988,tomcodbay,169,6,1,1,NULL,NULL,NULL,1
VNP,1988,cruiserlake,172,NULL,1,1,1,0,1,1
VNP,2015,Moose River,187,NULL,1,1,NULL,1,NULL,1
VNP,2016,Moose River,187,NULL,1,1,NULL,1,NULL,1
VNP,2016,Sheep Ranch,191,NULL,1,1,NULL,1,NULL,1
VNP,2017,Sheep Ranch,191,NULL,1,2,NULL,2,NULL,1
VNP,2020,Bowman Bay,182,NULL,1,1,NULL,1,NULL,0
VNP,2020,Fawn Creek,184,NULL,1,1,NULL,1,NULL,0
VNP,1988,locatorlake,170,NULL,0,0,0,0,0,1
VNP,1989,middlepeninsula,171,NULL,0,0,0,0,NULL,1
VNP,1990,middlepeninsula,171,NULL,0,0,0,0,NULL,1
VNP,1990,cruiserlake,172,5,0,0,0,0,NULL,1
VNP,1990,mooserivergrade,173,NULL,0,0,0,0,NULL,1
VNP,1988,brownsbay,174,NULL,0,0,0,0,1,1
VNP,1990,brownsbay,174,NULL,0,0,0,0,NULL,1
VNP,1989,nebraskabay,175,7,0,0,0,0,NULL,1
VNP,1990,nebraskabay,175,NULL,0,0,0,0,NULL,1
VNP,1988,bluemoose,176,3,0,0,0,0,NULL,1
VNP,1989,ratroot,180,NULL,0,0,0,0,NULL,1
VNP,2014,Ash River,181,NULL,0,0,0,0,NULL,1
VNP,2015,Ash River,181,NULL,0,0,0,0,NULL,1
VNP,2015,Bowman Bay,182,NULL,0,0,0,0,NULL,1
VNP,2015,Sand Point,190,NULL,0,0,0,0,NULL,1
VNP,2016,Ash River,181,NULL,0,0,0,0,NULL,1
VNP,2016,Bowman Bay,182,NULL,0,0,0,0,NULL,1
VNP,2016,Sand Point,190,NULL,0,0,0,0,NULL,1
VNP,2017,Ash River,181,NULL,0,0,0,0,NULL,0
VNP,2017,Bowman Bay,182,NULL,0,0,0,0,NULL,1
VNP,2017,Lightfoot,186,NULL,0,0,0,0,NULL,1
VNP,2017,Moose River,187,NULL,0,0,0,0,NULL,1
VNP,2017,Sand Point,190,NULL,0,0,0,0,NULL,1
VNP,2018,Bowman Bay,182,NULL,0,0,0,0,1,1
VNP,2018,Fawn Creek,184,NULL,0,0,0,0,NULL,1
VNP,2018,Lightfoot,186,NULL,0,0,0,0,1,1
