Dataset,SiteCode,POC,Date,Percentile,SiteName,Latitude,Longitude,Elevation,State,ammNO3f_Val,ammNO3f_Unit,ammSO4f_Val,ammSO4f_Unit,ECf_Val,ECf_Unit,OMCf_Val,OMCf_Unit,SOILf_Val,SOILf_Unit,SVR_Val,SVR_Unit
IMPRHR2,AGTI1,1,2/20/2011,10,Agua Tibia,33.4636,-116.9706,507.5,CA,0.13119,ug/m^3,0.2621,ug/m^3,0.0254,ug/m^3,0.54828,ug/m^3,0.0176,ug/m^3,265.92676,km
IMPRHR2,AGTI1,1,2/23/2011,0,Agua Tibia,33.4636,-116.9706,507.5,CA,-999,ug/m^3,-999,ug/m^3,-999,ug/m^3,-999,ug/m^3,-999,ug/m^3,-999,km
IMPRHR2,AGTI1,1,2/26/2011,10,Agua Tibia,33.4636,-116.9706,507.5,CA,0.0396,ug/m^3,0.16079,ug/m^3,0.0073,ug/m^3,0.11286,ug/m^3,0.02494,ug/m^3,303.05593,km
IMPRHR2,AGTI1,1,3/1/2011,30,Agua Tibia,33.4636,-116.9706,507.5,CA,1.24421,ug/m^3,0.49211,ug/m^3,0.2411,ug/m^3,1.4535,ug/m^3,0.20093,ug/m^3,129.20803,km
IMPRHR2,AGTI1,1,3/4/2011,50,Agua Tibia,33.4636,-116.9706,507.5,CA,2.51021,ug/m^3,0.83564,ug/m^3,0.1921,ug/m^3,0.95184,ug/m^3,0.60771,ug/m^3,98.6299,km
IMPRHR2,AGTI1,1,3/7/2011,10,Agua Tibia,33.4636,-116.9706,507.5,CA,0.25232,ug/m^3,0.47256,ug/m^3,0.0106,ug/m^3,0.2844,ug/m^3,0.1069,ug/m^3,177.78417,km
IMPRHR2,AGTI1,1,3/10/2011,0,Agua Tibia,33.4636,-116.9706,507.5,CA,-999,ug/m^3,-999,ug/m^3,-999,ug/m^3,-999,ug/m^3,-999,ug/m^3,-999,km
IMPRHR2,AGTI1,1,3/13/2011,0,Agua Tibia,33.4636,-116.9706,507.5,CA,-999,ug/m^3,-999,ug/m^3,-999,ug/m^3,-999,ug/m^3,-999,ug/m^3,-999,km
IMPRHR2,AGTI1,1,3/16/2011,0,Agua Tibia,33.4636,-116.9706,507.5,CA,-999,ug/m^3,-999,ug/m^3,-999,ug/m^3,-999,ug/m^3,-999,ug/m^3,-999,km
IMPRHR2,AGTI1,1,3/19/2011,0,Agua Tibia,33.4636,-116.9706,507.5,CA,-999,ug/m^3,-999,ug/m^3,-999,ug/m^3,-999,ug/m^3,-999,ug/m^3,-999,km
IMPRHR2,AGTI1,1,3/22/2011,0,Agua Tibia,33.4636,-116.9706,507.5,CA,-999,ug/m^3,-999,ug/m^3,-999,ug/m^3,-999,ug/m^3,-999,ug/m^3,-999,km
IMPRHR2,AGTI1,1,3/25/2011,0,Agua Tibia,33.4636,-116.9706,507.5,CA,-999,ug/m^3,-999,ug/m^3,-999,ug/m^3,-999,ug/m^3,-999,ug/m^3,-999,km
IMPRHR2,AGTI1,1,3/28/2011,0,Agua Tibia,33.4636,-116.9706,507.5,CA,-999,ug/m^3,-999,ug/m^3,-999,ug/m^3,-999,ug/m^3,-999,ug/m^3,-999,km
IMPRHR2,AGTI1,1,3/31/2011,0,Agua Tibia,33.4636,-116.9706,507.5,CA,-999,ug/m^3,-999,ug/m^3,-999,ug/m^3,-999,ug/m^3,-999,ug/m^3,-999,km
IMPRHR2,AGTI1,1,4/3/2011,50,Agua Tibia,33.4636,-116.9706,507.5,CA,1.09856,ug/m^3,2.36775,ug/m^3,0.097,ug/m^3,0.9234,ug/m^3,0.71399,ug/m^3,95.29788,km
IMPRHR2,AGTI1,1,4/6/2011,90,Agua Tibia,33.4636,-116.9706,507.5,CA,3.28473,ug/m^3,2.21587,ug/m^3,0.3581,ug/m^3,1.998,ug/m^3,0.49239,ug/m^3,64.74988,km
IMPRHR2,AGTI1,1,4/9/2011,10,Agua Tibia,33.4636,-116.9706,507.5,CA,0.29709,ug/m^3,0.91497,ug/m^3,0.0453,ug/m^3,0.333,ug/m^3,0.09227,ug/m^3,199.82704,km
IMPRHR2,AGTI1,1,4/12/2011,90,Agua Tibia,33.4636,-116.9706,507.5,CA,2.06465,ug/m^3,2.41156,ug/m^3,0.2798,ug/m^3,1.77768,ug/m^3,0.39572,ug/m^3,72.64303,km
IMPRHR2,AGTI1,1,4/15/2011,90,Agua Tibia,33.4636,-116.9706,507.5,CA,1.07857,ug/m^3,4.03516,ug/m^3,0.2859,ug/m^3,2.4678,ug/m^3,5.61784,ug/m^3,57.20006,km
IMPRHR2,AGTI1,1,4/18/2011,50,Agua Tibia,33.4636,-116.9706,507.5,CA,1.49704,ug/m^3,1.85175,ug/m^3,0.1973,ug/m^3,1.65366,ug/m^3,0.29205,ug/m^3,95.13791,km
IMPRHR2,AGTI1,1,4/21/2011,50,Agua Tibia,33.4636,-116.9706,507.5,CA,1.8238,ug/m^3,1.64538,ug/m^3,0.1629,ug/m^3,1.04382,ug/m^3,0.42765,ug/m^3,100.12126,km
IMPRHR2,AGTI1,1,4/24/2011,30,Agua Tibia,33.4636,-116.9706,507.5,CA,0.45653,ug/m^3,1.43612,ug/m^3,0.0666,ug/m^3,0.57006,ug/m^3,0.35708,ug/m^3,144.7254,km
IMPRHR2,AGTI1,1,4/27/2011,70,Agua Tibia,33.4636,-116.9706,507.5,CA,1.33541,ug/m^3,2.04777,ug/m^3,0.2837,ug/m^3,2.17008,ug/m^3,1.11171,ug/m^3,81.96988,km
IMPRHR2,AGTI1,1,4/30/2011,50,Agua Tibia,33.4636,-116.9706,507.5,CA,1.05741,ug/m^3,1.57794,ug/m^3,0.1586,ug/m^3,1.10682,ug/m^3,1.21575,ug/m^3,96.34706,km
IMPRHR2,AGTI1,1,5/3/2011,0,Agua Tibia,33.4636,-116.9706,507.5,CA,-999,ug/m^3,-999,ug/m^3,-999,ug/m^3,-999,ug/m^3,-999,ug/m^3,-999,km
IMPRHR2,AGTI1,1,5/6/2011,90,Agua Tibia,33.4636,-116.9706,507.5,CA,2.03085,ug/m^3,2.67469,ug/m^3,0.2178,ug/m^3,3.798,ug/m^3,5.29431,ug/m^3,63.89465,km
IMPRHR2,AGTI1,1,5/9/2011,50,Agua Tibia,33.4636,-116.9706,507.5,CA,0.75968,ug/m^3,1.39425,ug/m^3,0.0341,ug/m^3,1.18674,ug/m^3,0.97693,ug/m^3,87.70693,km
IMPRHR2,AGTI1,1,5/12/2011,70,Agua Tibia,33.4636,-116.9706,507.5,CA,1.93061,ug/m^3,2.32869,ug/m^3,0.1807,ug/m^3,2.08602,ug/m^3,0.61871,ug/m^3,74.86462,km
IMPRHR2,AGTI1,1,5/15/2011,30,Agua Tibia,33.4636,-116.9706,507.5,CA,0.46608,ug/m^3,1.64196,ug/m^3,0.038,ug/m^3,0.70254,ug/m^3,0.1648,ug/m^3,127.82328,km
IMPRHR2,AGTI1,1,5/18/2011,30,Agua Tibia,33.4636,-116.9706,507.5,CA,0.35127,ug/m^3,0.92829,ug/m^3,0.0362,ug/m^3,0.5175,ug/m^3,0.32606,ug/m^3,145.13179,km
IMPRHR2,AGTI1,1,5/21/2011,70,Agua Tibia,33.4636,-116.9706,507.5,CA,1.98325,ug/m^3,2.35133,ug/m^3,0.2526,ug/m^3,2.22426,ug/m^3,0.33032,ug/m^3,75.16312,km
IMPRHR2,AGTI1,1,5/24/2011,70,Agua Tibia,33.4636,-116.9706,507.5,CA,1.82574,ug/m^3,2.47669,ug/m^3,0.16,ug/m^3,1.97388,ug/m^3,0.39037,ug/m^3,72.69807,km
IMPRHR2,AGTI1,1,5/27/2011,70,Agua Tibia,33.4636,-116.9706,507.5,CA,1.77736,ug/m^3,1.67648,ug/m^3,0.2479,ug/m^3,2.20302,ug/m^3,0.46454,ug/m^3,80.76994,km
IMPRHR2,AGTI1,1,5/30/2011,50,Agua Tibia,33.4636,-116.9706,507.5,CA,1.05483,ug/m^3,0.96397,ug/m^3,0.1074,ug/m^3,1.4688,ug/m^3,0.26625,ug/m^3,115.10183,km
IMPRHR2,AGTI1,1,6/2/2011,50,Agua Tibia,33.4636,-116.9706,507.5,CA,1.39397,ug/m^3,1.15368,ug/m^3,0.221,ug/m^3,2.46672,ug/m^3,0.33336,ug/m^3,93.35274,km
IMPRHR2,AGTI1,1,6/5/2011,90,Agua Tibia,33.4636,-116.9706,507.5,CA,0.53341,ug/m^3,1.66638,ug/m^3,0.147,ug/m^3,1.87452,ug/m^3,0.45974,ug/m^3,50.27259,km
IMPRHR2,AGTI1,1,6/8/2011,0,Agua Tibia,33.4636,-116.9706,507.5,CA,-999,ug/m^3,-999,ug/m^3,-999,ug/m^3,-999,ug/m^3,-999,ug/m^3,-999,km
IMPRHR2,AGTI1,1,6/11/2011,70,Agua Tibia,33.4636,-116.9706,507.5,CA,2.31852,ug/m^3,2.35909,ug/m^3,0.3182,ug/m^3,2.65788,ug/m^3,0.24316,ug/m^3,72.73018,km
IMPRHR2,AGTI1,1,6/14/2011,50,Agua Tibia,33.4636,-116.9706,507.5,CA,0.52168,ug/m^3,1.61601,ug/m^3,0.2961,ug/m^3,3.0384,ug/m^3,0.41327,ug/m^3,96.43528,km
IMPRHR2,AGTI1,1,6/17/2011,70,Agua Tibia,33.4636,-116.9706,507.5,CA,1.59831,ug/m^3,2.56851,ug/m^3,0.2088,ug/m^3,1.91286,ug/m^3,0.34832,ug/m^3,80.03902,km
IMPRHR2,AGTI1,1,6/20/2011,50,Agua Tibia,33.4636,-116.9706,507.5,CA,0.67209,ug/m^3,1.93879,ug/m^3,0.1713,ug/m^3,2.19672,ug/m^3,0.53856,ug/m^3,96.47026,km
IMPRHR2,AGTI1,1,6/23/2011,70,Agua Tibia,33.4636,-116.9706,507.5,CA,0.31889,ug/m^3,2.67296,ug/m^3,0.3544,ug/m^3,2.84238,ug/m^3,0.80934,ug/m^3,79.6803,km
IMPRHR2,AGTI1,1,6/26/2011,30,Agua Tibia,33.4636,-116.9706,507.5,CA,0.59482,ug/m^3,1.6012,ug/m^3,0.1199,ug/m^3,1.11186,ug/m^3,0.29889,ug/m^3,124.74179,km
IMPRHR2,AGTI1,1,6/29/2011,70,Agua Tibia,33.4636,-116.9706,507.5,CA,1.1045,ug/m^3,2.22762,ug/m^3,0.1578,ug/m^3,1.30248,ug/m^3,0.30762,ug/m^3,74.24228,km
IMPRHR2,AGTI1,1,7/2/2011,90,Agua Tibia,33.4636,-116.9706,507.5,CA,1.64746,ug/m^3,2.29664,ug/m^3,0.2954,ug/m^3,3.46788,ug/m^3,1.07939,ug/m^3,62.10855,km
IMPRHR2,AGTI1,1,7/5/2011,90,Agua Tibia,33.4636,-116.9706,507.5,CA,1.32444,ug/m^3,3.39723,ug/m^3,0.2013,ug/m^3,2.2617,ug/m^3,0.84043,ug/m^3,67.12845,km
IMPRHR2,AGTI1,1,7/8/2011,90,Agua Tibia,33.4636,-116.9706,507.5,CA,1.29142,ug/m^3,3.38233,ug/m^3,0.3877,ug/m^3,3.59298,ug/m^3,0.74447,ug/m^3,61.16729,km
IMPRHR2,AGTI1,1,7/11/2011,90,Agua Tibia,33.4636,-116.9706,507.5,CA,2.21248,ug/m^3,3.9032,ug/m^3,0.2653,ug/m^3,3.3381,ug/m^3,0.38534,ug/m^3,55.58786,km
IMPRHR2,AGTI1,1,7/14/2011,50,Agua Tibia,33.4636,-116.9706,507.5,CA,0.95795,ug/m^3,2.55853,ug/m^3,0.1993,ug/m^3,1.35378,ug/m^3,0.32575,ug/m^3,91.45668,km
IMPRHR2,AGTI1,1,7/17/2011,70,Agua Tibia,33.4636,-116.9706,507.5,CA,0.92054,ug/m^3,2.53197,ug/m^3,0.235,ug/m^3,2.58318,ug/m^3,0.51964,ug/m^3,80.99867,km
IMPRHR2,AGTI1,1,7/20/2011,50,Agua Tibia,33.4636,-116.9706,507.5,CA,0.57083,ug/m^3,1.47663,ug/m^3,0.1246,ug/m^3,1.11852,ug/m^3,0.56373,ug/m^3,118.96486,km
IMPRHR2,AGTI1,1,7/23/2011,50,Agua Tibia,33.4636,-116.9706,507.5,CA,0.66654,ug/m^3,2.43338,ug/m^3,0.2698,ug/m^3,2.44584,ug/m^3,0.50542,ug/m^3,87.68948,km
IMPRHR2,AGTI1,1,7/26/2011,70,Agua Tibia,33.4636,-116.9706,507.5,CA,1.22047,ug/m^3,2.41515,ug/m^3,0.2167,ug/m^3,1.59984,ug/m^3,0.62176,ug/m^3,80.96979,km
IMPRHR2,AGTI1,1,7/29/2011,90,Agua Tibia,33.4636,-116.9706,507.5,CA,1.15881,ug/m^3,4.17384,ug/m^3,0.2792,ug/m^3,1.93824,ug/m^3,0.56566,ug/m^3,66.59144,km
IMPRHR2,AGTI1,1,8/1/2011,90,Agua Tibia,33.4636,-116.9706,507.5,CA,1.0996,ug/m^3,2.99392,ug/m^3,0.347,ug/m^3,3.38724,ug/m^3,0.52101,ug/m^3,72.10791,km
IMPRHR2,AGTI1,1,8/4/2011,30,Agua Tibia,33.4636,-116.9706,507.5,CA,0.60836,ug/m^3,0.92676,ug/m^3,0.1391,ug/m^3,1.05354,ug/m^3,0.30736,ug/m^3,132.21929,km
IMPRHR2,AGTI1,1,8/7/2011,50,Agua Tibia,33.4636,-116.9706,507.5,CA,0.42544,ug/m^3,1.5762,ug/m^3,0.1304,ug/m^3,1.90908,ug/m^3,0.33968,ug/m^3,115.82825,km
IMPRHR2,AGTI1,1,8/10/2011,90,Agua Tibia,33.4636,-116.9706,507.5,CA,1.31025,ug/m^3,3.12634,ug/m^3,0.3302,ug/m^3,2.39724,ug/m^3,0.39336,ug/m^3,71.9381,km
IMPRHR2,AGTI1,1,8/13/2011,90,Agua Tibia,33.4636,-116.9706,507.5,CA,1.0133,ug/m^3,4.14765,ug/m^3,0.4075,ug/m^3,3.02868,ug/m^3,0.53176,ug/m^3,61.8032,km
IMPRHR2,AGTI1,1,8/16/2011,50,Agua Tibia,33.4636,-116.9706,507.5,CA,0.32998,ug/m^3,1.63507,ug/m^3,0.1943,ug/m^3,1.5552,ug/m^3,0.4632,ug/m^3,114.47222,km
IMPRHR2,AGTI1,1,8/19/2011,90,Agua Tibia,33.4636,-116.9706,507.5,CA,1.40971,ug/m^3,2.86448,ug/m^3,0.3432,ug/m^3,2.80332,ug/m^3,0.64996,ug/m^3,68.36339,km
IMPRHR2,AGTI1,1,8/22/2011,70,Agua Tibia,33.4636,-116.9706,507.5,CA,0.78251,ug/m^3,2.36759,ug/m^3,0.2155,ug/m^3,2.46834,ug/m^3,0.55428,ug/m^3,84.83744,km
IMPRHR2,AGTI1,1,8/25/2011,0,Agua Tibia,33.4636,-116.9706,507.5,CA,-999,ug/m^3,-999,ug/m^3,-999,ug/m^3,-999,ug/m^3,-999,ug/m^3,-999,km
IMPRHR2,AGTI1,1,8/28/2011,0,Agua Tibia,33.4636,-116.9706,507.5,CA,-999,ug/m^3,-999,ug/m^3,-999,ug/m^3,-999,ug/m^3,-999,ug/m^3,-999,km
IMPRHR2,AGTI1,1,8/31/2011,0,Agua Tibia,33.4636,-116.9706,507.5,CA,-999,ug/m^3,-999,ug/m^3,-999,ug/m^3,-999,ug/m^3,-999,ug/m^3,-999,km
IMPRHR2,AGTI1,1,9/3/2011,70,Agua Tibia,33.4636,-116.9706,507.5,CA,1.01974,ug/m^3,2.57994,ug/m^3,0.3699,ug/m^3,2.8107,ug/m^3,0.66924,ug/m^3,74.52714,km
IMPRHR2,AGTI1,1,9/6/2011,30,Agua Tibia,33.4636,-116.9706,507.5,CA,0.16564,ug/m^3,1.85778,ug/m^3,0.117,ug/m^3,1.1124,ug/m^3,0.43207,ug/m^3,130.37001,km
IMPRHR2,AGTI1,1,9/9/2011,90,Agua Tibia,33.4636,-116.9706,507.5,CA,1.39655,ug/m^3,3.32236,ug/m^3,0.2645,ug/m^3,2.24964,ug/m^3,0.55811,ug/m^3,69.02448,km
IMPRHR2,AGTI1,1,9/12/2011,50,Agua Tibia,33.4636,-116.9706,507.5,CA,0.32947,ug/m^3,1.65701,ug/m^3,0.1881,ug/m^3,2.3616,ug/m^3,0.45109,ug/m^3,111.52321,km
IMPRHR2,AGTI1,1,9/15/2011,90,Agua Tibia,33.4636,-116.9706,507.5,CA,1.23853,ug/m^3,4.44473,ug/m^3,0.3212,ug/m^3,2.41236,ug/m^3,0.64016,ug/m^3,61.91096,km
IMPRHR2,AGTI1,1,9/18/2011,90,Agua Tibia,33.4636,-116.9706,507.5,CA,0.62926,ug/m^3,3.65421,ug/m^3,0.3359,ug/m^3,2.82906,ug/m^3,0.59741,ug/m^3,72.4242,km
IMPRHR2,AGTI1,1,9/21/2011,50,Agua Tibia,33.4636,-116.9706,507.5,CA,0.36249,ug/m^3,3.22476,ug/m^3,0.2764,ug/m^3,1.95696,ug/m^3,0.63581,ug/m^3,85.25929,km
IMPRHR2,AGTI1,1,9/24/2011,90,Agua Tibia,33.4636,-116.9706,507.5,CA,1.01304,ug/m^3,4.15491,ug/m^3,0.4296,ug/m^3,2.68794,ug/m^3,0.47076,ug/m^3,65.61354,km
IMPRHR2,AGTI1,1,9/27/2011,70,Agua Tibia,33.4636,-116.9706,507.5,CA,0.46453,ug/m^3,3.31015,ug/m^3,0.2579,ug/m^3,1.87632,ug/m^3,0.62727,ug/m^3,82.90607,km
IMPRHR2,AGTI1,1,9/30/2011,50,Agua Tibia,33.4636,-116.9706,507.5,CA,0.3274,ug/m^3,1.59407,ug/m^3,0.2241,ug/m^3,1.37808,ug/m^3,0.50262,ug/m^3,122.19742,km
IMPRHR2,AGTI1,1,10/3/2011,30,Agua Tibia,33.4636,-116.9706,507.5,CA,0.58695,ug/m^3,1.28956,ug/m^3,0.1322,ug/m^3,1.03464,ug/m^3,0.34954,ug/m^3,130.95328,km
IMPRHR2,AGTI1,1,10/6/2011,30,Agua Tibia,33.4636,-116.9706,507.5,CA,0.50116,ug/m^3,0.85078,ug/m^3,0.05,ug/m^3,0.82638,ug/m^3,0.08191,ug/m^3,127.87239,km
IMPRHR2,AGTI1,1,10/9/2011,10,Agua Tibia,33.4636,-116.9706,507.5,CA,0.13055,ug/m^3,0.45466,ug/m^3,0.1602,ug/m^3,1.49706,ug/m^3,0.17375,ug/m^3,184.24502,km
IMPRHR2,AGTI1,1,10/12/2011,30,Agua Tibia,33.4636,-116.9706,507.5,CA,0.10036,ug/m^3,0.73945,ug/m^3,0.1765,ug/m^3,1.38222,ug/m^3,0.47617,ug/m^3,159.52499,km
IMPRHR2,AGTI1,1,10/15/2011,70,Agua Tibia,33.4636,-116.9706,507.5,CA,0.47369,ug/m^3,1.73064,ug/m^3,0.6284,ug/m^3,3.80376,ug/m^3,0.85926,ug/m^3,81.69355,km
IMPRHR2,AGTI1,1,10/18/2011,30,Agua Tibia,33.4636,-116.9706,507.5,CA,0.21569,ug/m^3,1.11569,ug/m^3,0.2372,ug/m^3,1.89342,ug/m^3,0.41104,ug/m^3,130.81096,km
IMPRHR2,AGTI1,1,10/21/2011,90,Agua Tibia,33.4636,-116.9706,507.5,CA,3.3442,ug/m^3,2.83586,ug/m^3,0.5579,ug/m^3,3.5226,ug/m^3,0.6,ug/m^3,55.07198,km
IMPRHR2,AGTI1,1,10/24/2011,70,Agua Tibia,33.4636,-116.9706,507.5,CA,1.74731,ug/m^3,2.26533,ug/m^3,0.4765,ug/m^3,2.36808,ug/m^3,0.49695,ug/m^3,77.75059,km
IMPRHR2,AGTI1,1,10/27/2011,50,Agua Tibia,33.4636,-116.9706,507.5,CA,0.30315,ug/m^3,1.69397,ug/m^3,0.206,ug/m^3,1.18008,ug/m^3,0.82638,ug/m^3,120.50466,km
IMPRHR2,AGTI1,1,10/30/2011,30,Agua Tibia,33.4636,-116.9706,507.5,CA,0.14654,ug/m^3,1.1484,ug/m^3,0.2239,ug/m^3,1.6911,ug/m^3,0.62925,ug/m^3,140.14092,km
IMPRHR2,AGTI1,1,11/2/2011,0,Agua Tibia,33.4636,-116.9706,507.5,CA,-999,ug/m^3,-999,ug/m^3,-999,ug/m^3,-999,ug/m^3,-999,ug/m^3,-999,km
IMPRHR2,AGTI1,1,11/5/2011,30,Agua Tibia,33.4636,-116.9706,507.5,CA,0.71401,ug/m^3,0.57531,ug/m^3,0.1303,ug/m^3,1.27242,ug/m^3,0.07153,ug/m^3,160.9153,km
IMPRHR2,AGTI1,1,11/8/2011,30,Agua Tibia,33.4636,-116.9706,507.5,CA,0.55522,ug/m^3,0.9603,ug/m^3,0.1475,ug/m^3,1.16748,ug/m^3,0.16882,ug/m^3,158.21503,km
IMPRHR2,AGTI1,1,11/11/2011,30,Agua Tibia,33.4636,-116.9706,507.5,CA,0.18395,ug/m^3,1.03236,ug/m^3,0.2287,ug/m^3,1.1295,ug/m^3,0.36206,ug/m^3,157.41097,km
IMPRHR2,AGTI1,1,11/14/2011,30,Agua Tibia,33.4636,-116.9706,507.5,CA,0.74988,ug/m^3,0.95774,ug/m^3,0.1237,ug/m^3,1.1943,ug/m^3,0.16138,ug/m^3,139.66887,km
IMPRHR2,AGTI1,1,11/17/2011,0,Agua Tibia,33.4636,-116.9706,507.5,CA,-999,ug/m^3,-999,ug/m^3,-999,ug/m^3,-999,ug/m^3,-999,ug/m^3,-999,km
IMPRHR2,AGTI1,1,11/20/2011,10,Agua Tibia,33.4636,-116.9706,507.5,CA,0.1735,ug/m^3,0.28281,ug/m^3,0.0749,ug/m^3,0.65502,ug/m^3,0.04239,ug/m^3,233.34102,km
IMPRHR2,AGTI1,1,11/23/2011,50,Agua Tibia,33.4636,-116.9706,507.5,CA,1.97035,ug/m^3,0.6112,ug/m^3,0.399,ug/m^3,2.13372,ug/m^3,0.20529,ug/m^3,102.38435,km
IMPRHR2,AGTI1,1,11/26/2011,10,Agua Tibia,33.4636,-116.9706,507.5,CA,0.12784,ug/m^3,1.03921,ug/m^3,0.134,ug/m^3,0.77778,ug/m^3,0.53462,ug/m^3,169.10199,km
IMPRHR2,AGTI1,1,11/29/2011,10,Agua Tibia,33.4636,-116.9706,507.5,CA,0.04863,ug/m^3,0.54359,ug/m^3,0.1638,ug/m^3,0.71298,ug/m^3,0.28946,ug/m^3,207.42651,km
IMPRHR2,AGTI1,1,12/2/2011,50,Agua Tibia,33.4636,-116.9706,507.5,CA,0.54838,ug/m^3,0.61929,ug/m^3,0.0968,ug/m^3,1.0476,ug/m^3,2.71638,ug/m^3,110.24011,km
IMPRHR2,AGTI1,1,12/5/2011,10,Agua Tibia,33.4636,-116.9706,507.5,CA,0.15725,ug/m^3,0.40124,ug/m^3,0.0634,ug/m^3,0.46854,ug/m^3,0.44186,ug/m^3,221.5168,km
IMPRHR2,AGTI1,1,12/8/2011,10,Agua Tibia,33.4636,-116.9706,507.5,CA,0.11004,ug/m^3,0.34609,ug/m^3,0.1182,ug/m^3,0.4869,ug/m^3,0.26845,ug/m^3,223.87607,km
IMPRHR2,AGTI1,1,12/11/2011,70,Agua Tibia,33.4636,-116.9706,507.5,CA,2.49318,ug/m^3,1.11078,ug/m^3,0.5589,ug/m^3,2.29284,ug/m^3,0.26353,ug/m^3,80.47221,km
IMPRHR2,AGTI1,1,12/14/2011,0,Agua Tibia,33.4636,-116.9706,507.5,CA,1.7624,ug/m^3,0.72732,ug/m^3,-999,ug/m^3,-999,ug/m^3,0.09496,ug/m^3,-999,km
IMPRHR2,AGTI1,1,12/17/2011,0,Agua Tibia,33.4636,-116.9706,507.5,CA,0.06553,ug/m^3,0.99078,ug/m^3,-999,ug/m^3,-999,ug/m^3,0.2211,ug/m^3,-999,km
IMPRHR2,AGTI1,1,12/20/2011,0,Agua Tibia,33.4636,-116.9706,507.5,CA,1.13765,ug/m^3,0.8891,ug/m^3,-999,ug/m^3,-999,ug/m^3,0.13408,ug/m^3,-999,km
