ID,name,age,sex,breed,date_found,adoptable_from,posted,color,coat,size,neutered,housebroken,likes_people,likes_children,get_along_males,get_along_females,get_along_cats,keep_in
23736,Csöpi,9.33,female,German Shepherd Dog Mix,2019-11-14,2019-11-29,2019-11-14,saddle back,medium,large,no,,,,,,,
23730,Suzi,13.08,female,German Shepherd Dog Mix,2019-11-13,2019-11-28,2019-11-14,sable,medium,large,yes,,,,,,,
23731,,5.0,male,Unknown Mix,2019-11-14,2019-11-29,2019-11-14,black and white,short,large,yes,,,,,,,
23735,,1.0,male,Unknown Mix,2019-10-26,2019-11-10,2019-11-14,yellow-brown,short,small,no,,,,,,,
1775,Miskolci Kuba,1.25,male,"Beagle, Hound Mix",2019-11-12,2019-11-12,2019-11-12,tricolor,short,medium,no,,yes,yes,no,yes,no,both flat and garden
3521,Panna,7.58,female,Unknown Mix,2013-04-17,2013-04-17,2019-11-13,black,wirehaired,medium,yes,,,,,,,garden
1037,Lõrinci Balu,10.75,male,Greyhound Mix,2019-11-06,2019-11-06,2019-11-14,spotty,short,medium,yes,yes,yes,,,,,flat
23733,,3.0,male,Unknown Mix,2019-10-26,2019-11-10,2019-11-14,yellow-brown,short,small,no,,,,,,,
3519,Alfi,8.33,male,Unknown Mix,2012-08-25,2012-08-25,2019-11-13,black,wirehaired,large,yes,,,,,,,garden
23739,Taxi,8.0,female,Unknown Mix,2019-11-16,2019-12-01,2019-11-16,yellow-brown,short,large,no,,,,,,,
23738,Bambi,5.5,female,Unknown Mix,2019-11-16,2019-12-01,2019-11-16,striped,short,large,no,,,,,,,
1038,Pécsi Kajla,1.0,male,Greyhound Mix,2019-09-09,2019-11-10,2019-11-14,black,short,medium,yes,,,,,,,
3518,Benji,9.67,male,Terrier Mix,2013-04-17,2013-04-17,2019-11-13,yellow-brown,wirehaired,medium,,,,,,,,garden
3516,Liza,1.08,female,Unknown Mix,2019-11-11,2019-12-14,2019-11-13,black,short,medium,,,yes,yes,yes,,,garden
3520,Sajti,12.67,male,Unknown Mix,2009-03-01,2009-03-01,2019-11-13,white,long,large,,,,,,,,
1778,Alsónémedi Sidney,0.42,female,"Dachshund, German Shepherd Dog Mix",2019-11-11,2019-11-11,2019-11-12,black,short,small,no,,yes,yes,yes,yes,yes,both flat and garden
1390,Mazda,4.25,male,Unknown Mix,2018-03-16,2018-03-16,2019-11-14,apricot,short,large,yes,yes,yes,,no,yes,yes,both flat and garden
1781,Miskolci Lupidu,1.17,male,Staffordshire Terrier Mix,2019-11-12,2019-11-12,2019-11-12,striped,short,medium,yes,yes,yes,yes,yes,yes,,both flat and garden
1388,Gina És Genova,0.17,female,Unknown Mix,2019-09-20,2019-09-20,2019-11-14,black,short,medium,,no,yes,yes,yes,yes,yes,both flat and garden
23734,,2.0,male,Unknown Mix,2019-10-26,2019-11-10,2019-11-14,yellow-brown,short,small,no,,,,,,,
23719,,6.08,male,Staffordshire Terrier Mix,2019-11-06,2019-11-21,2019-11-06,brown and white,short,medium,no,,,,,,,
2123,Kormi,6.5,male,Unknown Mix,2019-10-07,2019-10-07,2019-11-02,black,short,medium,yes,,,,,,,
23717,*,1.08,female,German Shepherd Dog Mix,2019-11-06,2019-11-21,2019-11-06,saddle back,medium,medium,no,,,,,,,
2127,Cézár,7.33,male,Unknown Mix,2019-10-07,2019-10-07,2019-11-02,brown,short,large,,,,,,,,
2124,Lili,3.5,female,Cane Corso Mix,2019-10-07,2019-10-07,2019-11-02,brown,short,large,yes,,,,,,,
312,Zénó,0.5,male,Jagd Terrier Mix,2019-11-01,2019-11-01,2019-11-02,black and tan,short,medium,,,yes,yes,,,,both flat and garden
4472,Marley,0.5,female,Unknown Mix,2019-10-31,2019-10-31,2019-11-06,white,short,small,,,yes,,yes,yes,,both flat and garden
1773,Ózdi Hello,1.33,male,Unknown Mix,2019-11-11,2019-11-11,2019-11-11,black,short,small,yes,,yes,yes,yes,yes,yes,both flat and garden
1036,Szolnoki Királyfi,2.25,male,Whippet Mix,2019-11-01,2019-11-02,2019-11-10,spotty,short,medium,yes,yes,,,,,,flat
3512,Lujzi,1.42,female,Unknown Mix,2019-11-02,2019-12-14,2019-11-05,black and brown,short,small,,,yes,,yes,,,garden
4470,Sün,0.5,male,Unknown Mix,2019-10-31,2019-10-31,2019-11-06,black and brown,short,small,,,yes,,yes,yes,,both flat and garden
2125,Elsa,2.33,female,Unknown Mix,2019-10-07,2019-10-07,2019-11-02,brown,short,medium,yes,,,,,,,
2129,Jockey,1.58,male,Unknown Mix,2019-10-07,2019-10-07,2019-11-06,brown,short,large,yes,,,,,,,
1774,Ózdi Timon,3.25,male,Norfolk Terrier Mix,2019-11-11,2019-11-11,2019-11-11,brown and white,short,small,yes,,yes,yes,yes,yes,yes,both flat and garden
4473,Lili,0.75,female,Unknown Mix,2019-10-06,2019-10-06,2019-11-06,brown,short,small,,,yes,,yes,yes,,both flat and garden
4474,Aspen,1.58,female,Unknown Mix,2019-10-31,2019-10-31,2019-11-06,apricot,medium,small,,,yes,,yes,yes,,both flat and garden
23711,Liza,2.58,female,Unknown Mix,2019-11-02,2019-11-02,2019-11-02,brown and white,short,medium,yes,,,,,,,
1035,Szigetszentmiklósi Füge,1.17,male,Greyhound Mix,2019-11-05,2019-11-06,2019-11-05,spotty,short,medium,yes,yes,yes,,,,,flat
4469,Pongo,0.67,male,Unknown Mix,2019-10-31,2019-10-31,2019-11-06,apricot,short,medium,,,yes,,,,,both flat and garden
4468,Leopold,0.15,male,Unknown Mix,2019-10-24,2019-10-24,2019-11-06,black and brown,medium,medium,,,yes,,yes,yes,,both flat and garden
3505,Kincsõ,2.17,female,Dalmatian Mix,2019-10-14,2020-01-01,2019-10-20,white,short,medium,,,,,,,,garden
1755,Pétervásásrai Robin,0.25,male,Unknown Mix,2019-09-19,2019-11-01,2019-10-21,white,short,medium,no,,yes,yes,yes,yes,yes,both flat and garden
1033,Siófoki Szafi,11.08,female,Greyhound Mix,2019-08-31,2019-09-03,2019-10-26,yellow,short,medium,yes,yes,yes,yes,yes,yes,,flat
3506,Kira,3.17,female,Unknown Mix,2019-10-14,2019-11-16,2019-10-20,striped,short,medium,yes,,yes,yes,yes,,,both flat and garden
1757,Pétervásásrai Ralf,0.25,male,Unknown Mix,2019-09-19,2019-09-19,2019-10-21,brown,short,medium,no,,yes,yes,yes,yes,yes,both flat and garden
1758,Nemesbikki Pandóra,4.08,female,Bull Terrier Mix,2019-10-01,2019-10-01,2019-10-22,striped,short,small,no,,yes,yes,yes,yes,no,both flat and garden
1034,Szegedi Galagonya,0.92,male,Greyhound Mix,2019-10-29,2019-10-30,2019-10-29,white,short,medium,yes,,yes,,,,,flat
4464,Greta,0.67,female,Unknown Mix,2019-10-25,2019-10-25,2019-10-27,black,short,small,,,yes,,yes,yes,,both flat and garden
1028,Csengersimai Zumba,0.5,male,Greyhound Mix,2019-10-21,2019-11-15,2019-10-23,black and white,short,medium,yes,,yes,yes,yes,yes,,flat
2106,Kormi,6.5,male,Unknown Mix,2019-10-07,2019-10-07,2019-10-27,black,short,medium,yes,,,,,,,
23692,Bony,1.08,male,Unknown Mix,2019-10-25,2019-10-25,2019-10-26,gray and black,wirehaired,large,no,,,,,,,
139,Igor,3.08,male,Border Collie Mix,2019-09-10,2019-09-10,2019-10-28,black and white,medium,medium,,yes,yes,no,no,no,no,
4462,Jeremy,5.08,male,Unknown Mix,2019-10-20,2019-10-20,2019-10-27,apricot,short,small,,,yes,,yes,yes,no,both flat and garden
1762,Pulcsi,11.08,female,Puli Mix,2019-04-15,2019-04-15,2019-10-23,black,long,medium,yes,yes,yes,yes,yes,yes,,flat
4465,Daniel,0.67,male,Unknown Mix,2019-10-22,2019-10-22,2019-10-27,black and brown,medium,small,,,yes,yes,yes,yes,yes,both flat and garden
1759,Miskolci Ábel,9.08,male,Unknown Mix,2019-06-30,2019-07-30,2019-10-23,yellow-brown,long,medium,yes,yes,yes,no,yes,yes,,both flat and garden
1760,Monori Lucia,6.25,female,Unknown Mix,2019-07-27,2019-09-01,2019-10-23,black and white,short,small,yes,yes,yes,yes,yes,yes,,flat
3504,Kinga,1.17,female,Terrier Mix,2019-10-11,2019-11-16,2019-10-20,black and brown,wirehaired,medium,,,yes,yes,yes,,,both flat and garden
1764,Ócsai Pici,12.08,male,Unknown Mix,2019-10-22,2019-10-22,2019-10-30,gray and black,wirehaired,medium,no,,yes,yes,yes,yes,yes,both flat and garden
4463,Gufi,0.67,male,Unknown Mix,2019-10-25,2019-10-25,2019-10-27,black,short,small,,,yes,,yes,yes,,both flat and garden
4453,Lamoborgini,1.08,male,Unknown Mix,2019-10-18,2019-10-18,2019-10-18,black and white,long,medium,,,yes,,yes,yes,,both flat and garden
2865,Beki,7.17,female,Labrador Retriever,2019-05-01,2019-05-01,2019-10-11,yellow,short,large,,,,,,,,
1025,Kaposvári Remény,0.58,male,Greyhound Mix,2019-07-01,2019-08-02,2019-10-19,striped,short,medium,yes,yes,yes,yes,yes,yes,,flat
2864,Zsömi,5.17,male,"Golden Retriever, Labrador Retriever Mix",2019-04-11,2019-04-11,2019-10-11,yellow,short,large,,,,,,,,
1027,Kaposvári Szikra,0.58,male,Greyhound Mix,2019-07-01,2019-08-01,2019-10-19,striped,short,medium,yes,yes,yes,yes,yes,yes,,flat
4451,Jessie,1.17,female,Unknown Mix,2019-09-20,2019-09-20,2019-10-18,brown and white,short,medium,yes,,yes,,,,,both flat and garden
2868,Sally,7.17,female,Golden Retriever,2019-10-08,2019-10-08,2019-10-11,golden,medium,large,,,,,,,,
1749,Kakucsi Hazel,0.25,female,"German Shepherd Dog, Staffordshire Terrier Mix",2019-10-15,2019-10-15,2019-10-15,yellow-brown,short,medium,no,,yes,yes,yes,yes,yes,both flat and garden
4457,Babi,1.17,female,Unknown Mix,2019-09-21,2019-09-21,2019-10-18,apricot,short,medium,yes,,yes,,,,,both flat and garden
2866,Brunó,3.17,male,Labrador Retriever,2019-05-31,2019-05-31,2019-10-11,yellow,short,large,,,,,,,,
4455,Ewoki,3.0,female,Unknown Mix,2019-09-27,2019-09-27,2019-10-18,black and white,long,small,,,yes,,yes,yes,,both flat and garden
1751,Kunhegyesi Fickó,1.5,male,Unknown Mix,2019-10-16,2019-10-16,2019-10-16,gray,wirehaired,medium,yes,,yes,yes,yes,yes,,both flat and garden
2867,Bodza,1.17,female,Labrador Retriever,2019-06-01,2019-06-01,2019-10-11,yellow,short,medium,,,,,,,,
23679,,4.08,male,Unknown Mix,2019-10-19,2019-11-03,2019-10-19,striped,short,large,no,,,,,,,
1750,Sátoraljaújhelyi Parázs,1.08,male,German Shepherd Dog Mix,2019-10-15,2019-10-15,2019-10-16,brown,short,medium,yes,,yes,yes,yes,yes,,both flat and garden
23660,Dzsidzso,3.67,male,Staffordshire Terrier Mix,2019-10-11,2019-10-26,2019-10-12,brown and white,short,medium,no,,,,,,,
4456,Boy,1.17,male,Unknown Mix,2019-09-21,2019-09-21,2019-10-18,black and brown,short,medium,,,yes,,,,,both flat and garden
615,Colin,0.92,male,Border Collie Mix,2019-05-06,2019-05-06,2019-10-14,black and white,medium,medium,yes,yes,yes,yes,yes,yes,,flat
4454,Poppy,0.5,female,"Dachshund, Spaniel Mix",2019-10-17,2019-10-17,2019-10-18,brown and white,medium,small,,,yes,,yes,yes,,both flat and garden
23661,Rapi,10.42,male,Unknown Mix,2019-10-12,2019-10-27,2019-10-12,black and white,short,medium,no,,,,,,,
2856,Rizi,11.17,female,Labrador Retriever,2019-01-01,2019-01-01,2019-10-11,yellow,short,large,,,,,,,,both flat and garden
3492,Berci,6.25,male,Unknown Mix,2019-09-27,2019-09-27,2019-10-06,tricolor,short,medium,yes,,yes,,yes,yes,,garden
1738,Ócsai Lajka,1.0,male,Labrador Retriever Mix,2019-10-07,2019-10-21,2019-10-07,yellow-brown,short,medium,yes,,yes,yes,yes,yes,yes,both flat and garden
2863,Maxi,4.17,male,Golden Retriever,2019-04-13,2019-04-13,2019-10-11,golden,medium,large,,,,,,,,
2859,Hummer,3.17,male,Labrador Retriever,2019-01-01,2019-01-01,2019-10-11,yellow,short,large,,,,,,,,
3487,Kleo,0.5,female,Unknown Mix,2019-09-10,2019-10-26,2019-10-06,black,medium,medium,yes,,yes,yes,yes,,,both flat and garden
2855,Mefi,13.17,female,Labrador Retriever,2019-01-01,2019-01-01,2019-10-11,black,short,large,,,,,,,,
3490,Joker,4.58,male,Unknown Mix,2019-09-16,2019-09-16,2019-10-06,brown,wirehaired,medium,,,yes,,,,,both flat and garden
4443,Sayla,1.25,female,Spaniel Mix,2019-09-29,2019-09-29,2019-10-06,black and brown,medium,small,,,yes,,,,,both flat and garden
3491,Sárika,1.25,female,Chinese Shar-Pei Mix,2019-09-17,2019-11-16,2019-10-06,brown,wirehaired,medium,,,,,,,,both flat and garden
2857,Fickó,11.17,male,Labrador Retriever,2019-01-01,2019-01-01,2019-10-11,yellow,short,large,,,,,,,,
4445,Tristan,0.42,male,Unknown Mix,2019-09-13,2019-09-13,2019-10-06,gray and white,short,medium,,,yes,,yes,yes,,both flat and garden
2853,Berci,12.17,male,Labrador Retriever,2019-01-01,2019-01-01,2019-10-11,yellow,short,large,,,,,,,,
2852,Lucky,12.17,male,Labrador Retriever,2019-01-01,2019-01-01,2019-10-11,black,short,large,,,yes,yes,yes,yes,,both flat and garden
3493,Janek,1.25,male,Dachshund Mix,2019-09-28,2019-11-02,2019-10-06,black,short,small,,,yes,,,,,both flat and garden
2858,Boni,11.17,male,Golden Retriever,2019-01-01,2019-01-01,2019-10-11,golden,short,large,,,,,,,,
