location_name,data_date,submitted_date,Province,District,malaria_rdt_0-4,malaria_rdt_5-14,malaria_rdt_15,malaria_tot,newid
Facility 43,2020-07-24,2020-08-10,North,Dingo,12,9,7,28,43
Facility 43,2020-07-23,2020-08-10,North,Dingo,5,3,8,16,43
Facility 43,2020-07-21,2020-08-10,North,Dingo,7,2,5,14,43
Facility 43,2020-07-20,2020-08-10,North,Dingo,13,5,9,27,43
Facility 43,2020-07-19,2020-08-10,North,Dingo,9,6,4,19,43
Facility 32,2020-08-10,2020-08-10,North,Spring,27,33,22,82,32
Facility 32,2020-08-09,2020-08-10,North,Spring,34,39,15,88,32
Facility 44,2020-07-14,2020-08-10,North,Barnard,16,14,24,54,44
Facility 44,2020-07-13,2020-08-10,North,Barnard,8,19,26,53,44
Facility 44,2020-07-12,2020-08-10,North,Barnard,6,6,43,55,44
Facility 44,2020-07-11,2020-08-10,North,Barnard,25,10,39,74,44
Facility 45,2020-08-10,2020-08-10,North,Barnard,31,50,49,130,45
Facility 23,2020-08-10,2020-08-10,North,Dingo,11,7,12,30,23
Facility 22,2020-08-10,2020-08-10,North,Bolo,10,3,10,23,22
Facility 36,2020-08-10,2020-08-10,North,Dingo,0,0,0,0,36
Facility 34,2020-08-10,2020-08-10,North,Dingo,10,7,11,28,34
Facility 46,2020-08-09,2020-08-10,North,Dingo,5,2,3,10,46
Facility 28,2020-08-09,2020-08-10,North,Spring,8,13,20,41,28
Facility 25,2020-08-09,2020-08-10,North,Bolo,3,5,14,22,25
Facility 25,2020-08-09,2020-08-10,North,Bolo,3,5,14,22,25
Facility 9,2020-08-09,2020-08-10,North,Spring,44,23,30,97,9
Facility 9,2020-08-08,2020-08-10,North,Spring,25,18,37,80,9
Facility 9,2020-08-07,2020-08-10,North,Spring,0,0,0,0,9
Facility 9,2020-08-06,2020-08-10,North,Spring,2,1,0,3,9
Facility 9,2020-08-05,2020-08-10,North,Spring,25,22,27,74,9
Facility 27,2020-08-09,2020-08-10,North,Spring,2,3,4,9,27
Facility 9,2020-08-04,2020-08-10,North,Spring,31,11,18,60,9
Facility 9,2020-08-03,2020-08-10,North,Spring,20,27,27,74,9
Facility 9,2020-08-02,2020-08-10,North,Spring,31,24,63,118,9
Facility 9,2020-08-01,2020-08-10,North,Spring,55,27,27,109,9
Facility 9,2020-07-31,2020-08-10,North,Spring,3,1,9,13,9
Facility 9,2020-07-30,2020-08-10,North,Spring,5,0,9,14,9
Facility 9,2020-07-29,2020-08-10,North,Spring,30,21,23,74,9
Facility 9,2020-07-28,2020-08-10,North,Spring,36,16,23,75,9
Facility 18,2020-08-09,2020-08-10,North,Bolo,4,2,6,12,18
Facility 9,2020-07-27,2020-08-10,North,Spring,31,23,37,91,9
Facility 13,2020-08-09,2020-08-10,North,Bolo,0,0,0,0,13
Facility 11,2020-08-09,2020-08-10,North,Spring,27,21,39,87,11
Facility 41,2020-08-09,2020-08-10,North,Barnard,16,8,20,44,41
Facility 4,2020-08-06,2020-08-10,North,Bolo,2,6,10,18,4
Facility 7,2020-08-09,2020-08-10,North,Spring,13,8,20,41,7
Facility 47,2020-08-09,2020-08-10,North,Barnard,2,0,0,2,47
Facility 40,2020-08-09,2020-08-10,North,Barnard,0,0,0,0,40
Facility 8,2020-08-09,2020-08-10,North,Bolo,11,3,10,24,8
Facility 15,2020-08-09,2020-08-10,North,Barnard,10,9,3,22,15
Facility 8,2020-08-08,2020-08-10,North,Bolo,5,1,12,18,8
Facility 20,2020-08-09,2020-08-10,North,Barnard,22,8,9,39,20
Facility 21,2020-08-09,2020-08-10,North,Bolo,26,16,3,45,21
Facility 14,2020-08-10,2020-08-10,North,Dingo,6,2,11,19,14
Facility 16,2020-08-09,2020-08-10,North,Barnard,0,1,0,1,16
Facility 3,2020-08-09,2020-08-10,North,Dingo,8,7,7,22,3
Facility 24,2020-08-09,2020-08-10,North,Bolo,18,8,73,99,24
Facility 12,2020-08-09,2020-08-10,North,Dingo,26,45,65,136,12
Facility 10,2020-08-09,2020-08-10,North,Bolo,0,20,17,37,10
Facility 29,2020-08-09,2020-08-10,North,Dingo,20,25,24,69,29
Facility 39,2020-08-02,2020-08-10,North,Spring,9,7,18,34,39
Facility 48,2020-08-09,2020-08-10,North,Dingo,7,3,13,23,48
Facility 39,2020-08-01,2020-08-10,North,Spring,13,11,14,38,39
Facility 39,2020-07-31,2020-08-10,North,Spring,27,21,32,80,39
Facility 39,2020-07-30,2020-08-10,North,Spring,15,13,11,39,39
Facility 39,2020-07-29,2020-08-10,North,Spring,12,7,25,44,39
Facility 39,2020-07-28,2020-08-10,North,Spring,18,11,15,44,39
Facility 39,2020-07-27,2020-08-10,North,Spring,15,11,17,43,39
Facility 39,2020-07-26,2020-08-10,North,Spring,8,8,12,28,39
Facility 39,2020-07-25,2020-08-10,North,Spring,17,13,11,41,39
Facility 39,2020-07-24,2020-08-10,North,Spring,21,12,28,61,39
Facility 39,2020-07-23,2020-08-10,North,Spring,7,15,18,40,39
Facility 39,2020-07-22,2020-08-10,North,Spring,9,10,14,33,39
Facility 39,2020-07-21,2020-08-10,North,Spring,10,25,31,66,39
Facility 2,2020-08-09,2020-08-10,North,Bolo,10,5,31,46,2
Facility 26,2020-08-09,2020-08-10,North,Bolo,7,4,9,20,26
Facility 31,2020-08-09,2020-08-09,North,Dingo,20,9,10,39,31
Facility 28,2020-08-08,2020-08-09,North,Spring,12,7,15,34,28
Facility 17,2020-08-06,2020-08-08,North,Barnard,2,0,0,2,17
Facility 17,2020-08-05,2020-08-08,North,Barnard,3,6,8,17,17
Facility 28,2020-08-07,2020-08-08,North,Spring,0,0,0,0,28
Facility 2,2020-08-05,2020-08-06,North,Bolo,11,7,22,40,2
Facility 48,2020-08-05,2020-08-06,North,Dingo,8,7,9,24,48
Facility 16,2020-08-05,2020-08-06,North,Barnard,5,15,1,21,16
Facility 13,2020-08-05,2020-08-06,North,Bolo,0,0,0,0,13
Facility 29,2020-08-05,2020-08-06,North,Dingo,13,19,24,56,29
Facility 11,2020-08-05,2020-08-06,North,Spring,49,24,41,114,11
Facility 12,2020-08-05,2020-08-06,North,Dingo,38,34,56,128,12
Facility 37,2020-08-05,2020-08-06,North,Bolo,56,39,18,113,37
Facility 7,2020-08-05,2020-08-06,North,Spring,6,5,20,31,7
Facility 37,2020-08-04,2020-08-06,North,Bolo,56,22,19,97,37
Facility 42,2020-08-05,2020-08-06,North,Dingo,24,7,22,53,42
Facility 40,2020-08-05,2020-08-06,North,Barnard,41,16,25,82,40
Facility 49,2020-08-05,2020-08-06,North,Dingo,53,43,58,154,49
Facility 3,2020-08-05,2020-08-06,North,Dingo,4,4,15,23,3
Facility 14,2020-08-05,2020-08-05,North,Dingo,8,6,74,88,14
Facility 50,2020-08-04,2020-08-05,North,Spring,18,21,45,84,50
Facility 38,2020-08-05,2020-08-05,North,Bolo,7,5,9,21,38
Facility 1,2020-08-04,2020-08-05,North,Spring,16,7,20,43,1
Facility 34,2020-08-05,2020-08-05,North,Dingo,11,6,12,29,34
Facility 31,2020-08-05,2020-08-05,North,Dingo,7,3,16,26,31
Facility 47,2020-08-04,2020-08-05,North,Barnard,22,4,15,41,47
Facility 33,2020-08-05,2020-08-05,North,Barnard,4,7,9,20,33
Facility 23,2020-08-05,2020-08-05,North,Dingo,15,7,19,41,23
Facility 22,2020-08-05,2020-08-05,North,Bolo,1,3,7,11,22
Facility 7,2020-08-04,2020-08-05,North,Spring,9,7,4,20,7
Facility 7,2020-08-03,2020-08-05,North,Spring,10,13,13,36,7
Facility 8,2020-08-04,2020-08-05,North,Bolo,12,4,13,29,8
Facility 8,2020-08-03,2020-08-05,North,Bolo,5,3,7,15,8
Facility 45,2020-08-05,2020-08-05,North,Barnard,28,85,55,168,45
Facility 19,2020-08-04,2020-08-05,North,Bolo,14,9,16,39,19
Facility 21,2020-08-04,2020-08-05,North,Bolo,20,5,5,30,21
Facility 33,2020-08-04,2020-08-05,North,Barnard,4,2,6,12,33
Facility 38,2020-08-04,2020-08-05,North,Bolo,8,5,13,26,38
Facility 51,2020-08-04,2020-08-05,North,Spring,20,12,17,49,51
Facility 42,2020-08-04,2020-08-05,North,Dingo,12,6,10,28,42
Facility 36,2020-08-04,2020-08-05,North,Dingo,14,13,17,44,36
Facility 13,2020-08-04,2020-08-05,North,Bolo,0,0,0,0,13
Facility 2,2020-08-04,2020-08-05,North,Bolo,5,9,24,38,2
Facility 30,2020-08-05,2020-08-05,North,Bolo,20,14,36,70,30
Facility 24,2020-08-04,2020-08-05,North,Bolo,1,0,31,32,24
Facility 15,2020-08-04,2020-08-05,North,Barnard,18,10,26,54,15
Facility 11,2020-08-04,2020-08-05,North,Spring,58,29,33,120,11
Facility 16,2020-08-04,2020-08-05,North,Barnard,18,11,13,42,16
Facility 10,2020-08-04,2020-08-05,North,Bolo,0,14,27,41,10
Facility 37,2020-08-03,2020-08-05,North,Bolo,37,12,26,75,37
Facility 37,2020-08-02,2020-08-05,North,Bolo,32,7,7,46,37
Facility 40,2020-08-04,2020-08-05,North,Barnard,24,25,39,88,40
Facility 49,2020-08-04,2020-08-05,North,Dingo,43,59,48,150,49
Facility 18,2020-08-04,2020-08-05,North,Bolo,13,2,8,23,18
Facility 29,2020-08-04,2020-08-05,North,Dingo,13,11,18,42,29
Facility 12,2020-08-04,2020-08-05,North,Dingo,40,40,77,157,12
Facility 23,2020-08-04,2020-08-05,North,Dingo,4,22,9,35,23
Facility 25,2020-08-04,2020-08-05,North,Bolo,7,5,10,22,25
Facility 27,2020-08-04,2020-08-05,North,Spring,3,7,3,13,27
Facility 48,2020-08-04,2020-08-05,North,Dingo,5,7,15,27,48
Facility 45,2020-08-03,2020-08-05,North,Barnard,78,84,86,248,45
Facility 52,2020-08-03,2020-08-05,North,Bolo,26,12,35,73,52
Facility 52,2020-08-02,2020-08-05,North,Bolo,12,6,69,87,52
Facility 28,2020-08-04,2020-08-05,North,Spring,16,8,16,40,28
Facility 46,2020-08-04,2020-08-05,North,Dingo,9,5,12,26,46
Facility 14,2020-08-04,2020-08-04,North,Dingo,12,6,7,25,14
Facility 31,2020-08-04,2020-08-04,North,Dingo,13,5,22,40,31
Facility 34,2020-08-04,2020-08-04,North,Dingo,9,6,11,26,34
Facility 4,2020-08-04,2020-08-04,North,Bolo,10,10,18,38,4
Facility 51,2020-08-03,2020-08-04,North,Spring,11,3,17,31,51
Facility 51,2020-08-02,2020-08-04,North,Spring,8,10,17,35,51
Facility 6,2020-08-04,2020-08-04,North,Dingo,9,4,13,26,6
Facility 51,2020-08-01,2020-08-04,North,Spring,27,24,21,72,51
Facility 51,2020-07-30,2020-08-04,North,Spring,4,8,20,32,51
Facility 51,2020-07-29,2020-08-04,North,Spring,16,6,10,32,51
Facility 51,2020-07-28,2020-08-04,North,Spring,16,7,9,32,51
Facility 53,2020-08-04,2020-08-04,North,Bolo,13,0,5,18,53
Facility 53,2020-08-03,2020-08-04,North,Bolo,17,1,3,21,53
Facility 31,2020-08-01,2020-08-04,North,Dingo,14,8,12,34,31
Facility 31,2020-08-03,2020-08-04,North,Dingo,7,10,8,25,31
Facility 31,2020-08-02,2020-08-04,North,Dingo,18,12,21,51,31
Facility 21,2020-08-02,2020-08-02,North,Bolo,21,9,7,37,21
Facility 21,2020-08-03,2020-08-03,North,Bolo,22,11,11,44,21
Facility 42,2020-08-03,2020-08-04,North,Dingo,17,5,31,53,42
Facility 42,2020-08-02,2020-08-04,North,Dingo,13,10,19,42,42
Facility 50,2020-08-03,2020-08-04,North,Spring,31,31,22,84,50
Facility 19,2020-08-03,2020-08-04,North,Bolo,15,11,23,49,19
Facility 19,2020-08-02,2020-08-04,North,Bolo,4,14,17,35,19
Facility 3,2020-08-04,2020-08-04,North,Dingo,4,1,3,8,3
Facility 3,2020-07-30,2020-07-30,North,Dingo,2,8,8,18,3
Facility 3,2020-07-31,2020-07-31,North,Dingo,0,0,0,0,3
Facility 21,2020-08-04,2020-08-04,North,Bolo,19,8,11,38,21
Facility 2,2020-07-31,2020-08-04,North,Bolo,0,0,0,0,2
Facility 2,2020-08-03,2020-08-04,North,Bolo,22,13,24,59,2
Facility 2,2020-08-02,2020-08-04,North,Bolo,16,8,33,57,2
Facility 28,2020-08-03,2020-08-04,North,Spring,22,3,18,43,28
Facility 4,2020-08-03,2020-08-04,North,Bolo,17,5,23,45,4
Facility 54,2020-08-02,2020-08-04,North,Barnard,17,12,7,36,54
Facility 54,2020-08-01,2020-08-04,North,Barnard,0,0,21,21,54
Facility 54,2020-07-31,2020-08-04,North,Barnard,0,0,0,0,54
Facility 13,2020-07-30,2020-08-04,North,Bolo,0,0,0,0,13
Facility 13,2020-07-29,2020-08-04,North,Bolo,0,0,0,0,13
Facility 49,2020-07-31,2020-08-04,North,Dingo,24,21,34,79,49
Facility 38,2020-08-03,2020-08-04,North,Bolo,8,2,12,22,38
Facility 20,2020-08-03,2020-08-04,North,Barnard,5,4,2,11,20
Facility 47,2020-08-03,2020-08-04,North,Barnard,20,15,13,48,47
Facility 49,2020-08-03,2020-08-04,North,Dingo,47,58,37,142,49
Facility 13,2020-08-03,2020-08-04,North,Bolo,0,0,0,0,13
Facility 41,2020-08-03,2020-08-04,North,Barnard,7,16,21,44,41
Facility 15,2020-08-03,2020-08-04,North,Barnard,6,14,12,32,15
Facility 15,2020-08-02,2020-08-04,North,Barnard,20,24,22,66,15
Facility 24,2020-08-03,2020-08-04,North,Bolo,40,15,68,123,24
Facility 11,2020-08-03,2020-08-04,North,Spring,48,26,59,133,11
Facility 40,2020-08-03,2020-08-04,North,Barnard,23,21,28,72,40
Facility 16,2020-08-03,2020-08-04,North,Barnard,9,22,20,51,16
Facility 32,2020-08-03,2020-08-04,North,Spring,21,22,30,73,32
Facility 18,2020-08-03,2020-08-04,North,Bolo,4,1,7,12,18
Facility 29,2020-08-03,2020-08-04,North,Dingo,17,20,15,52,29
Facility 33,2020-08-03,2020-08-04,North,Barnard,6,9,14,29,33
Facility 23,2020-08-03,2020-08-04,North,Dingo,12,8,17,37,23
Facility 12,2020-08-03,2020-08-04,North,Dingo,26,24,85,135,12
Facility 55,2020-08-03,2020-08-04,North,Bolo,6,2,18,26,55
Facility 27,2020-08-03,2020-08-04,North,Spring,12,9,5,26,27
Facility 25,2020-08-03,2020-08-04,North,Bolo,0,0,0,0,25
Facility 25,2020-08-02,2020-08-04,North,Bolo,2,2,11,15,25
Facility 48,2020-08-03,2020-08-04,North,Dingo,5,8,16,29,48
Facility 26,2020-08-03,2020-08-04,North,Bolo,7,2,3,12,26
Facility 48,2020-08-02,2020-08-04,North,Dingo,2,6,8,16,48
Facility 1,2020-08-03,2020-08-04,North,Spring,12,9,15,36,1
Facility 1,2020-08-02,2020-08-04,North,Spring,14,13,12,39,1
Facility 34,2020-08-03,2020-08-03,North,Dingo,7,6,10,23,34
Facility 14,2020-08-03,2020-08-03,North,Dingo,10,18,15,43,14
Facility 56,2020-08-02,2020-08-03,North,Spring,0,0,0,0,56
Facility 6,2020-08-03,2020-08-03,North,Dingo,13,2,11,26,6
Facility 6,2020-08-02,2020-08-03,North,Dingo,8,6,12,26,6
Facility 6,2020-08-01,2020-08-03,North,Dingo,12,4,8,24,6
Facility 52,2020-08-01,2020-08-03,North,Bolo,13,11,68,92,52
Facility 35,2020-08-01,2020-08-03,North,Spring,77,34,67,178,35
Facility 52,2020-07-31,2020-08-03,North,Bolo,30,11,54,95,52
Facility 36,2020-08-03,2020-08-03,North,Dingo,7,6,15,28,36
Facility 52,2020-07-30,2020-08-03,North,Bolo,18,10,16,44,52
Facility 4,2020-08-02,2020-08-03,North,Bolo,10,15,17,42,4
Facility 52,2020-07-28,2020-08-03,North,Bolo,10,11,47,68,52
Facility 10,2020-08-03,2020-08-03,North,Bolo,0,6,30,36,10
Facility 52,2020-07-27,2020-08-03,North,Bolo,8,14,41,63,52
Facility 52,2020-07-26,2020-08-03,North,Bolo,20,12,45,77,52
Facility 52,2020-07-29,2020-08-03,North,Bolo,12,5,87,104,52
Facility 56,2020-06-25,2020-08-03,North,Spring,75,35,90,200,56
Facility 32,2020-08-02,2020-08-03,North,Spring,29,30,37,96,32
Facility 50,2020-08-02,2020-08-03,North,Spring,28,18,31,77,50
Facility 40,2020-08-02,2020-08-03,North,Barnard,17,34,30,81,40
Facility 30,2020-08-03,2020-08-03,North,Bolo,18,16,40,74,30
Facility 30,2020-08-02,2020-08-03,North,Bolo,10,5,41,56,30
Facility 30,2020-08-01,2020-08-03,North,Bolo,17,15,45,77,30
Facility 30,2020-07-31,2020-08-03,North,Bolo,14,8,38,60,30
Facility 30,2020-07-30,2020-08-03,North,Bolo,20,6,18,44,30
Facility 30,2020-07-29,2020-08-03,North,Bolo,10,9,19,38,30
Facility 7,2020-08-02,2020-08-03,North,Spring,10,6,17,33,7
Facility 22,2020-08-02,2020-08-03,North,Bolo,13,1,6,20,22
Facility 53,2020-08-02,2020-08-03,North,Bolo,12,1,10,23,53
Facility 53,2020-08-01,2020-08-03,North,Bolo,26,4,1,31,53
Facility 13,2020-08-02,2020-08-03,North,Bolo,0,0,0,0,13
Facility 53,2020-07-31,2020-08-03,North,Bolo,0,0,0,0,53
Facility 53,2020-07-30,2020-08-03,North,Bolo,0,0,0,0,53
Facility 53,2020-07-29,2020-08-03,North,Bolo,14,3,7,24,53
Facility 8,2020-08-02,2020-08-03,North,Bolo,5,0,12,17,8
Facility 36,2020-08-02,2020-08-03,North,Dingo,14,7,17,38,36
Facility 8,2020-08-01,2020-08-03,North,Bolo,13,2,14,29,8
Facility 53,2020-07-28,2020-08-03,North,Bolo,22,2,10,34,53
Facility 7,2020-08-01,2020-08-03,North,Spring,15,11,15,41,7
Facility 53,2020-07-27,2020-08-03,North,Bolo,14,4,7,25,53
Facility 7,2020-07-31,2020-08-03,North,Spring,0,0,0,0,7
Facility 7,2020-07-30,2020-08-03,North,Spring,0,0,0,0,7
Facility 7,2020-07-29,2020-08-03,North,Spring,11,5,5,21,7
Facility 20,2020-08-02,2020-08-03,North,Barnard,0,1,3,4,20
Facility 11,2020-08-02,2020-08-03,North,Spring,65,28,37,130,11
Facility 38,2020-08-02,2020-08-03,North,Bolo,5,8,10,23,38
Facility 12,2020-08-02,2020-08-03,North,Dingo,34,25,41,100,12
Facility 49,2020-08-01,2020-08-03,North,Dingo,63,54,41,158,49
Facility 49,2020-08-02,2020-08-03,North,Dingo,49,55,24,128,49
Facility 11,2020-08-01,2020-08-03,North,Spring,75,34,55,164,11
Facility 11,2020-07-31,2020-08-03,North,Spring,6,2,13,21,11
Facility 23,2020-08-02,2020-08-03,North,Dingo,33,5,21,59,23
Facility 16,2020-08-02,2020-08-03,North,Barnard,22,12,18,52,16
Facility 18,2020-08-02,2020-08-03,North,Bolo,4,4,5,13,18
Facility 47,2020-08-02,2020-08-03,North,Barnard,28,15,20,63,47
Facility 47,2020-08-01,2020-08-03,North,Barnard,48,17,29,94,47
Facility 29,2020-08-02,2020-08-03,North,Dingo,10,26,29,65,29
Facility 55,2020-08-02,2020-08-03,North,Bolo,8,3,19,30,55
Facility 24,2020-08-02,2020-08-03,North,Bolo,7,9,59,75,24
Facility 41,2020-08-02,2020-08-03,North,Barnard,21,8,32,61,41
Facility 27,2020-08-02,2020-08-03,North,Spring,14,5,3,22,27
Facility 41,2020-07-23,2020-08-03,North,Barnard,8,2,21,31,41
Facility 26,2020-08-02,2020-08-03,North,Bolo,2,0,4,6,26
Facility 3,2020-08-03,2020-08-03,North,Dingo,5,6,8,19,3
Facility 19,2020-07-29,2020-08-03,North,Bolo,12,7,41,60,19
Facility 57,2020-08-02,2020-08-02,North,Barnard,11,7,15,33,57
Facility 57,2020-08-01,2020-08-02,North,Barnard,16,11,23,50,57
Facility 57,2020-07-29,2020-08-02,North,Barnard,5,7,9,21,57
Facility 57,2020-07-28,2020-08-02,North,Barnard,3,0,3,6,57
Facility 57,2020-07-27,2020-08-02,North,Barnard,2,3,2,7,57
Facility 57,2020-07-26,2020-08-02,North,Barnard,5,4,5,14,57
Facility 14,2020-08-02,2020-08-02,North,Dingo,6,3,7,16,14
Facility 34,2020-08-02,2020-08-02,North,Dingo,5,7,7,19,34
Facility 35,2020-07-30,2020-08-02,North,Spring,15,10,18,43,35
Facility 58,2020-08-02,2020-08-02,North,Spring,3,10,25,38,58
Facility 58,2020-08-01,2020-08-02,North,Spring,0,5,50,55,58
