MSW3_ID	Scientific	MSWFamilyLatin	Diet-Inv	Diet-Vend	Diet-Vect	Diet-Vfish	Diet-Vunk	Diet-Scav	Diet-Fruit	Diet-Nect	Diet-Seed	Diet-PlantO	Diet-Source	Diet-Certainty	ForStrat-Value	ForStrat-Certainty	ForStrat-Comment	Activity-Nocturnal	Activity-Crepuscular	Activity-Diurnal	Activity-Source	Activity-Certainty	BodyMass-Value	BodyMass-Source	BodyMass-SpecLevel
57	Micoureus constantiae	Didelphidae	90	0	0	0	0	0	10	0	0	0	Ref_1	ABC	S	A		1	0	0	Ref_1	ABC	90	Ref_117	1
58	Micoureus alstoni	Didelphidae	90	0	0	0	0	0	10	0	0	0	Ref_1	ABC	S	A		1	0	0	Ref_1	ABC	132.3	Ref_117	1
59	Micoureus phaeus	Didelphidae	90	0	0	0	0	0	10	0	0	0	Ref_2	D1	S	A		1	0	0	Ref_1	ABC	103.76	"Ref_2, Ref_3"	0
60	Monodelphis emiliae	Didelphidae	20	20	0	0	0	20	20	0	20	0	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	40	Ref_117	1
61	Monodelphis osgoodi	Didelphidae	20	20	0	0	0	20	20	0	20	0	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	112	Ref_117	1
62	Monodelphis umbristriata	Didelphidae	20	20	0	0	0	20	20	0	20	0	Ref_2	D1	G	A		1	0	0	Ref_2	D1	61.54	"Ref_2, Ref_3"	0
63	Monodelphis theresa	Didelphidae	20	20	0	0	0	20	20	0	20	0	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	112	Ref_117	1
64	Monodelphis sorex	Didelphidae	20	20	0	0	0	20	20	0	20	0	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	48	Ref_117	1
65	Monodelphis scalops	Didelphidae	20	20	0	0	0	20	20	0	20	0	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	741	Ref_117	1
66	Monodelphis rubida	Didelphidae	20	20	0	0	0	20	20	0	20	0	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	45.5	Ref_117	1
67	Monodelphis palliolata	Didelphidae	20	20	0	0	0	20	20	0	20	0	Ref_2	D1	G	A		1	0	0	Ref_2	D1	61.54	"Ref_2, Ref_3"	0
68	Monodelphis unistriata	Didelphidae	20	20	0	0	0	20	20	0	20	0	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	55.3	Ref_117	1
69	Monodelphis kunsi	Didelphidae	20	20	0	0	0	20	20	0	20	0	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	11.3	Ref_117	1
70	Monodelphis glirina	Didelphidae	20	20	0	0	0	20	20	0	20	0	Ref_2	D1	G	A		1	0	0	Ref_2	D1	61.54	"Ref_2, Ref_3"	0
71	Monodelphis domestica	Didelphidae	20	20	0	0	0	20	20	0	20	0	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	71.4	Ref_117	1
72	Monodelphis dimidiata	Didelphidae	20	20	0	0	0	20	20	0	20	0	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	58	Ref_117	1
73	Monodelphis brevicaudata	Didelphidae	20	20	0	0	0	20	20	0	20	0	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	69.63	Ref_117	1
74	Monodelphis americana	Didelphidae	20	20	0	0	0	20	20	0	20	0	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	19.5	Ref_117	1
75	Monodelphis adusta	Didelphidae	20	20	0	0	0	20	20	0	20	0	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	35	Ref_117	1
76	Monodelphis maraxina	Didelphidae	20	20	0	0	0	20	20	0	20	0	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	61.57	Ref_178	2
77	Monodelphis iheringi	Didelphidae	20	20	0	0	0	20	20	0	20	0	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	112	Ref_117	1
78	Philander andersoni	Didelphidae	30	30	20	0	10	0	10	0	0	0	Ref_1	ABC	S	A		1	1	1	Ref_1	ABC	325	Ref_117	1
79	Philander opossum	Didelphidae	30	30	20	0	10	0	10	0	0	0	Ref_1	ABC	S	A		1	1	1	Ref_1	ABC	585.5	Ref_117	1
80	Philander mcilhennyi	Didelphidae	30	30	20	0	10	0	10	0	0	0	Ref_2	D1	S	A		1	1	1	Ref_1	ABC	325	Ref_134	1
81	Philander frenatus	Didelphidae	30	30	20	0	10	0	10	0	0	0	Ref_2	D1	S	A		1	1	1	Ref_2	D1	395.45	"Ref_2, Ref_3"	0
82	Thylamys pusillus	Didelphidae	80	0	0	0	10	0	10	0	0	0	Ref_1	ABC	S	A		1	0	0	Ref_1	ABC	28.21	Ref_58	1
83	Thylamys venustus	Didelphidae	80	0	0	0	20	0	0	0	0	0	Ref_54	ABC	S	A		1	0	0	Ref_1	ABC	24.41	"Ref_2, Ref_3"	0
84	Thylamys tatei	Didelphidae	80	0	0	0	20	0	0	0	0	0	Ref_54	ABC	S	A		1	0	0	Ref_1	ABC	24.41	"Ref_2, Ref_3"	0
85	Thylamys sponsorius	Didelphidae	80	0	0	0	20	0	0	0	0	0	Ref_1	ABC	S	A		1	0	0	Ref_1	ABC	24.41	"Ref_2, Ref_3"	0
86	Thylamys velutinus	Didelphidae	80	0	0	0	10	0	10	0	0	0	Ref_1	ABC	S	A		1	0	0	Ref_1	ABC	20.7	Ref_117	1
87	Thylamys macrurus	Didelphidae	80	0	0	0	10	0	10	0	0	0	Ref_1	ABC	S	A		1	0	0	Ref_1	ABC	34.43	Ref_58	1
88	Thylamys karimii	Didelphidae	80	0	0	0	20	0	0	0	0	0	Ref_1	ABC	S	A		1	0	0	Ref_1	ABC	24.41	"Ref_2, Ref_3"	0
89	Thylamys cinderella	Didelphidae	80	0	0	0	20	0	0	0	0	0	Ref_1	ABC	S	A		1	0	0	Ref_1	ABC	24.41	"Ref_2, Ref_3"	0
90	Thylamys elegans	Didelphidae	80	0	0	0	10	0	10	0	0	0	Ref_1	ABC	S	A		1	1	0	Ref_1	ABC	28.9	Ref_117	1
91	Thylamys pallidior	Didelphidae	80	0	0	0	10	0	10	0	0	0	Ref_1	ABC	S	A		1	0	0	Ref_1	ABC	14.9	Ref_117	1
92	Tlacuatzin canescens	Didelphidae	40	10	10	0	10	0	30	0	0	0	Ref_1	ABC	Ar	A		1	0	0	Ref_1	ABC	47.73	Ref_58	1
93	Caenolestes caniventer	Caenolestidae	70	0	0	0	10	0	10	0	0	10	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	40	Ref_117	1
94	Caenolestes condorensis	Caenolestidae	70	0	0	0	10	0	10	0	0	10	Ref_2	D1	G	A		1	0	0	Ref_1	ABC	47.81	Ref_58	1
95	Caenolestes convelatus	Caenolestidae	70	0	0	0	10	0	10	0	0	10	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	40	Ref_117	1
96	Caenolestes fuliginosus	Caenolestidae	70	0	0	0	10	0	10	0	0	10	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	27.8	Ref_117	1
97	Lestoros inca	Caenolestidae	70	0	0	0	10	0	10	0	0	10	Ref_1	ABC	G	A		1	1	1	Ref_1	ABC	21.1	Ref_117	1
98	Rhyncholestes raphanurus	Caenolestidae	80	0	0	0	0	0	0	0	0	20	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	21	Ref_117	1
99	Dromiciops gliroides	Microbiotheriidae	100	0	0	0	0	0	0	0	0	0	Ref_1	ABC	S	A		1	0	0	Ref_1	ABC	22.3	Ref_117	1
100	Notoryctes caurinus	Notoryctidae	90	0	0	0	0	0	0	0	10	0	Ref_1	ABC	G	A		1	1	1	Ref_1	ABC	34	Ref_117	1
101	Notoryctes typhlops	Notoryctidae	90	0	0	0	0	0	0	0	10	0	Ref_1	ABC	G	A		1	1	1	Ref_1	ABC	55	Ref_117	1
103	Myrmecobius fasciatus	Myrmecobiidae	100	0	0	0	0	0	0	0	0	0	Ref_1	ABC	G	A		0	0	1	Ref_1	ABC	471.5	Ref_117	1
104	Dasycercus cristicauda	Dasyuridae	30	70	0	0	0	0	0	0	0	0	Ref_1	ABC	G	A		1	1	1	Ref_1	ABC	100	Ref_117	1
105	Dasykaluta rosamondae	Dasyuridae	60	0	0	0	40	0	0	0	0	0	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	28.75	Ref_117	1
106	Dasyuroides byrnei	Dasyuridae	30	70	0	0	0	0	0	0	0	0	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	109.47	Ref_58	1
107	Dasyurus spartacus	Dasyuridae	80	20	0	0	0	0	0	0	0	0	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	885.67	Ref_58	1
108	Dasyurus albopunctatus	Dasyuridae	80	20	0	0	0	0	0	0	0	0	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	637	Ref_117	1
109	Dasyurus viverrinus	Dasyuridae	70	20	0	0	0	10	0	0	0	0	Ref_1	ABC	G	A		1	1	1	Ref_1	ABC	1090	Ref_117	1
110	Dasyurus geoffroii	Dasyuridae	60	20	10	0	0	10	0	0	0	0	Ref_52	ABC	G	A		1	0	0	Ref_1	ABC	1100	Ref_117	1
111	Dasyurus maculatus	Dasyuridae	30	60	10	0	0	0	0	0	0	0	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	5500	Ref_117	1
112	Dasyurus hallucatus	Dasyuridae	40	30	20	0	0	0	10	0	0	0	Ref_1	ABC	G	A		1	1	1	Ref_1	ABC	525	Ref_117	1
113	Myoictis melas	Dasyuridae	50	50	0	0	0	0	0	0	0	0	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	200	Ref_117	1
114	Myoictis wallacii	Dasyuridae	50	50	0	0	0	0	0	0	0	0	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	200	"Ref_2, Ref_3"	0
115	Neophascogale lorentzi	Dasyuridae	80	0	0	0	20	0	0	0	0	0	Ref_1	ABC	Ar	A		0	1	1	Ref_1	ABC	212	Ref_117	1
116	Parantechinus apicalis	Dasyuridae	70	0	0	0	0	0	0	30	0	0	Ref_1	ABC	Ar	A		1	1	1	Ref_1	ABC	68.75	Ref_117	1
117	Phascolosorex doriae	Dasyuridae	70	0	0	0	0	0	30	0	0	0	Ref_2	D1	S	A		1	1	0	Ref_1	ABC	168.31	Ref_117	1
118	Phascolosorex dorsalis	Dasyuridae	70	0	0	0	0	0	30	0	0	0	Ref_2	D1	S	A		1	1	0	Ref_1	ABC	138.5	Ref_117	1
119	Pseudantechinus bilarni	Dasyuridae	70	0	0	0	0	0	0	30	0	0	Ref_1	ABC	Ar	A		1	0	0	Ref_1	ABC	23.05	Ref_58	1
120	Pseudantechinus woolleyae	Dasyuridae	100	0	0	0	0	0	0	0	0	0	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	40	Ref_117	1
121	Pseudantechinus roryi	Dasyuridae	100	0	0	0	0	0	0	0	0	0	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	25.06	"Ref_2, Ref_3"	0
122	Pseudantechinus ningbing	Dasyuridae	100	0	0	0	0	0	0	0	0	0	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	20	Ref_117	1
123	Pseudantechinus macdonnellensis	Dasyuridae	100	0	0	0	0	0	0	0	0	0	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	32.5	Ref_117	1
124	Pseudantechinus mimulus	Dasyuridae	90	0	0	0	10	0	0	0	0	0	Ref_54	ABC	G	A		1	0	0	Ref_1	ABC	16.5	Ref_130	1
125	Sarcophilus harrisii	Dasyuridae	0	0	0	0	0	100	0	0	0	0	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	10000	Ref_117	1
126	Antechinus leo	Dasyuridae	90	0	0	0	10	0	0	0	0	0	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	74	Ref_117	1
127	Antechinus subtropicus	Dasyuridae	90	0	0	0	10	0	0	0	0	0	Ref_54	ABC	G	A		1	0	0	Ref_1	ABC	59.5	Ref_130	1
128	Antechinus stuartii	Dasyuridae	90	10	0	0	0	0	0	0	0	0	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	27.5	Ref_117	1
129	Antechinus minimus	Dasyuridae	90	10	0	0	0	0	0	0	0	0	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	53.5	Ref_117	1
130	Antechinus flavipes	Dasyuridae	90	10	0	0	0	0	0	0	0	0	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	45	Ref_117	1
131	Antechinus bellus	Dasyuridae	90	10	0	0	0	0	0	0	0	0	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	44.5	Ref_117	1
132	Antechinus agilis	Dasyuridae	80	0	0	0	10	0	10	0	0	0	Ref_70	ABC	G	A		1	0	0	Ref_1	ABC	22.13	Ref_58	1
133	Antechinus adustus	Dasyuridae	80	0	0	0	10	10	0	0	0	0	Ref_70	ABC	G	A		1	0	0	Ref_1	ABC	36	Ref_130	1
134	Antechinus swainsonii	Dasyuridae	90	10	0	0	0	0	0	0	0	0	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	53	Ref_117	1
135	Antechinus godmani	Dasyuridae	90	10	0	0	0	0	0	0	0	0	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	76.5	Ref_117	1
136	Micromurexia habbema	Dasyuridae	70	10	20	0	0	0	0	0	0	0	Ref_3	D2	G	A		1	0	0	Ref_1	ABC	46.97	"Ref_2, Ref_3"	0
137	Murexechinus melanurus	Dasyuridae	90	10	0	0	0	0	0	0	0	0	Ref_1	ABC	G	A		1	1	1	Ref_1	ABC	38.02	Ref_58	1
138	Murexia longicaudata	Dasyuridae	60	20	20	0	0	0	0	0	0	0	Ref_1	ABC	S	A		0	1	1	Ref_1	ABC	335.83	Ref_117	1
139	Paramurexia rothschildi	Dasyuridae	60	20	20	0	0	0	0	0	0	0	Ref_1	ABC	G	A		1	1	1	Ref_1	ABC	53.77	Ref_58	1
140	Phascomurexia naso	Dasyuridae	90	10	0	0	0	0	0	0	0	0	Ref_1	ABC	G	A		1	1	1	Ref_1	ABC	52.62	Ref_58	1
141	Phascogale calura	Dasyuridae	30	40	30	0	0	0	0	0	0	0	Ref_1	ABC	Ar	A		1	0	0	Ref_1	ABC	51.5	Ref_117	1
142	Phascogale tapoatafa	Dasyuridae	30	40	30	0	0	0	0	0	0	0	Ref_1	ABC	Ar	A		1	0	0	Ref_1	ABC	193.5	Ref_117	1
143	Antechinomys laniger	Dasyuridae	80	10	10	0	0	0	0	0	0	0	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	25.57	Ref_58	1
144	Ningaui yvonnae	Dasyuridae	80	0	0	0	20	0	0	0	0	0	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	7	Ref_117	1
145	Ningaui ridei	Dasyuridae	80	0	0	0	20	0	0	0	0	0	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	8.5	Ref_117	1
146	Ningaui timealeyi	Dasyuridae	80	0	0	0	20	0	0	0	0	0	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	5.7	Ref_117	1
147	Sminthopsis griseoventer	Dasyuridae	80	10	10	0	0	0	0	0	0	0	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	17.5	Ref_117	1
148	Sminthopsis virginiae	Dasyuridae	80	10	10	0	0	0	0	0	0	0	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	35.25	Ref_117	1
149	Sminthopsis psammophila	Dasyuridae	80	10	10	0	0	0	0	0	0	0	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	33.5	Ref_117	1
150	Sminthopsis ooldea	Dasyuridae	80	10	10	0	0	0	0	0	0	0	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	11	Ref_117	1
151	Sminthopsis murina	Dasyuridae	80	10	10	0	0	0	0	0	0	0	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	17	Ref_117	1
152	Sminthopsis macroura	Dasyuridae	80	10	10	0	0	0	0	0	0	0	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	20	Ref_117	1
153	Sminthopsis longicaudata	Dasyuridae	80	10	10	0	0	0	0	0	0	0	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	18	Ref_117	1
154	Sminthopsis leucopus	Dasyuridae	80	10	10	0	0	0	0	0	0	0	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	26	Ref_117	1
155	Sminthopsis douglasi	Dasyuridae	80	10	10	0	0	0	0	0	0	0	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	55	Ref_117	1
156	Sminthopsis hirtipes	Dasyuridae	80	10	10	0	0	0	0	0	0	0	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	15	Ref_117	1
157	Sminthopsis youngsoni	Dasyuridae	80	10	10	0	0	0	0	0	0	0	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	10.1	Ref_117	1
158	Sminthopsis fuliginosus	Dasyuridae	80	10	10	0	0	0	0	0	0	0	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	19.89	"Ref_2, Ref_3"	0
159	Sminthopsis dolichura	Dasyuridae	80	10	10	0	0	0	0	0	0	0	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	13.6	Ref_117	1
160	Sminthopsis crassicaudata	Dasyuridae	80	10	10	0	0	0	0	0	0	0	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	15	Ref_117	1
161	Sminthopsis butleri	Dasyuridae	80	10	10	0	0	0	0	0	0	0	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	25	Ref_117	1
162	Sminthopsis boullangerensis	Dasyuridae	80	10	10	0	0	0	0	0	0	0	Ref_2	D1	G	A		1	0	0	Ref_2	D1	19.89	"Ref_2, Ref_3"	0
163	Sminthopsis bindi	Dasyuridae	80	10	10	0	0	0	0	0	0	0	Ref_2	D1	G	A		1	0	0	Ref_2	D1	17.5	Ref_130	1
