species	traitname	Strength of selection	Sample size	authors	year	journal	vol:p-p
Geospiza conirostris	Bill Depth	-0.57	36	Grant	1985	Evolution	39:523-532
Geospiza conirostris	Bill Length	0.43	36	Grant	1985	Evolution	39:523-532
Geospiza conirostris	Bill Width	0.13	36	Grant	1985	Evolution	39:523-532
Geospiza fortis	Beak Depth	0.26	92	Price	1984	Evolution	38:327-341
Geospiza fortis	Territory Area	0.3	92	Price	1984	Evolution	38:327-341
Geospiza fortis	Plumage	0.24	92	Price	1984	Evolution	38:327-341
Geospiza fortis	Beak Depth	0.4	57	Price	1984	Evolution	38:327-341
Geospiza fortis	Territory Area	0.24	57	Price	1984	Evolution	38:327-341
Geospiza fortis	Plumage	0.26	57	Price	1984	Evolution	38:327-341
Melospiza melodia	weight	0.08	145	Schluter and Smith	1986	Evolution	40:221-231
Melospiza melodia	wing length	0.08	145	Schluter and Smith	1986	Evolution	40:221-231
Melospiza melodia	tarsus length	-0.32	145	Schluter and Smith	1986	Evolution	40:221-231
Melospiza melodia	beak length	0.18	145	Schluter and Smith	1986	Evolution	40:221-231
Melospiza melodia	beak depth	-0.1	145	Schluter and Smith	1986	Evolution	40:221-231
Melospiza melodia	beak width	0.08	145	Schluter and Smith	1986	Evolution	40:221-231
Melospiza melodia	weight	0.12	145	Schluter and Smith	1986	Evolution	40:221-231
Melospiza melodia	wing length	-0.14	145	Schluter and Smith	1986	Evolution	40:221-231
Melospiza melodia	tarsus length	0.38	145	Schluter and Smith	1986	Evolution	40:221-231
Melospiza melodia	beak length	-0.3	145	Schluter and Smith	1986	Evolution	40:221-231
Melospiza melodia	beak depth	0.02	145	Schluter and Smith	1986	Evolution	40:221-231
Melospiza melodia	beak width	0.24	145	Schluter and Smith	1986	Evolution	40:221-231
Rana catesbeiana	body size	5.674	38	Arnold and Wade	1984	Evolution	38:720-734
Rana catesbeiana	body size	0.805	38	Arnold and Wade	1984	Evolution	38:720-734
Rana catesbeiana	body size	1.084	38	Arnold and Wade	1984	Evolution	38:720-734
Rana catesbeiana	body size	7.563	38	Arnold and Wade	1984	Evolution	38:720-734
Geospiza fortis	mass	-0.05	386	Grant and Grant	1993	Proc R Soc Lond B	251:111-117
Geospiza fortis	wing chord	-0.02	386	Grant and Grant	1993	Proc R Soc Lond B	251:111-117
Geospiza fortis	tarsus length	-0.04	386	Grant and Grant	1993	Proc R Soc Lond B	251:111-117
Geospiza fortis	bill length	0.2	386	Grant and Grant	1993	Proc R Soc Lond B	251:111-117
Geospiza fortis	bill width	-0.24	386	Grant and Grant	1993	Proc R Soc Lond B	251:111-117
Geospiza scandens	mass	0.15	244	Grant and Grant	1993	Proc R Soc Lond B	251:111-117
Geospiza scandens	wing chord	0.13	244	Grant and Grant	1993	Proc R Soc Lond B	251:111-117
Geospiza scandens	tarsus length	0.04	244	Grant and Grant	1993	Proc R Soc Lond B	251:111-117
Geospiza scandens	bill length	0.13	244	Grant and Grant	1993	Proc R Soc Lond B	251:111-117
Geospiza scandens	bill depth	-0.22	244	Grant and Grant	1993	Proc R Soc Lond B	251:111-117
Geospiza scandens	bill width	0.08	244	Grant and Grant	1993	Proc R Soc Lond B	251:111-117
Homo sapiens	mothers life span	0.2	75	Kaar et al.	1996	Proc R Soc Lond B	263:1475-1480
Homo sapiens	fathers life span	0	75	Kaar et al.	1996	Proc R Soc Lond B	263:1475-1480
Homo sapiens	mother age at first repro	-0.51	75	Kaar et al.	1996	Proc R Soc Lond B	263:1475-1480
Homo sapiens	father age at first repro	-0.09	75	Kaar et al.	1996	Proc R Soc Lond B	263:1475-1480
Homo sapiens	mothers life span	0.3	183	Kaar et al.	1996	Proc R Soc Lond B	263:1475-1480
Homo sapiens	fathers life span	0.08	183	Kaar et al.	1996	Proc R Soc Lond B	263:1475-1480
Homo sapiens	mother age at first repro	-0.57	183	Kaar et al.	1996	Proc R Soc Lond B	263:1475-1480
Homo sapiens	father age at first repro	-0.13	183	Kaar et al.	1996	Proc R Soc Lond B	263:1475-1480
Homo sapiens	mothers life span	0.32	137	Kaar et al.	1996	Proc R Soc Lond B	263:1475-1480
Homo sapiens	fathers life span	0.18	137	Kaar et al.	1996	Proc R Soc Lond B	263:1475-1480
Homo sapiens	mother age at first repro	-0.42	137	Kaar et al.	1996	Proc R Soc Lond B	263:1475-1480
Homo sapiens	father age at first repro	-0.08	137	Kaar et al.	1996	Proc R Soc Lond B	263:1475-1480
Cordylochernes scorpioides	PC1PALP(chelipeds)	0.95	44	Zeh et al.	1997	Proc R Soc Lond B	264:119-125
Cordylochernes scorpioides	PC2CEPH (chephalothorax)	-0.42	44	Zeh et al.	1997	Proc R Soc Lond B	264:119-125
Aquarius remigis	Thorax Length	0.077	242	"Preziosi, R. F. and D. Fairbairn"	1996	JEB	9:317-336
Aquarius remigis	Abdomen Length	0.036	242	"Preziosi, R. F. and D. Fairbairn"	1996	JEB	9:317-336
Aquarius remigis	Genital Length	0.322	242	"Preziosi, R. F. and D. Fairbairn"	1996	JEB	9:317-336
Aquarius remigis	Hind Femoral Length	0.35	242	"Preziosi, R. F. and D. Fairbairn"	1996	JEB	9:317-336
Aquarius remigis	Midfemoral Length	-0.499	242	"Preziosi, R. F. and D. Fairbairn"	1996	JEB	9:317-336
Aquarius remigis	Forefemoral Length	0.46	242	"Preziosi, R. F. and D. Fairbairn"	1996	JEB	9:317-336
Aquarius remigis	Forefemoral Width	0.219	242	"Preziosi, R. F. and D. Fairbairn"	1996	JEB	9:317-336
Aquarius remigis	Thorax Length	-0.069	214	"Preziosi, R. F. and D. Fairbairn"	1996	JEB	9:317-336
Aquarius remigis	Abdomen Length	0.014	214	"Preziosi, R. F. and D. Fairbairn"	1996	JEB	9:317-336
Aquarius remigis	Genital Length	0.423	214	"Preziosi, R. F. and D. Fairbairn"	1996	JEB	9:317-336
Aquarius remigis	Hind Femoral Length	0.039	214	"Preziosi, R. F. and D. Fairbairn"	1996	JEB	9:317-336
Aquarius remigis	Midfemoral Length	-0.13	214	"Preziosi, R. F. and D. Fairbairn"	1996	JEB	9:317-336
Aquarius remigis	Forefemoral Length	-0.031	214	"Preziosi, R. F. and D. Fairbairn"	1996	JEB	9:317-336
Aquarius remigis	Forefemoral Width	0.005	214	"Preziosi, R. F. and D. Fairbairn"	1996	JEB	9:317-336
Aquarius remigis	Thorax Length	0.094	242	"Preziosi, R. F. and D. J. Fairbairn"	1996	JEB	9:317-336
Aquarius remigis	Abdomen Length	0.144	242	"Preziosi, R. F. and D. J. Fairbairn"	1996	JEB	9:317-336
Aquarius remigis	Genital Length	0.306	242	"Preziosi, R. F. and D. J. Fairbairn"	1996	JEB	9:317-336
Aquarius remigis	Hind Femoral Length	0.127	242	"Preziosi, R. F. and D. J. Fairbairn"	1996	JEB	9:317-336
Aquarius remigis	Midfemoral Length	-0.199	242	"Preziosi, R. F. and D. J. Fairbairn"	1996	JEB	9:317-336
Aquarius remigis	Forefemoral Length	0.17	242	"Preziosi, R. F. and D. J. Fairbairn"	1996	JEB	9:317-336
Aquarius remigis	Forefemoral Width	-0.13	242	"Preziosi, R. F. and D. J. Fairbairn"	1996	JEB	9:317-336
Aquarius remigis	Thorax Length	-0.036	214	"Preziosi, R. F. and D. J. Fairbairn"	1996	JEB	9:317-336
Aquarius remigis	Abdomen Length	-0.004	214	"Preziosi, R. F. and D. J. Fairbairn"	1996	JEB	9:317-336
Aquarius remigis	Genital Length	0.354	214	"Preziosi, R. F. and D. J. Fairbairn"	1996	JEB	9:317-336
Aquarius remigis	Hind Femoral Length	0.093	214	"Preziosi, R. F. and D. J. Fairbairn"	1996	JEB	9:317-336
Aquarius remigis	Midfemoral Length	-0.184	214	"Preziosi, R. F. and D. J. Fairbairn"	1996	JEB	9:317-336
Aquarius remigis	Forefemoral Length	-0.029	214	"Preziosi, R. F. and D. J. Fairbairn"	1996	JEB	9:317-336
Aquarius remigis	Forefemoral Width	0.028	214	"Preziosi, R. F. and D. J. Fairbairn"	1996	JEB	9:317-336
Parus major	Size: indexed as 1st PC from morphological data	0.06	255	"Bjorklund, M. and M. Linden"	1993	JEB	6:397-415
Parus major	Tarsus length (size corrected)	0.36	255	"Bjorklund, M. and M. Linden"	1993	JEB	6:397-415
Parus major	Bill length (size corrected)	-0.24	255	"Bjorklund, M. and M. Linden"	1993	JEB	6:397-415
Parus major	Bill depth (size corrected)	-0.03	255	"Bjorklund, M. and M. Linden"	1993	JEB	6:397-415
Parus major	Wing length (size corrected)	0.17	255	"Bjorklund, M. and M. Linden"	1993	JEB	6:397-415
Parus major	Length of 1st primary (size corrected)	0.09	255	"Bjorklund, M. and M. Linden"	1993	JEB	6:397-415
Parus major	Tail length (size corrected)	0.17	255	"Bjorklund, M. and M. Linden"	1993	JEB	6:397-415
Parus major	Size: indexed as 1st PC from morphological data	0.12	255	"Bjorklund, M. and M. Linden"	1993	JEB	6:397-415
Parus major	Tarsus length (size corrected)	0.28	255	"Bjorklund, M. and M. Linden"	1993	JEB	6:397-415
Parus major	Bill length (size corrected)	0.14	255	"Bjorklund, M. and M. Linden"	1993	JEB	6:397-415
Parus major	Bill depth (size corrected)	0.32	255	"Bjorklund, M. and M. Linden"	1993	JEB	6:397-415
Parus major	Wing length (size corrected)	0.05	255	"Bjorklund, M. and M. Linden"	1993	JEB	6:397-415
Parus major	Length of 1st primary (size corrected)	-0.4	255	"Bjorklund, M. and M. Linden"	1993	JEB	6:397-415
Parus major	Tail length (size corrected)	0.17	255	"Bjorklund, M. and M. Linden"	1993	JEB	6:397-415
Parus major	Size: indexed as 1st PC from morphological data	0.31	193	"Bjorklund, M. and M. Linden"	1993	JEB	6:397-415
Parus major	Tarsus length (size corrected)	0.15	193	"Bjorklund, M. and M. Linden"	1993	JEB	6:397-415
Parus major	Bill length (size corrected)	0.14	193	"Bjorklund, M. and M. Linden"	1993	JEB	6:397-415
Parus major	Bill depth (size corrected)	0.13	193	"Bjorklund, M. and M. Linden"	1993	JEB	6:397-415
Parus major	Wing length (size corrected)	0.46	193	"Bjorklund, M. and M. Linden"	1993	JEB	6:397-415
Parus major	Length of 1st primary (size corrected)	-0.24	193	"Bjorklund, M. and M. Linden"	1993	JEB	6:397-415
Parus major	Tail length (size corrected)	-0.05	193	"Bjorklund, M. and M. Linden"	1993	JEB	6:397-415
Parus major	Size: indexed as 1st PC from morphological data	0.25	126	"Bjorklund, M. and M. Linden"	1993	JEB	6:397-415
Parus major	Tarsus length (size corrected)	-0.38	126	"Bjorklund, M. and M. Linden"	1993	JEB	6:397-415
Parus major	Bill length (size corrected)	-0.6	126	"Bjorklund, M. and M. Linden"	1993	JEB	6:397-415
Parus major	Bill depth (size corrected)	-0.1	126	"Bjorklund, M. and M. Linden"	1993	JEB	6:397-415
Parus major	Wing length (size corrected)	0.41	126	"Bjorklund, M. and M. Linden"	1993	JEB	6:397-415
Parus major	Length of 1st primary (size corrected)	-0.26	126	"Bjorklund, M. and M. Linden"	1993	JEB	6:397-415
Parus major	Tail length (size corrected)	0.61	126	"Bjorklund, M. and M. Linden"	1993	JEB	6:397-415
Brassica nigra	Flower Size	-0.01	42	"Conner, J. K. and S. Rush"	1997	JEB	10:327-335
Brassica nigra	Stigma Exsertion	0.09	42	"Conner, J. K. and S. Rush"	1997	JEB	10:327-335
Brassica nigra	Ovules per Flower	0.05	42	"Conner, J. K. and S. Rush"	1997	JEB	10:327-335
Brassica nigra	Flower Number	0.75	42	"Conner, J. K. and S. Rush"	1997	JEB	10:327-335
Brassica nigra	Flowering Time	-0.16	42	"Conner, J. K. and S. Rush"	1997	JEB	10:327-335
Mimulus guttatus	Date of first flower	-0.314	186	Willis	1996	Evolution	50:1501-1511
Mimulus guttatus	Internode length	0.408	184	Willis	1996	Evolution	50:1501-1511
Mimulus guttatus	Corolla length	0.471	183	Willis	1996	Evolution	50:1501-1511
Mimulus guttatus	Flower width	0.52	182	Willis	1996	Evolution	50:1501-1511
Mimulus guttatus	Stigma-anther seperation	0.26	170	Willis	1996	Evolution	50:1501-1511
Mimulus guttatus	Date of first flower	-0.644	109	Willis	1996	Evolution	50:1501-1511
Mimulus guttatus	Leaf length	-0.039	82	Willis	1996	Evolution	50:1501-1511
Mimulus guttatus	Internode length	0.065	107	Willis	1996	Evolution	50:1501-1511
Mimulus guttatus	Corolla length	0.664	106	Willis	1996	Evolution	50:1501-1511
Mimulus guttatus	Flower width	1.088	102	Willis	1996	Evolution	50:1501-1511
Mimulus guttatus	Stigma-anther seperation	-0.179	105	Willis	1996	Evolution	50:1501-1511
Mimulus guttatus	Date of first flower	-0.289	134	Willis	1996	Evolution	50:1501-1511
Mimulus guttatus	Internode length	0.495	134	Willis	1996	Evolution	50:1501-1511
Mimulus guttatus	Corolla length	1.353	127	Willis	1996	Evolution	50:1501-1511
Mimulus guttatus	Flower width	1.513	126	Willis	1996	Evolution	50:1501-1511
Mimulus guttatus	Stigma-anther seperation	0.059	122	Willis	1996	Evolution	50:1501-1511
Mimulus guttatus	Date of first flower	-0.609	176	Willis	1996	Evolution	50:1501-1511
Mimulus guttatus	Leaf length	1.197	176	Willis	1996	Evolution	50:1501-1511
Mimulus guttatus	Internode length	0.443	176	Willis	1996	Evolution	50:1501-1511
Mimulus guttatus	Corolla length	0.961	173	Willis	1996	Evolution	50:1501-1511
Mimulus guttatus	Flower width	1.389	169	Willis	1996	Evolution	50:1501-1511
Mimulus guttatus	Stigma-anther seperation	0.197	172	Willis	1996	Evolution	50:1501-1511
Impatiens capensis	seed weight	0.015	450	Mitchell-Olds & Bergelson	1990	Genetics	124: 417-421
Impatiens capensis	germination date	-0.053	450	Mitchell-Olds & Bergelson	1990	Genetics	124: 417-421
Impatiens capensis	June size	0.032	450	Mitchell-Olds & Bergelson	1990	Genetics	124: 417-421
Impatiens capensis	early growth rate	0.404	450	Mitchell-Olds & Bergelson	1990	Genetics	124: 417-421
Impatiens capensis	late growth rate	0.311	450	Mitchell-Olds & Bergelson	1990	Genetics	124: 417-421
Ipomopsis aggregata and tenuituba	Corolla width	0.33	84	"Campbell, Waser, Melendez-Ackerman"	1997	Am Nat	149(2):295-315
Ipomopsis aggregata and tenuituba	Corolla length	0.02	84	"Campbell, Waser, Melendez-Ackerman"	1997	Am Nat	149(2):295-315
Ipomopsis aggregata and tenuituba	color	0.19	84	"Campbell, Waser, Melendez-Ackerman"	1997	Am Nat	149(2):295-315
Ipomopsis aggregata and tenuituba	Corolla width	0.27	21	"Campbell, Waser, Melendez-Ackerman"	1997	Am Nat	149(2):295-315
Ipomopsis aggregata and tenuituba	Corolla length	0.02	21	"Campbell, Waser, Melendez-Ackerman"	1997	Am Nat	149(2):295-315
Ipomopsis aggregata and tenuituba	color	0.18	21	"Campbell, Waser, Melendez-Ackerman"	1997	Am Nat	149(2):295-315
Ipomopsis aggregata and tenuituba	Corolla width	-0.95	50	"Campbell, Waser, Melendez-Ackerman"	1997	Am Nat	149(2):295-315
Ipomopsis aggregata and tenuituba	Corolla length	0.01	50	"Campbell, Waser, Melendez-Ackerman"	1997	Am Nat	149(2):295-315
Ipomopsis aggregata and tenuituba	color	0.07	50	"Campbell, Waser, Melendez-Ackerman"	1997	Am Nat	149(2):295-315
Ipomopsis aggregata and tenuituba	Corolla width	-0.44	50	"Campbell, Waser, Melendez-Ackerman"	1997	Am Nat	149(2):295-315
Ipomopsis aggregata and tenuituba	Corolla length	-0.04	50	"Campbell, Waser, Melendez-Ackerman"	1997	Am Nat	149(2):295-315
Ipomopsis aggregata and tenuituba	color	0.08	50	"Campbell, Waser, Melendez-Ackerman"	1997	Am Nat	149(2):295-315
Ipomopsis aggregata and tenuituba	Corolla width	-0.56	100	"Campbell, Waser, Melendez-Ackerman"	1997	Am Nat	149(2):295-315
Ipomopsis aggregata and tenuituba	Corolla length	-0.06	100	"Campbell, Waser, Melendez-Ackerman"	1997	Am Nat	149(2):295-315
Ipomopsis aggregata and tenuituba	color	0.01	100	"Campbell, Waser, Melendez-Ackerman"	1997	Am Nat	149(2):295-315
Ipomopsis aggregata and tenuituba	Corolla width	-0.38	150	"Campbell, Waser, Melendez-Ackerman"	1997	Am Nat	149(2):295-315
Ipomopsis aggregata and tenuituba	Corolla length	-0.05	150	"Campbell, Waser, Melendez-Ackerman"	1997	Am Nat	149(2):295-315
Ipomopsis aggregata and tenuituba	color	0.01	150	"Campbell, Waser, Melendez-Ackerman"	1997	Am Nat	149(2):295-315
Clibanarius digueti	body size	0.48	120	Harvey	1990	Am Nat	136(3):292-304
Clibanarius digueti	body size	-0.01	120	Harvey	1990	Am Nat	136(3):292-304
Vermivora virginiae	habitat preference	0.119	167	Martin	1998	Ecology	79(2):656-670
Vermivora virginiae	habitat preference	-0.018	167	Martin	1998	Ecology	79(2):656-670
Vermivora virginiae	habitat preference	0.137	167	Martin	1998	Ecology	79(2):656-670
Vermivora virginiae	habitat preference	0.047	167	Martin	1998	Ecology	79(2):656-670
Junco hyemalis	habitat preference	0.071	308	Martin	1998	Ecology	79(2):656-670
Junco hyemalis	habitat preference	0.078	308	Martin	1998	Ecology	79(2):656-670
Junco hyemalis	habitat preference	-0.031	308	Martin	1998	Ecology	79(2):656-670
Junco hyemalis	habitat preference	-0.076	308	Martin	1998	Ecology	79(2):656-670
Cardellina rubifrons	habitat preference	-0.086	218	Martin	1998	Ecology	79(2):656-670
Cardellina rubifrons	habitat preference	0.147	218	Martin	1998	Ecology	79(2):656-670
Cardellina rubifrons	habitat preference	-0.171	218	Martin	1998	Ecology	79(2):656-670
Cardellina rubifrons	habitat preference	-0.024	218	Martin	1998	Ecology	79(2):656-670
Vermivora celata	habitat preference	-0.065	358	Martin	1998	Ecology	79(2):656-670
Vermivora celata	habitat preference	0.076	358	Martin	1998	Ecology	79(2):656-670
Vermivora celata	habitat preference	0.208	358	Martin	1998	Ecology	79(2):656-670
Vermivora celata	habitat preference	0.02	358	Martin	1998	Ecology	79(2):656-670
Pipilo chlorurus	habitat preference	0.154	119	Martin	1998	Ecology	79(2):656-670
Pipilo chlorurus	habitat preference	-0.061	119	Martin	1998	Ecology	79(2):656-670
Pipilo chlorurus	habitat preference	-0.043	119	Martin	1998	Ecology	79(2):656-670
Pipilo chlorurus	habitat preference	0.017	119	Martin	1998	Ecology	79(2):656-670
Oporornis tolmei	habitat preference	0.074	76	Martin	1998	Ecology	79(2):656-670
Oporornis tolmei	habitat preference	0.152	76	Martin	1998	Ecology	79(2):656-670
Oporornis tolmei	habitat preference	0.275	76	Martin	1998	Ecology	79(2):656-670
Oporornis tolmei	habitat preference	-0.21	76	Martin	1998	Ecology	79(2):656-670
Catharus guttatus	habitat preference	-0.19	310	Martin	1998	Ecology	79(2):656-670
Catharus guttatus	habitat preference	0.134	310	Martin	1998	Ecology	79(2):656-670
Catharus guttatus	habitat preference	-0.13	310	Martin	1998	Ecology	79(2):656-670
Catharus guttatus	habitat preference	-0.191	310	Martin	1998	Ecology	79(2):656-670
Asclepias syriaca	no. inflorescences	-0.0038	444	Morgan & Schoen	1997	Heredity	79:433-441
Asclepias syriaca	no. pedicels	0.0008	444	Morgan & Schoen	1997	Heredity	79:433-441
Asclepias syriaca	flower area	0.0007	444	Morgan & Schoen	1997	Heredity	79:433-441
Asclepias syriaca	pigement	-0.2443	444	Morgan & Schoen	1997	Heredity	79:433-441
Asclepias syriaca	target	0.0872	444	Morgan & Schoen	1997	Heredity	79:433-441
Asclepias syriaca	visual rank	-0.0029	433	Morgan & Schoen	1997	Heredity	79:433-441
Asclepias syriaca	optical density	-0.0851	435	Morgan & Schoen	1997	Heredity	79:433-441
Asclepias syriaca	length	0.1937	444	Morgan & Schoen	1997	Heredity	79:433-441
Asclepias syriaca	width	0.63	444	Morgan & Schoen	1997	Heredity	79:433-441
Asclepias syriaca	height	-0.0131	444	Morgan & Schoen	1997	Heredity	79:433-441
Asclepias syriaca	separation	0.2171	444	Morgan & Schoen	1997	Heredity	79:433-441
Asclepias syriaca	horn length	0.3302	444	Morgan & Schoen	1997	Heredity	79:433-441
Asclepias syriaca	slit length	0.464	444	Morgan & Schoen	1997	Heredity	79:433-441
Asclepias syriaca	width	0.2585	444	Morgan & Schoen	1997	Heredity	79:433-441
Asclepias syriaca	corpusculum length	0.0533	417	Morgan & Schoen	1997	Heredity	79:433-441
Asclepias syriaca	no. inflorescences	0.0155	444	Morgan & Schoen	1997	Heredity	79:433-441
Asclepias syriaca	no. pedicels	-0.0016	444	Morgan & Schoen	1997	Heredity	79:433-441
Asclepias syriaca	flower area	-0.0006	444	Morgan & Schoen	1997	Heredity	79:433-441
Asclepias syriaca	pigement	0.0807	444	Morgan & Schoen	1997	Heredity	79:433-441
Asclepias syriaca	target	-0.0092	444	Morgan & Schoen	1997	Heredity	79:433-441
Asclepias syriaca	visual rank	-0.0085	433	Morgan & Schoen	1997	Heredity	79:433-441
Asclepias syriaca	optical density	0.7855	435	Morgan & Schoen	1997	Heredity	79:433-441
Asclepias syriaca	length	0.1323	444	Morgan & Schoen	1997	Heredity	79:433-441
Asclepias syriaca	width	0.0801	444	Morgan & Schoen	1997	Heredity	79:433-441
Asclepias syriaca	height	0.0333	444	Morgan & Schoen	1997	Heredity	79:433-441
Asclepias syriaca	separation	0.0493	444	Morgan & Schoen	1997	Heredity	79:433-441
Asclepias syriaca	horn length	0.0958	444	Morgan & Schoen	1997	Heredity	79:433-441
Asclepias syriaca	slit length	-0.1298	444	Morgan & Schoen	1997	Heredity	79:433-441
Asclepias syriaca	width	0.1233	444	Morgan & Schoen	1997	Heredity	79:433-441
Asclepias syriaca	corpusculum length	0.2105	417	Morgan & Schoen	1997	Heredity	79:433-441
Aquarius remigis	profemoral width (univariate)	-0.087	90	"Fairbairn, DJ and Preziosi, R.F."	1996	Evolution	50:1549-1559
Aquarius remigis	profemoral width (univariate)	0.045	13	"Fairbairn, DJ and Preziosi, R.F."	1996	Evolution	50:1549-1559
Aquarius remigis	profemoral width (univariate)	0.816	10	"Fairbairn, DJ and Preziosi, R.F."	1996	Evolution	50:1549-1559
Aquarius remigis	profemoral width (univariate)	-0.15	25	"Fairbairn, DJ and Preziosi, R.F."	1996	Evolution	50:1549-1559
Aquarius remigis	profemoral width (univariate)	-0.539	10	"Fairbairn, DJ and Preziosi, R.F."	1996	Evolution	50:1549-1559
Aquarius remigis	profemoral width (univariate)	0.015	14	"Fairbairn, DJ and Preziosi, R.F."	1996	Evolution	50:1549-1559
Aquarius remigis	profemoral width (univariate)	-0.229	18	"Fairbairn, DJ and Preziosi, R.F."	1996	Evolution	50:1549-1559
Aquarius remigis	profemoral width (univariate)	-0.101	30	"Fairbairn, DJ and Preziosi, R.F."	1996	Evolution	50:1549-1559
Aquarius remigis	profemoral width (univariate)	-0.004	15	"Fairbairn, DJ and Preziosi, R.F."	1996	Evolution	50:1549-1559
Aquarius remigis	profemoral width (univariate)	-0.287	13	"Fairbairn, DJ and Preziosi, R.F."	1996	Evolution	50:1549-1559
Aquarius remigis	profemoral width (univariate)	-0.238	32	"Fairbairn, DJ and Preziosi, R.F."	1996	Evolution	50:1549-1559
Aquarius remigis	profemoral width (univariate)	0.112	25	"Fairbairn, DJ and Preziosi, R.F."	1996	Evolution	50:1549-1559
Aquarius remigis	profemoral width (multivariate)	-0.094	90	"Fairbairn, DJ and Preziosi, R.F."	1996	Evolution	50:1549-1559
Aquarius remigis	profemoral width (multivariate)	-0.075	13	"Fairbairn, DJ and Preziosi, R.F."	1996	Evolution	50:1549-1559
Aquarius remigis	profemoral width (multivariate)	1.427	10	"Fairbairn, DJ and Preziosi, R.F."	1996	Evolution	50:1549-1559
Aquarius remigis	profemoral width (multivariate)	-0.289	25	"Fairbairn, DJ and Preziosi, R.F."	1996	Evolution	50:1549-1559
Aquarius remigis	profemoral width (multivariate)	-0.71	10	"Fairbairn, DJ and Preziosi, R.F."	1996	Evolution	50:1549-1559
Aquarius remigis	profemoral width (multivariate)	-0.017	14	"Fairbairn, DJ and Preziosi, R.F."	1996	Evolution	50:1549-1559
Aquarius remigis	profemoral width (multivariate)	-0.4	18	"Fairbairn, DJ and Preziosi, R.F."	1996	Evolution	50:1549-1559
Aquarius remigis	profemoral width (multivariate)	-0.222	30	"Fairbairn, DJ and Preziosi, R.F."	1996	Evolution	50:1549-1559
Aquarius remigis	profemoral width (multivariate)	-0.223	15	"Fairbairn, DJ and Preziosi, R.F."	1996	Evolution	50:1549-1559
Aquarius remigis	profemoral width (multivariate)	0.019	13	"Fairbairn, DJ and Preziosi, R.F."	1996	Evolution	50:1549-1559
Aquarius remigis	profemoral width (multivariate)	-0.221	32	"Fairbairn, DJ and Preziosi, R.F."	1996	Evolution	50:1549-1559
Aquarius remigis	profemoral width (multivariate)	-0.141	25	"Fairbairn, DJ and Preziosi, R.F."	1996	Evolution	50:1549-1559
Aquarius remigis	mesofemoral length (univariate)	-0.174	90	"Fairbairn, DJ and Preziosi, R.F."	1996	Evolution	50:1549-1559
Aquarius remigis	mesofemoral length (univariate)	-0.003	13	"Fairbairn, DJ and Preziosi, R.F."	1996	Evolution	50:1549-1559
Aquarius remigis	mesofemoral length (univariate)	0.322	10	"Fairbairn, DJ and Preziosi, R.F."	1996	Evolution	50:1549-1559
Aquarius remigis	mesofemoral length (univariate)	-0.123	25	"Fairbairn, DJ and Preziosi, R.F."	1996	Evolution	50:1549-1559
Aquarius remigis	mesofemoral length (univariate)	-0.409	10	"Fairbairn, DJ and Preziosi, R.F."	1996	Evolution	50:1549-1559
Aquarius remigis	mesofemoral length (univariate)	-0.137	14	"Fairbairn, DJ and Preziosi, R.F."	1996	Evolution	50:1549-1559
