Years of sample collection,Elephant ID,Sex,Estimated Age (years),shoulder Height in  cm,Tusk Length in cm,Tusk Circumference   in cm
1966-68,143,m,18,239,103,28
1966-68,145,m,18,266,130,27
1966-68,171,m,18,249,119,24
1966-68,96,m,20,258,,
1966-68,234,m,20,255,154,28
1966-68,244,m,20,262,134,26
1966-68,245,m,20,274,142,29
1966-68,268,m,20,262,130,28
1966-68,291,m,20,276,128,21
1966-68,136,m,20.5,272,,
1966-68,133,m,21,268,,
1966-68,135,m,21,258,,
1966-68,137,m,21,274,,
1966-68,190,m,21,275,162,33
1966-68,274,m,21,270,127,30
1966-68,113,m,22,269,,
1966-68,65,m,23,275,176,35
1966-68,212,m,24,289,130,32
1966-68,269,m,24,239,108,24
1966-68,246,m,25,278,120,31
1966-68,138,m,26,279,135,37
1966-68,303,m,26.5,289.6,,
1966-68,281,m,27,285,200,40
1966-68,115,m,30,270,,
1966-68,300,m,30,281,178,35
1966-68,301,m,30,302.3,,
1966-68,280,m,35,314,206,40
1966-68,134,m,38,284,,
1966-68,154,m,39,304,230,47
1966-68,50,f,0.25,102,,
1966-68,263,f,0.25,110,,
1966-68,271,f,0.25,105,,
1966-68,288,f,0.25,111,,
1966-68,294,f,0.25,109,,
1966-68,87,f,0.5,112,,
1966-68,157,f,0.5,115,,
1966-68,161,f,0.5,97,,
1966-68,209,f,0.5,110,,
1966-68,234,f,0.5,109,,
1966-68,239,f,0.5,115,,
1966-68,19,f,0.75,116,,
1966-68,79,f,0.75,110,,
1966-68,206,f,0.75,111,,
1966-68,194,f,1,107,,
1966-68,168,f,1.25,128,,
1966-68,101,f,1.5,131,,
1966-68,42,f,2,116,,
1966-68,43,f,2,133,,
1966-68,137,f,2,134,,
1966-68,198,f,2,127,,
1966-68,4,f,2.5,134,,
1966-68,75,f,2.5,144,,
1966-68,106,f,2.5,149,,
1966-68,218,f,2.5,145,,
1966-68,257,f,2.5,135,29.5,10.25
1966-68,16,f,2.75,155,,
1966-68,229,f,2.75,138,,
1966-68,49,f,3,158,,
1966-68,183,f,3,162,34.5,10
1966-68,243,f,3,162,37.5,11.5
1966-68,297,f,3,147,35.5,11.5
1966-68,140,f,3.5,164,43,12
1966-68,148,f,3.5,158,44,12.25
1966-68,197,f,3.5,164,41.75,12
1966-68,41,f,4,168,,
1966-68,86,f,4,161,,
1966-68,102,f,4,163,,
1966-68,185,f,4,164,44,12.5
1966-68,210,f,4,180,49.6,12.25
1966-68,262,f,4,169,48,14.3
1966-68,282,f,4,173,,
1966-68,225,f,4.5,164,40,12
1966-68,235,f,4.5,169,43,12
1966-68,22,f,5,169,42.5,12.25
1966-68,233,f,5,170,,
1966-68,27,f,5.5,171,45.25,11.5
1966-68,111,f,5.5,185,53.25,13
1966-68,245,f,6,179,65.5,15
1966-68,96,f,6.5,189,63,12.75
1966-68,255,f,6.5,183,,
1966-68,85,f,7,172,60,12.75
1966-68,199,f,7,191,63.5,14.3
1966-68,248,f,7,186,75,15.3
1966-68,76,f,7.5,188,60,12.5
1966-68,80,f,8,189,85,16.75
1966-68,246,f,8,203,83,16
1966-68,287,f,8,192,69.5,15.75
1966-68,34,f,8.5,192,68,14.5
1966-68,40,f,8.5,194,74.75,15
1966-68,51,f,8.5,199,82,14.5
1966-68,72,f,8.5,198,83,17.5
1966-68,109,f,8.5,205,65,15.5
1966-68,124,f,8.5,202,71.5,15
1966-68,73,f,9,204,76,13.5
1966-68,131,f,9,196,72,13
1966-68,142,f,9,196,69.25,14
1966-68,230,f,9,201,74,15
1966-68,232,f,9,211,72.75,14.75
1966-68,260,f,9,204,90,16.25
1966-68,114,f,10,197,80.5,15
1966-68,261,f,10,202,89,18
1966-68,164,f,11,200,,
1966-68,214,f,11,221,,
1966-68,28,f,15,225,92.5,17
1966-68,36,f,15,226,106,17.5
1966-68,90,f,15,206,84.5,16
1966-68,138,f,15,231,83.5,16.5
1966-68,143,f,15,228,90,19
1966-68,182,f,15,222,103,18
1966-68,193,f,15,217,92.25,16
1966-68,236,f,15,228,96.75,18
1966-68,286,f,15,211,73,15.75
1966-68,20,f,16,217,126.5,21.3
1966-68,82,f,16,223,78,15
1966-68,162,f,16,215,110.5,19
1966-68,220,f,16,222,97,17.5
1966-68,231,f,16,223,118,17.75
1966-68,192,f,16.5,230,83,14.25
1966-68,154,f,17,226,87,16
1966-68,228,f,17,222,101.5,16.5
1966-68,3,f,18,226,93,18
1966-68,122,f,19,230,114,22.25
1966-68,279,f,19,228,108,18
1966-68,299,f,19,227,112.5,19
1966-68,55,f,20,230,97.5,18
1966-68,147,f,20,230,94.5,18.75
1966-68,205,f,20,216,,
1966-68,295,f,20,213,107.5,17
1966-68,26,f,22,226,127,23
1966-68,48,f,22,249,95,20.5
1966-68,84,f,22,243,115,22
1966-68,200,f,22,239,112.5,21
1966-68,46,f,23,228,94.5,17.5
1966-68,107,f,23,246,106,19.75
1966-68,152,f,23,226,125.5,21.5
1966-68,224,f,23,223,,
1966-68,191,f,23.5,237,123.5,25.3
1966-68,10,f,24,239,110.5,19.5
1966-68,126,f,24,222,115.75,20
1966-68,81,f,25,235,107,20.5
1966-68,133,f,25,241,114.3,21
1966-68,270,f,25,232,135.3,24.25
1966-68,21,f,26,231,132,22.25
1966-68,69,f,26,223,112.6,17.3
1966-68,70,f,26,240,106.75,20.5
1966-68,94,f,26,248,116.75,19.5
1966-68,216,f,26,235,118,21.5
1966-68,219,f,26,238,120.5,22
1966-68,14,f,28,243,98.5,22
1966-68,39,f,28,242,90.5,23
1966-68,83,f,28,240,146,20.25
1966-68,110,f,28,243,140,24
1966-68,130,f,28,255,119.5,21.5
1966-68,144,f,28,244,154.75,25.75
1966-68,242,f,28,236,126.25,21.75
1966-68,181,f,29,226,102.75,17.25
1966-68,184,f,29,238,135,24
1966-68,116,f,30,238,107,21.25
1966-68,129,f,30,252,150,22
1966-68,174,f,30,242,123,21
1966-68,266,f,30,257,134,26
1966-68,176,f,31,243,129.5,24
1966-68,250,f,31,235,,
1966-68,8,f,32,242,174,25.5
1966-68,24,f,32,242,135,24.25
1966-68,98,f,32,236,113,20
1966-68,151,f,32,250,137,25.25
1966-68,247,f,32,262,143.5,24
1966-68,290,f,33,246,132,23.5
1966-68,35,f,34,246,135,25
1966-68,66,f,34,248,,
1966-68,135,f,34,262,124.75,24
1966-68,160,f,34,239,104.5,22
1966-68,178,f,34,243,117.5,22.25
1966-68,179,f,34,244,124.5,23
1966-68,300,f,34,249,143,22.5
1966-68,223,f,35,254,149,26.25
1966-68,189,f,36,241,129.75,25.25
1966-68,213,f,36,241,134,22.5
1966-68,254,f,38,243,146,25.75
1966-68,77,f,40,247,174,25.75
1966-68,115,f,41,236,145.5,23
1966-68,188,f,41,257,127,22
1966-68,284,f,43,256,174.5,23
1966-68,264,f,45,251,143,27.6
1966-68,217,f,48,250,134.5,23.5
1966-68,196,f,49,251,147.75,27.5
1966-68,103,f,50,276,187,28
1966-68,31,f,51,243,,28
1966-68,240,f,51,250,,24.3
1966-68,127,f,52,244,,23.75
1966-68,211,f,52,250,,
1966-68,33,f,53,243,,27
1966-68,291,f,55,238,,22
1966-68,5,f,55,253,,27.75
1966-68,99,f,,255,,24
1966-68,237,m,0.25,107,,
1966-68,280,m,0.25,106,,
1966-68,146,m,0.5,123,,
1966-68,156,m,0.5,114,,
1966-68,158,m,0.5,105,,
1966-68,163,m,0.5,113,,
1966-68,165,m,0.5,110,,
1966-68,226,m,0.5,122,,
1966-68,227,m,0.5,115,,
1966-68,253,m,0.5,123,,
1966-68,52,m,0.75,117,,
1966-68,88,m,0.75,115,,
1966-68,95,m,0.75,112,,
1966-68,97,m,0.75,116,,
1966-68,105,m,0.75,128,,
1966-68,136,m,0.75,116,,
1966-68,180,m,0.75,108,,
1966-68,29,m,1,120,,
1966-68,32,m,1,109,,
1966-68,120,m,1,120,,
1966-68,123,m,1,131,,
1966-68,139,m,1.75,129,,
1966-68,186,m,1.75,129,,
1966-68,221,m,1.75,137,,
1966-68,117,m,2,145,,
1966-68,121,m,2,137,,
1966-68,167,m,2,140,28.5,12.75
1966-68,11,m,2.5,148,,
1966-68,71,m,2.5,155,,
1966-68,74,m,2.5,147,,
1966-68,141,m,2.5,152,33.5,13.5
1966-68,153,m,2.5,148,26,10.75
1966-68,208,m,2.5,149,32,13
1966-68,238,m,2.5,148,27,12
1966-68,268,m,2.5,164,36.75,13
1966-68,298,m,2.5,153,34.5,13.5
1966-68,30,m,3,167,,
1966-68,45,m,3,154,,
1966-68,53,m,3,157,43,14
1966-68,207,m,3,171,48.5,15.75
1966-68,272,m,3,161,50,16
1966-68,283,m,3,157,44,15
1966-68,125,m,3.5,173,54,17.25
1966-68,150,m,3.5,169,54.25,16
1966-68,177,m,3.5,157,46,14.75
1966-68,251,m,3.5,167,50.5,18
1966-68,289,m,3.5,160,45,14
1966-68,15,m,4,171,58,17.5
1966-68,54,m,4,168,58,14.5
1966-68,119,m,4,176,59,16.75
1966-68,173,m,4,173,51,13.75
1966-68,187,m,4,168,53,16
1966-68,108,m,4.5,162,50.5,14.5
1966-68,170,m,4.5,178,64,16.3
1966-68,201,m,4.5,174,61.25,16.75
1966-68,78,m,5,161,48,15.75
1966-68,145,m,5,167,61.5,17.75
1966-68,23,m,5.5,168,57.5,15
1966-68,222,m,6,186,71.5,18.3
1966-68,89,m,7,183,64,16.5
1966-68,215,m,7,180,73,18
1966-68,252,m,7,188,81,21
1966-68,296,m,7,194,82.5,20.5
1966-68,269,m,7.5,201,88,21.5
1966-68,6,m,8,205,,
1966-68,25,m,8,207,84,20
1966-68,38,m,8,197,91,20.75
1966-68,100,m,8,212,88,19.25
1966-68,118,m,8,182,71.25,16.3
1966-68,149,m,8,202,92.5,22
1966-68,12,m,8.5,203,80.5,19.5
1966-68,212,m,8.5,213,82.5,18.3
1966-68,241,m,8.5,216,97.5,23
1966-68,13,m,9,208,83,20.5
1966-68,47,m,9,200,98.75,21.5
1966-68,67,m,9,199,90,20
1966-68,159,m,9,207,89,20
1966-68,171,m,9.5,204,73.25,16
1966-68,91,m,10,200,94.75,20.3
1966-68,166,m,10,231,117,22
1966-68,169,m,10,200,97,21.5
1966-68,44,m,10.5,215,113,20.3
1966-68,113,m,11,218,104,23
1966-68,134,m,11,206,82,19.5
1966-68,112,m,12,226,97,23.3
1966-68,132,m,14,225,,
1966-68,17,m,14.5,242,120,25
1966-68,9,m,15,244,132,30
1966-68,37,m,15,245,122.5,27.25
1966-68,60,m,15,242,108,24.5
1966-68,68,m,15,239,114,25
1966-68,92,m,15,235,124,23.6
1966-68,267,m,15,241,120,26
1966-68,285,m,15,238,131.5,30
1966-68,293,m,15,236,144.5,27.5
1966-68,249,m,16,236,125,25
1966-68,259,m,16,224,99,18.5
1966-68,281,m,16,244,131,28
1966-68,172,m,16.5,244,122.5,25.75
1966-68,202,m,16.5,240,129,27
1966-68,7,m,17,246,127.5,25
1966-68,203,m,17,237,144,30.25
1966-68,93,m,18,265,108,27.5
1966-68,256,m,18,246,130,28.5
1966-68,265,m,18,234,132.25,27
1966-68,155,m,19,251,149,30
1966-68,1,m,20,261,145,30
1966-68,63,m,20,272,141,29
1966-68,244,m,20,247,150,29
1966-68,18,m,22,261,130,30.25
1966-68,275,m,22,245,139,30
1966-68,195,m,22.5,244,157.5,34
1966-68,273,m,22.5,255,153,30.5
1966-68,274,m,22.5,263,110.5,32.5
1966-68,65,m,23,273,140.5,32.5
1966-68,104,m,23,266,134,30.5
1966-68,190,m,23,273,151,33
1966-68,292,m,23,253,121,30
1966-68,2,m,24,269,171,35
1966-68,128,m,24,271,150,29.5
1966-68,278,m,24,275,133.75,32.5
1966-68,258,m,26,272,137,30.3
1966-68,56,m,27,289,189,34
1966-68,175,m,27,298,191.5,39
1966-68,204,m,28,293,159.5,33
1966-68,57,m,29,284,187.5,42.5
1966-68,59,m,29,248,136,28.25
1966-68,277,m,29,294,170,43
1966-68,58,m,30,280,158,41
1966-68,276,m,34,314,213,48
1966-68,62,m,39,294,205,46.5
1966-68,64,m,41,303,229.5,43.25
1966-68,61,m,46,285,234,43.5
2005-13,WIL,m,27.5,289,,29
2005-13,KIM,m,32.5,290,,40.5
2005-13,ANN,m,32.5,320,,35
2005-13,CAR,m,32.5,241,,37
2005-13,NEL,m,37.5,315,,41
2005-13,ISH,m,37.5,340,,42
2005-13,NIC,m,37.5,320,,43
2005-13,HEM,m,37.5,325,,39
2005-13,LIB,m,42.5,310,,45
2005-13,52,f,4.5,195,47.077,14
2005-13,14,f,5,200,48.2328,15
2005-13,42,f,5,180,54.0118,17
2005-13,29,f,6,210,52.856,18
2005-13,26,f,7,185,41.298,14
2005-13,27,f,7,190,49.3886,15
2005-13,13,f,8,245,52.856,20
2005-13,60,f,8,210,70.193,20
2005-13,40,f,10,205,58.635,15
2005-13,39,f,11,255,54.0118,16
2005-13,19,f,11,240,55.1676,17
2005-13,62,f,11,230,64.414,20
2005-13,23,f,11.5,230,70.193,19
2005-13,55,f,15,230,57.4792,19
2005-13,10,f,15,255,70.193,20
2005-13,11,f,15,280,70.193,25
2005-13,16,f,20,225,58.635,18
2005-13,17,f,20,295,74.8162,26
2005-13,22,f,22.5,270,87.53,25
2005-13,59,f,25,245,70.193,20
2005-13,1,f,25,250,87.53,28
2005-13,56,f,25,230,90.9974,25
2005-13,51,f,25,280,104.867,29
2005-13,31,f,27.5,290,88.6858,30
2005-13,37,f,28,270,66.7256,20
2005-13,53,f,30,275,70.193,22
2005-13,58,f,30,280,75.972,25
2005-13,46,f,32,280,93.309,29
2005-13,25,m,3,168,26.5,10
2005-13,54,m,3,165,,8
2005-13,36,m,3.5,175,48.5,17
2005-13,18,m,4,150,31.7,13
2005-13,48,m,4.5,150,33,10
2005-13,12,m,6,195,45.9,18
2005-13,33,m,6,185,49.8,19
2005-13,49,m,6.5,180,71.8,20
2005-13,6,m,7,215,58.9,20
2005-13,28,m,7,190,65.3,19
2005-13,35,m,7,190,82.1,21
2005-13,61,m,7,185,52.4,19
2005-13,38,m,9,260,84.7,22
2005-13,32,m,10,230,71.8,22
2005-13,43,m,10,220,84.7,25
2005-13,45,m,10,194,58.9,25
2005-13,20,m,11,220,65.3,20
2005-13,24,m,12,224,73.1,25
2005-13,41,m,13,210,58.9,20
2005-13,47,m,13,215,97.7,28
2005-13,30,m,15,253,74.4,24
2005-13,5,m,17.5,275,118.4,30
2005-13,21,m,17.5,235,97.7,27
2005-13,34,m,18,225,,25
2005-13,50,m,25,256,87.3,31
2005-13,8,m,42.5,280,136.5,40
2005-13,7,m,,226,84.7,26
2005-13,9,m,,187,48.5,16
2005-13,42,f,2.5,160,33.2074,8
2005-13,56,f,3,170,43.6096,12
2005-13,65,f,3,220,49.3886,13
2005-13,117,f,3.5,160,33.2074,11
2005-13,99,f,3.5,180,41.298,12
2005-13,11,f,3.5,180,47.077,13
2005-13,82,f,4.5,150,38.9864,11
2005-13,127,f,4.5,170,40.1422,10
2005-13,64,f,4.5,180,48.2328,14
2005-13,135,f,4.5,190,49.3886,12
2005-13,132,f,4.5,190,51.7002,13
2005-13,30,f,4.5,160,52.856,14
2005-13,36,f,4.5,190,59.7908,16
2005-13,148,f,5.5,190,43.6096,11
2005-13,101,f,5.5,180,49.3886,12
2005-13,3,f,5.5,160,54.0118,16
2005-13,67,f,7.5,200,52.856,14
2005-13,39,f,7.5,200,60.9466,16
2005-13,126,f,8.5,220,57.4792,16
2005-13,63,f,8.5,220,93.309,20
2005-13,113,f,9,230,57.4792,15
2005-13,79,f,9,220,59.7908,15
2005-13,16,f,9,230,60.9466,17
2005-13,69,f,9.5,240,64.414,15
2005-13,23,f,12.5,190,59.7908,
2005-13,49,f,12.5,240,62.1024,17
2005-13,146,f,12.5,240,72.5046,18
2005-13,131,f,17.5,240,69.0372,17
2005-13,107,f,17.5,250,72.5046,15
2005-13,141,f,17.5,230,73.6604,17
2005-13,118,f,17.5,230,93.309,20
2005-13,124,f,17.5,240,95.6206,19
2005-13,29,f,22.5,220,62.1024,17
2005-13,18,f,22.5,220,66.7256,20
2005-13,37,f,22.5,260,66.7256,19
2005-13,108,f,22.5,230,73.6604,18
2005-13,55,f,22.5,250,77.1278,18
2005-13,44,f,22.5,250,78.2836,20
2005-13,120,f,22.5,240,80.5952,19
2005-13,2,f,22.5,230,81.751,25
2005-13,66,f,22.5,250,81.751,17
2005-13,77,f,22.5,250,89.8416,25
2005-13,100,f,22.5,230,92.1532,20
2005-13,147,f,22.5,260,93.309,21
2005-13,98,f,22.5,260,99.088,24
2005-13,97,f,22.5,270,101.3996,22
2005-13,140,f,27.5,210,70.193,17
2005-13,112,f,27.5,240,84.0626,21
2005-13,27,f,27.5,230,89.8416,21
2005-13,72,f,27.5,240,93.309,20
2005-13,128,f,27.5,250,93.309,19
2005-13,80,f,27.5,260,104.867,22
2005-13,31,f,32.5,230,64.414,22
2005-13,34,f,32.5,250,80.5952,22
2005-13,58,f,32.5,220,85.2184,20
2005-13,75,f,32.5,270,94.4648,22
2005-13,73,f,32.5,260,110.646,22
2005-13,115,f,32.5,260,111.8018,25
2005-13,25,f,35,230,118.7366,25
2005-13,21,f,37.5,230,66.7256,20
2005-13,47,f,37.5,260,79.4394,20
2005-13,41,f,37.5,260,81.751,20
2005-13,130,f,37.5,250,99.088,24
2005-13,9,f,37.5,260,100.2438,20
2005-13,119,f,42.5,260,117.5808,25
2005-13,111,m,2.5,140,38.2,10
2005-13,35,m,3.5,160,44.6,15
2005-13,38,m,3.5,160,38.2,11
2005-13,70,m,3.5,190,42,14
2005-13,85,m,3.5,180,53.7,15
2005-13,114,m,3.5,180,48.5,15
2005-13,125,m,3.5,180,45.9,13
2005-13,24,m,4.5,170,44.6,19
2005-13,71,m,4.5,200,43.3,12
2005-13,110,m,4.5,190,73.1,20
2005-13,122,m,4.5,190,55,14
2005-13,5,m,5.5,240,91.2,26
2005-13,83,m,5.5,200,60.1,17
2005-13,33,m,6,220,74.4,20
2005-13,123,m,6.5,180,43.3,12
2005-13,145,m,6.5,200,53.7,10
2005-13,17,m,7.5,190,65.3,20
