"id","Order","Family","Genus","Species","Fos","Ter","Aqu","Arb","Leaves","Flowers","Seeds","Fruits","Arthro","Vert","Diu","Noc","Crepu","Wet_warm","Wet_cold","Dry_warm","Dry_cold","Body_mass_g","Age_at_maturity_min_y","Age_at_maturity_max_y","Body_size_mm","Size_at_maturity_min_mm","Size_at_maturity_max_mm","Longevity_max_y","Litter_size_min_n","Litter_size_max_n","Reproductive_output_y","Offspring_size_min_mm","Offspring_size_max_mm","Dir","Lar","Viv","OBS"
"Anf0014","Anura","Aromobatidae","Prostherapis","Prostherapis dunni",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.5,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
"Anf0015","Anura","Aromobatidae","Allobates","Allobates alessandroi",NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA
"Anf0016","Anura","Aromobatidae","Allobates","Allobates algorei",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anf0017","Anura","Aromobatidae","Allobates","Allobates bromelicola",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA
"Anf0018","Anura","Aromobatidae","Allobates","Allobates brunneus",NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,17,17,1,NA,NA,0,1,0,NA
"Anf0019","Anura","Aromobatidae","Allobates","Allobates caeruleodactylus",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,16.8,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
"Anf0020","Anura","Aromobatidae","Allobates","Allobates caribe",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,20.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anf0021","Anura","Aromobatidae","Allobates","Allobates cepedai",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA
"Anf0022","Anura","Aromobatidae","Allobates","Allobates chalcopis",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,18.4,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
"Anf0023","Anura","Aromobatidae","Allobates","Allobates conspicuus",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.5,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA
"Anf0024","Anura","Aromobatidae","Allobates","Allobates crombiei",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA
"Anf0025","Anura","Aromobatidae","Allobates","Allobates femoralis",NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,1,NA,4.1,0.8,0.8,36,NA,NA,6,8,48,12,1.5,2.1,0,1,0,NA
"Anf0026","Anura","Aromobatidae","Allobates","Allobates fratisenescus",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA
"Anf0027","Anura","Aromobatidae","Allobates","Allobates fuscellus",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA
"Anf0028","Anura","Aromobatidae","Allobates","Allobates gasconi",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA
"Anf0029","Anura","Aromobatidae","Allobates","Allobates goianus",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA
"Anf0030","Anura","Aromobatidae","Allobates","Allobates granti",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,18.4,NA,NA,NA,NA,NA,4,NA,NA,0,1,0,NA
"Anf0031","Anura","Aromobatidae","Allobates","Allobates hodli",NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,28.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anf0032","Anura","Aromobatidae","Allobates","Allobates humilis",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.8,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
"Anf0033","Anura","Aromobatidae","Allobates","Allobates insperatus",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,27,2,NA,NA,0,1,0,NA
"Anf0034","Anura","Aromobatidae","Allobates","Allobates juanii",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.3,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
"Anf0035","Anura","Aromobatidae","Allobates","Allobates kingsburyi",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,24,10,NA,NA,0,1,0,NA
"Anf0036","Anura","Aromobatidae","Allobates","Allobates mandelorum",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
"Anf0037","Anura","Aromobatidae","Allobates","Allobates marchesianus",NA,1,1,1,NA,NA,NA,NA,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,13,27,1,1.5,2,0,1,0,NA
"Anf0038","Anura","Aromobatidae","Allobates","Allobates masniger",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA
"Anf0039","Anura","Aromobatidae","Allobates","Allobates mcdiarmidi",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.3,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
"Anf0040","Anura","Aromobatidae","Allobates","Allobates melanolaemus",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.6,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA
"Anf0041","Anura","Aromobatidae","Allobates","Allobates myersi",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
"Anf0042","Anura","Aromobatidae","Allobates","Allobates nidicola",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,21.4,NA,NA,NA,2,6,NA,2.4,2.4,1,0,0,NA
"Anf0043","Anura","Aromobatidae","Allobates","Allobates niputidea",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
"Anf0044","Anura","Aromobatidae","Allobates","Allobates olfersioides",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,11,11,3,1.5,1.5,0,1,0,NA
"Anf0045","Anura","Aromobatidae","Allobates","Allobates ornatus",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.4,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA
"Anf0046","Anura","Aromobatidae","Allobates","Allobates paleovarzensis",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,22.4,NA,NA,NA,9,47,NA,NA,NA,NA,NA,NA,NA
"Anf0047","Anura","Aromobatidae","Allobates","Allobates picachos",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,18.8,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA
"Anf0048","Anura","Aromobatidae","Allobates","Allobates pittieri",NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.8,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
"Anf0049","Anura","Aromobatidae","Allobates","Allobates ranoides",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
"Anf0050","Anura","Aromobatidae","Allobates","Allobates rufulus",NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.4,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA
"Anf0051","Anura","Aromobatidae","Allobates","Allobates sanmartini",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA
"Anf0052","Anura","Aromobatidae","Allobates","Allobates spumaponens",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
"Anf0053","Anura","Aromobatidae","Allobates","Allobates subfolionidificans",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,18.7,NA,NA,NA,8,10,3,NA,NA,0,1,0,NA
"Anf0054","Anura","Aromobatidae","Allobates","Allobates sumtuosus",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA
"Anf0055","Anura","Aromobatidae","Allobates","Allobates talamancae",NA,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,1,NA,NA,1,1,25,NA,NA,NA,18,50,1,NA,NA,0,1,0,NA
"Anf0056","Anura","Aromobatidae","Allobates","Allobates trilineatus",NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0.54,NA,NA,19,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
"Anf0057","Anura","Aromobatidae","Allobates","Allobates undulatus",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA
"Anf0058","Anura","Aromobatidae","Allobates","Allobates vanzolinius",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.9,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA
"Anf0059","Anura","Aromobatidae","Allobates","Allobates wayuu",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,19.7,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
"Anf0060","Anura","Aromobatidae","Allobates","Allobates zaparo",NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0.8,1,31,NA,NA,NA,26,66,3,NA,NA,0,1,0,NA
"Anf0061","Anura","Aromobatidae","Anomaloglossus","Anomaloglossus atopoglossus",NA,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,25.2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA
"Anf0062","Anura","Aromobatidae","Anomaloglossus","Anomaloglossus ayarzaguenai",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA
"Anf0063","Anura","Aromobatidae","Anomaloglossus","Anomaloglossus baeobatrachus",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,18.6,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA
"Anf0064","Anura","Aromobatidae","Anomaloglossus","Anomaloglossus beebei",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.5,18.7,8.8,10.1,5,1,7,3,0.9,2.1,0,1,0,NA
"Anf0065","Anura","Aromobatidae","Anomaloglossus","Anomaloglossus breweri",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.8,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
"Anf0066","Anura","Aromobatidae","Anomaloglossus","Anomaloglossus confusus",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anf0067","Anura","Aromobatidae","Anomaloglossus","Anomaloglossus degranvillei",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,16.1,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
"Anf0068","Anura","Aromobatidae","Anomaloglossus","Anomaloglossus guanayensis",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.5,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA
"Anf0069","Anura","Aromobatidae","Anomaloglossus","Anomaloglossus kaiei",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,19.8,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
"Anf0070","Anura","Aromobatidae","Anomaloglossus","Anomaloglossus lacrimosus",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA
"Anf0071","Anura","Aromobatidae","Anomaloglossus","Anomaloglossus megacephalus",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anf0072","Anura","Aromobatidae","Anomaloglossus","Anomaloglossus moffetti",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anf0073","Anura","Aromobatidae","Anomaloglossus","Anomaloglossus murisipanensis",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
"Anf0074","Anura","Aromobatidae","Anomaloglossus","Anomaloglossus parimae",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA
"Anf0075","Anura","Aromobatidae","Anomaloglossus","Anomaloglossus parkerae",NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA
"Anf0076","Anura","Aromobatidae","Anomaloglossus","Anomaloglossus praderioi",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.7,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA
"Anf0077","Anura","Aromobatidae","Anomaloglossus","Anomaloglossus roraima",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA
"Anf0078","Anura","Aromobatidae","Anomaloglossus","Anomaloglossus shrevei",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.5,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA
"Anf0079","Anura","Aromobatidae","Anomaloglossus","Anomaloglossus stepheni",NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,18.24,NA,NA,NA,4,6,1,NA,NA,0,1,0,NA
"Anf0080","Anura","Aromobatidae","Anomaloglossus","Anomaloglossus tamacuarensis",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA
"Anf0081","Anura","Aromobatidae","Anomaloglossus","Anomaloglossus tepuyensis",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA
"Anf0082","Anura","Aromobatidae","Anomaloglossus","Anomaloglossus triunfo",NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA
"Anf0083","Anura","Aromobatidae","Anomaloglossus","Anomaloglossus verbeeksnyderorum",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,0.3,0.5,22.3,NA,NA,5,3,7,1,NA,NA,NA,NA,NA,NA
"Anf0084","Anura","Aromobatidae","Anomaloglossus","Anomaloglossus wothuja",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA
"Anf0085","Anura","Aromobatidae","Rheobates","Rheobates palmatus",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.4,39,NA,NA,NA,3,44,6,2.4,3.6,0,1,0,NA
"Anf0086","Anura","Aromobatidae","Rheobates","Rheobates pseudopalmatus",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA
"Anf0087","Anura","Aromobatidae","Aromobates","Aromobates alboguttatus",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
"Anf0088","Anura","Aromobatidae","Aromobates","Aromobates capurinensis",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA
"Anf0089","Anura","Aromobatidae","Aromobates","Aromobates duranti",NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,30.7,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
"Anf0090","Anura","Aromobatidae","Aromobates","Aromobates haydeeae",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
"Anf0091","Anura","Aromobatidae","Aromobates","Aromobates leopardalis",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
"Anf0092","Anura","Aromobatidae","Aromobates","Aromobates mayorgai",NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.7,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
"Anf0093","Anura","Aromobatidae","Aromobates","Aromobates meridensis",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.7,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
"Anf0094","Anura","Aromobatidae","Aromobates","Aromobates molinarii",NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.3,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
"Anf0095","Anura","Aromobatidae","Aromobates","Aromobates nocturnus",NA,1,1,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,62,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
"Anf0096","Anura","Aromobatidae","Aromobates","Aromobates orostoma",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
"Anf0097","Anura","Aromobatidae","Aromobates","Aromobates saltuensis",NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.9,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
"Anf0098","Anura","Aromobatidae","Aromobates","Aromobates serranus",NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,28.6,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
"Anf0099","Anura","Aromobatidae","Mannophryne","Mannophryne caquetio",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.8,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
"Anf0100","Anura","Aromobatidae","Mannophryne","Mannophryne collaris",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,27,NA,NA,NA,9,19,1,NA,NA,0,1,0,NA
"Anf0101","Anura","Aromobatidae","Mannophryne","Mannophryne cordilleriana",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
"Anf0102","Anura","Aromobatidae","Mannophryne","Mannophryne herminae",NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
"Anf0103","Anura","Aromobatidae","Mannophryne","Mannophryne lamarcai",NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.8,NA,NA,NA,10,10,1,1.8,2.2,0,1,0,NA
"Anf0104","Anura","Aromobatidae","Mannophryne","Mannophryne larandina",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA
