Country,Group,PPGDP,LifeExp
Micronesia,other,2678.2,70.17
Moldova,other,1625.8,73.48
Mongolia,other,2246.7,72.83
Montenegro,other,6509.8,77.37
Morocco,africa,2865,74.86
Mozambique,africa,407.5,51.81
Myanmar,other,876.2,67.87
Namibia,africa,5124.7,63.04
Nauru,other,6190.1,57.1
Nepal,other,534.7,70.05
Neth Antilles,other,20321.1,79.86
Netherlands,oecd,46909.7,82.79
New Caledonia,other,35319.5,80.49
New Zealand,oecd,32372.1,82.77
Nicaragua,other,1131.9,77.45
Niger,africa,357.7,55.77
Nigeria,africa,1239.8,53.38
North Korea,other,504,72.12
Norway,oecd,84588.7,83.47
Oman,other,20791,76.44
Pakistan,other,1003.2,66.88
Palau,other,10821.8,72.1
Palestinian Territory,other,1819.5,74.81
Panama,other,7614,79.07
Papua New Guinea,other,1428.4,65.52
Paraguay,other,2771.1,74.91
Peru,other,5410.7,76.9
Philippines,other,2140.1,72.57
Poland,oecd,12263.2,80.56
Portugal,oecd,21437.6,82.76
Puerto Rico,other,26461,83.2
Qatar,other,72397.9,78.24
Republic of Korea,other,21052.2,83.95
Romania,other,7522.4,77.95
Russian Federation,other,10351.4,75.01
Rwanda,africa,532.3,57.13
Saint Lucia,other,6677.1,77.54
Samoa,other,3343.3,76.02
Sao Tome and Principe,africa,1283.3,66.48
Saudi Arabia,other,15835.9,75.57
Senegal,africa,1032.7,60.92
Serbia,other,5123.2,77.05
Seychelles,africa,11450.6,78
Sierra Leone,africa,351.7,48.87
Singapore,other,43783.1,83.71
Slovakia,oecd,15976,79.53
Slovenia,oecd,23109.8,82.84
Solomon Islands,other,1193.5,70
Somalia,africa,114.8,53.38
South Africa,africa,7254.8,54.09
Spain,other,30542.8,84.76
Sri Lanka,other,2375.3,78.4
St Vincent and Grenadines,other,6171.7,74.73
Sudan,africa,1824.9,63.82
Suriname,other,7018,74.18
Swaziland,africa,3311.2,48.54
Sweden,oecd,48906.2,83.65
Switzerland,oecd,68880.2,84.71
Syria,other,2931.5,77.72
Tajikistan,other,816,71.23
Tanzania,africa,516,60.31
TFYR Macedonia,other,4434.5,77.14
Thailand,other,4612.8,77.76
Togo,africa,524.6,59.4
Tonga,other,3543.1,75.38
Trinidad and Tobago,other,15205.1,73.82
Tunisia,africa,4222.1,77.05
Turkey,oecd,10095.1,76.61
Turkmenistan,other,4587.5,69.4
Tuvalu,other,3187.2,65.1
Uganda,africa,509,55.44
Ukraine,other,3035,74.58
United Arab Emirates,other,39624.7,78.02
United Kingdom,oecd,36326.8,82.42
United States,oecd,46545.9,81.31
Uruguay,other,11952.4,80.66
Uzbekistan,other,1427.3,71.9
Vanuatu,other,2963.5,73.58
Venezuela,other,13502.7,77.73
Vietnam,other,1182.7,77.44
Yemen,other,1437.2,67.66
Zambia,africa,1237.8,50.04
Zimbabwe,africa,573.1,52.72
