"data_code","rec_year","rec_month","rec_day","animal_code","animal_sex","animal_weight","animal_yob"
"CBH01",1994,11,8,"Y12","M",792,1992
"CBH01",1994,11,8,"Y13","F",724,1992
"CBH01",1994,11,8,"Y15","F",694,1992
"CBH01",1994,11,8,"Y16","F",563,1992
"CBH01",1994,11,8,"Y18","M",800,1992
"CBH01",1994,11,8,"Y2","M",760,1992
"CBH01",1994,11,8,"Y21","F",694,1992
"CBH01",1994,11,8,"Y22","F",742,1992
"CBH01",1994,11,8,"Y23","F",720,1992
"CBH01",1994,11,8,"Y24","M",606,1992
"CBH01",1994,11,8,"Y25","M",784,1992
"CBH01",1994,11,8,"Y26","F",620,1992
"CBH01",1994,11,8,"Y27","F",612,1992
"CBH01",1994,11,8,"Y3","M",732,1992
"CBH01",1994,11,8,"Y30","F",882,1992
"CBH01",1994,11,8,"Y6","F",772,1992
"CBH01",1994,11,8,"Y9","M",922,1992
"CBH01",1994,11,8,"302","M",359,1993
"CBH01",1994,11,8,"OR 10","F",478,1993
"CBH01",1994,11,8,"OR 11","F",532,1993
"CBH01",1994,11,8,"OR 12","M",239,1993
"CBH01",1994,11,8,"OR 14","M",353,1993
"CBH01",1994,11,8,"OR 15","F",442,1993
"CBH01",1994,11,8,"OR 16","M",442,1993
"CBH01",1994,11,8,"OR 18","M",265,1993
"CBH01",1994,11,8,"OR 2","F",496,1993
"CBH01",1994,11,8,"OR 20","M",313,1993
"CBH01",1994,11,8,"OR 21","M",191,1993
"CBH01",1994,11,8,"OR 25","M",331,1993
"CBH01",1994,11,8,"OR 26","F",576,1993
"CBH01",1994,11,8,"OR 28","F",500,1993
"CBH01",1994,11,8,"OR 3","M",413,1993
"CBH01",1994,11,8,"OR 30","M",249,1993
"CBH01",1994,11,8,"OR 31","F",566,1993
"CBH01",1994,11,8,"OR 33","M",252,1993
"CBH01",1994,11,8,"OR 35","M",235,1993
"CBH01",1994,11,8,"OR 37","F",554,1993
"CBH01",1994,11,8,"OR 38","F",506,1993
"CBH01",1994,11,8,"OR 39","M",478,1993
"CBH01",1994,11,8,"OR 4","F",374,1993
"CBH01",1994,11,8,"OR 40","M",347,1993
"CBH01",1994,11,8,"OR 42","M",300,1993
"CBH01",1994,11,8,"OR 44","M",295,1993
"CBH01",1994,11,8,"OR 46","F",488,1993
"CBH01",1994,11,8,"OR 5","F",504,1993
"CBH01",1994,11,8,"OR 6","F",486,1993
"CBH01",1994,11,8,"OR 7","F",484,1993
"CBH01",1994,11,8,"OR 9","F",474,1993
"CBH01",1994,11,8,"W-304","M",534,1993
"CBH01",1994,11,8,"W-401","M",196,1994
"CBH01",1994,11,8,"W-402","M",218,1994
"CBH01",1994,11,8,"W-403","M",306,1994
"CBH01",1994,11,8,"W-404","M",330,1994
"CBH01",1994,11,8,"W-405","M",312,1994
"CBH01",1994,11,8,"W-406","M",410,1994
"CBH01",1994,11,8,"W-407","F",288,1994
"CBH01",1994,11,8,"W-408","M",286,1994
"CBH01",1994,11,8,"W-409","M",350,1994
"CBH01",1994,11,8,"W-410","F",262,1994
"CBH01",1994,11,8,"W-412","M",206,1994
"CBH01",1994,11,8,"W-413","F",282,1994
"CBH01",1994,11,8,"W-414","M",326,1994
"CBH01",1994,11,8,"W-415","F",274,1994
"CBH01",1994,11,8,"W-416","F",292,1994
"CBH01",1994,11,8,"W-417","M",268,1994
"CBH01",1994,11,8,"W-418","M",306,1994
"CBH01",1994,11,8,"W-419","M",294,1994
"CBH01",1994,11,8,"W-420","F",346,1994
"CBH01",1994,11,8,"W-421","F",202,1994
"CBH01",1994,11,8,"W-422","M",200,1994
"CBH01",1994,11,8,"W-423","M",336,1994
"CBH01",1994,11,8,"W-424","M",338,1994
"CBH01",1994,11,8,"W-425","F",248,1994
"CBH01",1994,11,8,"W-426","F",330,1994
"CBH01",1994,11,8,"W-427","M",272,1994
"CBH01",1994,11,8,"W-428","F",288,1994
"CBH01",1994,11,8,"W-429","F",302,1994
"CBH01",1994,11,8,"W-430","F",286,1994
"CBH01",1994,11,8,"W-431","M",236,1994
"CBH01",1994,11,8,"W-432","F",394,1994
"CBH01",1994,11,8,"W-433","F",316,1994
"CBH01",1994,11,8,"W-434","M",326,1994
"CBH01",1994,11,8,"W-435","M",240,1994
"CBH01",1994,11,8,"W-436","F",252,1994
"CBH01",1994,11,8,"W-437","F",132,1994
"CBH01",1994,11,8,"W-439","M",332,1994
"CBH01",1994,11,8,"W-440","M",228,1994
"CBH01",1994,11,8,"W-441","M",276,1994
"CBH01",1994,11,8,"W-442","M",244,1994
"CBH01",1994,11,8,"W-452","F",310,1994
"CBH01",1995,11,6,"100","M",1254,NA
"CBH01",1995,11,6,"112","F",880,NA
"CBH01",1995,11,6,"114","M",1892,NA
"CBH01",1995,11,6,"K80","M",1268,NA
"CBH01",1995,11,6,"813","F",926,1981
"CBH01",1995,11,6,"834","F",1076,1983
"CBH01",1995,11,6,"B-301","F",1016,1983
"CBH01",1995,11,6,"B-401","F",962,1984
"CBH01",1995,11,6,"B-402","F",1042,1984
"CBH01",1995,11,6,"B-403","F",1076,1984
"CBH01",1995,11,6,"B-501","F",1022,1985
"CBH01",1995,11,6,"B-502","F",1014,1985
"CBH01",1995,11,6,"B-503","F",1040,1985
"CBH01",1995,11,6,"B-504","F",1004,1985
"CBH01",1995,11,6,"103","F",1016,1986
"CBH01",1995,11,6,"86C","F",936,1986
"CBH01",1995,11,6,"B-602","F",1134,1986
"CBH01",1995,11,6,"101","F",1126,1987
"CBH01",1995,11,6,"108","M",1728,1987
"CBH01",1995,11,6,"87D","F",1120,1987
"CBH01",1995,11,6,"B-701","F",1037,1987
"CBH01",1995,11,6,"B-703","F",1028,1987
"CBH01",1995,11,6,"B-704","F",1076,1987
"CBH01",1995,11,6,"B-707","F",994,1987
"CBH01",1995,11,6,"884","F",1060,1988
"CBH01",1995,11,6,"888","M",1726,1988
"CBH01",1995,11,6,"88Q","M",1712,1988
"CBH01",1995,11,6,"88Z","F",1048,1988
"CBH01",1995,11,6,"B-801","F",1078,1988
"CBH01",1995,11,6,"B-802","F",1002,1988
"CBH01",1995,11,6,"B-803","F",974,1988
"CBH01",1995,11,6,"B-804","F",972,1988
"CBH01",1995,11,6,"B-805","F",1090,1988
"CBH01",1995,11,6,"B-806","F",1046,1988
"CBH01",1995,11,6,"892","M",1306,1989
"CBH01",1995,11,6,"893","F",894,1989
"CBH01",1995,11,6,"89F","M",1682,1989
"CBH01",1995,11,6,"89H","F",1014,1989
"CBH01",1995,11,6,"89N","M",1594,1989
"CBH01",1995,11,6,"B-902","F",922,1989
"CBH01",1995,11,6,"B-903","F",1160,1989
"CBH01",1995,11,6,"B-904","F",1000,1989
"CBH01",1995,11,6,"B-906","F",1122,1989
"CBH01",1995,11,6,"B-907","F",1126,1989
"CBH01",1995,11,6,"B-908","F",998,1989
"CBH01",1995,11,6,"B-909","F",866,1989
"CBH01",1995,11,6,"B-910","F",1112,1989
"CBH01",1995,11,6,"B-911","F",1306,1989
"CBH01",1995,11,6,"904","M",1552,1990
"CBH01",1995,11,6,"905","M",1572,1990
"CBH01",1995,11,6,"908","M",1538,1990
"CBH01",1995,11,6,"90H","F",952,1990
"CBH01",1995,11,6,"90L","M",1422,1990
"CBH01",1995,11,6,"90M","M",1312,1990
"CBH01",1995,11,6,"90W","M",1512,1990
"CBH01",1995,11,6,"90X","M",1408,1990
"CBH01",1995,11,6,"W-001","F",972,1990
"CBH01",1995,11,6,"W-003","F",950,1990
"CBH01",1995,11,6,"W-004","F",850,1990
"CBH01",1995,11,6,"W-006","F",854,1990
"CBH01",1995,11,6,"120","M",1150,1991
"CBH01",1995,11,6,"918","M",1192,1991
"CBH01",1995,11,6,"919","F",872,1991
"CBH01",1995,11,6,"91SIG","F",850,1991
"CBH01",1995,11,6,"91Z","F",914,1991
"CBH01",1995,11,6,"W-102","M",1436,1991
"CBH01",1995,11,6,"W-103","F",1010,1991
"CBH01",1995,11,6,"W-104","F",698,1991
"CBH01",1995,11,6,"W-106","F",978,1991
"CBH01",1995,11,6,"W-107","F",842,1991
"CBH01",1995,11,6,"201","M",904,1992
"CBH01",1995,11,6,"202","M",1062,1992
"CBH01",1995,11,6,"206","M",990,1992
"CBH01",1995,11,6,"209","M",1180,1992
"CBH01",1995,11,6,"Y18","M",1088,1992
"CBH01",1995,11,6,"Y2","M",1022,1992
"CBH01",1995,11,6,"302","M",586,1993
"CBH01",1995,11,6,"OR 16","M",766,1993
"CBH01",1995,11,6,"OR 23","F",754,1993
"CBH01",1995,11,6,"OR 25","M",720,1993
"CBH01",1995,11,6,"OR 39","M",724,1993
"CBH01",1995,11,6,"OR 40","M",648,1993
"CBH01",1995,11,6,"W-301","F",753,1993
"CBH01",1995,11,6,"W-303","F",638,1993
"CBH01",1995,11,6,"W-304","M",828,1993
"CBH01",1995,11,6,"W-401","M",406,1994
"CBH01",1995,11,6,"W-403","M",588,1994
"CBH01",1995,11,6,"W-404","M",588,1994
"CBH01",1995,11,6,"W-405","M",620,1994
"CBH01",1995,11,6,"W-406","M",756,1994
"CBH01",1995,11,6,"W-408","M",502,1994
"CBH01",1995,11,6,"W-409","M",630,1994
"CBH01",1995,11,6,"W-414","M",556,1994
"CBH01",1995,11,6,"W-417","M",480,1994
"CBH01",1995,11,6,"W-419","M",526,1994
"CBH01",1995,11,6,"W-423","M",660,1994
"CBH01",1995,11,6,"W-424","M",588,1994
"CBH01",1995,11,6,"W-427","M",534,1994
"CBH01",1995,11,6,"W-428","F",540,1994
"CBH01",1995,11,6,"W-431","M",496,1994
"CBH01",1995,11,6,"W-432","F",670,1994
"CBH01",1995,11,6,"W-436","F",502,1994
"CBH01",1995,11,6,"W-437","F",368,1994
"CBH01",1995,11,6,"W-439","M",574,1994
"CBH01",1995,11,6,"W-440","M",480,1994
"CBH01",1995,11,6,"W-441","M",498,1994
"CBH01",1995,11,6,"W-445","M",594,1994
"CBH01",1995,11,6,"W-448","M",538,1994
"CBH01",1995,11,6,"W-449","M",506,1994
"CBH01",1995,11,6,"W-501","M",378,1995
"CBH01",1995,11,6,"W-503","M",308,1995
"CBH01",1995,11,6,"W-504","M",396,1995
"CBH01",1995,11,6,"W-505","M",304,1995
"CBH01",1995,11,6,"W-506","M",186,1995
"CBH01",1995,11,6,"W-507","F",322,1995
"CBH01",1995,11,6,"W-508","M",324,1995
"CBH01",1995,11,6,"W-509","F",304,1995
"CBH01",1995,11,6,"W-510","M",386,1995
"CBH01",1995,11,6,"W-511","M",298,1995
"CBH01",1995,11,6,"W-512","M",324,1995
"CBH01",1995,11,6,"W-513","F",286,1995
"CBH01",1995,11,6,"W-514","F",304,1995
"CBH01",1995,11,6,"W-515","M",312,1995
"CBH01",1995,11,6,"W-516","M",274,1995
"CBH01",1995,11,6,"W-517","M",272,1995
"CBH01",1995,11,6,"W-518","F",196,1995
"CBH01",1995,11,6,"W-519","F",234,1995
"CBH01",1995,11,6,"W-520","M",258,1995
"CBH01",1995,11,6,"W-521","M",220,1995
"CBH01",1995,11,6,"W-522","F",292,1995
"CBH01",1995,11,6,"W-523","F",350,1995
"CBH01",1995,11,6,"W-524","F",368,1995
"CBH01",1995,11,6,"W-525","M",462,1995
"CBH01",1995,11,6,"W-526","F",300,1995
"CBH01",1995,11,6,"W-527","F",240,1995
"CBH01",1995,11,6,"W-528","M",262,1995
"CBH01",1995,11,6,"W-529","F",336,1995
"CBH01",1995,11,6,"W-530","M",326,1995
"CBH01",1995,11,6,"W-531","F",324,1995
"CBH01",1995,11,6,"W-532","F",306,1995
"CBH01",1996,10,25,"112","F",914,NA
"CBH01",1996,10,25,"834","F",1092,1983
"CBH01",1996,10,25,"B-301","F",1120,1983
"CBH01",1996,10,25,"B-401","F",1018,1984
"CBH01",1996,10,25,"B-402","F",1038,1984
"CBH01",1996,10,25,"B-403","F",1096,1984
"CBH01",1996,10,25,"B-501","F",1046,1985
"CBH01",1996,10,25,"B-502","F",1022,1985
"CBH01",1996,10,25,"B-503","F",1062,1985
"CBH01",1996,10,25,"B-504","F",1002,1985
"CBH01",1996,10,25,"86C","F",930,1986
"CBH01",1996,10,25,"B-601","F",998,1986
"CBH01",1996,10,25,"B-602","F",1138,1986
"CBH01",1996,10,25,"108","M",1710,1987
"CBH01",1996,10,25,"88A","M",1602,1987
"CBH01",1996,10,25,"B-701","F",1002,1987
"CBH01",1996,10,25,"B-702","F",840,1987
"CBH01",1996,10,25,"B-703","F",972,1987
"CBH01",1996,10,25,"B-704","F",1070,1987
"CBH01",1996,10,25,"B-706","F",1106,1987
"CBH01",1996,10,25,"B-707","F",992,1987
"CBH01",1996,10,25,"884","F",1000,1988
"CBH01",1996,10,25,"888","M",1718,1988
"CBH01",1996,10,25,"88Z","F",1050,1988
"CBH01",1996,10,25,"B-801","F",1068,1988
"CBH01",1996,10,25,"B-802","F",996,1988
"CBH01",1996,10,25,"B-803","F",986,1988
"CBH01",1996,10,25,"B-804","F",970,1988
"CBH01",1996,10,25,"B-805","F",1084,1988
"CBH01",1996,10,25,"B-806","F",1082,1988
"CBH01",1996,10,25,"893","F",940,1989
"CBH01",1996,10,25,"89H","F",1010,1989
"CBH01",1996,10,25,"B-901","F",1020,1989
"CBH01",1996,10,25,"B-902","F",938,1989
"CBH01",1996,10,25,"B-903","F",1174,1989
"CBH01",1996,10,25,"B-904","F",992,1989
"CBH01",1996,10,25,"B-905","F",802,1989
"CBH01",1996,10,25,"B-906","F",1142,1989
"CBH01",1996,10,25,"B-907","F",1132,1989
"CBH01",1996,10,25,"B-908","F",1074,1989
"CBH01",1996,10,25,"B-909","F",816,1989
"CBH01",1996,10,25,"B-910","F",1068,1989
"CBH01",1996,10,25,"B-911","F",872,1989
"CBH01",1996,10,25,"903","M",1466,1990
"CBH01",1996,10,25,"90F","F",1020,1990
"CBH01",1996,10,25,"90H","F",1034,1990
"CBH01",1996,10,25,"90X","M",1486,1990
"CBH01",1996,10,25,"W-001","F",1020,1990
"CBH01",1996,10,25,"W-003","F",880,1990
"CBH01",1996,10,25,"W-004","F",876,1990
"CBH01",1996,10,25,"W-005","F",820,1990
"CBH01",1996,10,25,"W-006","F",878,1990
"CBH01",1996,10,25,"W-007","F",884,1990
"CBH01",1996,10,25,"W-008","F",952,1990
"CBH01",1996,10,25,"120","M",1256,1991
"CBH01",1996,10,25,"W-102","M",1566,1991
"CBH01",1996,10,25,"W-103","F",964,1991
"CBH01",1996,10,25,"W-104","F",766,1991
"CBH01",1996,10,25,"W-105","F",942,1991
"CBH01",1996,10,25,"W-106","F",978,1991
"CBH01",1996,10,25,"W-107","F",870,1991
"CBH01",1996,10,25,"W-108","F",884,1991
"CBH01",1996,10,25,"201","M",1104,1992
"CBH01",1996,10,25,"205","M",1160,1992
"CBH01",1996,10,25,"206","M",1188,1992
"CBH01",1996,10,25,"209","M",1324,1992
"CBH01",1996,10,25,"W-202","M",1266,1992
"CBH01",1996,10,25,"W-203","F",824,1992
"CBH01",1996,10,25,"W-207","F",896,1992
"CBH01",1996,10,25,"W-210","F",1154,1992
"CBH01",1996,10,25,"302","M",794,1993
"CBH01",1996,10,25,"W-301","F",822,1993
"CBH01",1996,10,25,"W-303","F",700,1993
"CBH01",1996,10,25,"W-304","M",1086,1993
"CBH01",1996,10,25,"W-305","F",934,1993
"CBH01",1996,10,25,"W-307","F",776,1993
"CBH01",1996,10,25,"W-401","M",624,1994
"CBH01",1996,10,25,"W-403","M",922,1994
"CBH01",1996,10,25,"W-404","M",850,1994
"CBH01",1996,10,25,"W-405","M",928,1994
"CBH01",1996,10,25,"W-406","M",1124,1994
"CBH01",1996,10,25,"W-408","M",776,1994
"CBH01",1996,10,25,"W-409","M",886,1994
"CBH01",1996,10,25,"W-414","M",820,1994
"CBH01",1996,10,25,"W-417","M",776,1994
"CBH01",1996,10,25,"W-418","M",934,1994
"CBH01",1996,10,25,"W-419","M",856,1994
"CBH01",1996,10,25,"W-423","M",938,1994
"CBH01",1996,10,25,"W-424","M",880,1994
"CBH01",1996,10,25,"W-427","M",872,1994
"CBH01",1996,10,25,"W-428","F",780,1994
"CBH01",1996,10,25,"W-430","F",740,1994
"CBH01",1996,10,25,"W-431","M",746,1994
"CBH01",1996,10,25,"W-432","F",874,1994
"CBH01",1996,10,25,"W-434","M",898,1994
"CBH01",1996,10,25,"W-436","F",710,1994
"CBH01",1996,10,25,"W-439","M",846,1994
"CBH01",1996,10,25,"W-440","M",746,1994
"CBH01",1996,10,25,"W-441","M",750,1994
"CBH01",1996,10,25,"W-445","M",918,1994
"CBH01",1996,10,25,"W-446","F",796,1994
"CBH01",1996,10,25,"W-448","M",763,1994
"CBH01",1996,10,25,"W-449","M",768,1994
"CBH01",1996,10,25,"W-451","F",786,1994
"CBH01",1996,10,25,"W-452","F",840,1994
"CBH01",1996,10,25,"W-501","M",638,1995
"CBH01",1996,10,25,"W-503","M",558,1995
"CBH01",1996,10,25,"W-504","M",676,1995
"CBH01",1996,10,25,"W-505","M",582,1995
"CBH01",1996,10,25,"W-507","F",590,1995
"CBH01",1996,10,25,"W-508","M",632,1995
"CBH01",1996,10,25,"W-509","F",526,1995
"CBH01",1996,10,25,"W-510","M",702,1995
"CBH01",1996,10,25,"W-511","M",594,1995
"CBH01",1996,10,25,"W-512","M",584,1995
"CBH01",1996,10,25,"W-513","F",532,1995
"CBH01",1996,10,25,"W-514","F",532,1995
"CBH01",1996,10,25,"W-515","M",666,1995
"CBH01",1996,10,25,"W-517","M",668,1995
"CBH01",1996,10,25,"W-518","F",550,1995
"CBH01",1996,10,25,"W-519","F",634,1995
"CBH01",1996,10,25,"W-520","M",508,1995
"CBH01",1996,10,25,"W-521","M",540,1995
"CBH01",1996,10,25,"W-522","F",548,1995
"CBH01",1996,10,25,"W-523","F",596,1995
"CBH01",1996,10,25,"W-524","F",598,1995
"CBH01",1996,10,25,"W-525","M",710,1995
"CBH01",1996,10,25,"W-526","F",564,1995
"CBH01",1996,10,25,"W-527","F",502,1995
"CBH01",1996,10,25,"W-528","M",610,1995
"CBH01",1996,10,25,"W-529","F",562,1995
"CBH01",1996,10,25,"W-530","M",586,1995
"CBH01",1996,10,25,"W-531","F",574,1995
"CBH01",1996,10,25,"W-532","F",514,1995
"CBH01",1996,10,25,"W-533","F",524,1995
"CBH01",1996,10,25,"W-534","M",566,1995
"CBH01",1996,10,25,"W-535","F",460,1995
"CBH01",1996,10,25,"W-536","F",450,1995
"CBH01",1996,10,25,"W-539","F",448,1995
"CBH01",1996,10,25,"W-540","M",704,1995
"CBH01",1996,10,25,"W-541","F",584,1995
"CBH01",1996,10,25,"W-542","F",422,1995
"CBH01",1996,10,25,"W-543","F",500,1995
"CBH01",1996,10,25,"W-544","F",558,1995
"CBH01",1996,10,25,"W-546","F",508,1995
"CBH01",1996,10,25,"W-601","F",204,1996
"CBH01",1996,10,25,"W-602","F",178,1996
"CBH01",1996,10,25,"W-603","F",190,1996
"CBH01",1996,10,25,"W-604","F",338,1996
"CBH01",1996,10,25,"W-605","M",272,1996
"CBH01",1996,10,25,"W-606","M",224,1996
"CBH01",1996,10,25,"W-607","M",222,1996
"CBH01",1996,10,25,"W-608","M",346,1996
"CBH01",1996,10,25,"W-609","M",288,1996
"CBH01",1996,10,25,"W-610","F",276,1996
"CBH01",1996,10,25,"W-611","M",244,1996
"CBH01",1996,10,25,"W-612","F",212,1996
"CBH01",1996,10,25,"W-613","F",282,1996
"CBH01",1996,10,25,"W-614","M",280,1996
"CBH01",1996,10,25,"W-615","F",292,1996
"CBH01",1996,10,25,"W-616","M",202,1996
"CBH01",1996,10,25,"W-617","F",118,1996
"CBH01",1996,10,25,"W-618","F",278,1996
"CBH01",1996,10,25,"W-619","F",344,1996
"CBH01",1996,10,25,"W-620","M",300,1996
"CBH01",1996,10,25,"W-621","M",268,1996
"CBH01",1996,10,25,"W-622","F",242,1996
"CBH01",1996,10,25,"W-623","F",220,1996
"CBH01",1996,10,25,"W-624","F",300,1996
"CBH01",1996,10,25,"W-625","M",282,1996
"CBH01",1996,10,25,"W-626","M",336,1996
"CBH01",1996,10,25,"W-627","F",272,1996
"CBH01",1996,10,25,"W-628","F",280,1996
"CBH01",1996,10,25,"W-629","M",382,1996
"CBH01",1996,10,25,"W-630","F",379,1996
"CBH01",1996,10,25,"W-631","F",320,1996
"CBH01",1996,10,25,"W-632","F",200,1996
"CBH01",1996,10,25,"W-633","M",238,1996
"CBH01",1996,10,25,"W-634","M",182,1996
"CBH01",1996,10,25,"W-635","F",292,1996
"CBH01",1996,10,25,"W-636","M",314,1996
"CBH01",1996,10,25,"W-637","M",208,1996
"CBH01",1996,10,25,"W-638","M",218,1996
"CBH01",1996,10,25,"W-639","M",278,1996
"CBH01",1996,10,25,"W-640","M",376,1996
"CBH01",1996,10,25,"W-641","M",232,1996
"CBH01",1996,10,25,"W-642","M",290,1996
"CBH01",1996,10,25,"W-643","F",226,1996
"CBH01",1996,10,25,"W-644","F",202,1996
"CBH01",1996,10,25,"W-645","F",302,1996
"CBH01",1996,10,25,"W-646","M",280,1996
"CBH01",1996,10,25,"W-647","M",234,1996
"CBH01",1996,10,25,"W-648","M",252,1996
"CBH01",1996,10,25,"W-649","M",344,1996
"CBH01",1997,10,31,"B-301","F",1118,1983
"CBH01",1997,10,31,"B-401","F",1024,1984
"CBH01",1997,10,31,"B-402","F",1056,1984
"CBH01",1997,10,31,"B-403","F",1090,1984
"CBH01",1997,10,31,"B-501","F",1076,1985
"CBH01",1997,10,31,"B-502","F",1036,1985
"CBH01",1997,10,31,"B-503","F",1106,1985
"CBH01",1997,10,31,"B-504","F",1062,1985
"CBH01",1997,10,31,"86C","F",954,1986
"CBH01",1997,10,31,"B-601","F",1076,1986
"CBH01",1997,10,31,"B-602","F",1170,1986
"CBH01",1997,10,31,"87D","F",1106,1987
"CBH01",1997,10,31,"B-701","F",1040,1987
"CBH01",1997,10,31,"B-702","F",868,1987
"CBH01",1997,10,31,"B-703","F",1028,1987
"CBH01",1997,10,31,"B-704","F",1106,1987
"CBH01",1997,10,31,"B-705","F",1192,1987
"CBH01",1997,10,31,"B-706","F",1100,1987
"CBH01",1997,10,31,"B-707","F",1036,1987
"CBH01",1997,10,31,"88Z","F",1108,1988
"CBH01",1997,10,31,"B-801","F",1112,1988
"CBH01",1997,10,31,"B-802","F",1050,1988
"CBH01",1997,10,31,"B-803","F",1024,1988
"CBH01",1997,10,31,"B-804","F",980,1988
"CBH01",1997,10,31,"B-805","F",1008,1988
"CBH01",1997,10,31,"B-806","F",1124,1988
"CBH01",1997,10,31,"89H","F",1012,1989
"CBH01",1997,10,31,"B-901","F",998,1989
"CBH01",1997,10,31,"B-902","F",968,1989
"CBH01",1997,10,31,"B-903","F",1186,1989
"CBH01",1997,10,31,"B-904","F",1048,1989
"CBH01",1997,10,31,"B-905","F",852,1989
"CBH01",1997,10,31,"B-906","F",1186,1989
"CBH01",1997,10,31,"B-907","F",1148,1989
"CBH01",1997,10,31,"B-908","F",1194,1989
"CBH01",1997,10,31,"B-909","F",884,1989
"CBH01",1997,10,31,"B-910","F",1048,1989
"CBH01",1997,10,31,"B-911","F",898,1989
"CBH01",1997,10,31,"909","M",1484,1990
"CBH01",1997,10,31,"90H","F",1004,1990
"CBH01",1997,10,31,"W-002","F",916,1990
"CBH01",1997,10,31,"W-004","F",908,1990
"CBH01",1997,10,31,"W-005","F",966,1990
"CBH01",1997,10,31,"W-006","F",910,1990
"CBH01",1997,10,31,"W-101","F",912,1991
"CBH01",1997,10,31,"W-102","M",1584,1991
"CBH01",1997,10,31,"W-103","F",966,1991
"CBH01",1997,10,31,"W-104","F",858,1991
"CBH01",1997,10,31,"W-105","F",980,1991
"CBH01",1997,10,31,"W-106","F",1014,1991
"CBH01",1997,10,31,"W-107","F",952,1991
"CBH01",1997,10,31,"209","M",1464,1992
"CBH01",1997,10,31,"W-202","M",1416,1992
"CBH01",1997,10,31,"W-203","F",878,1992
"CBH01",1997,10,31,"W-210","F",760,1992
"CBH01",1997,10,31,"302","M",982,1993
"CBH01",1997,10,31,"W-303","F",842,1993
"CBH01",1997,10,31,"W-304","M",1382,1993
"CBH01",1997,10,31,"W-305","F",972,1993
"CBH01",1997,10,31,"W-406","M",1346,1994
"CBH01",1997,10,31,"W-428","F",900,1994
"CBH01",1997,10,31,"W-430","F",838,1994
"CBH01",1997,10,31,"W-431","M",942,1994
"CBH01",1997,10,31,"W-446","F",876,1994
"CBH01",1997,10,31,"W-509","F",742,1995
"CBH01",1997,10,31,"W-513","F",778,1995
"CBH01",1997,10,31,"W-518","F",746,1995
"CBH01",1997,10,31,"W-525","M",990,1995
"CBH01",1997,10,31,"W-526","F",768,1995
"CBH01",1997,10,31,"W-527","F",748,1995
"CBH01",1997,10,31,"W-531","F",792,1995
"CBH01",1997,10,31,"W-532","F",712,1995
"CBH01",1997,10,31,"W-536","F",514,1995
"CBH01",1997,10,31,"W-539","F",642,1995
"CBH01",1997,10,31,"W-541","F",848,1995
"CBH01",1997,10,31,"W-543","F",734,1995
